k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.50000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
      30|[-3.50007166989194, 0.999907117749743, -2.71506194291e-05, -0.0004663944266235, 1.700067474680551, 5.43166900483e-05, -7.2756119794e-06, 5.67671168812e-05]|1088.6716104423230718|      0.00000095|[510, 0, 30, 60]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      31|[-3.50007166989194, 0.999907117749743, -2.71506194291e-05, -0.0004663944266235, 1.700067474680551, 5.43166900483e-05, -7.2756119794e-06, 5.67671168812e-05]|1088.6716104423230718|      0.00000048|[527, 0, 31, 62]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      32|[-3.50007166989194, 0.999907117749743, -2.71506194291e-05, -0.0004663944266235, 1.700067474680551, 5.43166900483e-05, -7.2756119794e-06, 5.67671168812e-05]|1088.6716104423230718|      0.00000024|[544, 0, 32, 64]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      33|[-3.5000716699036634, 0.999907117497693, -2.71561251789e-05, -0.0004665321395804, 1.7000674746678615, 5.43162672359e-05, -7.2852140162e-06, 5.65728083498e-05]|1088.1809757583187093|      0.00000048|[561, 0, 33, 66]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      34|[-3.5000716701155676, 0.999907117092615, -2.71711659034e-05, -0.0004669077288715, 1.7000674743151654, 5.43156247837e-05, -7.2955107736e-06, 5.68660205035e-05]|1087.8976065433425902|      0.00000095|[578, 0, 34, 68]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      35|[-3.5000716701155676, 0.999907117092615, -2.71711659034e-05, -0.0004669077288715, 1.7000674743151654, 5.43156247837e-05, -7.2955107736e-06, 5.68660205035e-05]|1087.8976065433425902|      0.00000048|[595, 0, 35, 70]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      36|[-3.5000716699696164, 0.999907116763903, -2.7178144451e-05, -0.0004670787998468, 1.700067474555744, 5.4315043402e-05, -7.311381032e-06, 5.64212651703e-05]|1087.4464920367781815|      0.00000095|[612, 0, 36, 72]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      37|[-3.5000716699696164, 0.999907116763903, -2.7178144451e-05, -0.0004670787998468, 1.700067474555744, 5.4315043402e-05, -7.311381032e-06, 5.64212651703e-05]|1087.4464920367781815|      0.00000048|[629, 0, 37, 74]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      38|[-3.50007167002783, 0.9999071162364994, -2.71850098816e-05, -0.0004672547473683, 1.7000674743414446, 5.43150014257e-05, -7.3107204691e-06, 5.68643997384e-05]|1087.0486032344356317|      0.00000095|[646, 0, 38, 76]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      39|[-3.50007167002783, 0.9999071162364994, -2.71850098816e-05, -0.0004672547473683, 1.7000674743414446, 5.43150014257e-05, -7.3107204691e-06, 5.68643997384e-05]|1087.0486032344356317|      0.00000048|[663, 0, 39, 78]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      40|[-3.500071670194142, 0.9999071159157161, -2.71919430142e-05, -0.0004674246752096, 1.7000674743205404, 5.43143613753e-05, -7.3267767407e-06, 5.64192123719e-05]|1086.6160592408373304|      0.00000095|[680, 0, 40, 80]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
