k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.1394105258298981, -0.1093283339407971, -0.3995891904922025, 0.044763370923292, 0.7128332278390725, 0.2646892745051774, -0.01710394233609, 0.2521919982991056, 0.4060194189344277]|77085.0970498764945660|      2.00000000|[14, 0, 1, 2]                                                              |  | used linear model with 14 points | iterate success | actual_k=0
      20|[-0.0924706697189725, -0.0273821828418805, -0.5644382420621399, 0.0075226229232053, 0.9129913078394674, 0.0141684211013797, 0.2061042651778651, 0.1545280446874977, 0.3394268298135461]|110.8904154259671628|      0.01562500|[280, 0, 20, 40]                                                           |  | used linear model with 14 points | iterate success | actual_k=0
      21|[-0.0924706697189725, -0.0273821828418805, -0.5644382420621399, 0.0075226229232053, 0.9129913078394674, 0.0141684211013797, 0.2061042651778651, 0.1545280446874977, 0.3394268298135461]|110.8904154259671628|      0.00781250|[294, 0, 21, 42]                                                           |  | used linear model with 14 points | iterate failure | actual_k=0
      22|[-0.0924706697189725, -0.0273821828418805, -0.5644382420621399, 0.0075226229232053, 0.9129913078394674, 0.0141684211013797, 0.2061042651778651, 0.1545280446874977, 0.3394268298135461]|110.8904154259671628|      0.00390625|[308, 0, 22, 44]                                                           |  | used linear model with 14 points | iterate failure | actual_k=0
      23|[-0.0929785282334274, -0.0291038856101163, -0.5644654131936573, 0.0081323194554404, 0.9157016386290765, 0.0126637450488566, 0.2066832612047991, 0.1539229860565303, 0.3405899570119144]| 97.6779597067688030|      0.00781250|[322, 0, 23, 46]                                                           |  | used linear model with 14 points | iterate success | actual_k=0
      24|[-0.0919937718764939, -0.0298015801133359, -0.5670123409405892, 0.0082263689827558, 0.9216459840561447, 0.0134335225210173, 0.2031673369723886, 0.1553873811504482, 0.3422175230394173]| 79.3487105302063469|      0.01562500|[336, 0, 24, 48]                                                           |  | used linear model with 14 points | iterate success | actual_k=0
      25|[-0.0934711043238586, -0.0298353514504209, -0.5621927387065829, 0.0102505556614862, 0.9353290942859078, 0.0086388460539112, 0.201872045244079, 0.1541346251810642, 0.343298018188894]| 59.4830182657428850|      0.03125000|[350, 0, 25, 50]                                                           |  | used linear model with 14 points | iterate success | actual_k=0
      26|[-0.0934711043238586, -0.0298353514504209, -0.5621927387065829, 0.0102505556614862, 0.9353290942859078, 0.0086388460539112, 0.201872045244079, 0.1541346251810642, 0.343298018188894]| 59.4830182657428850|      0.01562500|[364, 0, 26, 52]                                                           |  | used linear model with 14 points | iterate failure | actual_k=0
      27|[-0.0934711043238586, -0.0298353514504209, -0.5621927387065829, 0.0102505556614862, 0.9353290942859078, 0.0086388460539112, 0.201872045244079, 0.1541346251810642, 0.343298018188894]| 59.4830182657428850|      0.00781250|[378, 0, 27, 54]                                                           |  | used linear model with 14 points | iterate failure | actual_k=0
      28|[-0.0934711043238586, -0.0298353514504209, -0.5621927387065829, 0.0102505556614862, 0.9353290942859078, 0.0086388460539112, 0.201872045244079, 0.1541346251810642, 0.343298018188894]| 59.4830182657428850|      0.00390625|[392, 0, 28, 56]                                                           |  | used linear model with 14 points | iterate failure | actual_k=0
      29|[-0.094284982400093, -0.0294955781271353, -0.5623789160192312, 0.0085502922200029, 0.9375529577372188, 0.0106988826443925, 0.2025254531055611, 0.1555245094844504, 0.3433837401328438]| 46.0319986717003218|      0.00781250|[406, 0, 29, 58]                                                           |  | used linear model with 14 points | iterate success | actual_k=0
      30|[-0.094284982400093, -0.0294955781271353, -0.5623789160192312, 0.0085502922200029, 0.9375529577372188, 0.0106988826443925, 0.2025254531055611, 0.1555245094844504, 0.3433837401328438]| 46.0319986717003218|      0.00390625|[420, 0, 30, 60]                                                           |  | used linear model with 14 points | iterate failure | actual_k=0
      31|[-0.0936870320124474, -0.02971704929107, -0.5638225929821434, 0.0087832955545299, 0.9393139577294789, 0.0133316963453688, 0.20204781928759, 0.1561578473250192, 0.3448160883278232]| 39.8588280241344535|      0.00781250|[434, 0, 31, 62]                                                           |  | used linear model with 14 points | iterate success | actual_k=0
      32|[-0.0936870320124474, -0.02971704929107, -0.5638225929821434, 0.0087832955545299, 0.9393139577294789, 0.0133316963453688, 0.20204781928759, 0.1561578473250192, 0.3448160883278232]| 39.8588280241344535|      0.00390625|[448, 0, 32, 64]                                                           |  | used linear model with 14 points | iterate failure | actual_k=0
      33|[-0.094086177944551, -0.0300912998712417, -0.564230996527604, 0.0072440673804577, 0.9428009806323262, 0.0133087744117206, 0.2021581327946635, 0.155707602741514, 0.3445955257109053]| 37.0211801201589097|      0.00781250|[462, 0, 33, 66]                                                           |  | used linear model with 14 points | iterate success | actual_k=0
      34|[-0.094086177944551, -0.0300912998712417, -0.564230996527604, 0.0072440673804577, 0.9428009806323262, 0.0133087744117206, 0.2021581327946635, 0.155707602741514, 0.3445955257109053]| 37.0211801201589097|      0.00390625|[476, 0, 34, 68]                                                           |  | used linear model with 14 points | iterate failure | actual_k=0
      35|[-0.094086177944551, -0.0300912998712417, -0.564230996527604, 0.0072440673804577, 0.9428009806323262, 0.0133087744117206, 0.2021581327946635, 0.155707602741514, 0.3445955257109053]| 37.0211801201589097|      0.00195312|[490, 0, 35, 70]                                                           |  | used linear model with 14 points | iterate failure | actual_k=0
      36|[-0.0951744512108282, -0.0301014067344684, -0.5646896408847223, 0.0086398990628297, 0.9429045165032096, 0.0129452328572657, 0.2024263082835639, 0.1553342128948604, 0.3442529830504801]| 34.3602471941254777|      0.00390625|[504, 0, 36, 72]                                                           |  | used linear model with 14 points | iterate success | actual_k=0
      37|[-0.0947899036180072, -0.0305505171503627, -0.5627934495979809, 0.0095319111184715, 0.9454324267158908, 0.0139932924101833, 0.2036853590461581, 0.1554969044064137, 0.3430623744154508]| 32.1826685587158821|      0.00781250|[518, 0, 37, 74]                                                           |  | used linear model with 14 points | iterate success | actual_k=0
      38|[-0.0947899036180072, -0.0305505171503627, -0.5627934495979809, 0.0095319111184715, 0.9454324267158908, 0.0139932924101833, 0.2036853590461581, 0.1554969044064137, 0.3430623744154508]| 32.1826685587158821|      0.00390625|[532, 0, 38, 76]                                                           |  | used linear model with 14 points | iterate failure | actual_k=0
      39|[-0.0947899036180072, -0.0305505171503627, -0.5627934495979809, 0.0095319111184715, 0.9454324267158908, 0.0139932924101833, 0.2036853590461581, 0.1554969044064137, 0.3430623744154508]| 32.1826685587158821|      0.00195312|[546, 0, 39, 78]                                                           |  | used linear model with 14 points | iterate failure | actual_k=0
      40|[-0.0944402869182076, -0.0307481808318214, -0.5627923225030778, 0.0078122011929269, 0.9458165382840678, 0.0137555564349028, 0.2029857733144505, 0.1555437466572105, 0.3430801653204424]| 31.1432453081846674|      0.00390625|[560, 0, 40, 80]                                                           |  | used linear model with 14 points | iterate success | actual_k=0
      41|[-0.0944402869182076, -0.0307481808318214, -0.5627923225030778, 0.0078122011929269, 0.9458165382840678, 0.0137555564349028, 0.2029857733144505, 0.1555437466572105, 0.3430801653204424]| 31.1432453081846674|      0.00195312|[574, 0, 41, 82]                                                           |  | used linear model with 14 points | iterate failure | actual_k=0
      42|[-0.0943809628507673, -0.03113494203143, -0.5628471794048521, 0.0094129608480503, 0.946696109644579, 0.0136930894337793, 0.2025393393727215, 0.1552651519361, 0.3428759919760452]| 30.1355804367502067|      0.00390625|[588, 0, 42, 84]                                                           |  | used linear model with 14 points | iterate success | actual_k=0
      43|[-0.0943809628507673, -0.03113494203143, -0.5628471794048521, 0.0094129608480503, 0.946696109644579, 0.0136930894337793, 0.2025393393727215, 0.1552651519361, 0.3428759919760452]| 30.1355804367502067|      0.00195312|[602, 0, 43, 86]                                                           |  | used linear model with 14 points | iterate failure | actual_k=0
      44|[-0.0946439180051655, -0.0310816973294107, -0.5635343110136629, 0.0080821795824458, 0.9477116992965556, 0.0136832826534462, 0.2024379996427364, 0.1556082046704555, 0.3422927983582547]| 28.2256733848295021|      0.00390625|[616, 0, 44, 88]                                                           |  | used linear model with 14 points | iterate success | actual_k=0
      45|[-0.0946439180051655, -0.0310816973294107, -0.5635343110136629, 0.0080821795824458, 0.9477116992965556, 0.0136832826534462, 0.2024379996427364, 0.1556082046704555, 0.3422927983582547]| 28.2256733848295021|      0.00195312|[630, 0, 45, 90]                                                           |  | used linear model with 14 points | iterate failure | actual_k=0
