k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.919960441795192, -0.907386718375877, 0.1643061319361681, 0.209055342034777, 0.5151505181098057, -0.7182438710997288, 0.3025471547069126]|50933.2845840492591378|      2.00000000|[10, 0, 1, 2]                                                              |  | used linear model with 10 points | iterate success | actual_k=2
      12|[9.692088145990244, -1.127173499740964, 0.8609784796858935, 0.825122709570862, 0.2045044659758433, -0.8101089339202343, 0.1195754276011831]|20774.0240467731746321|      0.06250000|[105, 15, 12, 24]                                                          |  | used linear model with 10 points | iterate failure | actual_k=2
      13|[9.659767804027725, -1.1077058643490607, 0.8470559338258736, 0.8241023008843097, 0.2064716128775442, -0.784567968166106, 0.0791827605442109]|15528.8143042163865175|      0.12500000|[113, 17, 13, 26]                                                          |  | used linear model with 10 points | iterate success | actual_k=2
      14|[9.659767804027725, -1.1077058643490607, 0.8470559338258736, 0.8241023008843097, 0.2064716128775442, -0.784567968166106, 0.0791827605442109]|15528.8143042163865175|      0.06250000|[123, 17, 14, 28]                                                          |  | used linear model with 10 points | iterate failure | actual_k=2
      15|[9.659767804027725, -1.1077058643490607, 0.8470559338258736, 0.8241023008843097, 0.2064716128775442, -0.784567968166106, 0.0791827605442109]|15528.8143042163865175|      0.03125000|[132, 18, 15, 30]                                                          |  | used linear model with 10 points | iterate failure | actual_k=2
      16|[9.659767804027725, -1.1077058643490607, 0.8470559338258736, 0.8241023008843097, 0.2064716128775442, -0.784567968166106, 0.0791827605442109]|15528.8143042163865175|      0.01562500|[141, 19, 16, 32]                                                          |  | used linear model with 10 points | iterate failure | actual_k=2
      17|[9.659767804027725, -1.1077058643490607, 0.8470559338258736, 0.8241023008843097, 0.2064716128775442, -0.784567968166106, 0.0791827605442109]|15528.8143042163865175|      0.00781250|[149, 21, 17, 34]                                                          |  | used linear model with 10 points | iterate failure | actual_k=2
      18|[9.663443888090828, -1.1091245764050723, 0.8448373623923703, 0.8259822141173592, 0.2024043325294675, -0.7837418822837046, 0.0836355684256286]|15437.4559975241481879|      0.01562500|[159, 21, 18, 36]                                                          |  | used linear model with 10 points | iterate success | actual_k=2
      19|[9.659213082114656, -1.0982006090730827, 0.8433144177656829, 0.8315983895651626, 0.2085873062029164, -0.7790491786041772, 0.0800583592823543]|15323.6715424482299568|      0.03125000|[167, 23, 19, 38]                                                          |  | used linear model with 10 points | iterate success | actual_k=2
      20|[9.659213082114656, -1.0982006090730827, 0.8433144177656829, 0.8315983895651626, 0.2085873062029164, -0.7790491786041772, 0.0800583592823543]|15323.6715424482299568|      0.01562500|[176, 24, 20, 40]                                                          |  | used linear model with 10 points | iterate failure | actual_k=2
      21|[9.659213082114656, -1.0982006090730827, 0.8433144177656829, 0.8315983895651626, 0.2085873062029164, -0.7790491786041772, 0.0800583592823543]|15323.6715424482299568|      0.00781250|[186, 24, 21, 42]                                                          |  | used linear model with 10 points | iterate failure | actual_k=2
      22|[9.659213082114656, -1.0982006090730827, 0.8433144177656829, 0.8315983895651626, 0.2085873062029164, -0.7790491786041772, 0.0800583592823543]|15323.6715424482299568|      0.00390625|[194, 26, 22, 44]                                                          |  | used linear model with 10 points | iterate failure | actual_k=2
      23|[9.659211197269368, -1.0974354662847254, 0.8447043174009236, 0.8314795893326139, 0.2090990562362349, -0.7777977055359657, 0.0833597733119676]|15287.8845928678165365|      0.00781250|[202, 28, 23, 46]                                                          |  | used linear model with 10 points | iterate success | actual_k=2
      24|[9.659211197269368, -1.0974354662847254, 0.8447043174009236, 0.8314795893326139, 0.2090990562362349, -0.7777977055359657, 0.0833597733119676]|15287.8845928678165365|      0.00390625|[211, 29, 24, 48]                                                          |  | used linear model with 10 points | iterate failure | actual_k=2
      25|[9.659755164501759, -1.0970516101132282, 0.844787544479345, 0.8332599992975127, 0.2090946886121035, -0.7765464706270937, 0.0801859508706243]|15267.1802643542596343|      0.00781250|[221, 29, 25, 50]                                                          |  | used linear model with 10 points | iterate success | actual_k=2
      26|[9.656677854598811, -1.0960436143436683, 0.8435004585476127, 0.836812244100518, 0.2054740641751877, -0.7739253945213539, 0.0842226908843434]|15206.2238082696476340|      0.01562500|[229, 31, 26, 52]                                                          |  | used linear model with 10 points | iterate success | actual_k=2
      27|[9.656677854598811, -1.0960436143436683, 0.8435004585476127, 0.836812244100518, 0.2054740641751877, -0.7739253945213539, 0.0842226908843434]|15206.2238082696476340|      0.00781250|[238, 32, 27, 54]                                                          |  | used linear model with 10 points | iterate failure | actual_k=2
      28|[9.656677854598811, -1.0960436143436683, 0.8435004585476127, 0.836812244100518, 0.2054740641751877, -0.7739253945213539, 0.0842226908843434]|15206.2238082696476340|      0.00390625|[247, 33, 28, 56]                                                          |  | used linear model with 10 points | iterate failure | actual_k=2
      29|[9.65802767400301, -1.0954803108478957, 0.8432785241949882, 0.8383718168069664, 0.2045342779521432, -0.7730991856796611, 0.0812106940829659]|15141.7136231492531806|      0.00781250|[256, 34, 29, 58]                                                          |  | used linear model with 10 points | iterate success | actual_k=2
      30|[9.65802767400301, -1.0954803108478957, 0.8432785241949882, 0.8383718168069664, 0.2045342779521432, -0.7730991856796611, 0.0812106940829659]|15141.7136231492531806|      0.00390625|[266, 34, 30, 60]                                                          |  | used linear model with 10 points | iterate failure | actual_k=2
      31|[9.65802767400301, -1.0954803108478957, 0.8432785241949882, 0.8383718168069664, 0.2045342779521432, -0.7730991856796611, 0.0812106940829659]|15141.7136231492531806|      0.00195312|[275, 35, 31, 62]                                                          |  | used linear model with 10 points | iterate failure | actual_k=2
      32|[9.6579282463774, -1.0950350421960657, 0.843207196364677, 0.8385793578653884, 0.20402669364519, -0.7720883372034166, 0.0827203065563144]|15124.3109094985884440|      0.00390625|[283, 37, 32, 64]                                                          |  | used linear model with 10 points | iterate success | actual_k=2
      33|[9.6579282463774, -1.0950350421960657, 0.843207196364677, 0.8385793578653884, 0.20402669364519, -0.7720883372034166, 0.0827203065563144]|15124.3109094985884440|      0.00195312|[291, 39, 33, 66]                                                          |  | used linear model with 10 points | iterate failure | actual_k=2
      34|[9.65777526986461, -1.0943370618205455, 0.8432366503319972, 0.8392481380494405, 0.2038601536692591, -0.7712702152211067, 0.0812509783985313]|15108.8074166335900372|      0.00390625|[300, 40, 34, 68]                                                          |  | used linear model with 10 points | iterate success | actual_k=2
      35|[9.655255554729138, -1.0954146892416274, 0.8435557834574389, 0.8408338395127184, 0.2021206087054282, -0.770037185453611, 0.0820163996347063]|15071.0337959557145950|      0.00781250|[309, 41, 35, 70]                                                          |  | used linear model with 10 points | iterate success | actual_k=2
