k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
      26|[9.73899996623591, -0.8997541883110843, -0.1731524339883199, 0.1633157706803224, 0.2253030903380634, -0.1560747956783249, 0.0152248297774918]|13702.0567141854317015|      0.00024414|[416, 26, 26, 52]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      27|[9.739001897493107, -0.8997468309392845, -0.1731822046471521, 0.1634179670375728, 0.2252900480241875, -0.1559499350567484, 0.015044673956695]|13688.4017039412974555|      0.00048828|[432, 27, 27, 54]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      28|[9.73902767322124, -0.899854469423826, -0.173284760188373, 0.1636287660906164, 0.2252640952047918, -0.1556656145008893, 0.0153441777804911]|13674.1763896563352318|      0.00097656|[448, 28, 28, 56]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      29|[9.73902767322124, -0.899854469423826, -0.173284760188373, 0.1636287660906164, 0.2252640952047918, -0.1556656145008893, 0.0153441777804911]|13674.1763896563352318|      0.00048828|[464, 29, 29, 58]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      30|[9.738950981639972, -0.8998888682750497, -0.1733088851624918, 0.1637551926447789, 0.2251328468891737, -0.1555196776863463, 0.0149243393147292]|13657.6360299160351133|      0.00097656|[480, 30, 30, 60]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      31|[9.738950981639972, -0.8998888682750497, -0.1733088851624918, 0.1637551926447789, 0.2251328468891737, -0.1555196776863463, 0.0149243393147292]|13657.6360299160351133|      0.00048828|[496, 31, 31, 62]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      32|[9.738948083543098, -0.8999512816621965, -0.1733757521251107, 0.1638470845756377, 0.2250796735217213, -0.1553032580113447, 0.0153389892259315]|13643.0143004663950705|      0.00097656|[512, 32, 32, 64]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      33|[9.738948083543098, -0.8999512816621965, -0.1733757521251107, 0.1638470845756377, 0.2250796735217213, -0.1553032580113447, 0.0153389892259315]|13643.0143004663950705|      0.00048828|[528, 33, 33, 66]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      34|[9.738948083543098, -0.8999512816621965, -0.1733757521251107, 0.1638470845756377, 0.2250796735217213, -0.1553032580113447, 0.0153389892259315]|13643.0143004663950705|      0.00024414|[544, 34, 34, 68]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      35|[9.738934776474759, -0.8999323415972367, -0.1733640549163193, 0.1639329972150244, 0.2251005344317551, -0.15523017336981, 0.0151250394842832]|13621.1733284354813804|      0.00048828|[560, 35, 35, 70]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
