k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]                                        |181.6199359999999956|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6476063624302035, 1.009776061587734, -0.1386889229766281, 0.8656366891072141, 0.9666780571999375, 1.4673076946177783, 1.3078672442177997, 0.5215094171187393]|147.0670335151667700|      2.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=0
      12|[0.8933520266698527, 0.3324175648276192, 0.1869469772933428, 0.9884334450621558, 1.7239400192342684, 0.7760193189163455, 1.6817833422951565, 0.6490520643392403]| 49.0181410230538788|      0.25000000|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      13|[0.8933520266698527, 0.3324175648276192, 0.1869469772933428, 0.9884334450621558, 1.7239400192342684, 0.7760193189163455, 1.6817833422951565, 0.6490520643392403]| 49.0181410230538788|      0.12500000|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      14|[0.8933520266698527, 0.3324175648276192, 0.1869469772933428, 0.9884334450621558, 1.7239400192342684, 0.7760193189163455, 1.6817833422951565, 0.6490520643392403]| 49.0181410230538788|      0.06250000|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      15|[0.8670693469843893, 0.3291720491406469, 0.1840070796327155, 0.9623443134133228, 1.745271979107055, 0.7930336047613106, 1.6727418188755196, 0.6079501908119223]| 48.3938943367658894|      0.12500000|[135, 0, 15, 45]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      16|[0.8711036574346107, 0.2594456708897372, 0.1654240546218666, 0.9772592321646049, 1.8156071787001062, 0.7850135798644945, 1.6332648838218278, 0.6680283348654615]| 47.1647893725559655|      0.25000000|[144, 0, 16, 48]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      17|[0.8711036574346107, 0.2594456708897372, 0.1654240546218666, 0.9772592321646049, 1.8156071787001062, 0.7850135798644945, 1.6332648838218278, 0.6680283348654615]| 47.1647893725559655|      0.12500000|[153, 0, 17, 51]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      18|[0.8882329458000312, 0.2191295232539691, 0.2105431831765845, 0.9722460832941665, 1.7799007791162789, 0.7567427954466434, 1.7022869955937014, 0.7373615315354642]| 45.4430631785409744|      0.25000000|[162, 0, 18, 54]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      19|[0.8882329458000312, 0.2191295232539691, 0.2105431831765845, 0.9722460832941665, 1.7799007791162789, 0.7567427954466434, 1.7022869955937014, 0.7373615315354642]| 45.4430631785409744|      0.12500000|[171, 0, 19, 57]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      20|[0.8915196400449172, 0.1365601882147241, 0.1593630641893758, 0.9767147608602902, 1.8253238542307586, 0.7358781585582999, 1.6443161666104649, 0.7546219792423169]| 43.7916045739824682|      0.25000000|[180, 0, 20, 60]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      21|[0.8915196400449172, 0.1365601882147241, 0.1593630641893758, 0.9767147608602902, 1.8253238542307586, 0.7358781585582999, 1.6443161666104649, 0.7546219792423169]| 43.7916045739824682|      0.12500000|[189, 0, 21, 63]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      22|[0.8542386563481994, 0.1333542817466944, 0.127112883709666, 0.9890856727063512, 1.815377781650897, 0.7313884893304623, 1.757686531576431, 0.7623560386803373]| 40.6662666274037221|      0.25000000|[198, 0, 22, 66]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      23|[0.8542386563481994, 0.1333542817466944, 0.127112883709666, 0.9890856727063512, 1.815377781650897, 0.7313884893304623, 1.757686531576431, 0.7623560386803373]| 40.6662666274037221|      0.12500000|[207, 0, 23, 69]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      24|[0.8542386563481994, 0.1333542817466944, 0.127112883709666, 0.9890856727063512, 1.815377781650897, 0.7313884893304623, 1.757686531576431, 0.7623560386803373]| 40.6662666274037221|      0.06250000|[216, 0, 24, 72]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      25|[0.8382565643506877, 0.1074136958197961, 0.0857428776879081, 0.9994729699405392, 1.8456013382153482, 0.7238753471198337, 1.7620608392840622, 0.7753748769494713]| 39.9667772266949584|      0.12500000|[225, 0, 25, 75]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      26|[0.7679824181541315, 0.0825203545271613, 0.1130133102315978, 1.0694102366374063, 1.8826054973104014, 0.7641857599490322, 1.794570077267763, 0.7558587184029874]| 37.8864149455190073|      0.25000000|[234, 0, 26, 78]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      27|[0.7138113534196615, -0.0250792730099363, 0.1758847212056052, 1.1105349180898902, 1.9427688863398005, 0.5703196810738123, 1.82102597165491, 0.7348787781933197]| 33.8820373485588249|      0.50000000|[243, 0, 27, 81]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
