k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|1827.7085714285710765|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3066979508879548, 0.08722837590104, 0.2470545079339777, -0.0680725421963018, 0.1128784900707192, 0.2861891520238163, 0.142093181671488, -0.1469099866326431, 0.1441095899481403, -0.047779944469448, 0.1825786362675468, 0.1577991850683242, 0.0352482706547686, 0.1296581849995362, 0.2053921283026732, 0.1395188017049132, 0.1570886621139732, 0.0953173475238649, 0.0403084983861596, 0.1626623252097258, 0.0983893949094667, -0.0389426180110261, 0.2251036149647243, 0.0647433342684061, 0.2047560602385042, 0.1201666998298557, 0.13584530742504, 0.0615592040582297, 0.1084258831646828, 0.0757444625311126, 0.1242504964964458, -0.0489466919170698, 0.1579139197521306, 0.1774853039710738, -0.0087096797418326, 0.1275492011504715, 0.0648094859355804, 0.1046053432126669, 0.0600050634317285, 0.0314632703920563, 0.0543182046288704, 0.0380926290678526, -0.0343193379513457, -0.0126906061684855, 0.1326615563192368, 0.2289849284146001, 0.3115909241006463, 0.0030267642105505, 0.1400885114501753, 0.0916160580861536]|1750.6114956497490311|      2.00000000|[49, 16, 1, 5]                                                             |  | used linear model with 65 points | iterate success | actual_k=4
      12|[0.9151130864706332, 3.72789890586229, 5.445167005821981, 0.994027484584209, 2.930587031798745, 0.072129757171127, 2.6890439291486445, 3.017461271501937, 0.9940243987578279, 3.252925578185333, 4.234353194411189, 2.9304964041616595, 1.793491877546825, 2.9972215677071405, -1.350516086030707, 2.1501160049421184, 1.2240630162063506, -1.7051813922605767, 0.8214158127835423, 0.2236659981288038, 3.044441715718307, 2.6463873969056317, 1.2842147395308516, -1.0955459208810463, 1.5619381113019304, 0.5467205255985066, 1.4208647834792043, 3.600214237569793, 2.590627604244202, 3.6635980980896146, 2.5391531298624526, -0.8112497105849785, 3.040462055476342, 2.1541325991328666, 4.587903918461085, 1.780063729224786, 0.9776073528065948, 0.1452135649936756, 3.4683786285102447, 1.9541626015170028, 2.912483650925969, 1.0964064056433138, 1.8482892694564133, 3.064941354758732, 2.9982819302807617, 4.149229357135464, 3.04115087499168, 2.0306001614993674, 1.5735228853662302, -0.2869450212698229]|757.7895444702970735|      4.00000000|[588, 192, 12, 60]                                                         |  | used linear model with 65 points | iterate failure | actual_k=4
      13|[1.0723428438920268, 3.4878312462265555, 5.073244594439661, 1.3463764560032399, 3.2960729738519188, 0.810770658557777, 3.8274677848587246, 1.702372364473017, 1.5489388878685744, 3.1522984544979256, 3.600812670512941, 3.309019215453276, 2.493753368246196, 3.3806337347792033, -0.9385337073771645, 2.474957744011806, 1.7793536152895655, -1.6857535265569301, 0.8744817545368015, 0.8862080942741193, 3.422902521884487, 2.70701906070005, 1.6580205532637993, -0.0103251699567859, 2.2872192677133176, 0.0475442400163564, 0.8999074048521476, 4.334613272247807, 3.4757023132161278, 4.032828109040463, 2.354919759224824, -1.010573928820191, 2.6256728243831104, 2.5054710523761914, 4.27678109850206, 1.9697067840936475, 1.6405374655489755, 1.2144177223449837, 3.5204863079018898, 2.04199353362862, 2.4379674024604814, 1.9713045253381885, 0.7019381967992686, 3.331085900457375, 3.292552256680312, 3.678073618028829, 2.675806990367132, 2.037537750741319, 1.7269656053731208, 0.433106009118936]|665.7164710643244234|      8.00000000|[637, 208, 13, 65]                                                         |  | used linear model with 65 points | iterate success | actual_k=4
      14|[1.0723428438920268, 3.4878312462265555, 5.073244594439661, 1.3463764560032399, 3.2960729738519188, 0.810770658557777, 3.8274677848587246, 1.702372364473017, 1.5489388878685744, 3.1522984544979256, 3.600812670512941, 3.309019215453276, 2.493753368246196, 3.3806337347792033, -0.9385337073771645, 2.474957744011806, 1.7793536152895655, -1.6857535265569301, 0.8744817545368015, 0.8862080942741193, 3.422902521884487, 2.70701906070005, 1.6580205532637993, -0.0103251699567859, 2.2872192677133176, 0.0475442400163564, 0.8999074048521476, 4.334613272247807, 3.4757023132161278, 4.032828109040463, 2.354919759224824, -1.010573928820191, 2.6256728243831104, 2.5054710523761914, 4.27678109850206, 1.9697067840936475, 1.6405374655489755, 1.2144177223449837, 3.5204863079018898, 2.04199353362862, 2.4379674024604814, 1.9713045253381885, 0.7019381967992686, 3.331085900457375, 3.292552256680312, 3.678073618028829, 2.675806990367132, 2.037537750741319, 1.7269656053731208, 0.433106009118936]|665.7164710643244234|      4.00000000|[686, 224, 14, 70]                                                         |  | used linear model with 65 points | iterate failure | actual_k=4
      15|[1.9059750577888839, 3.587799525858613, 4.605464183190347, 0.9735377998761842, 2.27407031659686, 1.9621246818771088, 3.863963655029157, 2.2210795750728862, 1.4292909437844823, 3.2360079671803477, 4.262173503558239, 3.6084823622559234, 3.073869920369998, 3.5404907491684865, -0.5938260691133141, 3.302152964125014, 1.6569506605280653, -0.4453275639452905, 1.677909209048753, 0.2550071523625134, 2.1596504834403385, 2.9132726398156645, 2.4311054645479993, -0.132953510645608, 2.2115585681904264, 0.2435676151082041, 1.2308948355785794, 4.327725189141171, 3.8926867520794532, 4.757523684736616, 3.0618878150554156, -1.0483604812938294, 2.857712123597634, 3.322983980621479, 4.426048582450276, 2.0645763979373086, 1.8400283429599869, 1.6067936875582454, 2.81812033689458, 2.217682607602055, 2.511822173466563, 2.846912861436617, 1.1112743795215687, 3.6772649849915124, 4.382802287670403, 3.696702500662103, 2.409800677526397, 1.565415813773474, 2.3223496020405268, 0.3213965665301415]|598.4231733280206527|      8.00000000|[735, 240, 15, 75]                                                         |  | used linear model with 65 points | iterate success | actual_k=4
      16|[1.9059750577888839, 3.587799525858613, 4.605464183190347, 0.9735377998761842, 2.27407031659686, 1.9621246818771088, 3.863963655029157, 2.2210795750728862, 1.4292909437844823, 3.2360079671803477, 4.262173503558239, 3.6084823622559234, 3.073869920369998, 3.5404907491684865, -0.5938260691133141, 3.302152964125014, 1.6569506605280653, -0.4453275639452905, 1.677909209048753, 0.2550071523625134, 2.1596504834403385, 2.9132726398156645, 2.4311054645479993, -0.132953510645608, 2.2115585681904264, 0.2435676151082041, 1.2308948355785794, 4.327725189141171, 3.8926867520794532, 4.757523684736616, 3.0618878150554156, -1.0483604812938294, 2.857712123597634, 3.322983980621479, 4.426048582450276, 2.0645763979373086, 1.8400283429599869, 1.6067936875582454, 2.81812033689458, 2.217682607602055, 2.511822173466563, 2.846912861436617, 1.1112743795215687, 3.6772649849915124, 4.382802287670403, 3.696702500662103, 2.409800677526397, 1.565415813773474, 2.3223496020405268, 0.3213965665301415]|598.4231733280206527|      4.00000000|[784, 256, 16, 80]                                                         |  | used linear model with 65 points | iterate failure | actual_k=4
      17|[1.9059750577888839, 3.587799525858613, 4.605464183190347, 0.9735377998761842, 2.27407031659686, 1.9621246818771088, 3.863963655029157, 2.2210795750728862, 1.4292909437844823, 3.2360079671803477, 4.262173503558239, 3.6084823622559234, 3.073869920369998, 3.5404907491684865, -0.5938260691133141, 3.302152964125014, 1.6569506605280653, -0.4453275639452905, 1.677909209048753, 0.2550071523625134, 2.1596504834403385, 2.9132726398156645, 2.4311054645479993, -0.132953510645608, 2.2115585681904264, 0.2435676151082041, 1.2308948355785794, 4.327725189141171, 3.8926867520794532, 4.757523684736616, 3.0618878150554156, -1.0483604812938294, 2.857712123597634, 3.322983980621479, 4.426048582450276, 2.0645763979373086, 1.8400283429599869, 1.6067936875582454, 2.81812033689458, 2.217682607602055, 2.511822173466563, 2.846912861436617, 1.1112743795215687, 3.6772649849915124, 4.382802287670403, 3.696702500662103, 2.409800677526397, 1.565415813773474, 2.3223496020405268, 0.3213965665301415]|598.4231733280206527|      2.00000000|[833, 272, 17, 85]                                                         |  | used linear model with 65 points | iterate failure | actual_k=4
      18|[1.873148636037397, 3.5308593148974965, 4.954659988115682, 1.386606606226091, 3.110227829879556, 2.199804803467403, 3.637092731198828, 2.437033586626407, 1.7724288161037367, 3.216672214758677, 4.464889278992648, 3.675016268877482, 3.429033776262056, 3.331422648582007, 0.0665180609597437, 3.479047427494737, 1.8770163127138701, -0.3145834750543893, 1.8428456046671455, 0.7010818157769371, 2.2765328124289206, 3.0843031868950925, 2.82617043219765, 0.0869725163127531, 2.1455902390842847, 0.6756943491900378, 1.5187511808356073, 4.609072486308283, 3.972003456795382, 4.6947874928465065, 2.999344683046574, -0.8439777532767953, 3.165258219898112, 3.023388695316799, 4.2272255890917325, 2.420425199635751, 1.715944452471512, 1.7749146103928766, 3.3545546353581237, 2.510113373648379, 2.47421760892228, 2.8712472990423734, 1.093878376532484, 3.8441439384807197, 4.242467214970035, 3.8118871520155815, 2.653238375912781, 1.5007240631462193, 2.3494565911540266, 0.7749421348240804]|535.4192601074840923|      4.00000000|[882, 288, 18, 90]                                                         |  | used linear model with 65 points | iterate success | actual_k=4
      19|[1.873148636037397, 3.5308593148974965, 4.954659988115682, 1.386606606226091, 3.110227829879556, 2.199804803467403, 3.637092731198828, 2.437033586626407, 1.7724288161037367, 3.216672214758677, 4.464889278992648, 3.675016268877482, 3.429033776262056, 3.331422648582007, 0.0665180609597437, 3.479047427494737, 1.8770163127138701, -0.3145834750543893, 1.8428456046671455, 0.7010818157769371, 2.2765328124289206, 3.0843031868950925, 2.82617043219765, 0.0869725163127531, 2.1455902390842847, 0.6756943491900378, 1.5187511808356073, 4.609072486308283, 3.972003456795382, 4.6947874928465065, 2.999344683046574, -0.8439777532767953, 3.165258219898112, 3.023388695316799, 4.2272255890917325, 2.420425199635751, 1.715944452471512, 1.7749146103928766, 3.3545546353581237, 2.510113373648379, 2.47421760892228, 2.8712472990423734, 1.093878376532484, 3.8441439384807197, 4.242467214970035, 3.8118871520155815, 2.653238375912781, 1.5007240631462193, 2.3494565911540266, 0.7749421348240804]|535.4192601074840923|      2.00000000|[931, 304, 19, 95]                                                         |  | used linear model with 65 points | iterate failure | actual_k=4
      20|[1.873148636037397, 3.5308593148974965, 4.954659988115682, 1.386606606226091, 3.110227829879556, 2.199804803467403, 3.637092731198828, 2.437033586626407, 1.7724288161037367, 3.216672214758677, 4.464889278992648, 3.675016268877482, 3.429033776262056, 3.331422648582007, 0.0665180609597437, 3.479047427494737, 1.8770163127138701, -0.3145834750543893, 1.8428456046671455, 0.7010818157769371, 2.2765328124289206, 3.0843031868950925, 2.82617043219765, 0.0869725163127531, 2.1455902390842847, 0.6756943491900378, 1.5187511808356073, 4.609072486308283, 3.972003456795382, 4.6947874928465065, 2.999344683046574, -0.8439777532767953, 3.165258219898112, 3.023388695316799, 4.2272255890917325, 2.420425199635751, 1.715944452471512, 1.7749146103928766, 3.3545546353581237, 2.510113373648379, 2.47421760892228, 2.8712472990423734, 1.093878376532484, 3.8441439384807197, 4.242467214970035, 3.8118871520155815, 2.653238375912781, 1.5007240631462193, 2.3494565911540266, 0.7749421348240804]|535.4192601074840923|      1.00000000|[980, 320, 20, 100]                                                        |  | used linear model with 65 points | iterate failure | actual_k=4
      21|[1.9332352664022412, 3.514767658299249, 5.037318019660743, 1.3456645726835392, 3.191499032263073, 2.3904548249924282, 3.6310844646969778, 2.510849236109763, 1.736876894903903, 3.314905198803553, 4.590495110989928, 3.6315573798583167, 3.6505013094835537, 3.3292820849547913, -0.3779251894397062, 3.5565191444472366, 1.8113763001921832, -0.2445106750158347, 1.67174915619164, 0.7787755357985517, 2.505663951997671, 3.1500850989848312, 2.9484304066440488, -0.0462704768428161, 2.335203545337686, 0.7580823429401173, 1.5948186039656582, 4.445166348522937, 3.8295492549239367, 4.8277619464566826, 3.1158966075480437, -0.4908431098806201, 3.149333007495126, 3.2084921946889273, 4.308171151939838, 2.4667676585075635, 1.8395419246327827, 1.770294871325636, 3.280928813825879, 2.624762684652166, 2.605920274489788, 2.958336133535372, 1.3515426329123206, 3.8759868452120654, 4.379638404289295, 3.95334710020846, 2.5277897946278287, 1.6771303087351217, 2.393712530046383, 0.8984332871620787]|513.0286287622673171|      2.00000000|[1029, 336, 21, 105]                                                       |  | used linear model with 65 points | iterate success | actual_k=4
      22|[1.9332352664022412, 3.514767658299249, 5.037318019660743, 1.3456645726835392, 3.191499032263073, 2.3904548249924282, 3.6310844646969778, 2.510849236109763, 1.736876894903903, 3.314905198803553, 4.590495110989928, 3.6315573798583167, 3.6505013094835537, 3.3292820849547913, -0.3779251894397062, 3.5565191444472366, 1.8113763001921832, -0.2445106750158347, 1.67174915619164, 0.7787755357985517, 2.505663951997671, 3.1500850989848312, 2.9484304066440488, -0.0462704768428161, 2.335203545337686, 0.7580823429401173, 1.5948186039656582, 4.445166348522937, 3.8295492549239367, 4.8277619464566826, 3.1158966075480437, -0.4908431098806201, 3.149333007495126, 3.2084921946889273, 4.308171151939838, 2.4667676585075635, 1.8395419246327827, 1.770294871325636, 3.280928813825879, 2.624762684652166, 2.605920274489788, 2.958336133535372, 1.3515426329123206, 3.8759868452120654, 4.379638404289295, 3.95334710020846, 2.5277897946278287, 1.6771303087351217, 2.393712530046383, 0.8984332871620787]|513.0286287622673171|      1.00000000|[1078, 352, 22, 110]                                                       |  | used linear model with 65 points | iterate failure | actual_k=4
      23|[2.080197699247156, 3.527808044783337, 5.107308682519185, 1.5276194983461842, 3.2927733767974243, 2.362208886129242, 3.729281527675506, 2.5586908121287704, 1.7668136682906455, 3.4155926587029803, 4.606241806832239, 3.602063324257672, 3.7759148072479327, 3.497083444083492, -0.0640213491232552, 3.778631581241021, 2.0679600416263115, -0.223826056592402, 1.8713185388487699, 1.0070432317878468, 2.512587375749424, 3.171577242627059, 3.0662567949094512, 0.1674175460517114, 2.5190916669477477, 0.893965684076421, 1.7341308014093948, 4.596373732727343, 3.936292310825136, 4.746078459684574, 3.126044163476334, -0.1927406784272835, 3.352815695772642, 3.259956279952105, 4.292386542268864, 2.5854685336601526, 2.1209932987061895, 1.747967531573719, 3.32055577628321, 2.893226638189587, 2.7235927610223998, 3.081688048240927, 1.4258638520316647, 3.866730320801735, 4.407107084435345, 4.005885228171532, 2.6982041230023595, 1.7073287015908167, 2.453500491482873, 0.9985894862928537]|480.3607207972896163|      2.00000000|[1127, 368, 23, 115]                                                       |  | used linear model with 65 points | iterate success | actual_k=4
