k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.50000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
      18|[-3.500568377960839, 0.99971101146317, -0.0005050052502707, -0.0004897828099439, 1.6998791314301178, -0.0003309504251908, 0.0003194048480842, -0.0001108862070598]|1287.4193491016601456|      0.00024414|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      19|[-3.500568377960839, 0.99971101146317, -0.0005050052502707, -0.0004897828099439, 1.6998791314301178, -0.0003309504251908, 0.0003194048480842, -0.0001108862070598]|1287.4193491016601456|      0.00012207|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      20|[-3.500568377960839, 0.99971101146317, -0.0005050052502707, -0.0004897828099439, 1.6998791314301178, -0.0003309504251908, 0.0003194048480842, -0.0001108862070598]|1287.4193491016601456|      0.00006104|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      21|[-3.500568377960839, 0.99971101146317, -0.0005050052502707, -0.0004897828099439, 1.6998791314301178, -0.0003309504251908, 0.0003194048480842, -0.0001108862070598]|1287.4193491016601456|      0.00003052|[315, 42, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      22|[-3.500568377960839, 0.99971101146317, -0.0005050052502707, -0.0004897828099439, 1.6998791314301178, -0.0003309504251908, 0.0003194048480842, -0.0001108862070598]|1287.4193491016601456|      0.00001526|[330, 44, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      23|[-3.500568377960839, 0.99971101146317, -0.0005050052502707, -0.0004897828099439, 1.6998791314301178, -0.0003309504251908, 0.0003194048480842, -0.0001108862070598]|1287.4193491016601456|      0.00000763|[345, 46, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      24|[-3.500568377960839, 0.99971101146317, -0.0005050052502707, -0.0004897828099439, 1.6998791314301178, -0.0003309504251908, 0.0003194048480842, -0.0001108862070598]|1287.4193491016601456|      0.00000381|[360, 48, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      25|[-3.5005684524950778, 0.9997107968394788, -0.0005048377695274, -0.0004892893827957, 1.6998797342365637, -0.0003306019456843, 0.0003193529669706, -0.0001071792849984]|1251.5700559493559467|      0.00000763|[375, 50, 25, 50]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      26|[-3.5005684524950778, 0.9997107968394788, -0.0005048377695274, -0.0004892893827957, 1.6998797342365637, -0.0003306019456843, 0.0003193529669706, -0.0001071792849984]|1251.5700559493559467|      0.00000381|[390, 52, 26, 52]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      27|[-3.5005684524950778, 0.9997107968394788, -0.0005048377695274, -0.0004892893827957, 1.6998797342365637, -0.0003306019456843, 0.0003193529669706, -0.0001071792849984]|1251.5700559493559467|      0.00000191|[405, 54, 27, 54]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      28|[-3.500568155112997, 0.9997106360270549, -0.0005047825535263, -0.0004892634808714, 1.6998798228455259, -0.0003305984423693, 0.0003193653926633, -0.0001090533031769]|1207.0868590420705004|      0.00000381|[420, 56, 28, 56]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      29|[-3.500568155112997, 0.9997106360270549, -0.0005047825535263, -0.0004892634808714, 1.6998798228455259, -0.0003305984423693, 0.0003193653926633, -0.0001090533031769]|1207.0868590420705004|      0.00000191|[435, 58, 29, 58]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      30|[-3.500568155112997, 0.9997106360270549, -0.0005047825535263, -0.0004892634808714, 1.6998798228455259, -0.0003305984423693, 0.0003193653926633, -0.0001090533031769]|1207.0868590420705004|      0.00000095|[450, 60, 30, 60]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      31|[-3.500568155112997, 0.9997106360270549, -0.0005047825535263, -0.0004892634808714, 1.6998798228455259, -0.0003305984423693, 0.0003193653926633, -0.0001090533031769]|1207.0868590420705004|      0.00000048|[465, 62, 31, 62]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      32|[-3.5005681892339395, 0.999710573120334, -0.0005048214439556, -0.0004891946286679, 1.699879830766034, -0.000330501526109, 0.0003193215307104, -0.0001086009540608]|1206.3017656376530340|      0.00000095|[480, 64, 32, 64]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      33|[-3.5005681892339395, 0.999710573120334, -0.0005048214439556, -0.0004891946286679, 1.699879830766034, -0.000330501526109, 0.0003193215307104, -0.0001086009540608]|1206.3017656376530340|      0.00000048|[495, 66, 33, 66]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      34|[-3.5005682735048835, 0.9997104139251778, -0.0005047457678487, -0.000489039135331, 1.6998795843820076, -0.0003306245824527, 0.0003192037914129, -0.0001088753870039]|1205.8139799893724557|      0.00000095|[510, 68, 34, 68]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      35|[-3.5005682735048835, 0.9997104139251778, -0.0005047457678487, -0.000489039135331, 1.6998795843820076, -0.0003306245824527, 0.0003192037914129, -0.0001088753870039]|1205.8139799893724557|      0.00000048|[525, 70, 35, 70]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      36|[-3.5005682735048835, 0.9997104139251778, -0.0005047457678487, -0.000489039135331, 1.6998795843820076, -0.0003306245824527, 0.0003192037914129, -0.0001088753870039]|1205.8139799893724557|      0.00000024|[540, 72, 36, 72]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      37|[-3.5005682735048835, 0.9997104139251778, -0.0005047457678487, -0.000489039135331, 1.6998795843820076, -0.0003306245824527, 0.0003192037914129, -0.0001088753870039]|1205.8139799893724557|      0.00000012|[555, 74, 37, 74]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      38|[-3.5005682792473967, 0.9997103840475993, -0.000504755568662, -0.0004890054926231, 1.6998795875210848, -0.0003306181563477, 0.0003192023093245, -0.0001087658243478]|1205.6371994882345007|      0.00000024|[570, 76, 38, 76]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      39|[-3.5005682792473967, 0.9997103840475993, -0.000504755568662, -0.0004890054926231, 1.6998795875210848, -0.0003306181563477, 0.0003192023093245, -0.0001087658243478]|1205.6371994882345007|      0.00000012|[585, 78, 39, 78]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      40|[-3.5005682792473967, 0.9997103840475993, -0.000504755568662, -0.0004890054926231, 1.6998795875210848, -0.0003306181563477, 0.0003192023093245, -0.0001087658243478]|1205.6371994882345007|      0.00000006|[600, 80, 40, 80]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
