k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.2651446916288143, -0.0235240982982834, 0.7936956128467698, 0.4379604478260344, 1.250504677453711, 0.2872992510825148]|499.2555721502166080|      2.00000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
      12|[1.020927845589263, -0.6848578081973258, 1.1324042004434505, 0.8406527373225738, 1.664094525870633, 0.0659224055014649]|202.3505291220593278|      0.25000000|[204, 0, 12, 24]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      13|[1.1171960015005573, -0.6864880509614287, 1.2353466318878232, 0.9949214784908988, 1.7993813016872469, 0.0889720055364994]|159.8800177258012809|      0.50000000|[221, 0, 13, 26]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      14|[1.1171960015005573, -0.6864880509614287, 1.2353466318878232, 0.9949214784908988, 1.7993813016872469, 0.0889720055364994]|159.8800177258012809|      0.25000000|[238, 0, 14, 28]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      15|[1.0721806726636263, -0.7200071630503461, 1.402006530879961, 1.0166566274472193, 1.788752982347448, 0.2650094716914684]|145.9009463578784107|      0.50000000|[255, 0, 15, 30]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      16|[1.0721806726636263, -0.7200071630503461, 1.402006530879961, 1.0166566274472193, 1.788752982347448, 0.2650094716914684]|145.9009463578784107|      0.25000000|[272, 0, 16, 32]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      17|[1.07864675846836, -0.5833426533373101, 1.4715162783080602, 1.147657339452304, 1.9361689721122697, 0.2574771448556215]|131.6811435531752750|      0.50000000|[289, 0, 17, 34]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      18|[1.07864675846836, -0.5833426533373101, 1.4715162783080602, 1.147657339452304, 1.9361689721122697, 0.2574771448556215]|131.6811435531752750|      0.25000000|[306, 0, 18, 36]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      19|[1.07864675846836, -0.5833426533373101, 1.4715162783080602, 1.147657339452304, 1.9361689721122697, 0.2574771448556215]|131.6811435531752750|      0.12500000|[323, 0, 19, 38]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      20|[1.0050741632085316, -0.585188359257068, 1.496903913739984, 1.1809687496127967, 1.8515379189253207, 0.2934225110820797]|125.3529851664439292|      0.25000000|[340, 0, 20, 40]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      21|[1.0050741632085316, -0.585188359257068, 1.496903913739984, 1.1809687496127967, 1.8515379189253207, 0.2934225110820797]|125.3529851664439292|      0.12500000|[357, 0, 21, 42]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      22|[1.0348353441895983, -0.5738566286624793, 1.5161243295445204, 1.2781607317519657, 1.9076707207490349, 0.3339720705362055]|118.6083838910701047|      0.25000000|[374, 0, 22, 44]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      23|[1.0348353441895983, -0.5738566286624793, 1.5161243295445204, 1.2781607317519657, 1.9076707207490349, 0.3339720705362055]|118.6083838910701047|      0.12500000|[391, 0, 23, 46]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      24|[1.0253303037982406, -0.5422720771553299, 1.6271287395502945, 1.3069350739295804, 1.9278527085124737, 0.3652740812493025]|112.8074507514922402|      0.25000000|[408, 0, 24, 48]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      25|[1.0253303037982406, -0.5422720771553299, 1.6271287395502945, 1.3069350739295804, 1.9278527085124737, 0.3652740812493025]|112.8074507514922402|      0.12500000|[425, 0, 25, 50]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      26|[0.9767268970867969, -0.5008155557299058, 1.6381630274195997, 1.3557494999506257, 1.8930323196101817, 0.4537444294315702]|106.2763445721731870|      0.25000000|[442, 0, 26, 52]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      27|[0.9767268970867969, -0.5008155557299058, 1.6381630274195997, 1.3557494999506257, 1.8930323196101817, 0.4537444294315702]|106.2763445721731870|      0.12500000|[459, 0, 27, 54]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      28|[0.9774608414372117, -0.5026650748893026, 1.7368043391024115, 1.4295366956468447, 1.8827060009999066, 0.4721767144041633]| 98.6073212797215177|      0.25000000|[476, 0, 28, 56]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      29|[0.9774608414372117, -0.5026650748893026, 1.7368043391024115, 1.4295366956468447, 1.8827060009999066, 0.4721767144041633]| 98.6073212797215177|      0.12500000|[493, 0, 29, 58]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      30|[0.9774608414372117, -0.5026650748893026, 1.7368043391024115, 1.4295366956468447, 1.8827060009999066, 0.4721767144041633]| 98.6073212797215177|      0.06250000|[510, 0, 30, 60]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
