k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[11.162396497097301, 3.03200836164052, 0.5129789901913985, 39.850864209409565, -0.6716624587333508, -1.3396618962158788, 25.47056712345043, -0.3878834975374908, 0.5522618946715443]|983.7289816762879582|      2.00000000|[13, 0, 1, 4]                                                              |  | used linear model with 13 points | iterate success | actual_k=0
      12|[10.7810031016076, 3.0356837544538178, 0.4259030478951634, 40.38997860774112, -0.6156788945116262, -1.3296898875012313, 26.0223386076592, -0.7992615945476969, 0.9873906830009574]|858.1351641766935927|      0.25000000|[156, 0, 12, 48]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      13|[10.668314438309032, 2.9728002499820487, 0.5208114290622969, 40.515072675047335, -0.5723709739396172, -1.4008426566765844, 26.05044557815556, -0.7805564275546941, 1.1019010577712873]|851.4177296361946219|      0.50000000|[169, 0, 13, 52]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      14|[10.668314438309032, 2.9728002499820487, 0.5208114290622969, 40.515072675047335, -0.5723709739396172, -1.4008426566765844, 26.05044557815556, -0.7805564275546941, 1.1019010577712873]|851.4177296361946219|      0.25000000|[182, 0, 14, 56]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      15|[10.668314438309032, 2.9728002499820487, 0.5208114290622969, 40.515072675047335, -0.5723709739396172, -1.4008426566765844, 26.05044557815556, -0.7805564275546941, 1.1019010577712873]|851.4177296361946219|      0.12500000|[195, 0, 15, 60]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      16|[10.663818767698404, 2.9848361362797586, 0.5193497934244563, 40.53208045248164, -0.625572196267924, -1.3903087685879147, 26.160176855703252, -0.7697181680408738, 1.0936081983266186]|848.0938022206594269|      0.25000000|[208, 0, 16, 64]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      17|[10.663818767698404, 2.9848361362797586, 0.5193497934244563, 40.53208045248164, -0.625572196267924, -1.3903087685879147, 26.160176855703252, -0.7697181680408738, 1.0936081983266186]|848.0938022206594269|      0.12500000|[221, 0, 17, 68]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      18|[10.663818767698404, 2.9848361362797586, 0.5193497934244563, 40.53208045248164, -0.625572196267924, -1.3903087685879147, 26.160176855703252, -0.7697181680408738, 1.0936081983266186]|848.0938022206594269|      0.06250000|[234, 0, 18, 72]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      19|[10.642746513725749, 2.9922253591023495, 0.5128263263910987, 40.535628638130135, -0.5924852250312281, -1.3592898242418852, 26.181082252431747, -0.7441061620013241, 1.1078395445508138]|847.2789043686152581|      0.12500000|[247, 0, 19, 76]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      20|[10.67131803217707, 3.0414990832993927, 0.5368997304195922, 40.55273786107896, -0.6198189128271506, -1.3916118803473714, 26.150497180103873, -0.6886091269380108, 1.183346503145215]|845.6602408745831099|      0.25000000|[260, 0, 20, 80]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      21|[10.67131803217707, 3.0414990832993927, 0.5368997304195922, 40.55273786107896, -0.6198189128271506, -1.3916118803473714, 26.150497180103873, -0.6886091269380108, 1.183346503145215]|845.6602408745831099|      0.12500000|[273, 0, 21, 84]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      22|[10.67131803217707, 3.0414990832993927, 0.5368997304195922, 40.55273786107896, -0.6198189128271506, -1.3916118803473714, 26.150497180103873, -0.6886091269380108, 1.183346503145215]|845.6602408745831099|      0.06250000|[286, 0, 22, 88]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      23|[10.66368281217007, 3.0469073855105595, 0.5110725375047639, 40.533153617084835, -0.6495832814464494, -1.387581742132537, 26.193007208374503, -0.684207888583405, 1.189630142217942]|844.2970023716388823|      0.12500000|[299, 0, 23, 92]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
