k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.1633560256927379, 0.0557080571122293, 0.7401534357344306, 0.4541853780926175, 1.123969904201739, 0.2322702001053065]|488.0152025677999177|      2.00000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
      12|[0.6120319775063381, -0.6152158086409557, 1.3473180333198627, 1.889145537184503, 1.531162490461405, 0.0865121788225036]|104.9186475531912492|      1.00000000|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      13|[0.6120319775063381, -0.6152158086409557, 1.3473180333198627, 1.889145537184503, 1.531162490461405, 0.0865121788225036]|104.9186475531912492|      0.50000000|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      14|[0.6120319775063381, -0.6152158086409557, 1.3473180333198627, 1.889145537184503, 1.531162490461405, 0.0865121788225036]|104.9186475531912492|      0.25000000|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      15|[0.6120319775063381, -0.6152158086409557, 1.3473180333198627, 1.889145537184503, 1.531162490461405, 0.0865121788225036]|104.9186475531912492|      0.12500000|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      16|[0.6431393706483729, -0.6539483385034704, 1.3831074942274455, 1.9792119528206344, 1.581582930469712, 0.0515542653531731]| 91.9252923639253652|      0.25000000|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      17|[0.6431393706483729, -0.6539483385034704, 1.3831074942274455, 1.9792119528206344, 1.581582930469712, 0.0515542653531731]| 91.9252923639253652|      0.12500000|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      18|[0.6431393706483729, -0.6539483385034704, 1.3831074942274455, 1.9792119528206344, 1.581582930469712, 0.0515542653531731]| 91.9252923639253652|      0.06250000|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      19|[0.6481478207671286, -0.6533973394817447, 1.4130222790412614, 2.0204387144615317, 1.546882731734007, 0.0424868616819826]| 89.2998896577367844|      0.12500000|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      20|[0.6481478207671286, -0.6533973394817447, 1.4130222790412614, 2.0204387144615317, 1.546882731734007, 0.0424868616819826]| 89.2998896577367844|      0.06250000|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      21|[0.6075991367006848, -0.6561896900160418, 1.4491069321352583, 2.0454505213549883, 1.5292995562345781, 0.0466577447227742]| 86.6821151810809596|      0.12500000|[315, 42, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      22|[0.6105496675933317, -0.6160527839201884, 1.550846866953193, 2.087243097517405, 1.552232832018278, 0.0838296997330228]| 81.1742971924944356|      0.25000000|[330, 44, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      23|[0.6105496675933317, -0.6160527839201884, 1.550846866953193, 2.087243097517405, 1.552232832018278, 0.0838296997330228]| 81.1742971924944356|      0.12500000|[345, 46, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      24|[0.6105496675933317, -0.6160527839201884, 1.550846866953193, 2.087243097517405, 1.552232832018278, 0.0838296997330228]| 81.1742971924944356|      0.06250000|[360, 48, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      25|[0.5646765349130999, -0.5886848009263, 1.5601340625529743, 2.10424457755397, 1.5424340520869924, 0.1079456859509656]| 80.0397064355996122|      0.12500000|[375, 50, 25, 50]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      26|[0.5646765349130999, -0.5886848009263, 1.5601340625529743, 2.10424457755397, 1.5424340520869924, 0.1079456859509656]| 80.0397064355996122|      0.06250000|[390, 52, 26, 52]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      27|[0.5564275393009017, -0.6182939446151384, 1.5997056528589664, 2.130310770204241, 1.55138655435087, 0.082726680697138]| 78.2204954377797179|      0.12500000|[405, 54, 27, 54]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      28|[0.5564275393009017, -0.6182939446151384, 1.5997056528589664, 2.130310770204241, 1.55138655435087, 0.082726680697138]| 78.2204954377797179|      0.06250000|[420, 56, 28, 56]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      29|[0.5845526916605583, -0.5902812183835309, 1.6132806635813026, 2.163216802509084, 1.5586709060990227, 0.1145128933571794]| 76.9420205915503743|      0.12500000|[435, 58, 29, 58]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      30|[0.5491846172088567, -0.6351182015128168, 1.6976903585094154, 2.2322682615496734, 1.5385053950766865, 0.122512632425409]| 72.8150892943582306|      0.25000000|[450, 60, 30, 60]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
