k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.562819807515462, 2.9755537513958132, 0.7242890050871839, 40.125521259227185, -0.9315214719551534, -1.4649297471048675, 25.587997355227696, -0.6888232620134278, 0.9944309138833374]|924.8809517286305208|      2.00000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
      32|[10.586887431637832, 3.03041918506098, 0.505661081739983, 40.80402967926804, -0.8146511151470655, -1.3318237978497836, 26.32700761739108, -0.5291750815350447, 1.3413202834318958]|835.6817097923817528|      0.25000000|[480, 64, 32, 64]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      33|[10.586887431637832, 3.03041918506098, 0.505661081739983, 40.80402967926804, -0.8146511151470655, -1.3318237978497836, 26.32700761739108, -0.5291750815350447, 1.3413202834318958]|835.6817097923817528|      0.12500000|[495, 66, 33, 66]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      34|[10.586887431637832, 3.03041918506098, 0.505661081739983, 40.80402967926804, -0.8146511151470655, -1.3318237978497836, 26.32700761739108, -0.5291750815350447, 1.3413202834318958]|835.6817097923817528|      0.06250000|[510, 68, 34, 68]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      35|[10.606778634801236, 3.0537458866140916, 0.5023737375992545, 40.82241427046049, -0.8283988715933134, -1.3170554807539514, 26.371540346133106, -0.5214378181712993, 1.3283772530358913]|834.6550492060417810|      0.12500000|[525, 70, 35, 70]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      36|[10.627557487946415, 3.1159137368301972, 0.5131819666532622, 40.86531137471818, -0.8473458691830921, -1.2579271557264184, 26.40246902904799, -0.4546810575824336, 1.338537087832905]|832.8671882537469173|      0.25000000|[540, 72, 36, 72]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      37|[10.627557487946415, 3.1159137368301972, 0.5131819666532622, 40.86531137471818, -0.8473458691830921, -1.2579271557264184, 26.40246902904799, -0.4546810575824336, 1.338537087832905]|832.8671882537469173|      0.12500000|[555, 74, 37, 74]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      38|[10.590412756939827, 3.0884893791479127, 0.4651645185180595, 40.93696995238174, -0.8759349674445722, -1.2910244537076876, 26.39994757012217, -0.4591460498435411, 1.4026735431598858]|832.2240554752723938|      0.25000000|[570, 76, 38, 76]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      39|[10.590412756939827, 3.0884893791479127, 0.4651645185180595, 40.93696995238174, -0.8759349674445722, -1.2910244537076876, 26.39994757012217, -0.4591460498435411, 1.4026735431598858]|832.2240554752723938|      0.12500000|[585, 78, 39, 78]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      40|[10.6347825270813, 3.052458698145166, 0.5294200324240379, 41.00257184143598, -0.8997682850013571, -1.291534047524418, 26.455622547996093, -0.4586926619685585, 1.3866255159971281]|831.1409064272978640|      0.25000000|[600, 80, 40, 80]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      41|[10.6347825270813, 3.052458698145166, 0.5294200324240379, 41.00257184143598, -0.8997682850013571, -1.291534047524418, 26.455622547996093, -0.4586926619685585, 1.3866255159971281]|831.1409064272978640|      0.12500000|[615, 82, 41, 82]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      42|[10.6347825270813, 3.052458698145166, 0.5294200324240379, 41.00257184143598, -0.8997682850013571, -1.291534047524418, 26.455622547996093, -0.4586926619685585, 1.3866255159971281]|831.1409064272978640|      0.06250000|[630, 84, 42, 84]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      43|[10.641094994016944, 3.040709754272362, 0.5318668857772845, 41.01719170578841, -0.9180322963899605, -1.2762667121919746, 26.425386704375715, -0.417040132120828, 1.403737863344468]|830.0987999216778235|      0.12500000|[645, 86, 43, 86]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      44|[10.641094994016944, 3.040709754272362, 0.5318668857772845, 41.01719170578841, -0.9180322963899605, -1.2762667121919746, 26.425386704375715, -0.417040132120828, 1.403737863344468]|830.0987999216778235|      0.06250000|[660, 88, 44, 88]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      45|[10.619987629301534, 3.0532393297312783, 0.5187383241015817, 41.03950402591307, -0.9448649020302246, -1.250151594358518, 26.4601784006318, -0.4153042808482, 1.4079895359158678]|829.1822824918726837|      0.12500000|[675, 90, 45, 90]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
