k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.50000000|[97, 32, 1, 3]                                                             |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=16
      12|[0.4983780273219782, 0.4949857405811136, 0.4911142151409481, 0.4815422240548699, 0.4854845914128263, 0.479664114041271, 0.481218747220854, 0.4828906960270041, 0.487417172175317, 0.4922371024446801, 1.1113751967409216, -0.5238177498277639, 0.9390524555052443, 0.9363595956575271, 0.9237119844563595, 0.9264029020015523, 0.8561431449440826, 0.8122288910624502, 0.897371953421738, 0.975171603051065, 0.9507884305062031, 0.945238806872259]|  0.9164702296257019|      0.25000000|[1157, 384, 5, 29]                                                         |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=16
      13|[0.4374906936914915, 0.4361721241467283, 0.4308334933685464, 0.4203796078051971, 0.4260855582970422, 0.4197446745684464, 0.4212418699016856, 0.4227626835416965, 0.4273195139783245, 0.4298215768278318, 1.1085138784406847, -0.6792984305508176, 0.9298340408550235, 0.9286941182232683, 0.9126571342657075, 0.9154432017148013, 0.8366030319641466, 0.783266906906993, 0.8815387737983342, 0.9709743810688028, 0.9436221978317033, 0.9418213071748546]|  0.8638268709182739|      0.50000000|[1254, 416, 5, 31]                                                         |  | trying linear partial model with 49 points | iterate success | actual_k=16
      14|[0.4374906936914915, 0.4361721241467283, 0.4308334933685464, 0.4203796078051971, 0.4260855582970422, 0.4197446745684464, 0.4212418699016856, 0.4227626835416965, 0.4273195139783245, 0.4298215768278318, 1.1085138784406847, -0.6792984305508176, 0.9298340408550235, 0.9286941182232683, 0.9126571342657075, 0.9154432017148013, 0.8366030319641466, 0.783266906906993, 0.8815387737983342, 0.9709743810688028, 0.9436221978317033, 0.9418213071748546]|  0.8638268709182739|      0.25000000|[1350, 448, 6, 34]                                                         |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=16
      15|[0.3792154783472802, 0.3755586359657117, 0.3701640382784606, 0.3617991065031377, 0.3655098442566231, 0.3599371073771517, 0.3611795619237254, 0.3611294129329105, 0.3669889392501168, 0.3704066263679082, 1.106458550440159, -0.8354039580416723, 0.9191417799481101, 0.9170508509876847, 0.9029455198446444, 0.9039885574817659, 0.814641121728205, 0.7570780463494775, 0.8636292252724043, 0.9644413468395648, 0.9369006242104736, 0.9334690468882915]|  0.8142339587211609|      0.50000000|[1447, 480, 6, 36]                                                         |  | trying linear partial model with 49 points | iterate success | actual_k=16
      16|[0.3792154783472802, 0.3755586359657117, 0.3701640382784606, 0.3617991065031377, 0.3655098442566231, 0.3599371073771517, 0.3611795619237254, 0.3611294129329105, 0.3669889392501168, 0.3704066263679082, 1.106458550440159, -0.8354039580416723, 0.9191417799481101, 0.9170508509876847, 0.9029455198446444, 0.9039885574817659, 0.814641121728205, 0.7570780463494775, 0.8636292252724043, 0.9644413468395648, 0.9369006242104736, 0.9334690468882915]|  0.8142339587211609|      0.25000000|[1543, 512, 6, 38]                                                         |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      17|[0.3184080260696511, 0.3143411611380758, 0.3107147031306396, 0.301755960668955, 0.3069374805035053, 0.2962090543355965, 0.3029117313733618, 0.3045740300226303, 0.3051180293978962, 0.3112296707095568, 1.0958460133032673, -0.9911072923087624, 0.908063949426917, 0.908032499427567, 0.892036346236455, 0.8923282018675903, 0.7950698853516724, 0.7271167032703809, 0.8466426177816178, 0.9603546697634062, 0.9285186538032091, 0.9281289695660866]|  0.7677140831947327|      0.50000000|[1639, 544, 6, 40]                                                         |  | trying linear partial model with 49 points | iterate success | actual_k=16
      18|[0.3184080260696511, 0.3143411611380758, 0.3107147031306396, 0.301755960668955, 0.3069374805035053, 0.2962090543355965, 0.3029117313733618, 0.3045740300226303, 0.3051180293978962, 0.3112296707095568, 1.0958460133032673, -0.9911072923087624, 0.908063949426917, 0.908032499427567, 0.892036346236455, 0.8923282018675903, 0.7950698853516724, 0.7271167032703809, 0.8466426177816178, 0.9603546697634062, 0.9285186538032091, 0.9281289695660866]|  0.7677140831947327|      0.25000000|[1735, 576, 6, 42]                                                         |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      19|[0.2560763353521209, 0.2583786545802653, 0.2493708624394186, 0.2432728604077839, 0.2483767117788202, 0.2381517348307588, 0.2424762806617684, 0.2468673872125758, 0.2442521385993189, 0.250987906547486, 1.0828406075854282, -1.1472717266146282, 0.8976707671184508, 0.8965523907146739, 0.8823636109993541, 0.8815074519689445, 0.7704043221849732, 0.6950172310820857, 0.8278755901584599, 0.9540348583739191, 0.919837969474524, 0.9197515695465011]|  0.7242953783555264|      0.50000000|[1831, 608, 7, 45]                                                         |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=16
      20|[0.2560763353521209, 0.2583786545802653, 0.2493708624394186, 0.2432728604077839, 0.2483767117788202, 0.2381517348307588, 0.2424762806617684, 0.2468673872125758, 0.2442521385993189, 0.250987906547486, 1.0828406075854282, -1.1472717266146282, 0.8976707671184508, 0.8965523907146739, 0.8823636109993541, 0.8815074519689445, 0.7704043221849732, 0.6950172310820857, 0.8278755901584599, 0.9540348583739191, 0.919837969474524, 0.9197515695465011]|  0.7242953783555264|      0.25000000|[1928, 640, 7, 47]                                                         |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      21|[0.1933592427902091, 0.1993842936645899, 0.1888513233481598, 0.1823292416371555, 0.1898420487150236, 0.1795808286532745, 0.1836184469281748, 0.1891443007711503, 0.184241976743634, 0.1904337957401597, 1.0675463282537518, -1.3001474836087283, 0.8833609179180258, 0.8832697176487591, 0.8714881607656129, 0.8672896558959217, 0.7412877895843025, 0.6612611145376062, 0.8111545093135987, 0.9457515903386727, 0.910969582304952, 0.9115188433644532]|  0.6840420084308155|      0.50000000|[2024, 672, 8, 50]                                                         |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=16
      22|[0.1933592427902091, 0.1993842936645899, 0.1888513233481598, 0.1823292416371555, 0.1898420487150236, 0.1795808286532745, 0.1836184469281748, 0.1891443007711503, 0.184241976743634, 0.1904337957401597, 1.0675463282537518, -1.3001474836087283, 0.8833609179180258, 0.8832697176487591, 0.8714881607656129, 0.8672896558959217, 0.7412877895843025, 0.6612611145376062, 0.8111545093135987, 0.9457515903386727, 0.910969582304952, 0.9115188433644532]|  0.6840420084308155|      0.25000000|[2121, 704, 8, 52]                                                         |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      23|[0.1401836063449697, 0.1438225168094497, 0.1302889537247283, 0.1252291916322469, 0.1320811234075133, 0.1187096152281783, 0.1238184889035181, 0.131198973488146, 0.1198345526168848, 0.1310219832747597, 1.0473451614986447, -1.4539426613397426, 0.8701494473639158, 0.8694571967800002, 0.8566045374645912, 0.8534981846798336, 0.7091327895577507, 0.6232735191308574, 0.7852238384401911, 0.9401132776644, 0.9024900619627697, 0.8992438442197307]|  0.6469728547088879|      0.50000000|[2217, 736, 9, 55]                                                         |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=16
      24|[0.1401836063449697, 0.1438225168094497, 0.1302889537247283, 0.1252291916322469, 0.1320811234075133, 0.1187096152281783, 0.1238184889035181, 0.131198973488146, 0.1198345526168848, 0.1310219832747597, 1.0473451614986447, -1.4539426613397426, 0.8701494473639158, 0.8694571967800002, 0.8566045374645912, 0.8534981846798336, 0.7091327895577507, 0.6232735191308574, 0.7852238384401911, 0.9401132776644, 0.9024900619627697, 0.8992438442197307]|  0.6469728547088879|      0.25000000|[2314, 768, 9, 57]                                                         |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      25|[0.0795399435827792, 0.0852592895668469, 0.0719766813928376, 0.069719794389274, 0.0754856653398846, 0.0605821697127413, 0.068748224205883, 0.0710073471303683, 0.0628822631145408, 0.0746722221818291, 1.0224484329704384, -1.6082423575721045, 0.8622256034074194, 0.857542290073173, 0.839655610496662, 0.8334894566393637, 0.6773045354347219, 0.5831773946747849, 0.7591140573205057, 0.9280016639094124, 0.885234049532711, 0.8855661269384798]|  0.6130688190460205|      0.50000000|[2410, 800, 9, 59]                                                         |  | trying linear partial model with 49 points | iterate success | actual_k=16
      26|[0.0795399435827792, 0.0852592895668469, 0.0719766813928376, 0.069719794389274, 0.0754856653398846, 0.0605821697127413, 0.068748224205883, 0.0710073471303683, 0.0628822631145408, 0.0746722221818291, 1.0224484329704384, -1.6082423575721045, 0.8622256034074194, 0.857542290073173, 0.839655610496662, 0.8334894566393637, 0.6773045354347219, 0.5831773946747849, 0.7591140573205057, 0.9280016639094124, 0.885234049532711, 0.8855661269384798]|  0.6130688190460205|      0.25000000|[2506, 832, 9, 61]                                                         |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      27|[0.0256733683174284, 0.0272481822481325, 0.0127282433288901, 0.0113533054122216, 0.0200683387882983, -0.0013143808268523, 0.0099196407663766, 0.011532016545969, 0.0077268803102871, 0.0142977041547929, 0.9990111416127225, -1.7606523302063695, 0.8463937030338134, 0.8458648381743183, 0.8250850700370552, 0.81519008708956, 0.643921176462656, 0.5404774889023749, 0.7326400640436248, 0.9212338496871453, 0.8703216850041129, 0.8751052773511165]|  0.5822662711143494|      0.50000000|[2602, 864, 9, 63]                                                         |  | trying linear partial model with 49 points | iterate success | actual_k=16
      28|[0.0256733683174284, 0.0272481822481325, 0.0127282433288901, 0.0113533054122216, 0.0200683387882983, -0.0013143808268523, 0.0099196407663766, 0.011532016545969, 0.0077268803102871, 0.0142977041547929, 0.9990111416127225, -1.7606523302063695, 0.8463937030338134, 0.8458648381743183, 0.8250850700370552, 0.81519008708956, 0.643921176462656, 0.5404774889023749, 0.7326400640436248, 0.9212338496871453, 0.8703216850041129, 0.8751052773511165]|  0.5822662711143494|      0.25000000|[2698, 896, 9, 65]                                                         |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      29|[0.0256733683174284, 0.0272481822481325, 0.0127282433288901, 0.0113533054122216, 0.0200683387882983, -0.0013143808268523, 0.0099196407663766, 0.011532016545969, 0.0077268803102871, 0.0142977041547929, 0.9990111416127225, -1.7606523302063695, 0.8463937030338134, 0.8458648381743183, 0.8250850700370552, 0.81519008708956, 0.643921176462656, 0.5404774889023749, 0.7326400640436248, 0.9212338496871453, 0.8703216850041129, 0.8751052773511165]|  0.5822662711143494|      0.12500000|[2794, 928, 10, 68]                                                        |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=16
      30|[-0.0041575722116891, 0.0012315059450259, -0.0156507230520278, -0.0156738547684492, -0.0077072132754532, -0.0296965408655236, -0.0206827362991323, -0.0159655765299349, -0.0203842340219899, -0.0126299817940395, 0.98259510279007, -1.8373726114155702, 0.8366658670850524, 0.8370047022058026, 0.8158223143228008, 0.8074936537562225, 0.6250079714956165, 0.5172247447540421, 0.7172122340555989, 0.9153617381192567, 0.8636003382399334, 0.8681989023482928]|  0.5679959341670247|      0.25000000|[2891, 960, 11, 71]                                                        |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=16
      31|[-0.0041575722116891, 0.0012315059450259, -0.0156507230520278, -0.0156738547684492, -0.0077072132754532, -0.0296965408655236, -0.0206827362991323, -0.0159655765299349, -0.0203842340219899, -0.0126299817940395, 0.98259510279007, -1.8373726114155702, 0.8366658670850524, 0.8370047022058026, 0.8158223143228008, 0.8074936537562225, 0.6250079714956165, 0.5172247447540421, 0.7172122340555989, 0.9153617381192567, 0.8636003382399334, 0.8681989023482928]|  0.5679959341670247|      0.12500000|[2988, 992, 11, 73]                                                        |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      32|[-0.0326278837364292, -0.025330665821981, -0.0440466862501691, -0.0425367150526733, -0.0353320749139838, -0.0567545357332369, -0.0498798817817571, -0.043456716746416, -0.0481350316033789, -0.0410966573947425, 0.9671257858197453, -1.9153154821006186, 0.8282550504480196, 0.8281292527595442, 0.807511875258639, 0.7983674974857389, 0.6071370415159164, 0.4929359878464462, 0.7003550236170504, 0.9111400679887102, 0.8584526597129781, 0.8616468838787328]|  0.5544586777687073|      0.25000000|[3084, 1024, 11, 75]                                                       |  | trying linear partial model with 49 points | iterate success | actual_k=16
      33|[-0.0326278837364292, -0.025330665821981, -0.0440466862501691, -0.0425367150526733, -0.0353320749139838, -0.0567545357332369, -0.0498798817817571, -0.043456716746416, -0.0481350316033789, -0.0410966573947425, 0.9671257858197453, -1.9153154821006186, 0.8282550504480196, 0.8281292527595442, 0.807511875258639, 0.7983674974857389, 0.6071370415159164, 0.4929359878464462, 0.7003550236170504, 0.9111400679887102, 0.8584526597129781, 0.8616468838787328]|  0.5544586777687073|      0.12500000|[3180, 1056, 12, 78]                                                       |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=16
      34|[-0.0613847276015895, -0.0510619126000625, -0.0717523147001823, -0.0708683161545596, -0.0624138231347189, -0.0840470005952015, -0.0770776398412621, -0.0698380090520828, -0.0746804479042831, -0.0668354629717009, 0.9507753106044213, -1.9937358001514176, 0.8174962376405921, 0.8195542392115047, 0.7982072286811753, 0.7889482961310453, 0.5861069610701658, 0.4668619122008803, 0.6839853165564838, 0.9068865759273772, 0.8509702429461975, 0.8554261921374292]|  0.5416374354365567|      0.25000000|[3277, 1088, 13, 81]                                                       |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=16
      35|[-0.0613847276015895, -0.0510619126000625, -0.0717523147001823, -0.0708683161545596, -0.0624138231347189, -0.0840470005952015, -0.0770776398412621, -0.0698380090520828, -0.0746804479042831, -0.0668354629717009, 0.9507753106044213, -1.9937358001514176, 0.8174962376405921, 0.8195542392115047, 0.7982072286811753, 0.7889482961310453, 0.5861069610701658, 0.4668619122008803, 0.6839853165564838, 0.9068865759273772, 0.8509702429461975, 0.8554261921374292]|  0.5416374354365567|      0.12500000|[3374, 1120, 14, 84]                                                       |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=16
      36|[-0.0879053829986912, -0.0776954471958665, -0.0993069181375075, -0.0945481173794032, -0.0900148153934199, -0.1108010772351664, -0.1052910497702371, -0.0961613202764092, -0.1013046105472652, -0.0938942136383543, 0.9330038668857408, -2.0723732434229847, 0.807579601457404, 0.8107885880494239, 0.7899000651847509, 0.7779534968223448, 0.56599741906669, 0.4391992514423547, 0.6664215583529526, 0.9016308402362102, 0.8418825913256495, 0.8497926276476225]|  0.5295122304638964|      0.25000000|[3471, 1152, 15, 87]                                                       |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=16
      37|[-0.0879053829986912, -0.0776954471958665, -0.0993069181375075, -0.0945481173794032, -0.0900148153934199, -0.1108010772351664, -0.1052910497702371, -0.0961613202764092, -0.1013046105472652, -0.0938942136383543, 0.9330038668857408, -2.0723732434229847, 0.807579601457404, 0.8107885880494239, 0.7899000651847509, 0.7779534968223448, 0.56599741906669, 0.4391992514423547, 0.6664215583529526, 0.9016308402362102, 0.8418825913256495, 0.8497926276476225]|  0.5295122304638964|      0.12500000|[3568, 1184, 15, 89]                                                       |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      38|[-0.11539265617735, -0.1052394655469043, -0.1273709895145096, -0.1207071759389147, -0.1170242094705224, -0.1362559826186527, -0.1331209340223373, -0.1220826476763965, -0.1281946120255069, -0.1188322366716492, 0.9164949649949818, -2.150089213485674, 0.7967014124729307, 0.7999286407302861, 0.7810608274093916, 0.7660709477217034, 0.5435416020020708, 0.4119472369961328, 0.6487881189284315, 0.8950082452018855, 0.8342217695717709, 0.8433353485617152]|  0.5180592545848467|      0.25000000|[3664, 1216, 16, 92]                                                       |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=16
      39|[-0.11539265617735, -0.1052394655469043, -0.1273709895145096, -0.1207071759389147, -0.1170242094705224, -0.1362559826186527, -0.1331209340223373, -0.1220826476763965, -0.1281946120255069, -0.1188322366716492, 0.9164949649949818, -2.150089213485674, 0.7967014124729307, 0.7999286407302861, 0.7810608274093916, 0.7660709477217034, 0.5435416020020708, 0.4119472369961328, 0.6487881189284315, 0.8950082452018855, 0.8342217695717709, 0.8433353485617152]|  0.5180592545848467|      0.12500000|[3761, 1248, 16, 94]                                                       |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      40|[-0.1439760920837657, -0.1292380003370789, -0.1524988644942182, -0.1455274502924196, -0.1415162710341971, -0.1622009585665665, -0.1586142871792224, -0.1466603970496755, -0.1536740624647261, -0.1449587430015823, 0.8958721289010325, -2.229515142205692, 0.7859022203210088, 0.7896316144012283, 0.7695487034591544, 0.7537066763583999, 0.5217661668246639, 0.3809056340203126, 0.6305983114261139, 0.8879347043528857, 0.8288283469654689, 0.8373148676105656]|  0.5072541832923889|      0.25000000|[3857, 1280, 16, 96]                                                       |  | trying linear partial model with 49 points | iterate success | actual_k=16
      41|[-0.1439760920837657, -0.1292380003370789, -0.1524988644942182, -0.1455274502924196, -0.1415162710341971, -0.1622009585665665, -0.1586142871792224, -0.1466603970496755, -0.1536740624647261, -0.1449587430015823, 0.8958721289010325, -2.229515142205692, 0.7859022203210088, 0.7896316144012283, 0.7695487034591544, 0.7537066763583999, 0.5217661668246639, 0.3809056340203126, 0.6305983114261139, 0.8879347043528857, 0.8288283469654689, 0.8373148676105656]|  0.5072541832923889|      0.12500000|[3953, 1312, 17, 99]                                                       |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=16
      42|[-0.1687074115519117, -0.1526691641521271, -0.1770788059652164, -0.1699603963288175, -0.1655296032430442, -0.1893389311214293, -0.1862075495938162, -0.1713334834486733, -0.1785132566064527, -0.1691352317972574, 0.8718621057689198, -2.307406635894975, 0.7750391407663169, 0.777333866507155, 0.7595088087538893, 0.7403653069656573, 0.4957687234077774, 0.3497166346247125, 0.610859225242393, 0.8826509979897101, 0.8195021870986721, 0.831509090983893]|  0.4970620715005088|      0.25000000|[4050, 1344, 18, 102]                                                      |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=16
      43|[-0.1687074115519117, -0.1526691641521271, -0.1770788059652164, -0.1699603963288175, -0.1655296032430442, -0.1893389311214293, -0.1862075495938162, -0.1713334834486733, -0.1785132566064527, -0.1691352317972574, 0.8718621057689198, -2.307406635894975, 0.7750391407663169, 0.777333866507155, 0.7595088087538893, 0.7403653069656573, 0.4957687234077774, 0.3497166346247125, 0.610859225242393, 0.8826509979897101, 0.8195021870986721, 0.831509090983893]|  0.4970620715005088|      0.12500000|[4147, 1376, 18, 104]                                                      |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      44|[-0.1936890917126329, -0.1761157573657017, -0.2011135642525612, -0.1937283373615618, -0.1884944763617117, -0.2132413171121591, -0.2108159630253347, -0.1950178757757434, -0.2032009793192677, -0.1939894360775402, 0.851270125149128, -2.3869872204528, 0.7633713438995698, 0.7642029890054177, 0.7470116451151118, 0.7287001729581435, 0.4708611384469148, 0.3170754141774861, 0.5880300378867822, 0.875462603698179, 0.8108823755297436, 0.8203177878696747]|  0.4874503910541534|      0.25000000|[4243, 1408, 18, 106]                                                      |  | trying linear partial model with 49 points | iterate success | actual_k=16
      45|[-0.1936890917126329, -0.1761157573657017, -0.2011135642525612, -0.1937283373615618, -0.1884944763617117, -0.2132413171121591, -0.2108159630253347, -0.1950178757757434, -0.2032009793192677, -0.1939894360775402, 0.851270125149128, -2.3869872204528, 0.7633713438995698, 0.7642029890054177, 0.7470116451151118, 0.7287001729581435, 0.4708611384469148, 0.3170754141774861, 0.5880300378867822, 0.875462603698179, 0.8108823755297436, 0.8203177878696747]|  0.4874503910541534|      0.12500000|[4339, 1440, 18, 108]                                                      |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
