k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      1.00000000|[0, 0, 0, 0]                                                               | 
      22|[-0.0025732368205339, -0.0030891676765263, -0.0011000641667364, -0.0013979564926015, -0.0010490538154975, 0.0017939870188674, 0.0014747523646364, -0.0022227097301133, -0.0017505500465345, -0.0026919993106568, 0.0008251252925391, -0.0026532055800053, 0.0006599717269589, -0.0028351976591305, 1.0005378675642502]|2113.3100585937500000|      0.00097656|[705, 0, 0, 44]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      23|[-0.0025732368205339, -0.0030891676765263, -0.0011000641667364, -0.0013979564926015, -0.0010490538154975, 0.0017939870188674, 0.0014747523646364, -0.0022227097301133, -0.0017505500465345, -0.0026919993106568, 0.0008251252925391, -0.0026532055800053, 0.0006599717269589, -0.0028351976591305, 1.0005378675642502]|2113.3100585937500000|      0.00048828|[737, 0, 0, 46]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      24|[-0.0023262286295327, -0.0033259855309228, -0.0010654154790615, -0.0013937723700607, -0.0010026967915859, 0.0018034553756131, 0.0015331794305834, -0.0022136168748492, -0.0016155821033304, -0.0024993289935257, 0.0009837646409735, -0.0026051218945652, 0.0005461523416809, -0.0029040795770436, 1.0006555685456764]|2113.1242675781250000|      0.00097656|[769, 0, 0, 48]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      25|[-0.0023262286295327, -0.0033259855309228, -0.0010654154790615, -0.0013937723700607, -0.0010026967915859, 0.0018034553756131, 0.0015331794305834, -0.0022136168748492, -0.0016155821033304, -0.0024993289935257, 0.0009837646409735, -0.0026051218945652, 0.0005461523416809, -0.0029040795770436, 1.0006555685456764]|2113.1242675781250000|      0.00048828|[801, 0, 0, 50]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      26|[-0.002522284997498, -0.003452006069704, -0.0011687707848704, -0.0014415845599961, -0.0010357461329106, 0.0020717043271547, 0.0015858318583262, -0.0021895213202969, -0.0016325706775001, -0.0025988663258376, 0.001030993388575, -0.0024969685530087, 0.0006169308201867, -0.0029844787892433, 1.000898736651053]|2112.9663085937500000|      0.00097656|[833, 0, 0, 52]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      27|[-0.002522284997498, -0.003452006069704, -0.0011687707848704, -0.0014415845599961, -0.0010357461329106, 0.0020717043271547, 0.0015858318583262, -0.0021895213202969, -0.0016325706775001, -0.0025988663258376, 0.001030993388575, -0.0024969685530087, 0.0006169308201867, -0.0029844787892433, 1.000898736651053]|2112.9663085937500000|      0.00048828|[865, 0, 0, 54]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      28|[-0.0022453783509039, -0.0037464950920401, -0.0012074126681982, -0.001563862821753, -0.0009928430676259, 0.0021408243784863, 0.0017352550218976, -0.0022126928205501, -0.001538499601101, -0.0025822452074503, 0.001094307527751, -0.0024760098798942, 0.0007404255982236, -0.0029732760151227, 1.0009105621814474]|2112.8925781250000000|      0.00097656|[897, 0, 0, 56]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      29|[-0.0022453783509039, -0.0037464950920401, -0.0012074126681982, -0.001563862821753, -0.0009928430676259, 0.0021408243784863, 0.0017352550218976, -0.0022126928205501, -0.001538499601101, -0.0025822452074503, 0.001094307527751, -0.0024760098798942, 0.0007404255982236, -0.0029732760151227, 1.0009105621814474]|2112.8925781250000000|      0.00048828|[929, 0, 0, 58]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      30|[-0.0025559647311957, -0.0038854296024945, -0.0011187971624492, -0.0013826216034829, -0.000990065043092, 0.0022592813680612, 0.0017649388737866, -0.0022774527106368, -0.0017633522284244, -0.0025066138122017, 0.0010614011787371, -0.0024683830405184, 0.0007114470768461, -0.0029544976726024, 1.000975553370874]|2112.8420410156250000|      0.00097656|[961, 0, 0, 60]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      31|[-0.0025559647311957, -0.0038854296024945, -0.0011187971624492, -0.0013826216034829, -0.000990065043092, 0.0022592813680612, 0.0017649388737866, -0.0022774527106368, -0.0017633522284244, -0.0025066138122017, 0.0010614011787371, -0.0024683830405184, 0.0007114470768461, -0.0029544976726024, 1.000975553370874]|2112.8420410156250000|      0.00048828|[993, 0, 0, 62]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      32|[-0.0025559647311957, -0.0038854296024945, -0.0011187971624492, -0.0013826216034829, -0.000990065043092, 0.0022592813680612, 0.0017649388737866, -0.0022774527106368, -0.0017633522284244, -0.0025066138122017, 0.0010614011787371, -0.0024683830405184, 0.0007114470768461, -0.0029544976726024, 1.000975553370874]|2112.8420410156250000|      0.00024414|[1025, 0, 0, 64]                                                           |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      33|[-0.0023936518967356, -0.0039728118950876, -0.0011110141134676, -0.0013682029820577, -0.0008806098686754, 0.0022222663894748, 0.0018475665135395, -0.0022830767928099, -0.0017404307990355, -0.0025535145175943, 0.00102587514512, -0.0024714925610053, 0.0006884514396583, -0.0029605205263618, 1.0009997120054017]|2112.6640625000000000|      0.00048828|[1057, 0, 0, 66]                                                           |  | trying linear partial model with 17 points | iterate success | actual_k=0
      34|[-0.00251461747642, -0.0042929251068654, -0.001194973433211, -0.0011947696404084, -0.0009263399841718, 0.0021827098360622, 0.0018960269276324, -0.0023109457083013, -0.0016579164933078, -0.0024363721547019, 0.0009361660744749, -0.0024320695396957, 0.0005208342683938, -0.0030578514172632, 1.0009012110352549]|2112.4890136718750000|      0.00097656|[1089, 0, 0, 68]                                                           |  | trying linear partial model with 17 points | iterate success | actual_k=0
      35|[-0.00251461747642, -0.0042929251068654, -0.001194973433211, -0.0011947696404084, -0.0009263399841718, 0.0021827098360622, 0.0018960269276324, -0.0023109457083013, -0.0016579164933078, -0.0024363721547019, 0.0009361660744749, -0.0024320695396957, 0.0005208342683938, -0.0030578514172632, 1.0009012110352549]|2112.4890136718750000|      0.00048828|[1121, 0, 0, 70]                                                           |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      36|[-0.00251461747642, -0.0042929251068654, -0.001194973433211, -0.0011947696404084, -0.0009263399841718, 0.0021827098360622, 0.0018960269276324, -0.0023109457083013, -0.0016579164933078, -0.0024363721547019, 0.0009361660744749, -0.0024320695396957, 0.0005208342683938, -0.0030578514172632, 1.0009012110352549]|2112.4890136718750000|      0.00024414|[1153, 0, 0, 72]                                                           |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      37|[-0.0023705867683392, -0.004402665356919, -0.0010985604992268, -0.0012025449638331, -0.0008639948798419, 0.0021395969680454, 0.0018312379849834, -0.0023580036343908, -0.0016891720772917, -0.0024171000835707, 0.0009025216746603, -0.0024196055121905, 0.0005484555027422, -0.0030143296338806, 1.0009044638674693]|2112.3762207031250000|      0.00048828|[1185, 0, 0, 74]                                                           |  | trying linear partial model with 17 points | iterate success | actual_k=0
      38|[-0.0023105884913398, -0.0047195405850653, -0.0010834971631674, -0.00137614901319, -0.0007929928206108, 0.0020169387699411, 0.0019619448963131, -0.0021951031987599, -0.0015489838061725, -0.0025031991572718, 0.0009156629869166, -0.00237336920607, 0.0004447059435974, -0.0030026114066052, 1.0009121353215633]|2112.2343750000000000|      0.00097656|[1217, 0, 0, 76]                                                           |  | trying linear partial model with 17 points | iterate success | actual_k=0
      39|[-0.0023105884913398, -0.0047195405850653, -0.0010834971631674, -0.00137614901319, -0.0007929928206108, 0.0020169387699411, 0.0019619448963131, -0.0021951031987599, -0.0015489838061725, -0.0025031991572718, 0.0009156629869166, -0.00237336920607, 0.0004447059435974, -0.0030026114066052, 1.0009121353215633]|2112.2343750000000000|      0.00048828|[1249, 0, 0, 78]                                                           |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      40|[-0.0023105884913398, -0.0047195405850653, -0.0010834971631674, -0.00137614901319, -0.0007929928206108, 0.0020169387699411, 0.0019619448963131, -0.0021951031987599, -0.0015489838061725, -0.0025031991572718, 0.0009156629869166, -0.00237336920607, 0.0004447059435974, -0.0030026114066052, 1.0009121353215633]|2112.2343750000000000|      0.00024414|[1281, 0, 0, 80]                                                           |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      41|[-0.0024530323197882, -0.0048124806815774, -0.0011489010865811, -0.0013938937742666, -0.0007765614127175, 0.0020402814292163, 0.0019373177403047, -0.0021686757976466, -0.0015796353144788, -0.0025352222128842, 0.0008554881085095, -0.0025049244072159, 0.0004649602658883, -0.0029769897767671, 1.0009099603503007]|2112.1892089843750000|      0.00048828|[1313, 0, 0, 82]                                                           |  | trying linear partial model with 17 points | iterate success | actual_k=0
      42|[-0.0022180838495819, -0.0051158967044061, -0.0012515804016941, -0.0013916219373897, -0.0007544452538445, 0.0019105805803685, 0.0019731285932849, -0.0021368829742355, -0.0014860533363393, -0.0024000861094453, 0.0008397787148338, -0.0025034532418718, 0.0004663760993035, -0.003012013060999, 1.0010902565969992]|2112.0944824218750000|      0.00097656|[1345, 0, 0, 84]                                                           |  | trying linear partial model with 17 points | iterate success | actual_k=0
      43|[-0.0022180838495819, -0.0051158967044061, -0.0012515804016941, -0.0013916219373897, -0.0007544452538445, 0.0019105805803685, 0.0019731285932849, -0.0021368829742355, -0.0014860533363393, -0.0024000861094453, 0.0008397787148338, -0.0025034532418718, 0.0004663760993035, -0.003012013060999, 1.0010902565969992]|2112.0944824218750000|      0.00048828|[1377, 0, 0, 86]                                                           |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      44|[-0.0023780920154724, -0.0051570021677933, -0.0012142775456446, -0.0012483867609292, -0.0005358908765644, 0.0020356532994946, 0.0019348316472962, -0.0020668197113592, -0.001285384362971, -0.0022902700559389, 0.0008927012879007, -0.0023175753644443, 0.0003751090551785, -0.0031044330415026, 1.0009767503965843]|2111.8959960937500000|      0.00097656|[1409, 0, 0, 88]                                                           |  | trying linear partial model with 17 points | iterate success | actual_k=0
      45|[-0.0023780920154724, -0.0051570021677933, -0.0012142775456446, -0.0012483867609292, -0.0005358908765644, 0.0020356532994946, 0.0019348316472962, -0.0020668197113592, -0.001285384362971, -0.0022902700559389, 0.0008927012879007, -0.0023175753644443, 0.0003751090551785, -0.0031044330415026, 1.0009767503965843]|2111.8959960937500000|      0.00048828|[1441, 0, 0, 90]                                                           |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      46|[-0.0022596001495237, -0.0053112575326185, -0.0014664932634812, -0.0013938188948879, -0.0004230646366394, 0.0018487558169252, 0.0019097586545057, -0.0022365984212307, -0.001168802699665, -0.0021972502898043, 0.0009330279488122, -0.0024058767630446, 0.0003191523490917, -0.0030721017966029, 1.0009232474006098]|2111.8239746093750000|      0.00097656|[1473, 0, 0, 92]                                                           |  | trying linear partial model with 17 points | iterate success | actual_k=0
      47|[-0.0022596001495237, -0.0053112575326185, -0.0014664932634812, -0.0013938188948879, -0.0004230646366394, 0.0018487558169252, 0.0019097586545057, -0.0022365984212307, -0.001168802699665, -0.0021972502898043, 0.0009330279488122, -0.0024058767630446, 0.0003191523490917, -0.0030721017966029, 1.0009232474006098]|2111.8239746093750000|      0.00048828|[1505, 0, 0, 94]                                                           |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      48|[-0.0022596001495237, -0.0053112575326185, -0.0014664932634812, -0.0013938188948879, -0.0004230646366394, 0.0018487558169252, 0.0019097586545057, -0.0022365984212307, -0.001168802699665, -0.0021972502898043, 0.0009330279488122, -0.0024058767630446, 0.0003191523490917, -0.0030721017966029, 1.0009232474006098]|2111.8239746093750000|      0.00024414|[1537, 0, 0, 96]                                                           |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      49|[-0.0024124595258447, -0.0052967528186814, -0.0014883852926445, -0.0014723997761352, -0.0003985276107319, 0.0019250672208083, 0.0019219310985349, -0.0022303619502379, -0.0011571258738976, -0.0022539835992984, 0.0008891551804873, -0.002376371734146, 0.0002727259017479, -0.0030764621917451, 1.000803094647589]|2111.7897949218750000|      0.00048828|[1569, 0, 0, 98]                                                           |  | trying linear partial model with 17 points | iterate success | actual_k=0
      50|[-0.0024124595258447, -0.0052967528186814, -0.0014883852926445, -0.0014723997761352, -0.0003985276107319, 0.0019250672208083, 0.0019219310985349, -0.0022303619502379, -0.0011571258738976, -0.0022539835992984, 0.0008891551804873, -0.002376371734146, 0.0002727259017479, -0.0030764621917451, 1.000803094647589]|2111.7897949218750000|      0.00024414|[1601, 0, 0, 100]                                                          |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      51|[-0.0023069065351167, -0.0054555435138889, -0.0014880718036079, -0.0014525971292683, -0.0003094721378651, 0.001911546233529, 0.0019005474245135, -0.0022278588890358, -0.0011136135953335, -0.0022912037954113, 0.0008942044678748, -0.0023357931012487, 0.0002750807064961, -0.0031654731250546, 1.0008405110648002]|2111.6809082031250000|      0.00048828|[1633, 0, 0, 102]                                                          |  | trying linear partial model with 17 points | iterate success | actual_k=0
      52|[-0.0023069065351167, -0.0054555435138889, -0.0014880718036079, -0.0014525971292683, -0.0003094721378651, 0.001911546233529, 0.0019005474245135, -0.0022278588890358, -0.0011136135953335, -0.0022912037954113, 0.0008942044678748, -0.0023357931012487, 0.0002750807064961, -0.0031654731250546, 1.0008405110648002]|2111.6809082031250000|      0.00024414|[1665, 0, 0, 104]                                                          |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      53|[-0.0024001311950281, -0.0055823815112891, -0.0015579243115919, -0.0014402532268659, -0.0003469693906714, 0.0018544699189447, 0.0019547538128864, -0.0022514129310045, -0.0012276706331673, -0.0022222039748634, 0.00088645330654, -0.0023747812259255, 0.0002356824839387, -0.0031444351156139, 1.0008234126782023]|2111.6142578125000000|      0.00048828|[1697, 0, 0, 106]                                                          |  | trying linear partial model with 17 points | iterate success | actual_k=0
      54|[-0.0022824704238239, -0.0058630684034147, -0.0016920425823285, -0.0013161462168527, -0.0002073231867874, 0.0018445952804739, 0.0018284116967444, -0.0021840036999385, -0.0011980221952438, -0.002287474954485, 0.0008162506827511, -0.0023055633354222, 0.0001607834373687, -0.0032701240059794, 1.0006336027603926]|2111.4084472656250000|      0.00097656|[1729, 0, 0, 108]                                                          |  | trying linear partial model with 17 points | iterate success | actual_k=0
      55|[-0.0022824704238239, -0.0058630684034147, -0.0016920425823285, -0.0013161462168527, -0.0002073231867874, 0.0018445952804739, 0.0018284116967444, -0.0021840036999385, -0.0011980221952438, -0.002287474954485, 0.0008162506827511, -0.0023055633354222, 0.0001607834373687, -0.0032701240059794, 1.0006336027603926]|2111.4084472656250000|      0.00048828|[1761, 0, 0, 110]                                                          |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      56|[-0.0022416792614022, -0.0060321792635635, -0.001870746002306, -0.0012811105513986, -2.32617154293e-05, 0.0020608084622488, 0.0018881701658194, -0.0021356942189708, -0.0010658974210675, -0.0023130279138847, 0.000976211263129, -0.0023114749430268, 8.93931252134e-05, -0.0034345523117498, 1.0005213680388396]|2111.2700195312500000|      0.00097656|[1793, 0, 0, 112]                                                          |  | trying linear partial model with 17 points | iterate success | actual_k=0
      57|[-0.0022416792614022, -0.0060321792635635, -0.001870746002306, -0.0012811105513986, -2.32617154293e-05, 0.0020608084622488, 0.0018881701658194, -0.0021356942189708, -0.0010658974210675, -0.0023130279138847, 0.000976211263129, -0.0023114749430268, 8.93931252134e-05, -0.0034345523117498, 1.0005213680388396]|2111.2700195312500000|      0.00048828|[1825, 0, 0, 114]                                                          |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      58|[-0.0022416792614022, -0.0060321792635635, -0.001870746002306, -0.0012811105513986, -2.32617154293e-05, 0.0020608084622488, 0.0018881701658194, -0.0021356942189708, -0.0010658974210675, -0.0023130279138847, 0.000976211263129, -0.0023114749430268, 8.93931252134e-05, -0.0034345523117498, 1.0005213680388396]|2111.2700195312500000|      0.00024414|[1857, 0, 0, 116]                                                          |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      59|[-0.0023352292240778, -0.0061397023845663, -0.0019685764491279, -0.0013021077266703, 3.05667266119e-05, 0.00207216485725, 0.0019238150183145, -0.0021237422885112, -0.0011164476025647, -0.0023296657441596, 0.0010487289909309, -0.0022302992386632, 5.98910790905e-05, -0.0035309257711233, 1.0005200997661718]|2111.1748046875000000|      0.00048828|[1889, 0, 0, 118]                                                          |  | trying linear partial model with 17 points | iterate success | actual_k=0
      60|[-0.0023405553063726, -0.0063018031779738, -0.0019640814549743, -0.0014394032959571, -3.45162378715e-05, 0.0018295325740897, 0.0020543002380214, -0.0020484174718436, -0.001181439649494, -0.0023772024491406, 0.0012184036896005, -0.0021233513807177, -0.0001239737651935, -0.0036943808750109, 1.0005058897479064]|2111.0258789062500000|      0.00097656|[1921, 0, 0, 120]                                                          |  | trying linear partial model with 17 points | iterate success | actual_k=0
      61|[-0.0023462658421496, -0.0067320088979534, -0.0022958631315388, -0.0011420096038583, -0.0004244050554895, 0.0020928789232952, 0.0018505894763198, -0.002107957364754, -0.0011696090820217, -0.0026254122865562, 0.0010518233102568, -0.0019187792770595, -0.0002146481785722, -0.0039954223944981, 1.0007768884432262]|2110.7368164062500000|      0.00195312|[1953, 0, 0, 122]                                                          |  | trying linear partial model with 17 points | iterate success | actual_k=0
