k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.4661905834243132, 0.1050512680438341, 0.0266676319913528, -0.3257816389219892, 0.5725342758993947, 0.1975434655677568, -0.4560439585489777, 0.2993753779746881, 0.0191077266958834]|342350.8871915558120236|      2.00000000|[10, 0, 1, 2]                                                              |  | used linear model with 10 points | iterate success | actual_k=0
      12|[-0.685443525918116, 0.1454358846812169, 0.0200774977046317, 0.0040646221672282, 0.9859749402004069, 0.0055510799783185, -0.4843519670108573, 0.4045611222249491, 0.1003215176743041]|1758.9147462619389444|      0.25000000|[120, 0, 12, 24]                                                           |  | used linear model with 10 points | iterate success | actual_k=0
      13|[-0.685443525918116, 0.1454358846812169, 0.0200774977046317, 0.0040646221672282, 0.9859749402004069, 0.0055510799783185, -0.4843519670108573, 0.4045611222249491, 0.1003215176743041]|1758.9147462619389444|      0.12500000|[130, 0, 13, 26]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      14|[-0.685443525918116, 0.1454358846812169, 0.0200774977046317, 0.0040646221672282, 0.9859749402004069, 0.0055510799783185, -0.4843519670108573, 0.4045611222249491, 0.1003215176743041]|1758.9147462619389444|      0.06250000|[140, 0, 14, 28]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      15|[-0.685443525918116, 0.1454358846812169, 0.0200774977046317, 0.0040646221672282, 0.9859749402004069, 0.0055510799783185, -0.4843519670108573, 0.4045611222249491, 0.1003215176743041]|1758.9147462619389444|      0.03125000|[150, 0, 15, 30]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      16|[-0.6851000888284751, 0.1389403754599441, 0.0168097929235086, -0.0229077404185951, 0.9894121012654143, -0.0025129091893497, -0.4853278770475068, 0.4149227045170158, 0.103624529549267]| 83.5489059518916264|      0.06250000|[160, 0, 16, 32]                                                           |  | used linear model with 10 points | iterate success | actual_k=0
      17|[-0.6851000888284751, 0.1389403754599441, 0.0168097929235086, -0.0229077404185951, 0.9894121012654143, -0.0025129091893497, -0.4853278770475068, 0.4149227045170158, 0.103624529549267]| 83.5489059518916264|      0.03125000|[170, 0, 17, 34]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      18|[-0.6851000888284751, 0.1389403754599441, 0.0168097929235086, -0.0229077404185951, 0.9894121012654143, -0.0025129091893497, -0.4853278770475068, 0.4149227045170158, 0.103624529549267]| 83.5489059518916264|      0.01562500|[180, 0, 18, 36]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      19|[-0.6851000888284751, 0.1389403754599441, 0.0168097929235086, -0.0229077404185951, 0.9894121012654143, -0.0025129091893497, -0.4853278770475068, 0.4149227045170158, 0.103624529549267]| 83.5489059518916264|      0.00781250|[190, 0, 19, 38]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      20|[-0.6846576703093954, 0.1384008780244482, 0.0155422655650628, -0.0199714633176739, 0.9883152361690065, -0.0009632076558424, -0.4803729247014046, 0.4156336034320494, 0.0989706711606765]| 30.7265301916777887|      0.01562500|[200, 0, 20, 40]                                                           |  | used linear model with 10 points | iterate success | actual_k=0
      21|[-0.6846576703093954, 0.1384008780244482, 0.0155422655650628, -0.0199714633176739, 0.9883152361690065, -0.0009632076558424, -0.4803729247014046, 0.4156336034320494, 0.0989706711606765]| 30.7265301916777887|      0.00781250|[210, 0, 21, 42]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      22|[-0.6846576703093954, 0.1384008780244482, 0.0155422655650628, -0.0199714633176739, 0.9883152361690065, -0.0009632076558424, -0.4803729247014046, 0.4156336034320494, 0.0989706711606765]| 30.7265301916777887|      0.00390625|[220, 0, 22, 44]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      23|[-0.6843292339657752, 0.1372893186797832, 0.0160289398853161, -0.0196435154488396, 0.9890998598821023, 0.0019720522545306, -0.4813688516361028, 0.4170157967164242, 0.0977718221676474]| 12.3325915218637174|      0.00781250|[230, 0, 23, 46]                                                           |  | used linear model with 10 points | iterate success | actual_k=0
      24|[-0.6843292339657752, 0.1372893186797832, 0.0160289398853161, -0.0196435154488396, 0.9890998598821023, 0.0019720522545306, -0.4813688516361028, 0.4170157967164242, 0.0977718221676474]| 12.3325915218637174|      0.00390625|[240, 0, 24, 48]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      25|[-0.6843292339657752, 0.1372893186797832, 0.0160289398853161, -0.0196435154488396, 0.9890998598821023, 0.0019720522545306, -0.4813688516361028, 0.4170157967164242, 0.0977718221676474]| 12.3325915218637174|      0.00195312|[250, 0, 25, 50]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      26|[-0.6848780622085894, 0.1370069677999973, 0.0157222420768253, -0.021082959882132, 0.9890276125745366, 0.0022796718901084, -0.4818277461915031, 0.4166631325142902, 0.0968591923314911]|  9.6429305276455430|      0.00390625|[260, 0, 26, 52]                                                           |  | used linear model with 10 points | iterate success | actual_k=0
      27|[-0.6848780622085894, 0.1370069677999973, 0.0157222420768253, -0.021082959882132, 0.9890276125745366, 0.0022796718901084, -0.4818277461915031, 0.4166631325142902, 0.0968591923314911]|  9.6429305276455430|      0.00195312|[270, 0, 27, 54]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      28|[-0.6856371712018852, 0.137011470931077, 0.0162386385756796, -0.0202064855783246, 0.9895377531767046, 0.0034958994915211, -0.4816521680559466, 0.4169763649143587, 0.0962802599140942]|  7.8962905245472150|      0.00390625|[280, 0, 28, 56]                                                           |  | used linear model with 10 points | iterate success | actual_k=0
      29|[-0.6856371712018852, 0.137011470931077, 0.0162386385756796, -0.0202064855783246, 0.9895377531767046, 0.0034958994915211, -0.4816521680559466, 0.4169763649143587, 0.0962802599140942]|  7.8962905245472150|      0.00195312|[290, 0, 29, 58]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      30|[-0.685734603794308, 0.1365639964374426, 0.0163892820879053, -0.021222762156881, 0.9892227212306401, 0.0042731813173283, -0.48287739729555, 0.4171045344661702, 0.0968533505647294]|  6.1166166728383464|      0.00390625|[300, 0, 30, 60]                                                           |  | used linear model with 10 points | iterate success | actual_k=0
      31|[-0.685734603794308, 0.1365639964374426, 0.0163892820879053, -0.021222762156881, 0.9892227212306401, 0.0042731813173283, -0.48287739729555, 0.4171045344661702, 0.0968533505647294]|  6.1166166728383464|      0.00195312|[310, 0, 31, 62]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      32|[-0.685734603794308, 0.1365639964374426, 0.0163892820879053, -0.021222762156881, 0.9892227212306401, 0.0042731813173283, -0.48287739729555, 0.4171045344661702, 0.0968533505647294]|  6.1166166728383464|      0.00097656|[320, 0, 32, 64]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      33|[-0.685734603794308, 0.1365639964374426, 0.0163892820879053, -0.021222762156881, 0.9892227212306401, 0.0042731813173283, -0.48287739729555, 0.4171045344661702, 0.0968533505647294]|  6.1166166728383464|      0.00048828|[330, 0, 33, 66]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      34|[-0.685734603794308, 0.1365639964374426, 0.0163892820879053, -0.021222762156881, 0.9892227212306401, 0.0042731813173283, -0.48287739729555, 0.4171045344661702, 0.0968533505647294]|  6.1166166728383464|      0.00024414|[340, 0, 34, 68]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      35|[-0.685734603794308, 0.1365639964374426, 0.0163892820879053, -0.021222762156881, 0.9892227212306401, 0.0042731813173283, -0.48287739729555, 0.4171045344661702, 0.0968533505647294]|  6.1166166728383464|      0.00012207|[350, 0, 35, 70]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      36|[-0.6857456173751353, 0.136577161296185, 0.0163885064078508, -0.0212362041340162, 0.9892828844779487, 0.0041933784357351, -0.4829373674786601, 0.4171241183719158, 0.096874732609366]|  6.0705962058500686|      0.00024414|[360, 0, 36, 72]                                                           |  | used linear model with 10 points | iterate success | actual_k=0
      37|[-0.6857456173751353, 0.136577161296185, 0.0163885064078508, -0.0212362041340162, 0.9892828844779487, 0.0041933784357351, -0.4829373674786601, 0.4171241183719158, 0.096874732609366]|  6.0705962058500686|      0.00012207|[370, 0, 37, 74]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      38|[-0.6857648531759689, 0.1365664949924266, 0.0164041417096576, -0.0212439488608478, 0.9893760359276363, 0.0041312072137834, -0.4829150355718496, 0.4171128086777234, 0.096844010386048]|  6.0321557479510348|      0.00024414|[380, 0, 38, 76]                                                           |  | used linear model with 10 points | iterate success | actual_k=0
      39|[-0.685668538096864, 0.1366181207545447, 0.0165658825154244, -0.0212764237313376, 0.9895059731422872, 0.0041558833542442, -0.4829301632532358, 0.4171319562142001, 0.0967954299478218]|  5.9970674511703823|      0.00048828|[390, 0, 39, 78]                                                           |  | used linear model with 10 points | iterate success | actual_k=0
      40|[-0.685668538096864, 0.1366181207545447, 0.0165658825154244, -0.0212764237313376, 0.9895059731422872, 0.0041558833542442, -0.4829301632532358, 0.4171319562142001, 0.0967954299478218]|  5.9970674511703823|      0.00024414|[400, 0, 40, 80]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      41|[-0.685668538096864, 0.1366181207545447, 0.0165658825154244, -0.0212764237313376, 0.9895059731422872, 0.0041558833542442, -0.4829301632532358, 0.4171319562142001, 0.0967954299478218]|  5.9970674511703823|      0.00012207|[410, 0, 41, 82]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      42|[-0.6856482659955913, 0.1365979348969742, 0.0165831066103086, -0.0211780485245082, 0.9895539787838027, 0.0041575859056297, -0.4829343571793727, 0.4170898124610914, 0.0967927358331988]|  5.9839513261866699|      0.00024414|[420, 0, 42, 84]                                                           |  | used linear model with 10 points | iterate success | actual_k=0
      43|[-0.6856919341703359, 0.1366117100399052, 0.0165887834021612, -0.0211680763435352, 0.9897099665714673, 0.004087278058677, -0.4829072983561811, 0.4169559453045084, 0.0968899383619738]|  5.9241782845836433|      0.00048828|[430, 0, 43, 86]                                                           |  | used linear model with 10 points | iterate success | actual_k=0
      44|[-0.6856919341703359, 0.1366117100399052, 0.0165887834021612, -0.0211680763435352, 0.9897099665714673, 0.004087278058677, -0.4829072983561811, 0.4169559453045084, 0.0968899383619738]|  5.9241782845836433|      0.00024414|[440, 0, 44, 88]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      45|[-0.6856919341703359, 0.1366117100399052, 0.0165887834021612, -0.0211680763435352, 0.9897099665714673, 0.004087278058677, -0.4829072983561811, 0.4169559453045084, 0.0968899383619738]|  5.9241782845836433|      0.00012207|[450, 0, 45, 90]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
