k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      1.00000000|[0, 0, 0, 0]                                                               | 
      17|[-0.002222196302079, -0.0025881224087875, -0.0009951614985275, -0.0012068699496901, -0.0011634014912527, 0.0019206702063624, 0.000868533471525, -0.0020533476574853, -0.0013162072470196, -0.0031587337278486, 0.0009226255098654, -0.0024334903010984, 0.0008024102466105, -0.0029179068223281, 1.0009271337632406]|2113.7861328125000000|      0.00195312|[478, 68, 1, 35]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      18|[-0.002222196302079, -0.0025881224087875, -0.0009951614985275, -0.0012068699496901, -0.0011634014912527, 0.0019206702063624, 0.000868533471525, -0.0020533476574853, -0.0013162072470196, -0.0031587337278486, 0.0009226255098654, -0.0024334903010984, 0.0008024102466105, -0.0029179068223281, 1.0009271337632406]|2113.7861328125000000|      0.00097656|[506, 72, 2, 38]                                                           |  | trying linear partial model with 15 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      19|[-0.002222196302079, -0.0025881224087875, -0.0009951614985275, -0.0012068699496901, -0.0011634014912527, 0.0019206702063624, 0.000868533471525, -0.0020533476574853, -0.0013162072470196, -0.0031587337278486, 0.0009226255098654, -0.0024334903010984, 0.0008024102466105, -0.0029179068223281, 1.0009271337632406]|2113.7861328125000000|      0.00048828|[535, 76, 2, 40]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      20|[-0.0023227334867713, -0.0027344179902867, -0.0012007700463777, -0.0011683814550372, -0.001077658390313, 0.0021432105550927, 0.0009138710676908, -0.0021322320068718, -0.0015039839789142, -0.003109989829621, 0.0009715505501076, -0.0025788370125325, 0.0006916081402874, -0.0029395439731055, 1.0007719009539457]|2113.4147949218750000|      0.00097656|[563, 80, 2, 42]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      21|[-0.0025729302586342, -0.0031763422968534, -0.0011798762223144, -0.0011757441885291, -0.0010227522855078, 0.0017791147319822, 0.0011664004778238, -0.0023115663412251, -0.001756279671852, -0.003227374097946, 0.0006313786881892, -0.0022696305702937, 0.0006493307198884, -0.0032732779915171, 1.000523199920429]|2113.2116699218750000|      0.00195312|[591, 84, 2, 44]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      22|[-0.0025729302586342, -0.0031763422968534, -0.0011798762223144, -0.0011757441885291, -0.0010227522855078, 0.0017791147319822, 0.0011664004778238, -0.0023115663412251, -0.001756279671852, -0.003227374097946, 0.0006313786881892, -0.0022696305702937, 0.0006493307198884, -0.0032732779915171, 1.000523199920429]|2113.2116699218750000|      0.00097656|[619, 88, 2, 46]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      23|[-0.0025729302586342, -0.0031763422968534, -0.0011798762223144, -0.0011757441885291, -0.0010227522855078, 0.0017791147319822, 0.0011664004778238, -0.0023115663412251, -0.001756279671852, -0.003227374097946, 0.0006313786881892, -0.0022696305702937, 0.0006493307198884, -0.0032732779915171, 1.000523199920429]|2113.2116699218750000|      0.00048828|[647, 92, 2, 48]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      24|[-0.0023543137794768, -0.003384229079737, -0.0011426565181713, -0.0010863978600881, -0.0010660127138127, 0.0018458585761221, 0.0012209099520437, -0.0022452015063626, -0.0015995062062445, -0.003038071057288, 0.0007811277610853, -0.0021860414371136, 0.000496057542899, -0.0033488179579374, 1.0005960985166937]|2112.9907226562500000|      0.00097656|[675, 96, 2, 50]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      25|[-0.0023543137794768, -0.003384229079737, -0.0011426565181713, -0.0010863978600881, -0.0010660127138127, 0.0018458585761221, 0.0012209099520437, -0.0022452015063626, -0.0015995062062445, -0.003038071057288, 0.0007811277610853, -0.0021860414371136, 0.000496057542899, -0.0033488179579374, 1.0005960985166937]|2112.9907226562500000|      0.00048828|[703, 100, 2, 52]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      26|[-0.0025195669831854, -0.0035487425790517, -0.0012553719748169, -0.0010874795718263, -0.001118373955635, 0.0021281588054997, 0.0012552753576128, -0.0021985994486033, -0.0016255916815173, -0.0031382436205808, 0.0008096604429772, -0.0021305046274952, 0.0005678994386279, -0.0033937319275606, 1.0008486049556966]|2112.8642578125000000|      0.00097656|[731, 104, 2, 54]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      27|[-0.0025195669831854, -0.0035487425790517, -0.0012553719748169, -0.0010874795718263, -0.001118373955635, 0.0021281588054997, 0.0012552753576128, -0.0021985994486033, -0.0016255916815173, -0.0031382436205808, 0.0008096604429772, -0.0021305046274952, 0.0005678994386279, -0.0033937319275606, 1.0008486049556966]|2112.8642578125000000|      0.00048828|[759, 108, 2, 56]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      28|[-0.0022857183036286, -0.0037726056097044, -0.0012912480785264, -0.0012322223583034, -0.0010956782529911, 0.0021147117729533, 0.0013972250058101, -0.002219701390141, -0.0015395402715769, -0.0034008592218786, 0.0007971304796343, -0.0022202680125898, 0.0006037077213872, -0.0033291169417761, 1.000841775425993]|2112.7976074218750000|      0.00097656|[787, 112, 2, 58]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      29|[-0.0022857183036286, -0.0037726056097044, -0.0012912480785264, -0.0012322223583034, -0.0010956782529911, 0.0021147117729533, 0.0013972250058101, -0.002219701390141, -0.0015395402715769, -0.0034008592218786, 0.0007971304796343, -0.0022202680125898, 0.0006037077213872, -0.0033291169417761, 1.000841775425993]|2112.7976074218750000|      0.00048828|[815, 116, 2, 60]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      30|[-0.0022857183036286, -0.0037726056097044, -0.0012912480785264, -0.0012322223583034, -0.0010956782529911, 0.0021147117729533, 0.0013972250058101, -0.002219701390141, -0.0015395402715769, -0.0034008592218786, 0.0007971304796343, -0.0022202680125898, 0.0006037077213872, -0.0033291169417761, 1.000841775425993]|2112.7976074218750000|      0.00024414|[843, 120, 2, 62]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      31|[-0.0023733819147946, -0.003881810671378, -0.0012515084892466, -0.0011606726757057, -0.0010096885204167, 0.0021263292066039, 0.001404437110342, -0.0021804066320025, -0.0015709803693069, -0.00344559816508, 0.0006746559253579, -0.0022494097501836, 0.0005961348184242, -0.0033824451875922, 1.0007924849967038]|2112.6669921875000000|      0.00048828|[871, 124, 2, 64]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      32|[-0.0023093696757014, -0.0040933612074509, -0.0012769260378785, -0.0012488974902056, -0.0009753129682267, 0.0023779896856427, 0.001382758032751, -0.0020895806066056, -0.0017338426435736, -0.0035418026107161, 0.0005800891593174, -0.0021113343762431, 0.0005498576467816, -0.0035743806659591, 1.0008641493981267]|2112.6225585937500000|      0.00097656|[899, 128, 2, 66]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      33|[-0.0023093696757014, -0.0040933612074509, -0.0012769260378785, -0.0012488974902056, -0.0009753129682267, 0.0023779896856427, 0.001382758032751, -0.0020895806066056, -0.0017338426435736, -0.0035418026107161, 0.0005800891593174, -0.0021113343762431, 0.0005498576467816, -0.0035743806659591, 1.0008641493981267]|2112.6225585937500000|      0.00048828|[927, 132, 2, 68]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      34|[-0.0023093696757014, -0.0040933612074509, -0.0012769260378785, -0.0012488974902056, -0.0009753129682267, 0.0023779896856427, 0.001382758032751, -0.0020895806066056, -0.0017338426435736, -0.0035418026107161, 0.0005800891593174, -0.0021113343762431, 0.0005498576467816, -0.0035743806659591, 1.0008641493981267]|2112.6225585937500000|      0.00024414|[955, 136, 2, 70]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      35|[-0.002380900742274, -0.0041594386301506, -0.0013154476693316, -0.0012103582322714, -0.0010040393689961, 0.0022834724662219, 0.0014125211791804, -0.0021225740165585, -0.0016329437126325, -0.0034669332162867, 0.0006441638440374, -0.0020897722675144, 0.0004975018995448, -0.0036823173035082, 1.0008900619803545]|2112.4812011718750000|      0.00048828|[983, 140, 2, 72]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      36|[-0.0024361524517404, -0.0041867915750026, -0.0016149893671573, -0.0011932449856642, -0.0011322864439734, 0.0021581204076106, 0.0013202272512709, -0.0019191438828456, -0.0016091675335016, -0.0034491082537635, 0.0006223192938703, -0.00211236696258, 0.0005260317717292, -0.0039252974958985, 1.0008615480400094]|2112.3791503906250000|      0.00097656|[1011, 144, 2, 74]                                                         |  | trying linear partial model with 15 points | iterate success | actual_k=2
      37|[-0.0025538234412391, -0.0048242529206725, -0.0016242644601341, -0.0011605189722444, -0.0008424343823203, 0.0021143536868513, 0.0011698817390089, -0.0020739670006761, -0.0013352341196684, -0.003109667908452, 0.0007718438490355, -0.00192439562758, 0.0002998521341014, -0.0039557829492785, 1.000545678630628]|2112.1101074218750000|      0.00195312|[1039, 148, 2, 76]                                                         |  | trying linear partial model with 15 points | iterate success | actual_k=2
      38|[-0.0025538234412391, -0.0048242529206725, -0.0016242644601341, -0.0011605189722444, -0.0008424343823203, 0.0021143536868513, 0.0011698817390089, -0.0020739670006761, -0.0013352341196684, -0.003109667908452, 0.0007718438490355, -0.00192439562758, 0.0002998521341014, -0.0039557829492785, 1.000545678630628]|2112.1101074218750000|      0.00097656|[1067, 152, 2, 78]                                                         |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      39|[-0.0025538234412391, -0.0048242529206725, -0.0016242644601341, -0.0011605189722444, -0.0008424343823203, 0.0021143536868513, 0.0011698817390089, -0.0020739670006761, -0.0013352341196684, -0.003109667908452, 0.0007718438490355, -0.00192439562758, 0.0002998521341014, -0.0039557829492785, 1.000545678630628]|2112.1101074218750000|      0.00048828|[1095, 156, 2, 80]                                                         |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      40|[-0.0025538234412391, -0.0048242529206725, -0.0016242644601341, -0.0011605189722444, -0.0008424343823203, 0.0021143536868513, 0.0011698817390089, -0.0020739670006761, -0.0013352341196684, -0.003109667908452, 0.0007718438490355, -0.00192439562758, 0.0002998521341014, -0.0039557829492785, 1.000545678630628]|2112.1101074218750000|      0.00024414|[1123, 160, 2, 82]                                                         |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      41|[-0.0023730575797392, -0.0048415798031757, -0.0016869139117428, -0.0011132859897683, -0.0008828167914686, 0.002093771525905, 0.0012099884041744, -0.0021193797797831, -0.001269474399457, -0.0030416268243546, 0.0007721748571124, -0.0019004213137506, 0.0002603487601127, -0.003983132013047, 1.0005996202132539]|2111.9135742187500000|      0.00048828|[1151, 164, 2, 84]                                                         |  | trying linear partial model with 15 points | iterate success | actual_k=2
      42|[-0.0022417022447777, -0.0051400257189898, -0.0017082040471587, -0.0011178638859403, -0.0008145404126379, 0.0020662569794017, 0.0012975276786967, -0.0022676796417182, -0.0010980704248578, -0.0028524346901771, 0.0007411418116365, -0.0017733254125526, 0.0002104562490585, -0.0039843614373775, 1.0007080881684498]|2111.7741699218750000|      0.00097656|[1179, 168, 2, 86]                                                         |  | trying linear partial model with 15 points | iterate success | actual_k=2
      43|[-0.0022417022447777, -0.0051400257189898, -0.0017082040471587, -0.0011178638859403, -0.0008145404126379, 0.0020662569794017, 0.0012975276786967, -0.0022676796417182, -0.0010980704248578, -0.0028524346901771, 0.0007411418116365, -0.0017733254125526, 0.0002104562490585, -0.0039843614373775, 1.0007080881684498]|2111.7741699218750000|      0.00048828|[1207, 172, 3, 89]                                                         |  | trying linear partial model with 15 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      44|[-0.0023460289075059, -0.0053105691297195, -0.0016856681047601, -0.0010069729833162, -0.0006338708828178, 0.0021334258089679, 0.0012566761520174, -0.0022046877655576, -0.0008884550476844, -0.0027392741679866, 0.0007563075945554, -0.0015716503590595, 6.0662554799e-05, -0.0040834023776379, 1.0005942423988217]|2111.5820312500000000|      0.00097656|[1236, 176, 3, 91]                                                         |  | trying linear partial model with 15 points | iterate success | actual_k=2
      45|[-0.0023460289075059, -0.0053105691297195, -0.0016856681047601, -0.0010069729833162, -0.0006338708828178, 0.0021334258089679, 0.0012566761520174, -0.0022046877655576, -0.0008884550476844, -0.0027392741679866, 0.0007563075945554, -0.0015716503590595, 6.0662554799e-05, -0.0040834023776379, 1.0005942423988217]|2111.5820312500000000|      0.00048828|[1264, 180, 4, 94]                                                         |  | trying linear partial model with 15 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      46|[-0.0022606531951087, -0.0054224083400844, -0.0019867066680953, -0.0011072552648908, -0.0004823330224482, 0.0019347773816821, 0.0012395348480963, -0.0023464263632436, -0.0008015323733706, -0.0026364033540521, 0.0007763231113321, -0.0016572111016127, -2.49865264246e-05, -0.0040449434837786, 1.0006156470993575]|2111.4729003906250000|      0.00097656|[1293, 184, 4, 96]                                                         |  | trying linear partial model with 15 points | iterate success | actual_k=2
      47|[-0.0022606531951087, -0.0054224083400844, -0.0019867066680953, -0.0011072552648908, -0.0004823330224482, 0.0019347773816821, 0.0012395348480963, -0.0023464263632436, -0.0008015323733706, -0.0026364033540521, 0.0007763231113321, -0.0016572111016127, -2.49865264246e-05, -0.0040449434837786, 1.0006156470993575]|2111.4729003906250000|      0.00048828|[1321, 188, 4, 98]                                                         |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      48|[-0.0022606531951087, -0.0054224083400844, -0.0019867066680953, -0.0011072552648908, -0.0004823330224482, 0.0019347773816821, 0.0012395348480963, -0.0023464263632436, -0.0008015323733706, -0.0026364033540521, 0.0007763231113321, -0.0016572111016127, -2.49865264246e-05, -0.0040449434837786, 1.0006156470993575]|2111.4729003906250000|      0.00024414|[1349, 192, 4, 100]                                                        |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      49|[-0.0023925055412607, -0.0054264913179868, -0.0020200739680639, -0.0012103227586118, -0.0004517954821551, 0.0020116017049097, 0.001245820251466, -0.0023352231976837, -0.0007953975873286, -0.0026650376260356, 0.0007343001927209, -0.0016350000922366, -7.77732431497e-05, -0.0040532974088221, 1.000483381928556]|2111.4543457031250000|      0.00048828|[1377, 196, 4, 102]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      50|[-0.0023925055412607, -0.0054264913179868, -0.0020200739680639, -0.0012103227586118, -0.0004517954821551, 0.0020116017049097, 0.001245820251466, -0.0023352231976837, -0.0007953975873286, -0.0026650376260356, 0.0007343001927209, -0.0016350000922366, -7.77732431497e-05, -0.0040532974088221, 1.000483381928556]|2111.4543457031250000|      0.00024414|[1405, 200, 4, 104]                                                        |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      51|[-0.0022817715460682, -0.0055863239215205, -0.0020397985149367, -0.0011939629795178, -0.0003756046551547, 0.0019859529606526, 0.0012210444231273, -0.0023573373833527, -0.000752589749749, -0.0027182174832423, 0.0007134153992207, -0.0015894983109908, -4.91996819519e-05, -0.0041203235888563, 1.0005165109891432]|2111.3503417968750000|      0.00048828|[1433, 204, 4, 106]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      52|[-0.0022817715460682, -0.0055863239215205, -0.0020397985149367, -0.0011939629795178, -0.0003756046551547, 0.0019859529606526, 0.0012210444231273, -0.0023573373833527, -0.000752589749749, -0.0027182174832423, 0.0007134153992207, -0.0015894983109908, -4.91996819519e-05, -0.0041203235888563, 1.0005165109891432]|2111.3503417968750000|      0.00024414|[1461, 208, 4, 108]                                                        |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      53|[-0.0023867477947966, -0.0057138464986905, -0.0021005657546495, -0.0011716630024661, -0.0004233943018682, 0.0019173082890201, 0.0012616432598619, -0.0023768856843549, -0.0008569936481734, -0.002650381844664, 0.0007074062652925, -0.0016217190711048, -8.64174723696e-05, -0.0040939277742097, 1.000495337961402]|2111.2863434086862071|      0.00048828|[1489, 212, 5, 111]                                                        |  | trying linear partial model with 15 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=2
      54|[-0.002361553216821, -0.0060624742752937, -0.0021638586536962, -0.0010492432795658, -0.0002429249068522, 0.0018790873859371, 0.0011778053717289, -0.0023881575709372, -0.0008446937112825, -0.0026542504410799, 0.0006769113372632, -0.0016025487420205, -0.0001430278745176, -0.0042010704266242, 1.000295547979225]|2111.0537109375000000|      0.00097656|[1518, 216, 5, 113]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      55|[-0.002201511128575, -0.0064032454176996, -0.0020435033837433, -0.0010591546963021, 0.0002747044357409, 0.0016955117997863, 0.0012087294074805, -0.0023679930290927, -0.0009905903077897, -0.0029424356793518, 0.0009674234664779, -0.0013079489893902, -0.0004760140622201, -0.0041774150574421, 1.0006232474959178]|2110.9165591910646071|      0.00195312|[1546, 220, 6, 116]                                                        |  | trying linear partial model with 15 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=2
      56|[-0.002201511128575, -0.0064032454176996, -0.0020435033837433, -0.0010591546963021, 0.0002747044357409, 0.0016955117997863, 0.0012087294074805, -0.0023679930290927, -0.0009905903077897, -0.0029424356793518, 0.0009674234664779, -0.0013079489893902, -0.0004760140622201, -0.0041774150574421, 1.0006232474959178]|2110.9165591910646071|      0.00097656|[1575, 224, 7, 119]                                                        |  | trying linear partial model with 15 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      57|[-0.002201511128575, -0.0064032454176996, -0.0020435033837433, -0.0010591546963021, 0.0002747044357409, 0.0016955117997863, 0.0012087294074805, -0.0023679930290927, -0.0009905903077897, -0.0029424356793518, 0.0009674234664779, -0.0013079489893902, -0.0004760140622201, -0.0041774150574421, 1.0006232474959178]|2110.9165591910646071|      0.00048828|[1604, 228, 7, 121]                                                        |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      58|[-0.002201511128575, -0.0064032454176996, -0.0020435033837433, -0.0010591546963021, 0.0002747044357409, 0.0016955117997863, 0.0012087294074805, -0.0023679930290927, -0.0009905903077897, -0.0029424356793518, 0.0009674234664779, -0.0013079489893902, -0.0004760140622201, -0.0041774150574421, 1.0006232474959178]|2110.9165591910646071|      0.00024414|[1632, 232, 7, 123]                                                        |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      59|[-0.0023151893322701, -0.006504107594419, -0.0021133799299596, -0.0011060540187958, 0.0003010381606953, 0.0017719258790539, 0.0012295205757339, -0.002321278925203, -0.0010211708143009, -0.0029447499067918, 0.000992160318268, -0.0012185995596327, -0.0005515271131529, -0.0042479540349102, 1.0006313514147902]|2110.7697753906250000|      0.00048828|[1660, 236, 7, 125]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      60|[-0.0023151893322701, -0.006504107594419, -0.0021133799299596, -0.0011060540187958, 0.0003010381606953, 0.0017719258790539, 0.0012295205757339, -0.002321278925203, -0.0010211708143009, -0.0029447499067918, 0.000992160318268, -0.0012185995596327, -0.0005515271131529, -0.0042479540349102, 1.0006313514147902]|2110.7697753906250000|      0.00024414|[1688, 240, 7, 127]                                                        |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
