k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      1.00000000|[0, 0, 0, 0]                                                               | 
      28|[-0.0023799115392543, -0.0053815995606845, 0.0030372045117349, -0.0105804059370996, -0.0016586166842553, 0.0022750116740314, -0.0033396579471352, -0.0019563622421525, 0.0025166755093606, 0.0007845849115593, 0.0056113508567278, 0.0016898212910657, 0.0018679317410989, -0.0069880641346245, 1.0029291744325841]|2112.9975585937500000|      0.00097656|[676, 224, 3, 59]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      29|[-0.0023799115392543, -0.0053815995606845, 0.0030372045117349, -0.0105804059370996, -0.0016586166842553, 0.0022750116740314, -0.0033396579471352, -0.0019563622421525, 0.0025166755093606, 0.0007845849115593, 0.0056113508567278, 0.0016898212910657, 0.0018679317410989, -0.0069880641346245, 1.0029291744325841]|2112.9975585937500000|      0.00048828|[700, 232, 3, 61]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      30|[-0.0023799115392543, -0.0053815995606845, 0.0030372045117349, -0.0105804059370996, -0.0016586166842553, 0.0022750116740314, -0.0033396579471352, -0.0019563622421525, 0.0025166755093606, 0.0007845849115593, 0.0056113508567278, 0.0016898212910657, 0.0018679317410989, -0.0069880641346245, 1.0029291744325841]|2112.9975585937500000|      0.00024414|[724, 240, 3, 63]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      31|[-0.0024667464152215, -0.0054684027927887, 0.0030711767075195, -0.0104902561692275, -0.0015609062150575, 0.0023346150712323, -0.0033431661254684, -0.0019088558766674, 0.0024950897628443, 0.0007267921814712, 0.0055039548539204, 0.0016728185954919, 0.0018467405402644, -0.0070435529861599, 1.0029022973492039]|2112.8366699218750000|      0.00048828|[748, 248, 3, 65]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      32|[-0.0025989277292943, -0.0056190977715597, 0.0030183218409707, -0.010582040196362, -0.0014041847219753, 0.0025601112189881, -0.0034013232910509, -0.0018625576259862, 0.002340632974189, 0.0005778729600042, 0.0055133273468213, 0.0018053295708074, 0.0017438017025785, -0.0072218354490466, 1.002906983285093]|2112.7810058593750000|      0.00097656|[772, 256, 3, 67]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      33|[-0.0025989277292943, -0.0056190977715597, 0.0030183218409707, -0.010582040196362, -0.0014041847219753, 0.0025601112189881, -0.0034013232910509, -0.0018625576259862, 0.002340632974189, 0.0005778729600042, 0.0055133273468213, 0.0018053295708074, 0.0017438017025785, -0.0072218354490466, 1.002906983285093]|2112.7810058593750000|      0.00048828|[796, 264, 3, 69]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      34|[-0.0023526012116075, -0.0056876611497235, 0.0030340703202815, -0.0103556579494002, -0.0015548067225546, 0.002460568636983, -0.0032497997675055, -0.0018924609616532, 0.0023098303827023, 0.0006560380749341, 0.0055044982602055, 0.0017466886670782, 0.0015542227710022, -0.0071804534350621, 1.0027771113609365]|2112.7353515625000000|      0.00097656|[820, 272, 3, 71]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      35|[-0.0023526012116075, -0.0056876611497235, 0.0030340703202815, -0.0103556579494002, -0.0015548067225546, 0.002460568636983, -0.0032497997675055, -0.0018924609616532, 0.0023098303827023, 0.0006560380749341, 0.0055044982602055, 0.0017466886670782, 0.0015542227710022, -0.0071804534350621, 1.0027771113609365]|2112.7353515625000000|      0.00048828|[844, 280, 3, 73]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      36|[-0.0023526012116075, -0.0056876611497235, 0.0030340703202815, -0.0103556579494002, -0.0015548067225546, 0.002460568636983, -0.0032497997675055, -0.0018924609616532, 0.0023098303827023, 0.0006560380749341, 0.0055044982602055, 0.0017466886670782, 0.0015542227710022, -0.0071804534350621, 1.0027771113609365]|2112.7353515625000000|      0.00024414|[868, 288, 3, 75]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      37|[-0.0024773418378248, -0.0057652892105964, 0.002928484502062, -0.0103140057169617, -0.0015802817275828, 0.002517259257882, -0.0032008565640629, -0.001860796822188, 0.0022817921238682, 0.0005390801957516, 0.0054841151373775, 0.0017747179035031, 0.0015594159182176, -0.0072180455456359, 1.002804817669917]|2112.6025390625000000|      0.00048828|[892, 296, 3, 77]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      38|[-0.0024716076422726, -0.0060447487769725, 0.0029279465897199, -0.0105005142507182, -0.001464055217749, 0.0024253266170551, -0.0030808058771398, -0.001802891150871, 0.0022913463347119, 0.0005705073239997, 0.0056745690800011, 0.0018682575850601, 0.0016856181000707, -0.0070675044085836, 1.002771864189975]|2112.4770507812500000|      0.00097656|[916, 304, 3, 79]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      39|[-0.0024170403193562, -0.0066413297400012, 0.0024950580749828, -0.0105656403853622, -0.0014987308126095, 0.0024139551154055, -0.0032234293447358, -0.001975440397916, 0.0022080036703469, 0.0002733301170875, 0.0059272178507766, 0.0016136580231713, 0.0017414664243652, -0.0074173627779622, 1.0027241667028455]|2112.0905761718750000|      0.00195312|[940, 312, 3, 81]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      40|[-0.0024170403193562, -0.0066413297400012, 0.0024950580749828, -0.0105656403853622, -0.0014987308126095, 0.0024139551154055, -0.0032234293447358, -0.001975440397916, 0.0022080036703469, 0.0002733301170875, 0.0059272178507766, 0.0016136580231713, 0.0017414664243652, -0.0074173627779622, 1.0027241667028455]|2112.0905761718750000|      0.00097656|[964, 320, 3, 83]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      41|[-0.0024170403193562, -0.0066413297400012, 0.0024950580749828, -0.0105656403853622, -0.0014987308126095, 0.0024139551154055, -0.0032234293447358, -0.001975440397916, 0.0022080036703469, 0.0002733301170875, 0.0059272178507766, 0.0016136580231713, 0.0017414664243652, -0.0074173627779622, 1.0027241667028455]|2112.0905761718750000|      0.00048828|[988, 328, 3, 85]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      42|[-0.0024426553049969, -0.0068861202343936, 0.0024741171807392, -0.0105153879866924, -0.0013431054912458, 0.0024870010590368, -0.0031809341982824, -0.0021502701173793, 0.002445605171178, 0.0003894284249835, 0.0060114761911377, 0.0017812243020464, 0.0016574845939775, -0.0074054376533843, 1.0027495369525852]|2111.9194335937500000|      0.00097656|[1012, 336, 3, 87]                                                         |  | trying linear partial model with 13 points | iterate success | actual_k=4
      43|[-0.0024426553049969, -0.0068861202343936, 0.0024741171807392, -0.0105153879866924, -0.0013431054912458, 0.0024870010590368, -0.0031809341982824, -0.0021502701173793, 0.002445605171178, 0.0003894284249835, 0.0060114761911377, 0.0017812243020464, 0.0016574845939775, -0.0074054376533843, 1.0027495369525852]|2111.9194335937500000|      0.00048828|[1036, 344, 4, 90]                                                         |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      44|[-0.0023187401830529, -0.0072818088289672, 0.0024415373612777, -0.0104946978509746, -0.0013770354242411, 0.0024047388785534, -0.0031848235982562, -0.0021056769763281, 0.0025096085541171, 0.0004977085044675, 0.0059259753693757, 0.0018280974573109, 0.0015308014987561, -0.007507240460412, 1.0026917291754727]|2111.7207031250000000|      0.00097656|[1061, 352, 4, 92]                                                         |  | trying linear partial model with 13 points | iterate success | actual_k=4
      45|[-0.0023187401830529, -0.0072818088289672, 0.0024415373612777, -0.0104946978509746, -0.0013770354242411, 0.0024047388785534, -0.0031848235982562, -0.0021056769763281, 0.0025096085541171, 0.0004977085044675, 0.0059259753693757, 0.0018280974573109, 0.0015308014987561, -0.007507240460412, 1.0026917291754727]|2111.7207031250000000|      0.00048828|[1085, 360, 5, 95]                                                         |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      46|[-0.0025233275478894, -0.0072888646150598, 0.0022096043366815, -0.010448217967377, -0.0014187846121034, 0.0024844862894686, -0.0031891383100296, -0.002124761746732, 0.0023625396079511, 0.000489816735736, 0.0058490577967018, 0.0016080680184792, 0.001594850956944, -0.0074946744085569, 1.0029193098152245]|2111.6887207031250000|      0.00097656|[1110, 368, 5, 97]                                                         |  | trying linear partial model with 13 points | iterate success | actual_k=4
      47|[-0.0025233275478894, -0.0072888646150598, 0.0022096043366815, -0.010448217967377, -0.0014187846121034, 0.0024844862894686, -0.0031891383100296, -0.002124761746732, 0.0023625396079511, 0.000489816735736, 0.0058490577967018, 0.0016080680184792, 0.001594850956944, -0.0074946744085569, 1.0029193098152245]|2111.6887207031250000|      0.00048828|[1134, 376, 5, 99]                                                         |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      48|[-0.0025233275478894, -0.0072888646150598, 0.0022096043366815, -0.010448217967377, -0.0014187846121034, 0.0024844862894686, -0.0031891383100296, -0.002124761746732, 0.0023625396079511, 0.000489816735736, 0.0058490577967018, 0.0016080680184792, 0.001594850956944, -0.0074946744085569, 1.0029193098152245]|2111.6887207031250000|      0.00024414|[1158, 384, 5, 101]                                                        |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      49|[-0.0023484192694579, -0.0073618564638593, 0.0022037806071559, -0.010476800601811, -0.0014180833395214, 0.0024565461133887, -0.0032276446171936, -0.0021205820244304, 0.0023329709886595, 0.0006114668465201, 0.0058764144053512, 0.0015925137089669, 0.0015963044140755, -0.0075479034426594, 1.0029517579156328]|2111.6069335937500000|      0.00048828|[1182, 392, 5, 103]                                                        |  | trying linear partial model with 13 points | iterate success | actual_k=4
      50|[-0.0023484192694579, -0.0073618564638593, 0.0022037806071559, -0.010476800601811, -0.0014180833395214, 0.0024565461133887, -0.0032276446171936, -0.0021205820244304, 0.0023329709886595, 0.0006114668465201, 0.0058764144053512, 0.0015925137089669, 0.0015963044140755, -0.0075479034426594, 1.0029517579156328]|2111.6069335937500000|      0.00024414|[1206, 400, 6, 106]                                                        |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      51|[-0.0024064478890523, -0.0074988446950828, 0.0021690015370288, -0.0104232758469898, -0.0013591464973934, 0.0023259333951696, -0.0031333205645052, -0.0021230939574203, 0.002319211298375, 0.000622383828349, 0.0058463350552687, 0.0015928923723105, 0.0015512825466897, -0.0075730003122727, 1.0029612581043144]|2111.4743652343750000|      0.00048828|[1231, 408, 6, 108]                                                        |  | trying linear partial model with 13 points | iterate success | actual_k=4
      52|[-0.0024064478890523, -0.0074988446950828, 0.0021690015370288, -0.0104232758469898, -0.0013591464973934, 0.0023259333951696, -0.0031333205645052, -0.0021230939574203, 0.002319211298375, 0.000622383828349, 0.0058463350552687, 0.0015928923723105, 0.0015512825466897, -0.0075730003122727, 1.0029612581043144]|2111.4743652343750000|      0.00024414|[1255, 416, 6, 110]                                                        |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      53|[-0.0024275948735512, -0.0076178431971082, 0.0020536872331432, -0.0103893386422898, -0.0013800042172641, 0.0023075964503532, -0.0030755272979479, -0.0021628211864917, 0.0021932242981504, 0.0006883865301834, 0.0058371219786787, 0.0015499841931092, 0.0015008923045962, -0.007562744442752, 1.0029535998717338]|2111.3850189862605475|      0.00048828|[1279, 424, 7, 113]                                                        |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
      54|[-0.0024616696141032, -0.0079411868694243, 0.0019958909931773, -0.0102033581386924, -0.0011465649599618, 0.0022638017793977, -0.0031615190283704, -0.0022089928076728, 0.0021629852558804, 0.0007069853980669, 0.005844615028969, 0.0015191251271268, 0.0014410947836658, -0.0076585226870406, 1.0028360371633922]|2111.1465674075329844|      0.00097656|[1304, 432, 8, 116]                                                        |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
      55|[-0.0023974190203666, -0.0081083526702388, 0.0023063903541697, -0.010401206441584, -0.0005463513470524, 0.0023293472468788, -0.0028189756881856, -0.0022021065174412, 0.001861358150945, 0.0006523754917978, 0.0059938506541529, 0.0017324905048847, 0.0012312761146872, -0.0079167612446465, 1.0030139241588616]|2110.9507294027957869|      0.00195312|[1329, 440, 9, 119]                                                        |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
      56|[-0.0023974190203666, -0.0081083526702388, 0.0023063903541697, -0.010401206441584, -0.0005463513470524, 0.0023293472468788, -0.0028189756881856, -0.0022021065174412, 0.001861358150945, 0.0006523754917978, 0.0059938506541529, 0.0017324905048847, 0.0012312761146872, -0.0079167612446465, 1.0030139241588616]|2110.9507294027957869|      0.00097656|[1354, 448, 10, 122]                                                       |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      57|[-0.0023035330506054, -0.0085257494076116, 0.0025971787098641, -0.0108548109441372, -0.0006193404609386, 0.0020540295737959, -0.0028863213889044, -0.0023077433622278, 0.0020021440665889, 0.0001173471885794, 0.0060265489911158, 0.0016797199876627, 0.0010014215866706, -0.0079938857862346, 1.003135545731595]|2110.9030761718750000|      0.00195312|[1379, 456, 10, 124]                                                       |  | trying linear partial model with 13 points | iterate success | actual_k=4
      58|[-0.0023035330506054, -0.0085257494076116, 0.0025971787098641, -0.0108548109441372, -0.0006193404609386, 0.0020540295737959, -0.0028863213889044, -0.0023077433622278, 0.0020021440665889, 0.0001173471885794, 0.0060265489911158, 0.0016797199876627, 0.0010014215866706, -0.0079938857862346, 1.003135545731595]|2110.9030761718750000|      0.00097656|[1403, 464, 10, 126]                                                       |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      59|[-0.0023035330506054, -0.0085257494076116, 0.0025971787098641, -0.0108548109441372, -0.0006193404609386, 0.0020540295737959, -0.0028863213889044, -0.0023077433622278, 0.0020021440665889, 0.0001173471885794, 0.0060265489911158, 0.0016797199876627, 0.0010014215866706, -0.0079938857862346, 1.003135545731595]|2110.9030761718750000|      0.00048828|[1427, 472, 10, 128]                                                       |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      60|[-0.0023035330506054, -0.0085257494076116, 0.0025971787098641, -0.0108548109441372, -0.0006193404609386, 0.0020540295737959, -0.0028863213889044, -0.0023077433622278, 0.0020021440665889, 0.0001173471885794, 0.0060265489911158, 0.0016797199876627, 0.0010014215866706, -0.0079938857862346, 1.003135545731595]|2110.9030761718750000|      0.00024414|[1451, 480, 10, 130]                                                       |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
