k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
      12|[20.00035304974268, 2.1914611540271873, 1.968767472808009, 2.0852446309041657, 0.5295565685074058]|3651.9061898385562017|      0.06250000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[20.00035304974268, 2.1914611540271873, 1.968767472808009, 2.0852446309041657, 0.5295565685074058]|3651.9061898385562017|      0.03125000|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      14|[19.997993011840073, 2.2190349838005368, 1.9681676870506082, 2.091496005211113, 0.5426423321094376]|3579.7548266435646838|      0.06250000|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      15|[20.00283112102388, 2.275804192166316, 1.9851305810426432, 2.0967532367120385, 0.5240756569787373]|3457.2739446476934972|      0.12500000|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      16|[20.00283112102388, 2.275804192166316, 1.9851305810426432, 2.0967532367120385, 0.5240756569787373]|3457.2739446476934972|      0.06250000|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      17|[20.00283112102388, 2.275804192166316, 1.9851305810426432, 2.0967532367120385, 0.5240756569787373]|3457.2739446476934972|      0.03125000|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      18|[20.00350694571731, 2.303045326841698, 1.9956278110484669, 2.1010258174779426, 0.5343508483825563]|3398.0102358116423602|      0.06250000|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      19|[19.978090977457686, 2.346267923513442, 1.991443469556774, 2.1014098907677923, 0.497277549792242]|3376.8217959230451015|      0.12500000|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      20|[20.053793716272686, 2.4377998783897534, 2.0062608090291065, 2.1082093589607607, 0.5326358621909317]|3195.5375704111720552|      0.25000000|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      21|[20.053793716272686, 2.4377998783897534, 2.0062608090291065, 2.1082093589607607, 0.5326358621909317]|3195.5375704111720552|      0.12500000|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      22|[20.053793716272686, 2.4377998783897534, 2.0062608090291065, 2.1082093589607607, 0.5326358621909317]|3195.5375704111720552|      0.06250000|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      23|[20.053793716272686, 2.4377998783897534, 2.0062608090291065, 2.1082093589607607, 0.5326358621909317]|3195.5375704111720552|      0.03125000|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      24|[20.05582798710268, 2.4464281719481162, 2.0125797855613436, 2.114495771635577, 0.5040259278371466]|3138.1902250046123299|      0.06250000|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      25|[20.05582798710268, 2.4464281719481162, 2.0125797855613436, 2.114495771635577, 0.5040259278371466]|3138.1902250046123299|      0.03125000|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
