k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]                                        |181.6199359999999956|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.0946958721972526, 0.7835485081414066, 0.3329971743718179, 1.088528571431404, 0.5521775100526766, 1.7754675292744477, 1.0781440588618563, 0.8678801605940707]| 70.5591773334176793|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
      20|[-0.2859668994106995, 0.643188546134848, 0.2646906104719702, 1.0960011586480591, 0.4119650804337308, 2.0179999518695477, 1.149051048797018, 1.0514748960054645]| 34.5238393496297746|      0.06250000|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      21|[-0.3135961955211018, 0.6020320326474707, 0.2650325344339439, 1.1069740614780026, 0.4193832302606557, 2.0316876300202997, 1.1553628884996792, 1.083821009915029]| 32.3478900122598816|      0.12500000|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      22|[-0.3135961955211018, 0.6020320326474707, 0.2650325344339439, 1.1069740614780026, 0.4193832302606557, 2.0316876300202997, 1.1553628884996792, 1.083821009915029]| 32.3478900122598816|      0.06250000|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      23|[-0.3508005567359721, 0.5689495865722597, 0.2732511256425649, 1.0798473551180952, 0.4320907630391143, 2.018958138709029, 1.1429598487711037, 1.095940296033246]| 31.2914658305860165|      0.12500000|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      24|[-0.3508005567359721, 0.5689495865722597, 0.2732511256425649, 1.0798473551180952, 0.4320907630391143, 2.018958138709029, 1.1429598487711037, 1.095940296033246]| 31.2914658305860165|      0.06250000|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      25|[-0.3625415847085161, 0.5400428166376618, 0.2732307071132491, 1.0632488895676893, 0.4074299687484449, 2.06074546657774, 1.1522516349855654, 1.1106581288235282]| 29.7561959523744797|      0.12500000|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      26|[-0.3625415847085161, 0.5400428166376618, 0.2732307071132491, 1.0632488895676893, 0.4074299687484449, 2.06074546657774, 1.1522516349855654, 1.1106581288235282]| 29.7561959523744797|      0.06250000|[416, 26, 26, 52]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      27|[-0.3915089894572855, 0.5253998874745401, 0.2582681992747096, 1.0369843891545214, 0.3923157939791597, 2.098257125211069, 1.1679104960711804, 1.103025257673389]| 27.9556156367540325|      0.12500000|[432, 27, 27, 54]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      28|[-0.3915089894572855, 0.5253998874745401, 0.2582681992747096, 1.0369843891545214, 0.3923157939791597, 2.098257125211069, 1.1679104960711804, 1.103025257673389]| 27.9556156367540325|      0.06250000|[448, 28, 28, 56]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      29|[-0.420657735490286, 0.4952034986582231, 0.2682860565669026, 1.0069688670284056, 0.3646391808323314, 2.0967054275237476, 1.1835286079501923, 1.0915726783014754]| 26.6868396484310892|      0.12500000|[464, 29, 29, 58]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      30|[-0.420657735490286, 0.4952034986582231, 0.2682860565669026, 1.0069688670284056, 0.3646391808323314, 2.0967054275237476, 1.1835286079501923, 1.0915726783014754]| 26.6868396484310892|      0.06250000|[480, 30, 30, 60]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      31|[-0.420657735490286, 0.4952034986582231, 0.2682860565669026, 1.0069688670284056, 0.3646391808323314, 2.0967054275237476, 1.1835286079501923, 1.0915726783014754]| 26.6868396484310892|      0.03125000|[496, 31, 31, 62]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      32|[-0.4314175179930342, 0.4816050473503236, 0.2710730896940786, 1.0111789002698128, 0.3611313177416984, 2.116624730256284, 1.1927822869707476, 1.1040492751430013]| 25.8231223467998170|      0.06250000|[512, 32, 32, 64]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      33|[-0.4601500584660185, 0.4473003390012157, 0.249658597323376, 1.001645692014144, 0.3614635958739988, 2.1487362176167686, 1.197593015358656, 1.0867283507153576]| 24.5188367486289280|      0.12500000|[528, 33, 33, 66]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      34|[-0.4601500584660185, 0.4473003390012157, 0.249658597323376, 1.001645692014144, 0.3614635958739988, 2.1487362176167686, 1.197593015358656, 1.0867283507153576]| 24.5188367486289280|      0.06250000|[544, 34, 34, 68]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      35|[-0.4601500584660185, 0.4473003390012157, 0.249658597323376, 1.001645692014144, 0.3614635958739988, 2.1487362176167686, 1.197593015358656, 1.0867283507153576]| 24.5188367486289280|      0.03125000|[560, 35, 35, 70]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      36|[-0.4720736994650013, 0.427850414515232, 0.2376243528497296, 0.9986517044883526, 0.3622248043347066, 2.1546812411163185, 1.2002416188434257, 1.1028331598825112]| 23.8892753280182859|      0.06250000|[576, 36, 36, 72]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      37|[-0.4720736994650013, 0.427850414515232, 0.2376243528497296, 0.9986517044883526, 0.3622248043347066, 2.1546812411163185, 1.2002416188434257, 1.1028331598825112]| 23.8892753280182859|      0.03125000|[592, 37, 37, 74]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      38|[-0.4857591198946455, 0.4128863597229301, 0.2362802797910368, 0.986141431257992, 0.363658101423508, 2.1602559037246136, 1.209844898341562, 1.086049799602428]| 23.2745317195685679|      0.06250000|[608, 38, 38, 76]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      39|[-0.5024087675897315, 0.3845363254685737, 0.2337219372328647, 0.9787260287068571, 0.3528145745437682, 2.1933308050820717, 1.2125635034634532, 1.1253545001986671]| 22.6163393516182332|      0.12500000|[624, 39, 39, 78]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      40|[-0.5024087675897315, 0.3845363254685737, 0.2337219372328647, 0.9787260287068571, 0.3528145745437682, 2.1933308050820717, 1.2125635034634532, 1.1253545001986671]| 22.6163393516182332|      0.06250000|[640, 40, 40, 80]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
