k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.50000000|[9, 1, 1, 2]                                                               |  | used linear model with 10 points | iterate failure | actual_k=1
      22|[-0.0121848160736785, 0.1322533711302847, -0.3159461579564573, -0.0236434525490765, 0.7611868790600733, -0.0239060272105377, -0.2743272103086736, 0.2754308521979926, -0.129025628565528]|4279.2795854581627282|      0.06250000|[210, 10, 22, 44]                                                          |  | used linear model with 10 points | iterate failure | actual_k=1
      23|[-0.0121848160736785, 0.1322533711302847, -0.3159461579564573, -0.0236434525490765, 0.7611868790600733, -0.0239060272105377, -0.2743272103086736, 0.2754308521979926, -0.129025628565528]|4279.2795854581627282|      0.03125000|[219, 11, 23, 46]                                                          |  | used linear model with 10 points | iterate failure | actual_k=1
      24|[-0.0191868787977152, 0.1315258502312931, -0.3181282940610675, -0.0051419251911115, 0.7745696266350294, -0.0051951533725233, -0.2789054169520606, 0.2803758704259264, -0.1267173424887218]|3150.3984266815523370|      0.06250000|[229, 11, 24, 48]                                                          |  | used linear model with 10 points | iterate success | actual_k=1
      25|[-0.0191868787977152, 0.1315258502312931, -0.3181282940610675, -0.0051419251911115, 0.7745696266350294, -0.0051951533725233, -0.2789054169520606, 0.2803758704259264, -0.1267173424887218]|3150.3984266815523370|      0.03125000|[238, 12, 25, 50]                                                          |  | used linear model with 10 points | iterate failure | actual_k=1
      26|[-0.0139938999099889, 0.1314308613381947, -0.3249718520382908, -0.0137840524040516, 0.7898438544834973, -0.0045557556733055, -0.2800976506059717, 0.2582407878541007, -0.1368648363417787]|2338.4989349469519766|      0.06250000|[248, 12, 26, 52]                                                          |  | used linear model with 10 points | iterate success | actual_k=1
      27|[-0.0139938999099889, 0.1314308613381947, -0.3249718520382908, -0.0137840524040516, 0.7898438544834973, -0.0045557556733055, -0.2800976506059717, 0.2582407878541007, -0.1368648363417787]|2338.4989349469519766|      0.03125000|[257, 13, 27, 54]                                                          |  | used linear model with 10 points | iterate failure | actual_k=1
      28|[0.0018255333730793, 0.1346078257800768, -0.3240705960807364, -0.0022601138056357, 0.807046493448964, -0.0089460727909049, -0.2909391407439373, 0.2574248641876091, -0.1246504107389901]|1816.6801746661667494|      0.06250000|[266, 14, 28, 56]                                                          |  | used linear model with 10 points | iterate success | actual_k=1
      29|[0.0018255333730793, 0.1346078257800768, -0.3240705960807364, -0.0022601138056357, 0.807046493448964, -0.0089460727909049, -0.2909391407439373, 0.2574248641876091, -0.1246504107389901]|1816.6801746661667494|      0.03125000|[275, 15, 29, 58]                                                          |  | used linear model with 10 points | iterate failure | actual_k=1
      30|[0.0018255333730793, 0.1346078257800768, -0.3240705960807364, -0.0022601138056357, 0.807046493448964, -0.0089460727909049, -0.2909391407439373, 0.2574248641876091, -0.1246504107389901]|1816.6801746661667494|      0.01562500|[284, 16, 30, 60]                                                          |  | used linear model with 10 points | iterate failure | actual_k=1
      31|[0.0018255333730793, 0.1346078257800768, -0.3240705960807364, -0.0022601138056357, 0.807046493448964, -0.0089460727909049, -0.2909391407439373, 0.2574248641876091, -0.1246504107389901]|1816.6801746661667494|      0.00781250|[294, 16, 31, 62]                                                          |  | used linear model with 10 points | iterate failure | actual_k=1
      32|[0.0006202595531732, 0.1332103320003572, -0.3236401152721511, -0.0071386449193047, 0.8104892194302685, -0.011910257146866, -0.2914823179077451, 0.2602590762849575, -0.1268131756657876]|1586.2138772752568912|      0.01562500|[303, 17, 32, 64]                                                          |  | used linear model with 10 points | iterate success | actual_k=1
      33|[0.0020695719132916, 0.130544773872219, -0.3185332356767071, -0.0107437360778098, 0.8197350888773416, -0.0183336288275189, -0.291697707967678, 0.2634022723003891, -0.1345064283871893]|1409.3525901301065915|      0.03125000|[313, 17, 33, 66]                                                          |  | used linear model with 10 points | iterate success | actual_k=1
      34|[0.0020695719132916, 0.130544773872219, -0.3185332356767071, -0.0107437360778098, 0.8197350888773416, -0.0183336288275189, -0.291697707967678, 0.2634022723003891, -0.1345064283871893]|1409.3525901301065915|      0.01562500|[322, 18, 34, 68]                                                          |  | used linear model with 10 points | iterate failure | actual_k=1
      35|[0.0048278924863925, 0.1259227446334986, -0.3130625885985072, -0.0090931467494864, 0.8304748324470714, -0.0122479808646486, -0.2910519443115164, 0.2590427517677413, -0.1377801236542675]|1063.6921393229026762|      0.03125000|[332, 18, 35, 70]                                                          |  | used linear model with 10 points | iterate success | actual_k=1
      36|[0.0048278924863925, 0.1259227446334986, -0.3130625885985072, -0.0090931467494864, 0.8304748324470714, -0.0122479808646486, -0.2910519443115164, 0.2590427517677413, -0.1377801236542675]|1063.6921393229026762|      0.01562500|[341, 19, 36, 72]                                                          |  | used linear model with 10 points | iterate failure | actual_k=1
      37|[0.0023736570641171, 0.1247135970039351, -0.3165158273205839, -0.0042340693370569, 0.8405520906211928, -0.0120113991626679, -0.2812235415700876, 0.2594332332659234, -0.1361179729172465]|903.4273960830502119|      0.03125000|[351, 19, 37, 74]                                                          |  | used linear model with 10 points | iterate success | actual_k=1
      38|[0.0023736570641171, 0.1247135970039351, -0.3165158273205839, -0.0042340693370569, 0.8405520906211928, -0.0120113991626679, -0.2812235415700876, 0.2594332332659234, -0.1361179729172465]|903.4273960830502119|      0.01562500|[360, 20, 38, 76]                                                          |  | used linear model with 10 points | iterate failure | actual_k=1
      39|[0.0097600625326868, 0.1228707581893767, -0.3182102106320456, -0.0105251321181764, 0.8484836849112728, -0.012023948064754, -0.2732581362428622, 0.2568151087460973, -0.1393621330781537]|723.7794945137769673|      0.03125000|[369, 21, 39, 78]                                                          |  | used linear model with 10 points | iterate success | actual_k=1
      40|[0.0097600625326868, 0.1228707581893767, -0.3182102106320456, -0.0105251321181764, 0.8484836849112728, -0.012023948064754, -0.2732581362428622, 0.2568151087460973, -0.1393621330781537]|723.7794945137769673|      0.01562500|[378, 22, 40, 80]                                                          |  | used linear model with 10 points | iterate failure | actual_k=1
      41|[0.0097600625326868, 0.1228707581893767, -0.3182102106320456, -0.0105251321181764, 0.8484836849112728, -0.012023948064754, -0.2732581362428622, 0.2568151087460973, -0.1393621330781537]|723.7794945137769673|      0.00781250|[387, 23, 41, 82]                                                          |  | used linear model with 10 points | iterate failure | actual_k=1
      42|[0.0095188412427284, 0.1202832008079295, -0.3188415734083131, -0.0131246986325841, 0.8553167943936819, -0.0114192460724758, -0.2732267480894701, 0.2569197499130894, -0.1395991259701239]|630.5497278672978609|      0.01562500|[396, 24, 42, 84]                                                          |  | used linear model with 10 points | iterate success | actual_k=1
      43|[0.0095188412427284, 0.1202832008079295, -0.3188415734083131, -0.0131246986325841, 0.8553167943936819, -0.0114192460724758, -0.2732267480894701, 0.2569197499130894, -0.1395991259701239]|630.5497278672978609|      0.00781250|[405, 25, 43, 86]                                                          |  | used linear model with 10 points | iterate failure | actual_k=1
      44|[0.0107015373844824, 0.1209694872343419, -0.3185031014205145, -0.0081786452241813, 0.8589803144285391, -0.0070034839919923, -0.2739481439665031, 0.2573483557804929, -0.140580421350576]|584.2398385826585354|      0.01562500|[415, 25, 44, 88]                                                          |  | used linear model with 10 points | iterate success | actual_k=1
      45|[0.0107015373844824, 0.1209694872343419, -0.3185031014205145, -0.0081786452241813, 0.8589803144285391, -0.0070034839919923, -0.2739481439665031, 0.2573483557804929, -0.140580421350576]|584.2398385826585354|      0.00781250|[425, 25, 45, 90]                                                          |  | used linear model with 10 points | iterate failure | actual_k=1
