k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|1827.7085714285710765|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3180141369885396, 0.0754058262583146, 0.2682231715375358, -0.0637434635464657, 0.1203954114485639, 0.2835605331340655, 0.1334335909401365, -0.1328051091494195, 0.1344701977172167, -0.0307433455099355, 0.1847092662173257, 0.1620847976857106, 0.0231661633170361, 0.1348886702991499, 0.1974447658320706, 0.1276487248794715, 0.1445194557954555, 0.109067975529795, 0.0473420775996164, 0.1624287358531993, 0.0910820762580851, -0.0440665850113959, 0.2445425104622543, 0.0696233755458569, 0.2272766588416014, 0.102467893206307, 0.1336722051778912, 0.075119874793867, 0.1228345886288341, 0.068226338269775, 0.1170076064510771, -0.035218643252638, 0.1343612482731322, 0.1679084931102117, -0.0078652357632445, 0.1551057502464487, 0.0717726324356624, 0.0998719109899067, 0.0609181993290694, 0.0392894823769403, 0.0624998086146654, 0.0327446162014401, -0.0314596628807231, -0.0158768710327176, 0.128954542542965, 0.2068490639851675, 0.3095549558078898, -0.0085171358132979, 0.1345062404722642, 0.0800051012390257]|1750.3620046023743271|      2.00000000|[61, 4, 1, 5]                                                              |  | used linear model with 65 points | iterate success | actual_k=1
      12|[1.778744625260602, 3.2058284421279573, 4.434344442217791, 1.2643377193315353, 2.4638370647921835, 3.049562682054617, 2.883866020795385, 3.3226054641606115, 2.769321200505517, 2.2843542392659653, 3.4497404913591145, 3.4889570389769964, 1.387719698389201, 2.7408344141713137, -0.5311191485131881, 2.5400479610499778, 1.1172514510603646, 2.0345508914994053, 1.059682852443581, 1.549482996477813, 2.9240461677812033, 0.8117317293708604, 3.3415534256237267, 2.2049391166117847, 2.5260377349401044, 1.7742573163387652, 1.5446699441366167, 2.9458312575727277, 1.102960344076824, 4.324910063204522, 3.381007138223625, 1.7367827875928536, 2.9928084772727614, 2.6051319655069127, 4.846348803351087, 4.0177545258555565, 0.2776542900930123, 2.684683776027266, 2.988623431292978, 3.615042218771746, 3.7899236628796418, 2.0341319536155344, 0.5910153753349349, 3.290549745756317, 1.5799523339873454, 3.0344375409251243, 1.6961792551017454, 1.412368634844034, 2.5975164319482, 1.9127795735671396]|533.8635136548358560|      4.00000000|[732, 48, 12, 60]                                                          |  | used linear model with 65 points | iterate failure | actual_k=1
      13|[1.778744625260602, 3.2058284421279573, 4.434344442217791, 1.2643377193315353, 2.4638370647921835, 3.049562682054617, 2.883866020795385, 3.3226054641606115, 2.769321200505517, 2.2843542392659653, 3.4497404913591145, 3.4889570389769964, 1.387719698389201, 2.7408344141713137, -0.5311191485131881, 2.5400479610499778, 1.1172514510603646, 2.0345508914994053, 1.059682852443581, 1.549482996477813, 2.9240461677812033, 0.8117317293708604, 3.3415534256237267, 2.2049391166117847, 2.5260377349401044, 1.7742573163387652, 1.5446699441366167, 2.9458312575727277, 1.102960344076824, 4.324910063204522, 3.381007138223625, 1.7367827875928536, 2.9928084772727614, 2.6051319655069127, 4.846348803351087, 4.0177545258555565, 0.2776542900930123, 2.684683776027266, 2.988623431292978, 3.615042218771746, 3.7899236628796418, 2.0341319536155344, 0.5910153753349349, 3.290549745756317, 1.5799523339873454, 3.0344375409251243, 1.6961792551017454, 1.412368634844034, 2.5975164319482, 1.9127795735671396]|533.8635136548358560|      2.00000000|[793, 52, 13, 65]                                                          |  | used linear model with 65 points | iterate failure | actual_k=1
      14|[1.6520093675431216, 3.459576222895416, 4.996018206247391, 1.3533159002335071, 2.602852484598507, 3.0868012951041983, 3.3124666698804215, 3.6649783025565297, 2.8591941072461005, 2.4229827568902844, 3.6204784674687303, 3.085959609843998, 1.432867873029488, 3.022080717394447, -0.7157854828505987, 2.61556946736859, 0.8329504583249412, 2.1370740272566606, 1.4143854946732826, 1.5769037104932717, 3.3106656540704282, 1.0162088330524872, 3.463463506482716, 2.1074543359456603, 3.051567960831369, 1.8384400947095172, 1.7983147743369585, 3.321052158172707, 1.34803237390839, 4.670624046337029, 3.4258903782370367, 2.1446923533149316, 3.4041763838531436, 2.8717037952108813, 4.652355081185172, 4.138911541575242, 0.3789447607986287, 3.102758564240584, 2.888797758667262, 3.487803351281096, 4.286811344718229, 2.4832423412623204, 0.5272429021890188, 3.2151833675111146, 2.1826904859918224, 3.0380346089355026, 1.41407013913076, 1.8507332283879876, 2.833973537020595, 2.0338340232386782]|487.8059726699529506|      4.00000000|[854, 56, 14, 70]                                                          |  | used linear model with 65 points | iterate success | actual_k=1
      15|[1.6520093675431216, 3.459576222895416, 4.996018206247391, 1.3533159002335071, 2.602852484598507, 3.0868012951041983, 3.3124666698804215, 3.6649783025565297, 2.8591941072461005, 2.4229827568902844, 3.6204784674687303, 3.085959609843998, 1.432867873029488, 3.022080717394447, -0.7157854828505987, 2.61556946736859, 0.8329504583249412, 2.1370740272566606, 1.4143854946732826, 1.5769037104932717, 3.3106656540704282, 1.0162088330524872, 3.463463506482716, 2.1074543359456603, 3.051567960831369, 1.8384400947095172, 1.7983147743369585, 3.321052158172707, 1.34803237390839, 4.670624046337029, 3.4258903782370367, 2.1446923533149316, 3.4041763838531436, 2.8717037952108813, 4.652355081185172, 4.138911541575242, 0.3789447607986287, 3.102758564240584, 2.888797758667262, 3.487803351281096, 4.286811344718229, 2.4832423412623204, 0.5272429021890188, 3.2151833675111146, 2.1826904859918224, 3.0380346089355026, 1.41407013913076, 1.8507332283879876, 2.833973537020595, 2.0338340232386782]|487.8059726699529506|      2.00000000|[915, 60, 15, 75]                                                          |  | used linear model with 65 points | iterate failure | actual_k=1
      16|[2.033914375780318, 3.6551823195777504, 4.72477722611177, 1.3884786197386758, 2.847453368988204, 3.301875104078664, 3.1084084952014464, 4.064254794807156, 3.2855976051479936, 2.7674276832080733, 3.6094149082170897, 3.3619258416563182, 2.0243246387641554, 3.1751719828677505, -0.1701221260340823, 3.027999650296862, 0.5351402600120594, 2.218339465671052, 1.4833640956101406, 1.631425480991318, 3.4035118681564387, 1.3078955124508873, 3.3669436475791827, 2.5485012417623523, 3.2514924841006967, 1.7731300176893352, 2.2949871775846384, 3.9334008905611793, 1.5268992340571197, 4.6588135272598175, 3.613251242708767, 2.3473160228342858, 3.497991016452168, 2.7130663664624715, 4.312807761254676, 4.1379767520204815, 0.7962790842266321, 2.823173343458163, 2.8897397598805448, 3.7037836526951198, 4.362970741139932, 2.4270584384129967, 0.3902193730430603, 3.2818750970588964, 2.426816413347468, 3.415351532276918, 1.6150037460736517, 2.2299066086950887, 3.148206814392202, 2.3096159521656365]|437.3907720627547064|      4.00000000|[976, 64, 16, 80]                                                          |  | used linear model with 65 points | iterate success | actual_k=1
      17|[2.033914375780318, 3.6551823195777504, 4.72477722611177, 1.3884786197386758, 2.847453368988204, 3.301875104078664, 3.1084084952014464, 4.064254794807156, 3.2855976051479936, 2.7674276832080733, 3.6094149082170897, 3.3619258416563182, 2.0243246387641554, 3.1751719828677505, -0.1701221260340823, 3.027999650296862, 0.5351402600120594, 2.218339465671052, 1.4833640956101406, 1.631425480991318, 3.4035118681564387, 1.3078955124508873, 3.3669436475791827, 2.5485012417623523, 3.2514924841006967, 1.7731300176893352, 2.2949871775846384, 3.9334008905611793, 1.5268992340571197, 4.6588135272598175, 3.613251242708767, 2.3473160228342858, 3.497991016452168, 2.7130663664624715, 4.312807761254676, 4.1379767520204815, 0.7962790842266321, 2.823173343458163, 2.8897397598805448, 3.7037836526951198, 4.362970741139932, 2.4270584384129967, 0.3902193730430603, 3.2818750970588964, 2.426816413347468, 3.415351532276918, 1.6150037460736517, 2.2299066086950887, 3.148206814392202, 2.3096159521656365]|437.3907720627547064|      2.00000000|[1037, 68, 17, 85]                                                         |  | used linear model with 65 points | iterate failure | actual_k=1
      18|[2.033914375780318, 3.6551823195777504, 4.72477722611177, 1.3884786197386758, 2.847453368988204, 3.301875104078664, 3.1084084952014464, 4.064254794807156, 3.2855976051479936, 2.7674276832080733, 3.6094149082170897, 3.3619258416563182, 2.0243246387641554, 3.1751719828677505, -0.1701221260340823, 3.027999650296862, 0.5351402600120594, 2.218339465671052, 1.4833640956101406, 1.631425480991318, 3.4035118681564387, 1.3078955124508873, 3.3669436475791827, 2.5485012417623523, 3.2514924841006967, 1.7731300176893352, 2.2949871775846384, 3.9334008905611793, 1.5268992340571197, 4.6588135272598175, 3.613251242708767, 2.3473160228342858, 3.497991016452168, 2.7130663664624715, 4.312807761254676, 4.1379767520204815, 0.7962790842266321, 2.823173343458163, 2.8897397598805448, 3.7037836526951198, 4.362970741139932, 2.4270584384129967, 0.3902193730430603, 3.2818750970588964, 2.426816413347468, 3.415351532276918, 1.6150037460736517, 2.2299066086950887, 3.148206814392202, 2.3096159521656365]|437.3907720627547064|      1.00000000|[1098, 72, 18, 90]                                                         |  | used linear model with 65 points | iterate failure | actual_k=1
      19|[2.1046933759527064, 3.735059591807523, 4.679425372157576, 1.6885365547239848, 2.9406589293289804, 3.4090068330610848, 3.2796333356166243, 4.188004415453978, 3.30120612353291, 2.8346857774176404, 3.8690370975028614, 3.3714991164284296, 2.1962129962336845, 3.187022929244476, -0.2397102489674027, 3.0630313305435237, 0.4629052279075564, 2.326668914425182, 1.3922741859024343, 1.7201957821542408, 3.4650906329247606, 1.5239686493341433, 3.434023880564437, 2.451854125643827, 3.1956424527908354, 1.832646798238528, 2.4499434462324117, 4.1443016075835715, 1.7115848929137951, 4.760522774750891, 3.6888365598535477, 2.442107221623602, 3.7197490791765375, 2.9022993341828442, 4.424963165647318, 4.252657446761837, 0.9375651742215398, 3.046971683599601, 3.0238609807448573, 3.610916057208982, 4.317846260956118, 2.668315390672378, 0.5415291964970758, 3.2549508856387814, 2.665627700790044, 3.378586132193406, 1.5125090589519, 2.5615682889121096, 3.0382295253490206, 2.408253495378734]|411.2210363332867473|      2.00000000|[1159, 76, 19, 95]                                                         |  | used linear model with 65 points | iterate success | actual_k=1
      20|[2.1046933759527064, 3.735059591807523, 4.679425372157576, 1.6885365547239848, 2.9406589293289804, 3.4090068330610848, 3.2796333356166243, 4.188004415453978, 3.30120612353291, 2.8346857774176404, 3.8690370975028614, 3.3714991164284296, 2.1962129962336845, 3.187022929244476, -0.2397102489674027, 3.0630313305435237, 0.4629052279075564, 2.326668914425182, 1.3922741859024343, 1.7201957821542408, 3.4650906329247606, 1.5239686493341433, 3.434023880564437, 2.451854125643827, 3.1956424527908354, 1.832646798238528, 2.4499434462324117, 4.1443016075835715, 1.7115848929137951, 4.760522774750891, 3.6888365598535477, 2.442107221623602, 3.7197490791765375, 2.9022993341828442, 4.424963165647318, 4.252657446761837, 0.9375651742215398, 3.046971683599601, 3.0238609807448573, 3.610916057208982, 4.317846260956118, 2.668315390672378, 0.5415291964970758, 3.2549508856387814, 2.665627700790044, 3.378586132193406, 1.5125090589519, 2.5615682889121096, 3.0382295253490206, 2.408253495378734]|411.2210363332867473|      1.00000000|[1220, 80, 20, 100]                                                        |  | used linear model with 65 points | iterate failure | actual_k=1
      21|[2.254314433803158, 3.707210749273672, 4.72621217099095, 1.8276285804880659, 2.7924198191288427, 3.478517517104451, 3.3575227551074613, 4.123014668371855, 3.2970602770873976, 2.9703559819064127, 3.8064460383477887, 3.464485917065375, 2.356596916608624, 3.20529330704485, -0.2461376269436736, 3.19293547391314, 0.5620933217778465, 2.3243308441655324, 1.4643662837926392, 1.9269153736653015, 3.809801405958031, 1.7608340365435278, 3.5039027872428017, 2.7510348812157663, 3.5280543322527844, 1.715091539050424, 2.4356728805650043, 4.191276703742786, 1.8042717352240016, 4.977947166047083, 3.698793194074966, 2.555940970457145, 3.756535801675005, 2.877329150018414, 4.5736933459575315, 4.371253380639368, 1.2502740591756767, 3.0858123495396534, 3.0489011448084113, 3.743037774946493, 4.2310731418651795, 2.802209874801935, 0.5599866115780008, 3.4190152921789787, 2.7851266961847174, 3.3697283888351928, 1.543480126419697, 2.7144631492459506, 2.9787789104307842, 2.6747375730626266]|390.1042059559565018|      2.00000000|[1281, 84, 21, 105]                                                        |  | used linear model with 65 points | iterate success | actual_k=1
      22|[2.254314433803158, 3.707210749273672, 4.72621217099095, 1.8276285804880659, 2.7924198191288427, 3.478517517104451, 3.3575227551074613, 4.123014668371855, 3.2970602770873976, 2.9703559819064127, 3.8064460383477887, 3.464485917065375, 2.356596916608624, 3.20529330704485, -0.2461376269436736, 3.19293547391314, 0.5620933217778465, 2.3243308441655324, 1.4643662837926392, 1.9269153736653015, 3.809801405958031, 1.7608340365435278, 3.5039027872428017, 2.7510348812157663, 3.5280543322527844, 1.715091539050424, 2.4356728805650043, 4.191276703742786, 1.8042717352240016, 4.977947166047083, 3.698793194074966, 2.555940970457145, 3.756535801675005, 2.877329150018414, 4.5736933459575315, 4.371253380639368, 1.2502740591756767, 3.0858123495396534, 3.0489011448084113, 3.743037774946493, 4.2310731418651795, 2.802209874801935, 0.5599866115780008, 3.4190152921789787, 2.7851266961847174, 3.3697283888351928, 1.543480126419697, 2.7144631492459506, 2.9787789104307842, 2.6747375730626266]|390.1042059559565018|      1.00000000|[1342, 88, 22, 110]                                                        |  | used linear model with 65 points | iterate failure | actual_k=1
      23|[2.254314433803158, 3.707210749273672, 4.72621217099095, 1.8276285804880659, 2.7924198191288427, 3.478517517104451, 3.3575227551074613, 4.123014668371855, 3.2970602770873976, 2.9703559819064127, 3.8064460383477887, 3.464485917065375, 2.356596916608624, 3.20529330704485, -0.2461376269436736, 3.19293547391314, 0.5620933217778465, 2.3243308441655324, 1.4643662837926392, 1.9269153736653015, 3.809801405958031, 1.7608340365435278, 3.5039027872428017, 2.7510348812157663, 3.5280543322527844, 1.715091539050424, 2.4356728805650043, 4.191276703742786, 1.8042717352240016, 4.977947166047083, 3.698793194074966, 2.555940970457145, 3.756535801675005, 2.877329150018414, 4.5736933459575315, 4.371253380639368, 1.2502740591756767, 3.0858123495396534, 3.0489011448084113, 3.743037774946493, 4.2310731418651795, 2.802209874801935, 0.5599866115780008, 3.4190152921789787, 2.7851266961847174, 3.3697283888351928, 1.543480126419697, 2.7144631492459506, 2.9787789104307842, 2.6747375730626266]|390.1042059559565018|      0.50000000|[1403, 92, 23, 115]                                                        |  | used linear model with 65 points | iterate failure | actual_k=1
