k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      0.50000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
      15|[20.038811846174216, 2.2036350448338426, 2.1616946002404287, 1.9712009305368103, 0.5391520965790288]|3548.8548555440420387|      0.03125000|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      16|[20.053009464048134, 2.2288342635901994, 2.164679192723781, 1.9826099111408302, 0.538194552814571]|3485.7747692623856892|      0.06250000|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      17|[20.053824015798476, 2.285273046704513, 2.1853290712979816, 1.9863742910977433, 0.55491765732397]|3409.7935057068475544|      0.12500000|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      18|[20.053824015798476, 2.285273046704513, 2.1853290712979816, 1.9863742910977433, 0.55491765732397]|3409.7935057068475544|      0.06250000|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      19|[20.053824015798476, 2.285273046704513, 2.1853290712979816, 1.9863742910977433, 0.55491765732397]|3409.7935057068475544|      0.03125000|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      20|[20.053239840941746, 2.2909359143304036, 2.1853660985911296, 1.9898160247946395, 0.5243839666180037]|3353.9191889645626361|      0.06250000|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      21|[20.033909181692824, 2.344941220635347, 2.205537224301018, 1.9803706065644349, 0.535334412543341]|3271.8681693912094488|      0.12500000|[315, 42, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      22|[20.033909181692824, 2.344941220635347, 2.205537224301018, 1.9803706065644349, 0.535334412543341]|3271.8681693912094488|      0.06250000|[330, 44, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      23|[20.051798807795826, 2.3950777989179484, 2.192255509393916, 2.0093272560402986, 0.5429267307838878]|3228.7086396739050542|      0.12500000|[345, 46, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      24|[20.051798807795826, 2.3950777989179484, 2.192255509393916, 2.0093272560402986, 0.5429267307838878]|3228.7086396739050542|      0.06250000|[360, 48, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      25|[20.054231682536468, 2.4245169165219047, 2.1874417622180715, 2.014835450624667, 0.4883359155697462]|3164.5799699081985636|      0.12500000|[375, 50, 25, 50]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
