k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.304908252713187, -0.9549299866099767, -0.4379987714747878, 0.743366984783361, -0.3681579495906698, -0.109808947823124, -0.0272847872829963]|398410.9583721228409559|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
      24|[10.202735222552892, -1.194698531912387, 0.0980403359827657, 1.5221479758435545, -0.44962659231214, -0.0939925203013597, 0.1087816322807921]|8222.6562681617797352|      0.01562500|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      25|[10.202735222552892, -1.194698531912387, 0.0980403359827657, 1.5221479758435545, -0.44962659231214, -0.0939925203013597, 0.1087816322807921]|8222.6562681617797352|      0.00781250|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      26|[10.202735222552892, -1.194698531912387, 0.0980403359827657, 1.5221479758435545, -0.44962659231214, -0.0939925203013597, 0.1087816322807921]|8222.6562681617797352|      0.00390625|[416, 26, 26, 52]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      27|[10.201922601850047, -1.194070599442721, 0.0974045363648843, 1.5236712805441668, -0.4497398485980306, -0.0906343330967232, 0.1083466715737604]|8211.1836629972185619|      0.00781250|[432, 27, 27, 54]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      28|[10.201922601850047, -1.194070599442721, 0.0974045363648843, 1.5236712805441668, -0.4497398485980306, -0.0906343330967232, 0.1083466715737604]|8211.1836629972185619|      0.00390625|[448, 28, 28, 56]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      29|[10.201922601850047, -1.194070599442721, 0.0974045363648843, 1.5236712805441668, -0.4497398485980306, -0.0906343330967232, 0.1083466715737604]|8211.1836629972185619|      0.00195312|[464, 29, 29, 58]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      30|[10.201922601850047, -1.194070599442721, 0.0974045363648843, 1.5236712805441668, -0.4497398485980306, -0.0906343330967232, 0.1083466715737604]|8211.1836629972185619|      0.00097656|[480, 30, 30, 60]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      31|[10.201899966127934, -1.1940580031256822, 0.0973480506109591, 1.5236721967565972, -0.4497153477696627, -0.0900300987218812, 0.1091109439879652]|8207.8360071941624483|      0.00195312|[496, 31, 31, 62]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      32|[10.201823029568262, -1.1940588163749153, 0.0969656447673664, 1.5236692441642514, -0.4494991210013271, -0.0882201221109209, 0.1085280502794274]|8201.4510339268799726|      0.00390625|[512, 32, 32, 64]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      33|[10.201823029568262, -1.1940588163749153, 0.0969656447673664, 1.5236692441642514, -0.4494991210013271, -0.0882201221109209, 0.1085280502794274]|8201.4510339268799726|      0.00195312|[528, 33, 33, 66]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      34|[10.201696166181954, -1.1939690596369692, 0.0970670760444429, 1.5234980946446819, -0.4494926624028387, -0.0867192544984546, 0.1097521094729183]|8198.9548098626928549|      0.00390625|[544, 34, 34, 68]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      35|[10.201696166181954, -1.1939690596369692, 0.0970670760444429, 1.5234980946446819, -0.4494926624028387, -0.0867192544984546, 0.1097521094729183]|8198.9548098626928549|      0.00195312|[560, 35, 35, 70]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
