k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]                              | 51.0855557048649089|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1810751033713167, 0.3209203496665681, -0.2638569313723521, 0.2333685127524234, 0.1320593475869872, 0.7001143628779379, 0.6732140414221004, 0.2265982922690861, 0.7375513275234262, 0.6369509420157858]| 29.8390154613599208|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
      35|[0.2356839107503484, 0.2337198640290238, -0.1992986058342571, 0.2384825889862545, 0.2321521541118919, 0.8529362343629844, 0.8543568652715283, 0.2318936580438857, 0.8680327688712569, 0.8449203268850598]|  4.5356099650656363|      0.00195312|[560, 35, 35, 70]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      36|[0.2350544577479467, 0.2334863892953914, -0.199624450429653, 0.2370060479011053, 0.2320281384912521, 0.8533231226213411, 0.8547466006618043, 0.232142629443413, 0.8685532303031983, 0.8455743945594588]|  4.5248424526201463|      0.00390625|[576, 36, 36, 72]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      37|[0.234495081394366, 0.2348062357050286, -0.1989445387680383, 0.2344038358144335, 0.2318886295631133, 0.8555663728405414, 0.8546680206640537, 0.2315107798928692, 0.8680353139711621, 0.8450795969075132]|  4.5181543411746850|      0.00781250|[592, 37, 37, 74]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      38|[0.234495081394366, 0.2348062357050286, -0.1989445387680383, 0.2344038358144335, 0.2318886295631133, 0.8555663728405414, 0.8546680206640537, 0.2315107798928692, 0.8680353139711621, 0.8450795969075132]|  4.5181543411746850|      0.00390625|[608, 38, 38, 76]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      39|[0.2332484585499688, 0.2324845185896526, -0.1999142589054456, 0.2331692453166063, 0.2326356243062444, 0.8561679188582045, 0.8555076024484628, 0.2335413167421533, 0.8677810369177714, 0.8452726934992845]|  4.5102282768683404|      0.00781250|[624, 39, 39, 78]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      40|[0.2332484585499688, 0.2324845185896526, -0.1999142589054456, 0.2331692453166063, 0.2326356243062444, 0.8561679188582045, 0.8555076024484628, 0.2335413167421533, 0.8677810369177714, 0.8452726934992845]|  4.5102282768683404|      0.00390625|[640, 40, 40, 80]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      41|[0.2307708872743939, 0.2317511113544371, -0.2002553589276242, 0.2335105688517435, 0.2326276387330244, 0.8580037546010048, 0.8555336039379685, 0.231563727853024, 0.8685392727937676, 0.8459747478448137]|  4.5064962051922199|      0.00781250|[656, 41, 41, 82]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      42|[0.2307708872743939, 0.2317511113544371, -0.2002553589276242, 0.2335105688517435, 0.2326276387330244, 0.8580037546010048, 0.8555336039379685, 0.231563727853024, 0.8685392727937676, 0.8459747478448137]|  4.5064962051922199|      0.00390625|[672, 42, 42, 84]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      43|[0.2307708872743939, 0.2317511113544371, -0.2002553589276242, 0.2335105688517435, 0.2326276387330244, 0.8580037546010048, 0.8555336039379685, 0.231563727853024, 0.8685392727937676, 0.8459747478448137]|  4.5064962051922199|      0.00195312|[688, 43, 43, 86]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      44|[0.2311253342789806, 0.2319631971006905, -0.1996915999307693, 0.23240644278983, 0.2319980917906616, 0.858394426737236, 0.8553518775221803, 0.2314492254440573, 0.8687339538702323, 0.8471889041657278]|  4.5013684770989357|      0.00390625|[704, 44, 44, 88]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      45|[0.2311253342789806, 0.2319631971006905, -0.1996915999307693, 0.23240644278983, 0.2319980917906616, 0.858394426737236, 0.8553518775221803, 0.2314492254440573, 0.8687339538702323, 0.8471889041657278]|  4.5013684770989357|      0.00195312|[720, 45, 45, 90]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      46|[0.2311253342789806, 0.2319631971006905, -0.1996915999307693, 0.23240644278983, 0.2319980917906616, 0.858394426737236, 0.8553518775221803, 0.2314492254440573, 0.8687339538702323, 0.8471889041657278]|  4.5013684770989357|      0.00097656|[736, 46, 46, 92]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      47|[0.2309356639272576, 0.2319889677603872, -0.1991823046316964, 0.2320864874445785, 0.2319173992568813, 0.8586382838764266, 0.8559676796837415, 0.2316597648968419, 0.868980051503224, 0.8472610250704711]|  4.5004788187120530|      0.00195312|[752, 47, 47, 94]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      48|[0.2307068328981322, 0.2322442238900302, -0.2003566946840827, 0.2318538970450923, 0.2314726994946708, 0.8589949317043623, 0.8569808139335476, 0.2315740570382299, 0.8687940715334372, 0.84819406135001]|  4.4991677485595654|      0.00390625|[768, 48, 48, 96]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      49|[0.2307068328981322, 0.2322442238900302, -0.2003566946840827, 0.2318538970450923, 0.2314726994946708, 0.8589949317043623, 0.8569808139335476, 0.2315740570382299, 0.8687940715334372, 0.84819406135001]|  4.4991677485595654|      0.00195312|[784, 49, 49, 98]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      50|[0.2307057536065274, 0.2316170131779872, -0.1991817757575964, 0.2313508104915843, 0.2313227129350976, 0.8589356861930489, 0.8572244676432341, 0.2320071854899991, 0.8689326597839057, 0.849417005409037]|  4.4955877017781001|      0.00390625|[800, 50, 50, 100]                                                         |  | used linear model with 17 points | iterate success | actual_k=1
