k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.1489376981110956, -0.122843501631373, -0.368625437099461, 0.0754375891186634, 0.6990951496571877, 0.3109812536025614, -0.0202519243695991, 0.230054162882862, 0.4270515973423745]|110824.8601484426326351|      2.00000000|[12, 2, 1, 2]                                                              |  | used linear model with 14 points | iterate success | actual_k=4
      32|[-0.2060563648128518, -0.0485252514095623, -0.4703139067142773, -0.0004266518234288, 0.9320276575951515, 0.0132828784875979, 0.0013206647373515, 0.1332032032660143, 0.3517268784865796]| 52.3024758665595471|      0.00390625|[343, 105, 32, 64]                                                         |  | used linear model with 14 points | iterate success | actual_k=4
      33|[-0.2060563648128518, -0.0485252514095623, -0.4703139067142773, -0.0004266518234288, 0.9320276575951515, 0.0132828784875979, 0.0013206647373515, 0.1332032032660143, 0.3517268784865796]| 52.3024758665595471|      0.00195312|[355, 107, 33, 66]                                                         |  | used linear model with 14 points | iterate failure | actual_k=4
      34|[-0.2062603869570013, -0.0486689235604605, -0.469949579355423, 0.001165097403133, 0.9329442205228338, 0.0128186409224299, 0.0012432178517258, 0.1332232576567823, 0.3518818823662441]| 50.2528516790207078|      0.00390625|[368, 108, 34, 68]                                                         |  | used linear model with 14 points | iterate success | actual_k=4
      35|[-0.2062603869570013, -0.0486689235604605, -0.469949579355423, 0.001165097403133, 0.9329442205228338, 0.0128186409224299, 0.0012432178517258, 0.1332232576567823, 0.3518818823662441]| 50.2528516790207078|      0.00195312|[379, 111, 35, 70]                                                         |  | used linear model with 14 points | iterate failure | actual_k=4
      36|[-0.2057736824397056, -0.0486539436506966, -0.4698025687535799, -5.84619692386e-05, 0.9341276762867046, 0.0125641664396464, 0.0006244369748851, 0.133533971188267, 0.3522197054654859]| 47.4406980397301723|      0.00390625|[390, 114, 36, 72]                                                         |  | used linear model with 14 points | iterate success | actual_k=4
      37|[-0.2057736824397056, -0.0486539436506966, -0.4698025687535799, -5.84619692386e-05, 0.9341276762867046, 0.0125641664396464, 0.0006244369748851, 0.133533971188267, 0.3522197054654859]| 47.4406980397301723|      0.00195312|[400, 118, 37, 74]                                                         |  | used linear model with 14 points | iterate failure | actual_k=4
      38|[-0.2059587118089846, -0.0486277833056223, -0.4693636290801462, 0.0011468403818069, 0.9349923623068522, 0.0133996216109519, 0.001109028570531, 0.1333637121953532, 0.3515678842904799]| 46.8188871312406363|      0.00390625|[412, 120, 38, 76]                                                         |  | used linear model with 14 points | iterate success | actual_k=4
      39|[-0.2059587118089846, -0.0486277833056223, -0.4693636290801462, 0.0011468403818069, 0.9349923623068522, 0.0133996216109519, 0.001109028570531, 0.1333637121953532, 0.3515678842904799]| 46.8188871312406363|      0.00195312|[422, 124, 39, 78]                                                         |  | used linear model with 14 points | iterate failure | actual_k=4
      40|[-0.2056677845656928, -0.0487699356368566, -0.4683771669243484, 2.29566681807e-05, 0.935619592337894, 0.0133878986967383, 0.0005143059622075, 0.1340457912991679, 0.3520789100330945]| 44.5915424062594923|      0.00390625|[432, 128, 40, 80]                                                         |  | used linear model with 14 points | iterate success | actual_k=4
      41|[-0.2056677845656928, -0.0487699356368566, -0.4683771669243484, 2.29566681807e-05, 0.935619592337894, 0.0133878986967383, 0.0005143059622075, 0.1340457912991679, 0.3520789100330945]| 44.5915424062594923|      0.00195312|[444, 130, 41, 82]                                                         |  | used linear model with 14 points | iterate failure | actual_k=4
      42|[-0.204947110936076, -0.0492041433591196, -0.4678912236342347, -6.54257742456e-05, 0.9370192755964953, 0.0125324571557278, 0.0002606011223018, 0.1338025580332248, 0.3518588734910311]| 42.2943432762037901|      0.00390625|[455, 133, 42, 84]                                                         |  | used linear model with 14 points | iterate success | actual_k=4
      43|[-0.204947110936076, -0.0492041433591196, -0.4678912236342347, -6.54257742456e-05, 0.9370192755964953, 0.0125324571557278, 0.0002606011223018, 0.1338025580332248, 0.3518588734910311]| 42.2943432762037901|      0.00195312|[466, 136, 43, 86]                                                         |  | used linear model with 14 points | iterate failure | actual_k=4
      44|[-0.2045530136375451, -0.0493386390779312, -0.4672885132649989, 0.0003942036639266, 0.9386772605378947, 0.0129624669701163, 8.69950827709e-05, 0.1341167382530277, 0.3519229492513747]| 39.1170650578038988|      0.00390625|[477, 139, 44, 88]                                                         |  | used linear model with 14 points | iterate success | actual_k=4
      45|[-0.2043701337113913, -0.0498178029643874, -0.4681668435176152, -0.0004164272653223, 0.9402077631780259, 0.0132322489805824, -0.0028986024140052, 0.1355922812289884, 0.3516761309424353]| 37.3245145493512922|      0.00781250|[487, 143, 45, 90]                                                         |  | used linear model with 14 points | iterate success | actual_k=4
