k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]                              | 51.0855557048649089|      1.00000000|[0, 0, 0, 0]                                                               | 
      11|[0.1338262509368926, 0.974003364315946, 0.1580154027566633, -0.2442753284962525, -0.9035974043004895, 0.3566931971564001, 1.0105812103187675, 2.7049172029748227, 0.8643310903143265, 0.3453960245918802]| 12.2483873367309570|      0.03125000|[114, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[0.1346830512952946, 0.9706579311921371, 0.1509732095906254, -0.2463866377659558, -0.9158849038869227, 0.3579299234784331, 0.9925349606312657, 2.7095595352373563, 0.8461705024176004, 0.3363933088081016]| 11.8632917404174805|      0.06250000|[119, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[0.1346830512952946, 0.9706579311921371, 0.1509732095906254, -0.2463866377659558, -0.9158849038869227, 0.3579299234784331, 0.9925349606312657, 2.7095595352373563, 0.8461705024176004, 0.3363933088081016]| 11.8632917404174805|      0.03125000|[132, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[0.1346830512952946, 0.9706579311921371, 0.1509732095906254, -0.2463866377659558, -0.9158849038869227, 0.3579299234784331, 0.9925349606312657, 2.7095595352373563, 0.8461705024176004, 0.3363933088081016]| 11.8632917404174805|      0.01562500|[145, 71, 0, 71]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[0.1339644706028053, 0.9691346728775075, 0.1448354258092905, -0.246316279764522, -0.9130951596578853, 0.3453377000791351, 0.9877024871957706, 2.708123355682021, 0.8427783740270042, 0.3369915576367824]| 11.3315391540527344|      0.03125000|[152, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | iterate success | actual_k=1
      16|[0.1339644706028053, 0.9691346728775075, 0.1448354258092905, -0.246316279764522, -0.9130951596578853, 0.3453377000791351, 0.9877024871957706, 2.708123355682021, 0.8427783740270042, 0.3369915576367824]| 11.3315391540527344|      0.01562500|[164, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[0.1339644706028053, 0.9691346728775075, 0.1448354258092905, -0.246316279764522, -0.9130951596578853, 0.3453377000791351, 0.9877024871957706, 2.708123355682021, 0.8427783740270042, 0.3369915576367824]| 11.3315391540527344|      0.00781250|[176, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[0.1337525579257148, 0.9638477795303625, 0.1408568044089115, -0.246772106457972, -0.9094238302080242, 0.3456927799820635, 0.9883031311057618, 2.7098080188601252, 0.8423773057125719, 0.3367983189470987]| 11.1821632385253906|      0.01562500|[187, 91, 0, 91]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | iterate success | actual_k=1
      19|[0.1337525579257148, 0.9638477795303625, 0.1408568044089115, -0.246772106457972, -0.9094238302080242, 0.3456927799820635, 0.9883031311057618, 2.7098080188601252, 0.8423773057125719, 0.3367983189470987]| 11.1821632385253906|      0.00781250|[199, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[0.1322297795781863, 0.9623756171635801, 0.1375873947252395, -0.2507743324318579, -0.9081901124618351, 0.3479557202916706, 0.985181229231036, 2.7099240556887403, 0.8387374074208271, 0.3363617022536143]| 11.1136388778686523|      0.01562500|[203, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
