k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.50000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
      20|[-3.4999380103861015, 1.0001505039201637, -9.19982752807e-05, -0.0003959223128141, 1.699786359405502, -0.0003083079426387, 0.0001479179931391, -0.0001800868242596]|1524.5053729525320705|      0.00024414|[260, 80, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      21|[-3.4999380103861015, 1.0001505039201637, -9.19982752807e-05, -0.0003959223128141, 1.699786359405502, -0.0003083079426387, 0.0001479179931391, -0.0001800868242596]|1524.5053729525320705|      0.00012207|[273, 84, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      22|[-3.4999380103861015, 1.0001505039201637, -9.19982752807e-05, -0.0003959223128141, 1.699786359405502, -0.0003083079426387, 0.0001479179931391, -0.0001800868242596]|1524.5053729525320705|      0.00006104|[286, 88, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      23|[-3.499970245457504, 1.0001681933480764, -0.0001210188079915, -0.0004283262746433, 1.699802034101572, -0.0003219401459301, 0.0001526496924277, -0.0001852968633765]|1259.2376341466731446|      0.00012207|[299, 92, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      24|[-3.499970245457504, 1.0001681933480764, -0.0001210188079915, -0.0004283262746433, 1.699802034101572, -0.0003219401459301, 0.0001526496924277, -0.0001852968633765]|1259.2376341466731446|      0.00006104|[312, 96, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      25|[-3.499970245457504, 1.0001681933480764, -0.0001210188079915, -0.0004283262746433, 1.699802034101572, -0.0003219401459301, 0.0001526496924277, -0.0001852968633765]|1259.2376341466731446|      0.00003052|[325, 100, 25, 50]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      26|[-3.499970245457504, 1.0001681933480764, -0.0001210188079915, -0.0004283262746433, 1.699802034101572, -0.0003219401459301, 0.0001526496924277, -0.0001852968633765]|1259.2376341466731446|      0.00001526|[338, 104, 26, 52]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      27|[-3.499970245457504, 1.0001681933480764, -0.0001210188079915, -0.0004283262746433, 1.699802034101572, -0.0003219401459301, 0.0001526496924277, -0.0001852968633765]|1259.2376341466731446|      0.00000763|[351, 108, 27, 54]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      28|[-3.499970245457504, 1.0001681933480764, -0.0001210188079915, -0.0004283262746433, 1.699802034101572, -0.0003219401459301, 0.0001526496924277, -0.0001852968633765]|1259.2376341466731446|      0.00000381|[364, 112, 28, 56]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      29|[-3.499970245457504, 1.0001681933480764, -0.0001210188079915, -0.0004283262746433, 1.699802034101572, -0.0003219401459301, 0.0001526496924277, -0.0001852968633765]|1259.2376341466731446|      0.00000191|[377, 116, 29, 58]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      30|[-3.4999700345224216, 1.0001682826184002, -0.0001212149652299, -0.0004300507463708, 1.699802172082965, -0.0003216090175058, 0.0001525581135643, -0.0001846364362269]|1257.1978753266519107|      0.00000381|[390, 120, 30, 60]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      31|[-3.4999700345224216, 1.0001682826184002, -0.0001212149652299, -0.0004300507463708, 1.699802172082965, -0.0003216090175058, 0.0001525581135643, -0.0001846364362269]|1257.1978753266519107|      0.00000191|[403, 124, 31, 62]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      32|[-3.4999700345224216, 1.0001682826184002, -0.0001212149652299, -0.0004300507463708, 1.699802172082965, -0.0003216090175058, 0.0001525581135643, -0.0001846364362269]|1257.1978753266519107|      0.00000095|[416, 128, 32, 64]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      33|[-3.499970005271183, 1.0001683797559522, -0.0001211954447618, -0.0004302447608465, 1.6998021726887127, -0.0003215563614994, 0.0001525144088677, -0.0001855619077688]|1249.9182412360164562|      0.00000191|[429, 132, 33, 66]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      34|[-3.4999704897271315, 1.0001695531487305, -0.0001211035777357, -0.0004313537876918, 1.6998027688863162, -0.0003210965588845, 0.0001523947316964, -0.0001851070914519]|1246.4249027426953944|      0.00000381|[442, 136, 34, 68]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      35|[-3.4999704897271315, 1.0001695531487305, -0.0001211035777357, -0.0004313537876918, 1.6998027688863162, -0.0003210965588845, 0.0001523947316964, -0.0001851070914519]|1246.4249027426953944|      0.00000191|[455, 140, 35, 70]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      36|[-3.4999704897271315, 1.0001695531487305, -0.0001211035777357, -0.0004313537876918, 1.6998027688863162, -0.0003210965588845, 0.0001523947316964, -0.0001851070914519]|1246.4249027426953944|      0.00000095|[468, 144, 36, 72]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      37|[-3.4999708222985757, 1.0001694363790417, -0.0001210516169478, -0.0004316388838463, 1.6998028705526789, -0.0003209281235664, 0.0001522765431682, -0.0001859124491373]|1244.7988799334475516|      0.00000191|[481, 148, 37, 74]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      38|[-3.4999708222985757, 1.0001694363790417, -0.0001210516169478, -0.0004316388838463, 1.6998028705526789, -0.0003209281235664, 0.0001522765431682, -0.0001859124491373]|1244.7988799334475516|      0.00000095|[494, 152, 38, 76]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      39|[-3.499971030967074, 1.0001694678780686, -0.000121030200016, -0.0004321911874259, 1.6998028885295315, -0.0003209679615437, 0.0001523351310102, -0.0001851680572547]|1242.3170170453890933|      0.00000191|[507, 156, 39, 78]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      40|[-3.499971030967074, 1.0001694678780686, -0.000121030200016, -0.0004321911874259, 1.6998028885295315, -0.0003209679615437, 0.0001523351310102, -0.0001851680572547]|1242.3170170453890933|      0.00000095|[520, 160, 40, 80]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
