k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      0.50000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
      23|[10.052905335142901, -0.8112437256050632, -0.0077599457065512, -0.5382675699745406, -0.1435637630069446, -0.2813160917330251, -0.0342873639673409]|5557.4626002759514449|      0.00048828|[299, 92, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      24|[10.052867937464747, -0.8114336966273238, -0.0077010485149816, -0.5381737869562973, -0.1435859133806259, -0.2817329340764691, -0.0341672861115815]|5555.7662382710350357|      0.00097656|[312, 96, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      25|[10.052867937464747, -0.8114336966273238, -0.0077010485149816, -0.5381737869562973, -0.1435859133806259, -0.2817329340764691, -0.0341672861115815]|5555.7662382710350357|      0.00048828|[325, 100, 25, 50]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      26|[10.052862725540274, -0.8113323172268933, -0.0078728387887435, -0.5379426934305315, -0.1437118043915088, -0.2819630812406174, -0.0344436576957151]|5551.9405164661684466|      0.00097656|[338, 104, 26, 52]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      27|[10.052862725540274, -0.8113323172268933, -0.0078728387887435, -0.5379426934305315, -0.1437118043915088, -0.2819630812406174, -0.0344436576957151]|5551.9405164661684466|      0.00048828|[351, 108, 27, 54]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      28|[10.052987058570352, -0.8113898696130771, -0.007737623846716, -0.5378061860628635, -0.1439926108985698, -0.2822635660775574, -0.034327095154716]|5549.1660856666549080|      0.00097656|[364, 112, 28, 56]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      29|[10.052987058570352, -0.8113898696130771, -0.007737623846716, -0.5378061860628635, -0.1439926108985698, -0.2822635660775574, -0.034327095154716]|5549.1660856666549080|      0.00048828|[377, 116, 29, 58]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      30|[10.052987058570352, -0.8113898696130771, -0.007737623846716, -0.5378061860628635, -0.1439926108985698, -0.2822635660775574, -0.034327095154716]|5549.1660856666549080|      0.00024414|[390, 120, 30, 60]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      31|[10.053082818383873, -0.8113574315752108, -0.0077312357804012, -0.5377318872958685, -0.1439757737453287, -0.2824701181732552, -0.0343566604122784]|5547.5387178661985672|      0.00048828|[403, 124, 31, 62]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      32|[10.05284959738769, -0.8114083049109753, -0.0077033376936651, -0.5376198159707977, -0.1441287070622001, -0.2828003237677041, -0.0345455408786786]|5546.6481698620727911|      0.00097656|[416, 128, 32, 64]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      33|[10.05284959738769, -0.8114083049109753, -0.0077033376936651, -0.5376198159707977, -0.1441287070622001, -0.2828003237677041, -0.0345455408786786]|5546.6481698620727911|      0.00048828|[429, 132, 33, 66]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      34|[10.052788189079221, -0.8114191777131137, -0.0076461756152805, -0.5372622849132607, -0.1442819237099895, -0.2829769928985884, -0.0343247556942792]|5542.5030763966669838|      0.00097656|[442, 136, 34, 68]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      35|[10.052788189079221, -0.8114191777131137, -0.0076461756152805, -0.5372622849132607, -0.1442819237099895, -0.2829769928985884, -0.0343247556942792]|5542.5030763966669838|      0.00048828|[455, 140, 35, 70]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
