k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  3.0203003000300002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.50000000|[9, 0, 0, 2]                                                               |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.25000000|[17, 0, 0, 4]                                                              |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[0.7502556574007075, 0.0886967553486969]                                        |  0.9595559835433960|      0.50000000|[25, 0, 0, 6]                                                              |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      20|[0.2522341618737142, 0.0458002914632221]                                        |  0.0124234221875668|      0.01562500|[161, 0, 0, 40]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      21|[0.2366310295824792, 0.0449739212663846]                                        |  0.0096448548138142|      0.03125000|[169, 0, 0, 42]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      22|[0.2366310295824792, 0.0449739212663846]                                        |  0.0096448548138142|      0.01562500|[177, 0, 0, 44]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      23|[0.2210512176439715, 0.0437864512832985]                                        |  0.0073613622225821|      0.03125000|[185, 0, 0, 46]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      24|[0.2210512176439715, 0.0437864512832985]                                        |  0.0073613622225821|      0.01562500|[193, 0, 0, 48]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      25|[0.2210512176439715, 0.0437864512832985]                                        |  0.0073613622225821|      0.00781250|[201, 0, 0, 50]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      26|[0.2132554951926147, 0.0432747211675002]                                        |  0.0063855745829642|      0.01562500|[209, 0, 0, 52]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      27|[0.2132554951926147, 0.0432747211675002]                                        |  0.0063855745829642|      0.00781250|[217, 0, 0, 54]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      28|[0.2054612362443034, 0.0427411635823529]                                        |  0.0055103935301304|      0.01562500|[225, 0, 0, 56]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      29|[0.2054612362443034, 0.0427411635823529]                                        |  0.0055103935301304|      0.00781250|[233, 0, 0, 58]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      30|[0.197669335438624, 0.0421742084832022]                                         |  0.0047286245971918|      0.01562500|[241, 0, 0, 60]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      31|[0.197669335438624, 0.0421742084832022]                                         |  0.0047286245971918|      0.00781250|[249, 0, 0, 62]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      32|[0.1898775543466389, 0.0416056105016871]                                        |  0.0040333704091609|      0.01562500|[257, 0, 0, 64]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      33|[0.1898775543466389, 0.0416056105016871]                                        |  0.0040333704091609|      0.00781250|[265, 0, 0, 66]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      34|[0.1820889909926931, 0.0409945154750557]                                        |  0.0034179557114840|      0.01562500|[273, 0, 0, 68]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      35|[0.1820889909926931, 0.0409945154750557]                                        |  0.0034179557114840|      0.00781250|[281, 0, 0, 70]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      36|[0.1820889909926931, 0.0409945154750557]                                        |  0.0034179557114840|      0.00390625|[289, 0, 0, 72]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      37|[0.1781964787310418, 0.0406671970438695]                                        |  0.0031381831504405|      0.00781250|[297, 0, 0, 74]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      38|[0.1781964787310418, 0.0406671970438695]                                        |  0.0031381831504405|      0.00390625|[305, 0, 0, 76]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      39|[0.1743065107516371, 0.0403109131939609]                                        |  0.0028760002460331|      0.00781250|[313, 0, 0, 78]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      40|[0.1743065107516371, 0.0403109131939609]                                        |  0.0028760002460331|      0.00390625|[321, 0, 0, 80]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      41|[0.1704162363542516, 0.0399579908575367]                                        |  0.0026306463405490|      0.00781250|[329, 0, 0, 82]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      42|[0.1704162363542516, 0.0399579908575367]                                        |  0.0026306463405490|      0.00390625|[337, 0, 0, 84]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      43|[0.1665245374691001, 0.039621139481095]                                         |  0.0024013866204768|      0.00781250|[345, 0, 0, 86]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      44|[0.1665245374691001, 0.039621139481095]                                         |  0.0024013866204768|      0.00390625|[353, 0, 0, 88]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      45|[0.1626328572194887, 0.0392840728744958]                                        |  0.0021875002421439|      0.00781250|[361, 0, 0, 90]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      46|[0.1626328572194887, 0.0392840728744958]                                        |  0.0021875002421439|      0.00390625|[369, 0, 0, 92]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      47|[0.1587453754455631, 0.0389016143540048]                                        |  0.0019882773049176|      0.00781250|[377, 0, 0, 94]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      48|[0.1587453754455631, 0.0389016143540048]                                        |  0.0019882773049176|      0.00390625|[385, 0, 0, 96]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      49|[0.1548584105194195, 0.038513938296672]                                         |  0.0018030278151855|      0.00781250|[393, 0, 0, 98]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      50|[0.1548584105194195, 0.038513938296672]                                         |  0.0018030278151855|      0.00390625|[401, 0, 0, 100]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      51|[0.1509724081254336, 0.0381167299679125]                                        |  0.0016310801729560|      0.00781250|[409, 0, 0, 102]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      52|[0.1509724081254336, 0.0381167299679125]                                        |  0.0016310801729560|      0.00390625|[417, 0, 0, 104]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      53|[0.1470869854453467, 0.0377138904718761]                                        |  0.0014717779122293|      0.00781250|[425, 0, 0, 106]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      54|[0.1470869854453467, 0.0377138904718761]                                        |  0.0014717779122293|      0.00390625|[433, 0, 0, 108]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      55|[0.1431991693289519, 0.0373348457415332]                                        |  0.0013244835427031|      0.00781250|[441, 0, 0, 110]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      56|[0.1431991693289519, 0.0373348457415332]                                        |  0.0013244835427031|      0.00390625|[449, 0, 0, 112]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      57|[0.1431991693289519, 0.0373348457415332]                                        |  0.0013244835427031|      0.00195312|[457, 0, 0, 114]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      58|[0.1412566270492743, 0.0371318020090764]                                        |  0.0012551442487165|      0.00390625|[465, 0, 0, 116]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      59|[0.1412566270492743, 0.0371318020090764]                                        |  0.0012551442487165|      0.00195312|[473, 0, 0, 118]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      60|[0.139314183886873, 0.0369278122385844]                                         |  0.0011885748244822|      0.00390625|[481, 0, 0, 120]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      61|[0.139314183886873, 0.0369278122385844]                                         |  0.0011885748244822|      0.00195312|[489, 0, 0, 122]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      62|[0.1373722258529548, 0.0367192546682934]                                        |  0.0011247004149482|      0.00390625|[497, 0, 0, 124]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      63|[0.1373722258529548, 0.0367192546682934]                                        |  0.0011247004149482|      0.00195312|[505, 0, 0, 126]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      64|[0.1354294819555395, 0.0365181491868154]                                        |  0.0010634467471391|      0.00390625|[513, 0, 0, 128]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      65|[0.1354294819555395, 0.0365181491868154]                                        |  0.0010634467471391|      0.00195312|[521, 0, 0, 130]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      66|[0.1334881052702329, 0.0363042477343357]                                        |  0.0010047407122329|      0.00390625|[529, 0, 0, 132]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      67|[0.1334881052702329, 0.0363042477343357]                                        |  0.0010047407122329|      0.00195312|[537, 0, 0, 134]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      68|[0.1315456992305934, 0.0360999047804637]                                        |  0.0009485104237683|      0.00390625|[545, 0, 0, 136]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      69|[0.1315456992305934, 0.0360999047804637]                                        |  0.0009485104237683|      0.00195312|[553, 0, 0, 138]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      70|[0.1296036672107422, 0.0358920372757942]                                        |  0.0008946848683991|      0.00390625|[561, 0, 0, 140]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      71|[0.1296036672107422, 0.0358920372757942]                                        |  0.0008946848683991|      0.00195312|[569, 0, 0, 142]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      72|[0.1276618518036882, 0.0356821559032229]                                        |  0.0008431941969320|      0.00390625|[577, 0, 0, 144]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      73|[0.1276618518036882, 0.0356821559032229]                                        |  0.0008431941969320|      0.00195312|[585, 0, 0, 146]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      74|[0.1257214007398723, 0.0354600142039395]                                        |  0.0007939689676277|      0.00390625|[593, 0, 0, 148]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      75|[0.1257214007398723, 0.0354600142039395]                                        |  0.0007939689676277|      0.00195312|[601, 0, 0, 150]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      76|[0.1237800840041718, 0.0352455693454929]                                        |  0.0007469418342225|      0.00390625|[609, 0, 0, 152]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      77|[0.1237800840041718, 0.0352455693454929]                                        |  0.0007469418342225|      0.00195312|[617, 0, 0, 154]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      78|[0.1218390585956376, 0.035028503389964]                                         |  0.0007020459161140|      0.00390625|[625, 0, 0, 156]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      79|[0.1218390585956376, 0.035028503389964]                                         |  0.0007020459161140|      0.00195312|[633, 0, 0, 158]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      80|[0.1198998687460684, 0.0347956085790452]                                        |  0.0006592149729840|      0.00390625|[641, 0, 0, 160]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
