k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0]                                                              |83210000.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.837735710342441, 10.088547766945183, 9.017233703635014]                      |33320054.0000000000000000|      2.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[10.81561832209714, 10.665254504742816, 7.3706751907947865]                     |5525594.5000000000000000|      4.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[8.72679777600936, 11.243285067725107, 4.008724954027454]                       |2163650.5000000000000000|      8.00000000|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[8.72679777600936, 11.243285067725107, 4.008724954027454]                       |2163650.5000000000000000|      4.00000000|[28, 11, 0, 11]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[6.434718291670415, 9.696657932751787, 1.118341563742225]                       |934855.6875000000000000|      8.00000000|[33, 13, 0, 13]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[5.286312656891927, 1.984332388355301, 2.907531099609927]                       |5358.4243164062500000|     16.00000000|[43, 17, 0, 17]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | iterate success | actual_k=1
       7|[5.286312656891927, 1.984332388355301, 2.907531099609927]                       |5358.4243164062500000|      8.00000000|[54, 21, 0, 21]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[5.286312656891927, 1.984332388355301, 2.907531099609927]                       |5358.4243164062500000|      4.00000000|[65, 25, 0, 25]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[3.949119205066339, -0.2732659723053246, -0.1116017749646958]                   |249.8770751953125000|      8.00000000|[71, 27, 0, 27]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[3.949119205066339, -0.2732659723053246, -0.1116017749646958]                   |249.8770751953125000|      4.00000000|[82, 31, 0, 31]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[0.4772735948409081, -0.1053460043260284, -0.112277349341569]                   |  0.0873715654015541|      0.12500000|[197, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      22|[0.4772735948409081, -0.1053460043260284, -0.112277349341569]                   |  0.0873715654015541|      0.06250000|[207, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      23|[0.4419985473181075, -0.0736207127925253, -0.0715904116418798]                  |  0.0506864264607430|      0.12500000|[212, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      24|[0.4419985473181075, -0.0736207127925253, -0.0715904116418798]                  |  0.0506864264607430|      0.06250000|[223, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      25|[0.4419985473181075, -0.0736207127925253, -0.0715904116418798]                  |  0.0506864264607430|      0.03125000|[233, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      26|[0.4169316851442787, -0.0555625155105591, -0.0668876006012505]                  |  0.0374483913183212|      0.06250000|[241, 91, 0, 91]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | iterate success | actual_k=1
      27|[0.4169316851442787, -0.0555625155105591, -0.0668876006012505]                  |  0.0374483913183212|      0.03125000|[251, 95, 0, 95]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      28|[0.3919835670890157, -0.0423431735238511, -0.0534934637145707]                  |  0.0273020360618830|      0.06250000|[260, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | iterate success | actual_k=1
      29|[0.3919835670890157, -0.0423431735238511, -0.0534934637145707]                  |  0.0273020360618830|      0.03125000|[270, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      30|[0.3919835670890157, -0.0423431735238511, -0.0534934637145707]                  |  0.0273020360618830|      0.01562500|[281, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      31|[0.3782421067035057, -0.0355435057942622, -0.0504805896314652]                  |  0.0230936687439680|      0.03125000|[286, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      32|[0.3782421067035057, -0.0355435057942622, -0.0504805896314652]                  |  0.0230936687439680|      0.01562500|[296, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      33|[0.3712363277257478, -0.0233228607444022, -0.0437192642820875]                  |  0.0203294120728970|      0.03125000|[302, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      34|[0.3712363277257478, -0.0233228607444022, -0.0437192642820875]                  |  0.0203294120728970|      0.01562500|[312, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      35|[0.3592621113952279, -0.016941206670919, -0.0359711509919823]                   |  0.0173822771757841|      0.03125000|[318, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      36|[0.3592621113952279, -0.016941206670919, -0.0359711509919823]                   |  0.0173822771757841|      0.01562500|[330, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
      37|[0.3443797939547577, -0.0128391846499154, -0.0335564733861151]                  |  0.0145351728424430|      0.03125000|[335, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      38|[0.3443797939547577, -0.0128391846499154, -0.0335564733861151]                  |  0.0145351728424430|      0.01562500|[346, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      39|[0.3291586153051754, -0.0095231184868579, -0.032348147800966]                   |  0.0120566450059414|      0.03125000|[355, 133, 0, 133]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | iterate success | actual_k=1
      40|[0.3291586153051754, -0.0095231184868579, -0.032348147800966]                   |  0.0120566450059414|      0.01562500|[365, 137, 0, 137]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      41|[0.3291586153051754, -0.0095231184868579, -0.032348147800966]                   |  0.0120566450059414|      0.00781250|[377, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 8 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
      42|[0.3213983127356101, -0.0086762566656, -0.0320388173393313]                     |  0.0109490882605314|      0.01562500|[382, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      43|[0.3213983127356101, -0.0086762566656, -0.0320388173393313]                     |  0.0109490882605314|      0.00781250|[394, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
      44|[0.31373214999224, -0.007516505772348, -0.0310796078169829]                     |  0.0099178617820144|      0.01562500|[400, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      45|[0.31373214999224, -0.007516505772348, -0.0310796078169829]                     |  0.0099178617820144|      0.00781250|[411, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
      46|[0.3060878257438432, -0.0060560337985615, -0.0303966110020873]                  |  0.0089615536853671|      0.01562500|[416, 156, 0, 156]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      47|[0.3060878257438432, -0.0060560337985615, -0.0303966110020873]                  |  0.0089615536853671|      0.00781250|[427, 160, 0, 160]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
