k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  3.0203003000300002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.10000000|[9, 0, 0, 2]                                                               |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      24|[0.5306047244686602, 0.0771940088375443]                                        |  0.2412585467100143|      0.01000000|[193, 0, 0, 48]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      25|[0.5206167294375476, 0.0767041565552518]                                        |  0.2236841768026352|      0.10000000|[201, 0, 0, 50]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      26|[0.5206167294375476, 0.0767041565552518]                                        |  0.2236841768026352|      0.01000000|[209, 0, 0, 52]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      27|[0.5106318615216615, 0.076154235922515]                                         |  0.2070889919996262|      0.10000000|[217, 0, 0, 54]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      28|[0.5106318615216615, 0.076154235922515]                                         |  0.2070889919996262|      0.01000000|[225, 0, 0, 56]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      29|[0.5006451174293276, 0.0756395103313163]                                        |  0.1914358288049698|      0.10000000|[233, 0, 0, 58]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      30|[0.5006451174293276, 0.0756395103313163]                                        |  0.1914358288049698|      0.01000000|[241, 0, 0, 60]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      31|[0.4906578240096838, 0.0751355558195407]                                        |  0.1766884177923203|      0.10000000|[249, 0, 0, 62]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      32|[0.4906578240096838, 0.0751355558195407]                                        |  0.1766884177923203|      0.01000000|[257, 0, 0, 64]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      33|[0.480672265851913, 0.0745983144605796]                                         |  0.1628109365701675|      0.10000000|[265, 0, 0, 66]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      34|[0.480672265851913, 0.0745983144605796]                                         |  0.1628109365701675|      0.01000000|[273, 0, 0, 68]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      35|[0.4706849706521746, 0.0740943952276839]                                        |  0.1497686654329300|      0.10000000|[281, 0, 0, 70]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      36|[0.4706849706521746, 0.0740943952276839]                                        |  0.1497686654329300|      0.01000000|[289, 0, 0, 72]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      37|[0.4606997264979608, 0.0735513490227092]                                        |  0.1375270634889603|      0.10000000|[297, 0, 0, 74]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      38|[0.4606997264979608, 0.0735513490227092]                                        |  0.1375270634889603|      0.01000000|[305, 0, 0, 76]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      39|[0.4507188808286791, 0.0729327055664424]                                        |  0.1260527819395065|      0.10000000|[313, 0, 0, 78]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      40|[0.4507188808286791, 0.0729327055664424]                                        |  0.1260527819395065|      0.01000000|[321, 0, 0, 80]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      41|[0.440736813578082, 0.0723340960070834]                                         |  0.1153127998113632|      0.10000000|[329, 0, 0, 82]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      42|[0.440736813578082, 0.0723340960070834]                                         |  0.1153127998113632|      0.01000000|[337, 0, 0, 84]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      43|[0.4307524459407532, 0.0717751658838472]                                        |  0.1052752062678337|      0.10000000|[345, 0, 0, 86]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      44|[0.4307524459407532, 0.0717751658838472]                                        |  0.1052752062678337|      0.01000000|[353, 0, 0, 88]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      45|[0.4207676254201915, 0.0712243853720539]                                        |  0.0959087014198303|      0.10000000|[361, 0, 0, 90]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      46|[0.4207676254201915, 0.0712243853720539]                                        |  0.0959087014198303|      0.01000000|[369, 0, 0, 92]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      47|[0.4107893988449681, 0.0705648443092651]                                        |  0.0871825069189072|      0.10000000|[377, 0, 0, 94]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      48|[0.4107893988449681, 0.0705648443092651]                                        |  0.0871825069189072|      0.01000000|[385, 0, 0, 96]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      49|[0.40081150847411, 0.0699002363442693]                                          |  0.0790666490793228|      0.10000000|[393, 0, 0, 98]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      50|[0.40081150847411, 0.0699002363442693]                                          |  0.0790666490793228|      0.01000000|[401, 0, 0, 100]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      51|[0.3908350659828981, 0.0692142369131153]                                        |  0.0715319737792015|      0.10000000|[409, 0, 0, 102]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      52|[0.3908350659828981, 0.0692142369131153]                                        |  0.0715319737792015|      0.01000000|[417, 0, 0, 104]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      53|[0.3808588290786395, 0.0685252541628899]                                        |  0.0645499229431152|      0.10000000|[425, 0, 0, 106]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      54|[0.3808588290786395, 0.0685252541628899]                                        |  0.0645499229431152|      0.01000000|[433, 0, 0, 108]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      55|[0.3708784966270553, 0.0678983856313338]                                        |  0.0580927543342113|      0.10000000|[441, 0, 0, 110]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      56|[0.3708784966270553, 0.0678983856313338]                                        |  0.0580927543342113|      0.01000000|[449, 0, 0, 112]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      57|[0.3609048837497669, 0.0671724061729562]                                        |  0.0521335266530514|      0.10000000|[457, 0, 0, 114]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      58|[0.3609048837497669, 0.0671724061729562]                                        |  0.0521335266530514|      0.01000000|[465, 0, 0, 116]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      59|[0.350928217499641, 0.0664896686438863]                                         |  0.0466457270085812|      0.10000000|[473, 0, 0, 118]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      60|[0.350928217499641, 0.0664896686438863]                                         |  0.0466457270085812|      0.01000000|[481, 0, 0, 120]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      61|[0.3409559092814458, 0.0657459826877766]                                        |  0.0416038930416107|      0.10000000|[489, 0, 0, 122]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      62|[0.3409559092814458, 0.0657459826877766]                                        |  0.0416038930416107|      0.01000000|[497, 0, 0, 124]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      63|[0.3309850803424711, 0.0649827197778266]                                        |  0.0369830578565598|      0.10000000|[505, 0, 0, 126]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      64|[0.3309850803424711, 0.0649827197778266]                                        |  0.0369830578565598|      0.01000000|[513, 0, 0, 128]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      65|[0.3210158003547966, 0.0641994851211921]                                        |  0.0327590443193913|      0.10000000|[521, 0, 0, 130]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      66|[0.3210158003547966, 0.0641994851211921]                                        |  0.0327590443193913|      0.01000000|[529, 0, 0, 132]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      67|[0.3110430744612651, 0.0634614212672566]                                        |  0.0289083439856768|      0.10000000|[537, 0, 0, 134]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      68|[0.3110430744612651, 0.0634614212672566]                                        |  0.0289083439856768|      0.01000000|[545, 0, 0, 136]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      69|[0.3110430744612651, 0.0634614212672566]                                        |  0.0289083439856768|      0.00100000|[553, 0, 0, 138]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      70|[0.3100458711203427, 0.0633866850855695]                                        |  0.0285429283976555|      0.01000000|[561, 0, 0, 140]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      71|[0.3100458711203427, 0.0633866850855695]                                        |  0.0285429283976555|      0.00100000|[569, 0, 0, 142]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      72|[0.3090486766544894, 0.0633118305782139]                                        |  0.0281809978187084|      0.01000000|[577, 0, 0, 144]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      73|[0.3090486766544894, 0.0633118305782139]                                        |  0.0281809978187084|      0.00100000|[585, 0, 0, 146]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      74|[0.3080515710383712, 0.063235801700111]                                         |  0.0278225261718035|      0.01000000|[593, 0, 0, 148]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      75|[0.3080515710383712, 0.063235801700111]                                         |  0.0278225261718035|      0.00100000|[601, 0, 0, 150]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      76|[0.3070543979663359, 0.0631606627328055]                                        |  0.0274674966931343|      0.01000000|[609, 0, 0, 152]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      77|[0.3070543979663359, 0.0631606627328055]                                        |  0.0274674966931343|      0.00100000|[617, 0, 0, 154]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      78|[0.3060572378318943, 0.0630853522668634]                                        |  0.0271158814430237|      0.01000000|[625, 0, 0, 156]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      79|[0.3060572378318943, 0.0630853522668634]                                        |  0.0271158814430237|      0.00100000|[633, 0, 0, 158]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      80|[0.3050602012428295, 0.063008423468186]                                         |  0.0267676636576653|      0.01000000|[641, 0, 0, 160]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
