k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, 0.0, 0.0]                                                                |2499.9997982897020847|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.0948809526749828, -0.9829609176219597, -0.1574339202563493]                 |1375.1679687500000000|      5.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[-1.0948809526749828, -0.9829609176219597, -0.1574339202563493]                 |1375.1679687500000000|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[-0.6754878791097403, -1.652524171362073, -0.7704547185058471]                  |613.1546020507812500|      5.00000000|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[-0.6754878791097403, -1.652524171362073, -0.7704547185058471]                  |613.1546020507812500|      1.00000000|[22, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[-0.107146761036929, -0.8748788907154796, -0.5016496013748154]                  |482.2767333984375000|      5.00000000|[27, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[-0.107146761036929, -0.8748788907154796, -0.5016496013748154]                  |482.2767333984375000|      1.00000000|[32, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[-0.5259335529068354, -1.4609305982291216, -1.195307311687082]                  |375.9544982910156250|      5.00000000|[37, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[-0.5259335529068354, -1.4609305982291216, -1.195307311687082]                  |375.9544982910156250|      1.00000000|[42, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[-0.5259335529068354, -1.4609305982291216, -1.195307311687082]                  |375.9544982910156250|      0.20000000|[47, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[-0.4391843349911949, -1.5095982223599291, -1.3688182207172845]                 |284.8131103515625000|      1.00000000|[53, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[-0.2352959363036367, -1.114297024126313, -2.2644556940041554]                  | 39.1769561767578125|      5.00000000|[58, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      12|[-0.2352959363036367, -1.114297024126313, -2.2644556940041554]                  | 39.1769561767578125|      1.00000000|[64, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[-0.2352959363036367, -1.114297024126313, -2.2644556940041554]                  | 39.1769561767578125|      0.20000000|[69, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[-0.0563254625158071, -1.1193255437587921, -2.3535864042137433]                 | 12.1244716644287109|      1.00000000|[74, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[-0.0563254625158071, -1.1193255437587921, -2.3535864042137433]                 | 12.1244716644287109|      0.20000000|[80, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      32|[0.1495532911068611, -0.9904799599553425, -2.2540200305892597]                  |  5.0864810943603516|      0.04000000|[175, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      33|[0.1495532911068611, -0.9904799599553425, -2.2540200305892597]                  |  5.0864810943603516|      0.00800000|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      34|[0.1522360261462559, -0.9904263269049186, -2.2464834493879255]                  |  5.0587387084960938|      0.04000000|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      35|[0.1522360261462559, -0.9904263269049186, -2.2464834493879255]                  |  5.0587387084960938|      0.00800000|[192, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      36|[0.1587718047088032, -0.9859962630343029, -2.245195764378456]                   |  5.0411229133605957|      0.04000000|[197, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      37|[0.1587718047088032, -0.9859962630343029, -2.245195764378456]                   |  5.0411229133605957|      0.00800000|[203, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      38|[0.1611262288481259, -0.985567887580418, -2.2375620771014786]                   |  5.0089125633239746|      0.04000000|[209, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      39|[0.1611262288481259, -0.985567887580418, -2.2375620771014786]                   |  5.0089125633239746|      0.00800000|[214, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      40|[0.1611262288481259, -0.985567887580418, -2.2375620771014786]                   |  5.0089125633239746|      0.00160000|[219, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      41|[0.162474807355947, -0.9851262597069668, -2.2368229554405636]                   |  5.0045390129089355|      0.00800000|[225, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      42|[0.1625528370630433, -0.9829057687063618, -2.2291376882961473]                  |  4.9804821014404297|      0.04000000|[231, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      43|[0.1625528370630433, -0.9829057687063618, -2.2291376882961473]                  |  4.9804821014404297|      0.00800000|[236, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      44|[0.1625528370630433, -0.9829057687063618, -2.2291376882961473]                  |  4.9804821014404297|      0.00160000|[241, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      45|[0.1623818512124083, -0.9823645127856, -2.2276417585293724]                     |  4.9777841567993164|      0.00800000|[246, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      46|[0.1698375289615108, -0.9848571836522426, -2.2291248166038016]                  |  4.9691176414489746|      0.04000000|[251, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      47|[0.1698375289615108, -0.9848571836522426, -2.2291248166038016]                  |  4.9691176414489746|      0.00800000|[257, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      48|[0.1698375289615108, -0.9848571836522426, -2.2291248166038016]                  |  4.9691176414489746|      0.00160000|[263, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      49|[0.169724336184372, -0.9848724699873357, -2.2275288987728454]                   |  4.9619970321655273|      0.00800000|[269, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      50|[0.169724336184372, -0.9848724699873357, -2.2275288987728454]                   |  4.9619970321655273|      0.00160000|[275, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      51|[0.169747148753595, -0.9837907778704207, -2.226350161418347]                    |  4.9572086334228516|      0.00800000|[280, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      52|[0.1691655004450095, -0.98234383521907, -2.218503630834145]                     |  4.9329490661621094|      0.04000000|[286, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      53|[0.1691655004450095, -0.98234383521907, -2.218503630834145]                     |  4.9329490661621094|      0.00800000|[292, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      54|[0.1691655004450095, -0.98234383521907, -2.218503630834145]                     |  4.9329490661621094|      0.00160000|[297, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      55|[0.1698221983809602, -0.9810663577111978, -2.217798791109244]                   |  4.9293689727783203|      0.00800000|[302, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      56|[0.1760019472634551, -0.9859226940336769, -2.2163065775614323]                  |  4.9128875732421875|      0.04000000|[307, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      57|[0.1760019472634551, -0.9859226940336769, -2.2163065775614323]                  |  4.9128875732421875|      0.00800000|[313, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      58|[0.1760019472634551, -0.9859226940336769, -2.2163065775614323]                  |  4.9128875732421875|      0.00160000|[318, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      59|[0.1765188732982242, -0.9856323992655805, -2.2148204697516842]                  |  4.9065856933593750|      0.00800000|[323, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      60|[0.1765188732982242, -0.9856323992655805, -2.2148204697516842]                  |  4.9065856933593750|      0.00160000|[329, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      61|[0.1767741142339175, -0.9857057306537886, -2.2132426628648156]                  |  4.9005270004272461|      0.00800000|[335, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      62|[0.1760653689836115, -0.9856271988205352, -2.2052745066840336]                  |  4.8813157081604004|      0.04000000|[341, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      63|[0.1760653689836115, -0.9856271988205352, -2.2052745066840336]                  |  4.8813157081604004|      0.00800000|[346, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      64|[0.1794601984220973, -0.9885499398227334, -2.1986463306062833]                  |  4.8604054450988770|      0.04000000|[352, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      65|[0.1794601984220973, -0.9885499398227334, -2.1986463306062833]                  |  4.8604054450988770|      0.00800000|[358, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      66|[0.1868432985010222, -0.9856394704622784, -2.197636874650616]                   |  4.8323893547058105|      0.04000000|[364, 132, 0, 132]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      67|[0.1868432985010222, -0.9856394704622784, -2.197636874650616]                   |  4.8323893547058105|      0.00800000|[370, 134, 0, 134]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      68|[0.1896015146044377, -0.9846289358801765, -2.19019570110169]                    |  4.8026509284973145|      0.04000000|[376, 136, 0, 136]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      69|[0.1896015146044377, -0.9846289358801765, -2.19019570110169]                    |  4.8026509284973145|      0.00800000|[381, 138, 0, 138]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      70|[0.1967506303826947, -0.9821838041632506, -2.187566732772486]                   |  4.7862291336059570|      0.04000000|[386, 140, 0, 140]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      71|[0.1967506303826947, -0.9821838041632506, -2.187566732772486]                   |  4.7862291336059570|      0.00800000|[392, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      72|[0.1950730841518383, -0.987105789559639, -2.1814872674669616]                   |  4.7691102027893066|      0.04000000|[397, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      73|[0.1950730841518383, -0.987105789559639, -2.1814872674669616]                   |  4.7691102027893066|      0.00800000|[403, 146, 0, 146]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      74|[0.2009089569729039, -0.9825963722234756, -2.1783876314069284]                  |  4.7462668418884277|      0.04000000|[409, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      75|[0.2009089569729039, -0.9825963722234756, -2.1783876314069284]                  |  4.7462668418884277|      0.00800000|[415, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      76|[0.2008518913656601, -0.9820757287314084, -2.170404795202255]                   |  4.7184987068176270|      0.04000000|[421, 152, 0, 152]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      77|[0.2008518913656601, -0.9820757287314084, -2.170404795202255]                   |  4.7184987068176270|      0.00800000|[426, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      78|[0.2038489871332994, -0.9749639308535595, -2.1682977242722146]                  |  4.7044181823730469|      0.04000000|[431, 156, 0, 156]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      79|[0.2038489871332994, -0.9749639308535595, -2.1682977242722146]                  |  4.7044181823730469|      0.00800000|[436, 158, 0, 158]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      80|[0.2038489871332994, -0.9749639308535595, -2.1682977242722146]                  |  4.7044181823730469|      0.00160000|[442, 160, 0, 160]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
