k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0]                                                                      |889.3031475218829200|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.0, 3.0]                                                                      |889.3031475218829200|      0.90000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[2.0, 3.0]                                                                      |889.3031475218829200|      0.81000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[2.1220139110964524, 2.1992424802108026]                                        |190.9480285644531250|      0.90000000|[18, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[2.1220139110964524, 2.1992424802108026]                                        |190.9480285644531250|      0.81000000|[24, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[2.1220139110964524, 2.1992424802108026]                                        |190.9480285644531250|      0.72900000|[29, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[2.1220139110964524, 2.1992424802108026]                                        |190.9480285644531250|      0.65610000|[34, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[2.1220139110964524, 2.1992424802108026]                                        |190.9480285644531250|      0.59049000|[40, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[2.1220139110964524, 2.1992424802108026]                                        |190.9480285644531250|      0.53144100|[46, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[2.1220139110964524, 2.1992424802108026]                                        |190.9480285644531250|      0.47829690|[52, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[1.8814428992368337, 1.7858497942541576]                                        | 59.6953773498535156|      0.53144100|[57, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[1.8814428992368337, 1.7858497942541576]                                        | 59.6953773498535156|      0.47829690|[62, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[1.8814428992368337, 1.7858497942541576]                                        | 59.6953773498535156|      0.43046721|[68, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[1.8814428992368337, 1.7858497942541576]                                        | 59.6953773498535156|      0.38742049|[74, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[1.8814428992368337, 1.7858497942541576]                                        | 59.6953773498535156|      0.34867844|[80, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[1.7081311747277796, 1.483294508829713]                                         | 20.5694885253906250|      0.38742049|[85, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      34|[1.242032910388505, 0.8368269820505012]                                         |  0.0786549821496010|      0.09847709|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      35|[1.242032910388505, 0.8368269820505012]                                         |  0.0786549821496010|      0.08862938|[191, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      36|[1.242032910388505, 0.8368269820505012]                                         |  0.0786549821496010|      0.07976644|[196, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      37|[1.242032910388505, 0.8368269820505012]                                         |  0.0786549821496010|      0.07178980|[201, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      38|[1.1746724454712778, 0.8616532377781603]                                        |  0.0436583422124386|      0.07976644|[206, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      39|[1.1746724454712778, 0.8616532377781603]                                        |  0.0436583422124386|      0.07178980|[211, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      40|[1.1746724454712778, 0.8616532377781603]                                        |  0.0436583422124386|      0.06461082|[216, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      41|[1.1746724454712778, 0.8616532377781603]                                        |  0.0436583422124386|      0.05814974|[221, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      42|[1.1746724454712778, 0.8616532377781603]                                        |  0.0436583422124386|      0.05233476|[226, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      43|[1.1746724454712778, 0.8616532377781603]                                        |  0.0436583422124386|      0.04710129|[231, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      44|[1.1416514133071345, 0.8952410729164493]                                        |  0.0279736239463091|      0.05233476|[237, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      45|[1.1416514133071345, 0.8952410729164493]                                        |  0.0279736239463091|      0.04710129|[243, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      46|[1.1416514133071345, 0.8952410729164493]                                        |  0.0279736239463091|      0.04239116|[248, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      47|[1.1416514133071345, 0.8952410729164493]                                        |  0.0279736239463091|      0.03815204|[253, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      48|[1.1416514133071345, 0.8952410729164493]                                        |  0.0279736239463091|      0.03433684|[258, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      49|[1.1416514133071345, 0.8952410729164493]                                        |  0.0279736239463091|      0.03090315|[264, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      50|[1.1416514133071345, 0.8952410729164493]                                        |  0.0279736239463091|      0.02781284|[270, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      51|[1.1224801708890435, 0.9153909482086742]                                        |  0.0201239529997110|      0.03090315|[276, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      52|[1.1224801708890435, 0.9153909482086742]                                        |  0.0201239529997110|      0.02781284|[281, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      53|[1.1224801708890435, 0.9153909482086742]                                        |  0.0201239529997110|      0.02503156|[286, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      54|[1.105112714472072, 0.9334173234910873]                                         |  0.0143259931355715|      0.02781284|[291, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      55|[1.105112714472072, 0.9334173234910873]                                         |  0.0143259931355715|      0.02503156|[296, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      56|[1.105112714472072, 0.9334173234910873]                                         |  0.0143259931355715|      0.02252840|[301, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      57|[1.0830095771213255, 0.9377739397595294]                                        |  0.0106150787323713|      0.02503156|[307, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      58|[1.0830095771213255, 0.9377739397595294]                                        |  0.0106150787323713|      0.02252840|[312, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      59|[1.0830095771213255, 0.9377739397595294]                                        |  0.0106150787323713|      0.02027556|[318, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      60|[1.0830095771213255, 0.9377739397595294]                                        |  0.0106150787323713|      0.01824800|[323, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      61|[1.0830095771213255, 0.9377739397595294]                                        |  0.0106150787323713|      0.01642320|[329, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      62|[1.0830095771213255, 0.9377739397595294]                                        |  0.0106150787323713|      0.01478088|[334, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      63|[1.0803157675491057, 0.9523072769715055]                                        |  0.0082525946199894|      0.01642320|[339, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      64|[1.064039504002576, 0.9544992739045599]                                         |  0.0059986501000822|      0.01824800|[344, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      65|[1.064039504002576, 0.9544992739045599]                                         |  0.0059986501000822|      0.01642320|[349, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      66|[1.064039504002576, 0.9544992739045599]                                         |  0.0059986501000822|      0.01478088|[354, 132, 0, 132]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      67|[1.064039504002576, 0.9544992739045599]                                         |  0.0059986501000822|      0.01330279|[359, 134, 0, 134]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      68|[1.064039504002576, 0.9544992739045599]                                         |  0.0059986501000822|      0.01197252|[365, 136, 0, 136]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      69|[1.064039504002576, 0.9544992739045599]                                         |  0.0059986501000822|      0.01077526|[371, 138, 0, 138]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      70|[1.060884669986963, 0.9648023476871376]                                         |  0.0047041475772858|      0.01197252|[377, 140, 0, 140]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      71|[1.060884669986963, 0.9648023476871376]                                         |  0.0047041475772858|      0.01077526|[382, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      72|[1.060884669986963, 0.9648023476871376]                                         |  0.0047041475772858|      0.00969774|[387, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      73|[1.060884669986963, 0.9648023476871376]                                         |  0.0047041475772858|      0.00872796|[393, 146, 0, 146]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      74|[1.0521604393144564, 0.9645471081550053]                                        |  0.0038078227080405|      0.00969774|[398, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      75|[1.0521604393144564, 0.9645471081550053]                                        |  0.0038078227080405|      0.00872796|[404, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      76|[1.0485551781673879, 0.9724956577149756]                                        |  0.0029753909911960|      0.00969774|[409, 152, 0, 152]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      77|[1.0398335238938996, 0.9767358057586583]                                        |  0.0020024036057293|      0.01077526|[414, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      78|[1.0398335238938996, 0.9767358057586583]                                        |  0.0020024036057293|      0.00969774|[419, 156, 0, 156]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      79|[1.0398335238938996, 0.9767358057586583]                                        |  0.0020024036057293|      0.00872796|[424, 158, 0, 158]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      80|[1.0398335238938996, 0.9767358057586583]                                        |  0.0020024036057293|      0.00785517|[430, 160, 0, 160]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
