k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[5.2]                                                                           |61302.9768075899992255|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[6.2]                                                                           |12846.5410156250000000|      5.00000000|[5, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       2|[6.2]                                                                           |12846.5410156250000000|      1.00000000|[9, 4, 0, 4]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[6.2]                                                                           |12846.5410156250000000|      0.20000000|[11, 6, 0, 6]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[6.0]                                                                           |  0.0000065050367084|      0.00000010|[57, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[6.0000001024]                                                                  |  0.0000065001113398|      0.00000051|[62, 30, 0, 30]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      16|[6.0000001024]                                                                  |  0.0000065001113398|      0.00000010|[66, 32, 0, 32]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[6.0000001024]                                                                  |  0.0000065001113398|      0.00000002|[70, 34, 0, 34]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[6.0000001024]                                                                  |  0.0000065001113398|      0.00000000|[73, 36, 0, 36]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[6.000000106496]                                                                |  0.0000065000604081|      0.00000002|[77, 38, 0, 38]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      20|[6.0000001269759995]                                                            |  0.0000064999753704|      0.00000010|[80, 40, 0, 40]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      21|[6.0000001269759995]                                                            |  0.0000064999753704|      0.00000002|[84, 42, 0, 42]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      22|[6.0000001269759995]                                                            |  0.0000064999753704|      0.00000000|[86, 44, 0, 44]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[6.0000001269759995]                                                            |  0.0000064999753704|      0.00000000|[89, 46, 0, 46]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      24|[6.0000001261568]                                                               |  0.0000064999730967|      0.00000000|[93, 48, 0, 48]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      25|[6.0000001261568]                                                               |  0.0000064999730967|      0.00000000|[96, 50, 0, 50]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      26|[6.0000001253376]                                                               |  0.0000064999717324|      0.00000000|[98, 52, 0, 52]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      27|[6.0000001212416]                                                               |  0.0000064999708229|      0.00000002|[101, 54, 0, 54]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      28|[6.0000001212416]                                                               |  0.0000064999708229|      0.00000000|[105, 56, 0, 56]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[6.0000001212416]                                                               |  0.0000064999708229|      0.00000000|[107, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      30|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[109, 60, 0, 60]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      31|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[112, 62, 0, 62]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      32|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[113, 64, 0, 64]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      33|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[117, 66, 0, 66]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      34|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[121, 68, 0, 68]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      35|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[124, 70, 0, 70]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      36|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[128, 72, 0, 72]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      37|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[132, 74, 0, 74]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      38|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[135, 76, 0, 76]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      39|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[138, 78, 0, 78]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      40|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 80, 0, 80]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      41|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 82, 0, 82]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      42|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 84, 0, 84]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      43|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 86, 0, 86]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      44|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 88, 0, 88]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      45|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 90, 0, 90]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      46|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 92, 0, 92]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      47|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 94, 0, 94]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      48|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 96, 0, 96]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      49|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 98, 0, 98]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      50|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 100, 0, 100]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      51|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 102, 0, 102]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      52|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 104, 0, 104]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      53|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 106, 0, 106]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      54|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 108, 0, 108]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      55|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 110, 0, 110]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      56|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 112, 0, 112]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      57|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 114, 0, 114]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      58|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 116, 0, 116]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      59|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 118, 0, 118]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      60|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 120, 0, 120]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      61|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 122, 0, 122]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      62|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 124, 0, 124]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      63|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 126, 0, 126]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      64|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 128, 0, 128]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      65|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 130, 0, 130]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      66|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 132, 0, 132]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      67|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 134, 0, 134]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      68|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 136, 0, 136]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      69|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 138, 0, 138]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      70|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 140, 0, 140]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      71|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 142, 0, 142]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      72|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 144, 0, 144]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      73|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 146, 0, 146]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      74|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 148, 0, 148]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      75|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 150, 0, 150]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      76|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 152, 0, 152]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      77|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 154, 0, 154]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      78|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 156, 0, 156]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      79|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 158, 0, 158]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      80|[6.0000001220608]                                                               |  0.0000064999699134|      0.00000000|[141, 160, 0, 160]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
