k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0]                                                                      |889.3031475218829200|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.5775889522871476, 2.093595616311279]                                         |103.9862213134765625|      5.00000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       2|[1.5775889522871476, 2.093595616311279]                                         |103.9862213134765625|      1.00000000|[15, 5, 0, 5]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[1.0819761671803614, 0.9467115710559366]                                        |  0.0088452650234103|      0.00800000|[138, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      22|[1.075622368587892, 0.9515725630787993]                                         |  0.0074771218933165|      0.04000000|[144, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      23|[1.075622368587892, 0.9515725630787993]                                         |  0.0074771218933165|      0.00800000|[151, 56, 0, 56]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      24|[1.0692955602222345, 0.9564686325129726]                                        |  0.0062245400622487|      0.04000000|[157, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      25|[1.0692955602222345, 0.9564686325129726]                                        |  0.0062245400622487|      0.00800000|[165, 61, 0, 61]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      26|[1.0616499129168508, 0.9588232189483538]                                        |  0.0051735132001340|      0.04000000|[171, 63, 0, 63]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      27|[1.0616499129168508, 0.9588232189483538]                                        |  0.0051735132001340|      0.00800000|[177, 65, 0, 65]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      28|[1.0615566858940846, 0.9668226757250497]                                        |  0.0048747942782938|      0.04000000|[183, 67, 0, 67]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      29|[1.0615566858940846, 0.9668226757250497]                                        |  0.0048747942782938|      0.00800000|[189, 69, 0, 69]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      30|[1.0551487881453638, 0.9620332241445513]                                        |  0.0043109622783959|      0.04000000|[194, 71, 0, 71]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      31|[1.0551487881453638, 0.9620332241445513]                                        |  0.0043109622783959|      0.00800000|[201, 74, 0, 74]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      32|[1.0539896266450548, 0.9699488002206307]                                        |  0.0036962162703276|      0.04000000|[206, 76, 0, 76]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      33|[1.0539896266450548, 0.9699488002206307]                                        |  0.0036962162703276|      0.00800000|[214, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      34|[1.0465517914948212, 0.9728947479930716]                                        |  0.0027377519290894|      0.04000000|[221, 82, 0, 82]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | iterate success | actual_k=1
      35|[1.0465517914948212, 0.9728947479930716]                                        |  0.0027377519290894|      0.00800000|[228, 85, 0, 85]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      36|[1.0387230589860552, 0.9745412434550123]                                        |  0.0020449303556234|      0.04000000|[233, 87, 0, 87]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      37|[1.0387230589860552, 0.9745412434550123]                                        |  0.0020449303556234|      0.00800000|[241, 90, 0, 90]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      38|[1.030985176906059, 0.976572297594141]                                          |  0.0016586449928582|      0.04000000|[248, 93, 0, 93]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      39|[1.030985176906059, 0.976572297594141]                                          |  0.0016586449928582|      0.00800000|[255, 96, 0, 96]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      40|[1.0330968805084044, 0.9842885601542047]                                        |  0.0014666438801214|      0.04000000|[261, 98, 0, 98]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      41|[1.0330968805084044, 0.9842885601542047]                                        |  0.0014666438801214|      0.00800000|[267, 100, 0, 100]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      42|[1.0251713151465047, 0.983199793101868]                                         |  0.0008910676697269|      0.04000000|[273, 102, 0, 102]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      43|[1.0251713151465047, 0.983199793101868]                                         |  0.0008910676697269|      0.00800000|[281, 105, 0, 105]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      44|[1.0251713151465047, 0.983199793101868]                                         |  0.0008910676697269|      0.00160000|[288, 108, 0, 108]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      45|[1.025109019681936, 0.9847985799153908]                                         |  0.0008072950295173|      0.00800000|[293, 110, 0, 110]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      46|[1.025109019681936, 0.9847985799153908]                                         |  0.0008072950295173|      0.00160000|[301, 113, 0, 113]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      47|[1.0235379885778766, 0.9851016661573713]                                        |  0.0007346497732215|      0.00800000|[306, 115, 0, 115]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      48|[1.0235379885778766, 0.9851016661573713]                                        |  0.0007346497732215|      0.00160000|[314, 118, 0, 118]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      49|[1.022898851051064, 0.9865684664920521]                                         |  0.0006610257551074|      0.00800000|[319, 120, 0, 120]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      50|[1.022898851051064, 0.9865684664920521]                                         |  0.0006610257551074|      0.00160000|[325, 122, 0, 122]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      51|[1.0214298809726072, 0.9872026012636892]                                        |  0.0005837765056640|      0.00800000|[330, 124, 0, 124]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      52|[1.0214298809726072, 0.9872026012636892]                                        |  0.0005837765056640|      0.00160000|[338, 127, 0, 127]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      53|[1.0200658892147356, 0.9880389782626905]                                        |  0.0005113902734593|      0.00800000|[344, 129, 0, 129]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      54|[1.0200658892147356, 0.9880389782626905]                                        |  0.0005113902734593|      0.00160000|[351, 132, 0, 132]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      55|[1.019054619031732, 0.9892788704422641]                                         |  0.0004522697417997|      0.00800000|[356, 134, 0, 134]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      56|[1.019054619031732, 0.9892788704422641]                                         |  0.0004522697417997|      0.00160000|[362, 136, 0, 136]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      57|[1.0179086995679776, 0.990395503140419]                                         |  0.0003992981219199|      0.00800000|[368, 138, 0, 138]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      58|[1.0179086995679776, 0.990395503140419]                                         |  0.0003992981219199|      0.00160000|[374, 140, 0, 140]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      59|[1.0163918029768757, 0.9909044478642384]                                        |  0.0003338300157338|      0.00800000|[379, 142, 0, 142]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      60|[1.0163918029768757, 0.9909044478642384]                                        |  0.0003338300157338|      0.00160000|[387, 145, 0, 145]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      61|[1.015075915909784, 0.9918146353321048]                                         |  0.0002821230737027|      0.00800000|[392, 147, 0, 147]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      62|[1.015075915909784, 0.9918146353321048]                                         |  0.0002821230737027|      0.00160000|[398, 149, 0, 149]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      63|[1.0137319490041217, 0.9909464458617215]                                        |  0.0002640030579641|      0.00800000|[403, 151, 0, 151]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      64|[1.0137319490041217, 0.9909464458617215]                                        |  0.0002640030579641|      0.00160000|[410, 154, 0, 154]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      65|[1.0125046103648674, 0.9919729154738355]                                        |  0.0002120071440004|      0.00800000|[415, 156, 0, 156]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      66|[1.0125046103648674, 0.9919729154738355]                                        |  0.0002120071440004|      0.00160000|[422, 159, 0, 159]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      67|[1.0126035840873135, 0.993569851353032]                                         |  0.0001994624471990|      0.00800000|[427, 161, 0, 161]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
