k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 400000.0, 25000.0]                                                        |4515242701191391.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.0, 400000.0, 25000.0]                                                        |4515242701191391.0000000000000000|      0.90000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[2.0, 400000.0, 25000.0]                                                        |4515242701191391.0000000000000000|      0.15009464|[101, 36, 0, 36]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[2.0, 400000.0, 25000.0]                                                        |4515242701191391.0000000000000000|      0.13508517|[106, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[2.0, 400000.0, 25000.0]                                                        |4515242701191391.0000000000000000|      0.12157665|[112, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[2.0, 400000.0, 25000.0]                                                        |4515242701191391.0000000000000000|      0.10941899|[118, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      22|[2.0, 400000.0, 25000.0]                                                        |4515242701191391.0000000000000000|      0.09847709|[123, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[2.0, 400000.0, 25000.0]                                                        |4515242701191391.0000000000000000|      0.08862938|[128, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      24|[2.0, 400000.0, 25000.0]                                                        |4515242701191391.0000000000000000|      0.07976644|[133, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[2.0, 400000.0, 25000.0]                                                        |4515242701191391.0000000000000000|      0.07178980|[138, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      26|[2.0, 400000.0, 25000.0]                                                        |4515242701191391.0000000000000000|      0.06461082|[143, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      27|[2.0, 400000.0, 25000.0]                                                        |4515242701191391.0000000000000000|      0.05814974|[149, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      28|[2.0, 400000.0, 25000.0]                                                        |4515242701191391.0000000000000000|      0.05233476|[154, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[2.0, 400000.0, 25000.0]                                                        |4515242701191391.0000000000000000|      0.04710129|[159, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      30|[2.0, 400000.0, 25000.0]                                                        |4515242701191391.0000000000000000|      0.04239116|[165, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      31|[2.0, 400000.0, 25000.0]                                                        |4515242701191391.0000000000000000|      0.03815204|[170, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      32|[2.0, 400000.0, 25000.0]                                                        |4515242701191391.0000000000000000|      0.03433684|[175, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      33|[2.0, 400000.0, 25000.0]                                                        |4515242701191391.0000000000000000|      0.03090315|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      34|[2.0, 400000.0, 25000.0]                                                        |4515242701191391.0000000000000000|      0.02781284|[185, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      35|[2.0, 400000.0, 25000.0]                                                        |4515242701191391.0000000000000000|      0.02503156|[190, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      36|[2.0, 400000.0, 25000.0]                                                        |4515242701191391.0000000000000000|      0.02252840|[195, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      37|[2.0, 400000.0, 25000.0]                                                        |4515242701191391.0000000000000000|      0.02027556|[200, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      38|[2.0, 400000.0, 25000.0]                                                        |4515242701191391.0000000000000000|      0.01824800|[205, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      39|[2.0, 400000.0, 25000.0]                                                        |4515242701191391.0000000000000000|      0.01642320|[210, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      40|[2.0, 400000.0, 25000.0]                                                        |4515242701191391.0000000000000000|      0.01478088|[216, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
