k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  3.0203003000300002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.50000000|[9, 0, 0, 2]                                                               |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      26|[0.3913330550886521, 0.0723995561241196]                                        |  0.0720448866486549|      0.01562500|[209, 0, 0, 52]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      27|[0.3757509530091894, 0.0712425255345489]                                        |  0.0613133087754250|      0.03125000|[217, 0, 0, 54]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      28|[0.3757509530091894, 0.0712425255345489]                                        |  0.0613133087754250|      0.01562500|[225, 0, 0, 56]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      29|[0.3601604934074179, 0.070204164130445]                                         |  0.0518299154937267|      0.03125000|[233, 0, 0, 58]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      30|[0.3601604934074179, 0.070204164130445]                                         |  0.0518299154937267|      0.01562500|[241, 0, 0, 60]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      31|[0.3601604934074179, 0.070204164130445]                                         |  0.0518299154937267|      0.00781250|[249, 0, 0, 62]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      32|[0.3523658721353492, 0.0696759260449058]                                        |  0.0475246421992779|      0.01562500|[257, 0, 0, 64]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      33|[0.3523658721353492, 0.0696759260449058]                                        |  0.0475246421992779|      0.00781250|[265, 0, 0, 66]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      34|[0.3445726498222026, 0.0691274351809214]                                        |  0.0434939004480839|      0.01562500|[273, 0, 0, 68]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      35|[0.3445726498222026, 0.0691274351809214]                                        |  0.0434939004480839|      0.00781250|[281, 0, 0, 70]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      36|[0.3367787560091782, 0.068588570187347]                                         |  0.0397257842123508|      0.01562500|[289, 0, 0, 72]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      37|[0.3367787560091782, 0.068588570187347]                                         |  0.0397257842123508|      0.00781250|[297, 0, 0, 74]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      38|[0.3289904167276791, 0.0679746259828313]                                        |  0.0362085066735744|      0.01562500|[305, 0, 0, 76]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      39|[0.3289904167276791, 0.0679746259828313]                                        |  0.0362085066735744|      0.00781250|[313, 0, 0, 78]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      40|[0.3212006134372018, 0.0673795453616814]                                        |  0.0329306647181511|      0.01562500|[321, 0, 0, 80]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      41|[0.3212006134372018, 0.0673795453616814]                                        |  0.0329306647181511|      0.00781250|[329, 0, 0, 82]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      42|[0.3134152949599103, 0.0667284136874837]                                        |  0.0298811439424753|      0.01562500|[337, 0, 0, 84]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      43|[0.3134152949599103, 0.0667284136874837]                                        |  0.0298811439424753|      0.00781250|[345, 0, 0, 86]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      44|[0.3056310780539372, 0.0660642424665154]                                        |  0.0270490087568760|      0.01562500|[353, 0, 0, 88]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      45|[0.3056310780539372, 0.0660642424665154]                                        |  0.0270490087568760|      0.00781250|[361, 0, 0, 90]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      46|[0.2978442370234615, 0.0654315790361672]                                        |  0.0244236122816801|      0.01562500|[369, 0, 0, 92]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      47|[0.2978442370234615, 0.0654315790361672]                                        |  0.0244236122816801|      0.00781250|[377, 0, 0, 94]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      48|[0.2900553575367906, 0.0648245266561224]                                        |  0.0219946969300508|      0.01562500|[385, 0, 0, 96]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      49|[0.2900553575367906, 0.0648245266561224]                                        |  0.0219946969300508|      0.00781250|[393, 0, 0, 98]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      50|[0.2900553575367906, 0.0648245266561224]                                        |  0.0219946969300508|      0.00390625|[401, 0, 0, 100]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      51|[0.2861639539021356, 0.0644842814288323]                                        |  0.0208507291972637|      0.00781250|[409, 0, 0, 102]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      52|[0.2861639539021356, 0.0644842814288323]                                        |  0.0208507291972637|      0.00390625|[417, 0, 0, 104]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      53|[0.2822727226337755, 0.0641420705601618]                                        |  0.0197521019726992|      0.00781250|[425, 0, 0, 106]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      54|[0.2822727226337755, 0.0641420705601618]                                        |  0.0197521019726992|      0.00390625|[433, 0, 0, 108]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      55|[0.2783803973570431, 0.0638125360360061]                                        |  0.0186976026743650|      0.00781250|[441, 0, 0, 110]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      56|[0.2783803973570431, 0.0638125360360061]                                        |  0.0186976026743650|      0.00390625|[449, 0, 0, 112]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      57|[0.27448995665494, 0.0634614517072199]                                          |  0.0176860280334949|      0.00781250|[457, 0, 0, 114]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      58|[0.27448995665494, 0.0634614517072199]                                          |  0.0176860280334949|      0.00390625|[465, 0, 0, 116]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      59|[0.2705987646737455, 0.063118794403215]                                         |  0.0167161878198385|      0.00781250|[473, 0, 0, 118]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      60|[0.2705987646737455, 0.063118794403215]                                         |  0.0167161878198385|      0.00390625|[481, 0, 0, 120]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      61|[0.2667088276073866, 0.0627621732004427]                                        |  0.0157869216054678|      0.00781250|[489, 0, 0, 122]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      62|[0.2667088276073866, 0.0627621732004427]                                        |  0.0157869216054678|      0.00390625|[497, 0, 0, 124]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      63|[0.2628192468553388, 0.062401686535226]                                         |  0.0148970689624548|      0.00781250|[505, 0, 0, 126]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      64|[0.2628192468553388, 0.062401686535226]                                         |  0.0148970689624548|      0.00390625|[513, 0, 0, 128]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      65|[0.2589301064332697, 0.0620364799636406]                                        |  0.0140454974025488|      0.00781250|[521, 0, 0, 130]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      66|[0.2589301064332697, 0.0620364799636406]                                        |  0.0140454974025488|      0.00390625|[529, 0, 0, 132]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      67|[0.2550403626788871, 0.0616777564102718]                                        |  0.0132310865446925|      0.00781250|[537, 0, 0, 134]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      68|[0.2550403626788871, 0.0616777564102718]                                        |  0.0132310865446925|      0.00390625|[545, 0, 0, 136]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      69|[0.25115136369176, 0.0613110467967841]                                          |  0.0124527374282479|      0.00781250|[553, 0, 0, 138]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      70|[0.25115136369176, 0.0613110467967841]                                          |  0.0124527374282479|      0.00390625|[561, 0, 0, 140]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      71|[0.2472618220783659, 0.0609501380823213]                                        |  0.0117093669250607|      0.00781250|[569, 0, 0, 142]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      72|[0.2472618220783659, 0.0609501380823213]                                        |  0.0117093669250607|      0.00390625|[577, 0, 0, 144]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      73|[0.2433720049565681, 0.060592210964783]                                         |  0.0109999096021056|      0.00781250|[585, 0, 0, 146]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      74|[0.2433720049565681, 0.060592210964783]                                         |  0.0109999096021056|      0.00390625|[593, 0, 0, 148]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      75|[0.239485136034186, 0.0602035735467181]                                         |  0.0103233056142926|      0.00781250|[601, 0, 0, 150]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      76|[0.239485136034186, 0.0602035735467181]                                         |  0.0103233056142926|      0.00390625|[609, 0, 0, 152]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      77|[0.235596630554898, 0.0598316673756926]                                         |  0.0096785211935639|      0.00781250|[617, 0, 0, 154]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      78|[0.235596630554898, 0.0598316673756926]                                         |  0.0096785211935639|      0.00390625|[625, 0, 0, 156]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      79|[0.2317106472764791, 0.059434272078351]                                         |  0.0090645384043455|      0.00781250|[633, 0, 0, 158]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      80|[0.2317106472764791, 0.059434272078351]                                         |  0.0090645384043455|      0.00390625|[641, 0, 0, 160]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
