k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[5.2]                                                                           |61302.9768075899992255|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[6.2]                                                                           |12846.5410156250000000|      2.00000000|[5, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[6.2]                                                                           |12846.5410156250000000|      1.00000000|[7, 4, 0, 4]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[6.2]                                                                           |12846.5410156250000000|      0.50000000|[8, 6, 0, 6]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[6.2]                                                                           |12846.5410156250000000|      0.25000000|[9, 8, 0, 8]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[5.95]                                                                          |823.8391113281250000|      0.50000000|[11, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[5.95]                                                                          |823.8391113281250000|      0.25000000|[12, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[5.95]                                                                          |823.8391113281250000|      0.12500000|[13, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[5.95]                                                                          |823.8391113281250000|      0.06250000|[14, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[6.0125]                                                                        | 52.5319366455078125|      0.12500000|[16, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[6.0125]                                                                        | 52.5319366455078125|      0.06250000|[18, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[6.0125]                                                                        | 52.5319366455078125|      0.03125000|[19, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[6.0125]                                                                        | 52.5319366455078125|      0.01562500|[21, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[6.0125]                                                                        | 52.5319366455078125|      0.00781250|[22, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      39|[5.999999237060547]                                                             |  0.0000067630785452|      0.00000763|[59, 78, 0, 78]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      40|[5.999999237060547]                                                             |  0.0000067630785452|      0.00000381|[60, 80, 0, 80]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      41|[5.999999237060547]                                                             |  0.0000067630785452|      0.00000191|[60, 82, 0, 82]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      42|[5.999999237060547]                                                             |  0.0000067630785452|      0.00000095|[62, 84, 0, 84]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      43|[5.999999237060547]                                                             |  0.0000067630785452|      0.00000048|[65, 86, 0, 86]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      44|[5.999999713897705]                                                             |  0.0000065560643634|      0.00000095|[66, 88, 0, 88]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      45|[5.999999713897705]                                                             |  0.0000065560643634|      0.00000048|[67, 90, 0, 90]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      46|[5.999999713897705]                                                             |  0.0000065560643634|      0.00000024|[68, 92, 0, 92]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      47|[5.999999952316284]                                                             |  0.0000065097297011|      0.00000048|[69, 94, 0, 94]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      48|[5.999999952316284]                                                             |  0.0000065097297011|      0.00000024|[70, 96, 0, 96]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      49|[5.999999952316284]                                                             |  0.0000065097297011|      0.00000012|[71, 98, 0, 98]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      50|[6.000000071525574]                                                             |  0.0000065008557613|      0.00000024|[73, 100, 0, 100]                                                          |  | trying linear partial model with 4 points | iterate success | actual_k=1
      51|[6.000000071525574]                                                             |  0.0000065008557613|      0.00000012|[74, 102, 0, 102]                                                          |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      52|[6.000000071525574]                                                             |  0.0000065008557613|      0.00000006|[75, 104, 0, 104]                                                          |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      53|[6.000000071525574]                                                             |  0.0000065008557613|      0.00000003|[76, 106, 0, 106]                                                          |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      54|[6.000000101327896]                                                             |  0.0000065001263465|      0.00000006|[78, 108, 0, 108]                                                          |  | trying linear partial model with 4 points | iterate success | actual_k=1
      55|[6.000000101327896]                                                             |  0.0000065001263465|      0.00000003|[79, 110, 0, 110]                                                          |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      56|[6.000000101327896]                                                             |  0.0000065001263465|      0.00000001|[79, 112, 0, 112]                                                          |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      57|[6.0000001162290575]                                                            |  0.0000064999849201|      0.00000003|[82, 114, 0, 114]                                                          |  | trying linear partial model with 4 points | iterate success | actual_k=1
      58|[6.0000001162290575]                                                            |  0.0000064999849201|      0.00000001|[83, 116, 0, 116]                                                          |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      59|[6.0000001162290575]                                                            |  0.0000064999849201|      0.00000001|[84, 118, 0, 118]                                                          |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      60|[6.0000001162290575]                                                            |  0.0000064999849201|      0.00000000|[86, 120, 0, 120]                                                          |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      61|[6.000000119954348]                                                             |  0.0000064999726419|      0.00000001|[87, 122, 0, 122]                                                          |  | trying linear partial model with 4 points | iterate success | actual_k=1
      62|[6.000000119954348]                                                             |  0.0000064999726419|      0.00000000|[88, 124, 0, 124]                                                          |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      63|[6.000000119954348]                                                             |  0.0000064999726419|      0.00000000|[90, 126, 0, 126]                                                          |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      64|[6.000000121816993]                                                             |  0.0000064999703682|      0.00000000|[91, 128, 0, 128]                                                          |  | trying linear partial model with 4 points | iterate success | actual_k=1
      65|[6.000000121816993]                                                             |  0.0000064999703682|      0.00000000|[92, 130, 0, 130]                                                          |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      66|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[94, 132, 0, 132]                                                          |  | trying linear partial model with 4 points | iterate success | actual_k=1
      67|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[94, 134, 0, 134]                                                          |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      68|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[94, 136, 0, 136]                                                          |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      69|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[97, 138, 0, 138]                                                          |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      70|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[98, 140, 0, 140]                                                          |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      71|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[101, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      72|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[104, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      73|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[106, 146, 0, 146]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      74|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[108, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      75|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[110, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      76|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[111, 152, 0, 152]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      77|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[113, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      78|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[116, 156, 0, 156]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      79|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[117, 158, 0, 158]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      80|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[120, 160, 0, 160]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
