k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6095535766751647, 0.0519688242793704, 0.1352853346516554, 0.7793853711056846, 9.25922738e-08, -2.290994829e-07, 9.7811514e-09, -5.61985531e-08, 1.38745283e-08, 7.50007122e-08, -9.11331411e-08, 9.77812098e-08, -6.93945017e-08, -2.47528215e-08, -3.50050131e-08, 2.357223807e-07, -1.14666658e-07, 2.24034982e-08, 6.28013334e-08, 8.30680029e-08, 4.88573252e-08, 3.07380168e-08]| 13.1512060165405273|     10.00000000|[129, 0, 0, 2]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
      12|[0.9140146851830843, 0.0778202182069655, 0.2030024975997864, 1.1693206415420616, 2.282335224e-07, -6.31874786e-08, 1.587571467e-07, 1.779902825e-07, -1.289770843e-07, -3.401075051e-07, -2.248140119e-07, -7.06243627e-08, -1.2183080756e-06, -3.043956823e-07, -5.317356632e-07, 1.371913126e-07, -2.42398002e-08, 6.185232821e-07, -2.429697097e-07, -8.17241329e-08, -6.21825294e-08, 2.852454744e-07]| 12.5802650451660156|      1.00000000|[1537, 0, 0, 24]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      13|[0.9140146851830843, 0.0778202182069655, 0.2030024975997864, 1.1693206415420616, 2.282335224e-07, -6.31874786e-08, 1.587571467e-07, 1.779902825e-07, -1.289770843e-07, -3.401075051e-07, -2.248140119e-07, -7.06243627e-08, -1.2183080756e-06, -3.043956823e-07, -5.317356632e-07, 1.371913126e-07, -2.42398002e-08, 6.185232821e-07, -2.429697097e-07, -8.17241329e-08, -6.21825294e-08, 2.852454744e-07]| 12.5802650451660156|      0.10000000|[1665, 0, 0, 26]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      14|[0.9748689424642629, 0.0829744088722676, 0.2165548810852089, 1.247336835951291, -4.500678235e-07, -1.582260544e-07, 8.08218533e-08, 3.3936145e-09, -1.830421238e-07, -7.074579329e-07, -3.249008319e-07, -3.023360233e-07, -1.2407914505e-06, -3.79674243e-07, -1.691831905e-07, -1.99477546e-08, -1.41528952e-08, 6.705437519e-07, -1.468009538e-07, 2.669630441e-07, -5.25578147e-08, 6.075820461e-07]| 12.4943542480468750|      1.00000000|[1793, 0, 0, 28]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      15|[0.9748689424642629, 0.0829744088722676, 0.2165548810852089, 1.247336835951291, -4.500678235e-07, -1.582260544e-07, 8.08218533e-08, 3.3936145e-09, -1.830421238e-07, -7.074579329e-07, -3.249008319e-07, -3.023360233e-07, -1.2407914505e-06, -3.79674243e-07, -1.691831905e-07, -1.99477546e-08, -1.41528952e-08, 6.705437519e-07, -1.468009538e-07, 2.669630441e-07, -5.25578147e-08, 6.075820461e-07]| 12.4943542480468750|      0.10000000|[1921, 0, 0, 30]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      16|[1.035704378634913, 0.0881210091554724, 0.2301118876077515, 1.325367405505699, -3.004133925e-07, -3.230414239e-07, 8.27609925e-08, -2.024106875e-07, -1.396560856e-07, -6.921090232e-07, -4.568463847e-07, -2.823228194e-07, -1.398917107e-06, -1.079492577e-07, 3.43553788e-08, 9.823426e-10, 3.976985954e-07, 8.620319836e-07, -3.938952309e-07, 2.73874603e-08, 1.25686781e-08, 7.880837026e-07]| 12.4178686141967773|      1.00000000|[2049, 0, 0, 32]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      17|[1.035704378634913, 0.0881210091554724, 0.2301118876077515, 1.325367405505699, -3.004133925e-07, -3.230414239e-07, 8.27609925e-08, -2.024106875e-07, -1.396560856e-07, -6.921090232e-07, -4.568463847e-07, -2.823228194e-07, -1.398917107e-06, -1.079492577e-07, 3.43553788e-08, 9.823426e-10, 3.976985954e-07, 8.620319836e-07, -3.938952309e-07, 2.73874603e-08, 1.25686781e-08, 7.880837026e-07]| 12.4178686141967773|      0.10000000|[2177, 0, 0, 34]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      18|[1.0965153887382841, 0.0932570456124124, 0.2436743199751692, 1.4034167655758014, -5.035831059e-07, -6.818246351e-07, -8.98989548e-08, -3.051272172e-07, -3.975071736e-07, -7.286437414e-07, -4.685348405e-07, -4.807597104e-07, -1.4409092078e-06, 2.224541899e-07, -1.037534958e-07, 6.51863843e-08, 3.780781388e-07, 1.1981947888e-06, -5.545924997e-07, 1.197156439e-07, 2.3043654e-07, 7.685227463e-07]| 12.3508090972900391|      1.00000000|[2305, 0, 0, 36]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      19|[1.0965153887382841, 0.0932570456124124, 0.2436743199751692, 1.4034167655758014, -5.035831059e-07, -6.818246351e-07, -8.98989548e-08, -3.051272172e-07, -3.975071736e-07, -7.286437414e-07, -4.685348405e-07, -4.807597104e-07, -1.4409092078e-06, 2.224541899e-07, -1.037534958e-07, 6.51863843e-08, 3.780781388e-07, 1.1981947888e-06, -5.545924997e-07, 1.197156439e-07, 2.3043654e-07, 7.685227463e-07]| 12.3508090972900391|      0.10000000|[2433, 0, 0, 38]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      20|[1.1572944669617367, 0.0983802365958439, 0.2572446880123914, 1.4814904594411413, -2.851267296e-07, 1.905458582e-07, 2.60193853e-07, -7.677513403e-07, -7.317825576e-07, -4.491147657e-07, -8.642209381e-07, -2.205026824e-07, -1.5131205961e-06, -1.314443965e-07, -1.305375731e-07, -9.67703675e-08, 3.100526022e-07, 1.157305946e-06, -4.691014593e-07, -3.361243064e-07, 1.99059713e-08, 6.024084964e-07]| 12.2931756973266602|      1.00000000|[2561, 0, 0, 40]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      21|[1.1572944669617367, 0.0983802365958439, 0.2572446880123914, 1.4814904594411413, -2.851267296e-07, 1.905458582e-07, 2.60193853e-07, -7.677513403e-07, -7.317825576e-07, -4.491147657e-07, -8.642209381e-07, -2.205026824e-07, -1.5131205961e-06, -1.314443965e-07, -1.305375731e-07, -9.67703675e-08, 3.100526022e-07, 1.157305946e-06, -4.691014593e-07, -3.361243064e-07, 1.99059713e-08, 6.024084964e-07]| 12.2931756973266602|      0.10000000|[2689, 0, 0, 42]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      22|[1.2180311148934766, 0.1034852205572381, 0.2708250524320406, 1.559596620761929, -7.77325815e-08, 1.897713194e-07, 2.78817618e-07, -8.270090774e-07, -4.208928353e-07, -7.16773843e-08, -1.3384741811e-06, -3.879943077e-07, -1.7830665664e-06, -4.647162934e-07, 2.136016935e-07, -1.2089047458e-06, 6.803272227e-07, 9.70359611e-07, -7.21584776e-07, -8.42656215e-07, -3.704135163e-07, 6.890813129e-07]| 12.2449665069580078|      1.00000000|[2817, 0, 0, 44]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      23|[1.2180311148934766, 0.1034852205572381, 0.2708250524320406, 1.559596620761929, -7.77325815e-08, 1.897713194e-07, 2.78817618e-07, -8.270090774e-07, -4.208928353e-07, -7.16773843e-08, -1.3384741811e-06, -3.879943077e-07, -1.7830665664e-06, -4.647162934e-07, 2.136016935e-07, -1.2089047458e-06, 6.803272227e-07, 9.70359611e-07, -7.21584776e-07, -8.42656215e-07, -3.704135163e-07, 6.890813129e-07]| 12.2449665069580078|      0.10000000|[2945, 0, 0, 46]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      24|[1.278705663533749, 0.1085642459221939, 0.2844206014580478, 1.6377500832117078, -2.470765325e-07, 2.5293949e-09, 7.694149169e-07, -1.0423224481e-06, -9.59746291e-08, -9.43464957e-08, -9.694049569e-07, 2.788394463e-07, -1.7645388043e-06, -3.929194146e-07, 4.202761976e-07, -1.6065499279e-06, 1.2139037536e-06, 6.604686441e-07, -2.987894167e-07, -1.5942673068e-06, -4.03499275e-07, 4.35706663e-07]| 12.2061843872070312|      1.00000000|[3073, 0, 0, 48]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      25|[1.278705663533749, 0.1085642459221939, 0.2844206014580478, 1.6377500832117078, -2.470765325e-07, 2.5293949e-09, 7.694149169e-07, -1.0423224481e-06, -9.59746291e-08, -9.43464957e-08, -9.694049569e-07, 2.788394463e-07, -1.7645388043e-06, -3.929194146e-07, 4.202761976e-07, -1.6065499279e-06, 1.2139037536e-06, 6.604686441e-07, -2.987894167e-07, -1.5942673068e-06, -4.03499275e-07, 4.35706663e-07]| 12.2061843872070312|      0.10000000|[3201, 0, 0, 50]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      26|[1.3392848245357647, 0.1136024098923041, 0.2980378862975783, 1.7159763684324594, 1.1380098638e-06, -8.238325529e-07, 1.1156798406e-06, -1.5607254514e-06, -1.6799950044e-06, 8.24600315e-08, -1.8057047077e-06, -2.70903928e-07, -2.9890919949e-06, -6.419014908e-07, 4.538190233e-07, -1.1361286496e-06, 1.1440661896e-06, 1.679451536e-07, -6.378436936e-07, -1.1765794723e-06, -5.041548544e-07, 1.6189001703e-06]| 12.1768264770507812|      1.00000000|[3329, 0, 0, 52]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      27|[1.3392848245357647, 0.1136024098923041, 0.2980378862975783, 1.7159763684324594, 1.1380098638e-06, -8.238325529e-07, 1.1156798406e-06, -1.5607254514e-06, -1.6799950044e-06, 8.24600315e-08, -1.8057047077e-06, -2.70903928e-07, -2.9890919949e-06, -6.419014908e-07, 4.538190233e-07, -1.1361286496e-06, 1.1440661896e-06, 1.679451536e-07, -6.378436936e-07, -1.1765794723e-06, -5.041548544e-07, 1.6189001703e-06]| 12.1768264770507812|      0.10000000|[3457, 0, 0, 54]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      28|[1.3996948685350536, 0.1185718426448823, 0.3116953669655923, 1.7943307207894004, 1.6169618678e-06, -3.398804288e-07, 2.4920407953e-06, -3.0929689023e-06, -2.4407294231e-06, -1.0250127976e-06, -1.776879954e-06, -5.303171314e-07, -2.7830840148e-06, -1.057802012e-06, 1.0475340247e-06, -2.590080613e-07, 5.922623495e-07, 2.688065121e-07, -1.9754681505e-06, -7.044650513e-07, 1.210254667e-07, 1.4973983958e-06]| 12.1568946838378906|      1.00000000|[3585, 0, 0, 56]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      29|[1.3996948685350536, 0.1185718426448823, 0.3116953669655923, 1.7943307207894004, 1.6169618678e-06, -3.398804288e-07, 2.4920407953e-06, -3.0929689023e-06, -2.4407294231e-06, -1.0250127976e-06, -1.776879954e-06, -5.303171314e-07, -2.7830840148e-06, -1.057802012e-06, 1.0475340247e-06, -2.590080613e-07, 5.922623495e-07, 2.688065121e-07, -1.9754681505e-06, -7.044650513e-07, 1.210254667e-07, 1.4973983958e-06]| 12.1568946838378906|      0.10000000|[3713, 0, 0, 58]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      30|[1.3996948685350536, 0.1185718426448823, 0.3116953669655923, 1.7943307207894004, 1.6169618678e-06, -3.398804288e-07, 2.4920407953e-06, -3.0929689023e-06, -2.4407294231e-06, -1.0250127976e-06, -1.776879954e-06, -5.303171314e-07, -2.7830840148e-06, -1.057802012e-06, 1.0475340247e-06, -2.590080613e-07, 5.922623495e-07, 2.688065121e-07, -1.9754681505e-06, -7.044650513e-07, 1.210254667e-07, 1.4973983958e-06]| 12.1568946838378906|      0.01000000|[3841, 0, 0, 60]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      31|[1.405698209282035, 0.1190519003521196, 0.3130701288373643, 1.8021945275026896, 9.463340991e-07, -2.2323411729e-06, 3.5829460694e-06, -3.0605213142e-06, -3.8446616486e-06, -5.220685724e-07, 1.929076612e-07, 1.1470104935e-06, -3.1981946344e-06, -1.6001523904e-06, 1.1546053848e-06, -6.777442305e-07, -5.755670566e-07, 5.87004079e-07, -1.5785692413e-06, -1.1376784405e-06, -3.516374509e-07, 2.6884502616e-06]| 12.1554203033447266|      0.10000000|[3969, 0, 0, 62]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      32|[1.405698209282035, 0.1190519003521196, 0.3130701288373643, 1.8021945275026896, 9.463340991e-07, -2.2323411729e-06, 3.5829460694e-06, -3.0605213142e-06, -3.8446616486e-06, -5.220685724e-07, 1.929076612e-07, 1.1470104935e-06, -3.1981946344e-06, -1.6001523904e-06, 1.1546053848e-06, -6.777442305e-07, -5.755670566e-07, 5.87004079e-07, -1.5785692413e-06, -1.1376784405e-06, -3.516374509e-07, 2.6884502616e-06]| 12.1554203033447266|      0.01000000|[4097, 0, 0, 64]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      33|[1.4116954383083122, 0.1195330186256782, 0.3144458316721289, 1.810062767176001, 1.7210820872e-06, -3.7846050425e-06, 2.5856056986e-06, -3.4876627434e-06, -3.6466553787e-06, -8.338428992e-07, -6.60568077e-08, 1.116099936e-07, -3.7576132151e-06, -1.7858343582e-06, 1.726884484e-06, 7.037192458e-07, 1.2493593402e-06, 2.748179835e-07, -1.0521183784e-06, -8.603768045e-07, 1.4237744806e-06, 2.0661732669e-06]| 12.1540393829345703|      0.10000000|[4225, 0, 0, 66]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      34|[1.4116954383083122, 0.1195330186256782, 0.3144458316721289, 1.810062767176001, 1.7210820872e-06, -3.7846050425e-06, 2.5856056986e-06, -3.4876627434e-06, -3.6466553787e-06, -8.338428992e-07, -6.60568077e-08, 1.116099936e-07, -3.7576132151e-06, -1.7858343582e-06, 1.726884484e-06, 7.037192458e-07, 1.2493593402e-06, 2.748179835e-07, -1.0521183784e-06, -8.603768045e-07, 1.4237744806e-06, 2.0661732669e-06]| 12.1540393829345703|      0.01000000|[4353, 0, 0, 68]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      35|[1.417684254257599, 0.1200097165154404, 0.3158234270732874, 1.8179373480826708, 1.539125926e-07, -4.4456937255e-06, 4.455870475e-06, -3.57932017e-06, -2.6638840264e-06, -5.303116764e-07, 4.360163314e-07, -2.8092967532e-06, -2.2354477227e-06, -1.6139765089e-06, 4.0282120758e-06, 2.9287695593e-06, -5.216774273e-07, -8.46012718e-08, -3.6758684886e-06, -3.8967066929e-06, 1.9458006508e-06, 1.2747943116e-06]| 12.1527528762817383|      0.10000000|[4481, 0, 0, 70]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      36|[1.417684254257599, 0.1200097165154404, 0.3158234270732874, 1.8179373480826708, 1.539125926e-07, -4.4456937255e-06, 4.455870475e-06, -3.57932017e-06, -2.6638840264e-06, -5.303116764e-07, 4.360163314e-07, -2.8092967532e-06, -2.2354477227e-06, -1.6139765089e-06, 4.0282120758e-06, 2.9287695593e-06, -5.216774273e-07, -8.46012718e-08, -3.6758684886e-06, -3.8967066929e-06, 1.9458006508e-06, 1.2747943116e-06]| 12.1527528762817383|      0.01000000|[4609, 0, 0, 72]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      37|[1.42366484951462, 0.1204794465106875, 0.3172029066205188, 1.8258182647986485, 2.984792101e-07, -3.356496946e-06, 6.0364383789e-06, -3.9190321605e-06, -2.7463454859e-06, -2.427148088e-07, -6.621364666e-07, -5.949443452e-07, -2.0944953244e-06, -3.6264646176e-06, 3.6414798726e-06, 4.4165670643e-06, -1.1735400112e-06, -1.7676882445e-06, -4.774347062e-06, -3.5440355862e-06, 1.1416576866e-06, 7.182560789e-07]| 12.1515607833862305|      0.10000000|[4737, 0, 0, 74]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      38|[1.42366484951462, 0.1204794465106875, 0.3172029066205188, 1.8258182647986485, 2.984792101e-07, -3.356496946e-06, 6.0364383789e-06, -3.9190321605e-06, -2.7463454859e-06, -2.427148088e-07, -6.621364666e-07, -5.949443452e-07, -2.0944953244e-06, -3.6264646176e-06, 3.6414798726e-06, 4.4165670643e-06, -1.1735400112e-06, -1.7676882445e-06, -4.774347062e-06, -3.5440355862e-06, 1.1416576866e-06, 7.182560789e-07]| 12.1515607833862305|      0.01000000|[4865, 0, 0, 76]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      39|[1.4296343044915145, 0.1209461075919456, 0.3185845568811437, 1.8337074232541704, 1.1156415234e-06, -4.8400638837e-06, 6.2184744144e-06, -6.4437484118e-06, -1.8223235426e-06, -2.2704290011e-06, -4.5148902493e-06, -3.5704050548e-06, -1.4397244858e-06, -4.0371126671e-06, 4.5362663037e-06, 3.9733242752e-06, -6.974162719e-07, -5.1789629989e-06, -5.3738609565e-06, -1.5034903574e-06, 9.31919303e-07, 1.1321309183e-06]| 12.1504631042480469|      0.10000000|[4993, 0, 0, 78]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      40|[1.4296343044915145, 0.1209461075919456, 0.3185845568811437, 1.8337074232541704, 1.1156415234e-06, -4.8400638837e-06, 6.2184744144e-06, -6.4437484118e-06, -1.8223235426e-06, -2.2704290011e-06, -4.5148902493e-06, -3.5704050548e-06, -1.4397244858e-06, -4.0371126671e-06, 4.5362663037e-06, 3.9733242752e-06, -6.974162719e-07, -5.1789629989e-06, -5.3738609565e-06, -1.5034903574e-06, 9.31919303e-07, 1.1321309183e-06]| 12.1504631042480469|      0.01000000|[5121, 0, 0, 80]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      41|[1.4355926849701397, 0.1214095062063626, 0.3199684074385056, 1.8416047567504266, 2.9304485647e-06, -3.1970836753e-06, 5.3531101585e-06, -7.2502281018e-06, -3.5261329277e-06, -4.5295031914e-06, -2.169149984e-06, -4.6111241229e-06, 3.939903664e-07, -5.0861788694e-06, 2.8814963326e-06, 6.690417143e-06, -1.350768609e-07, -6.5542269789e-06, -3.9469757449e-06, -3.2141973101e-06, -1.406657171e-07, 6.947496746e-07]| 12.1494588851928711|      0.10000000|[5249, 0, 0, 82]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      42|[1.4355926849701397, 0.1214095062063626, 0.3199684074385056, 1.8416047567504266, 2.9304485647e-06, -3.1970836753e-06, 5.3531101585e-06, -7.2502281018e-06, -3.5261329277e-06, -4.5295031914e-06, -2.169149984e-06, -4.6111241229e-06, 3.939903664e-07, -5.0861788694e-06, 2.8814963326e-06, 6.690417143e-06, -1.350768609e-07, -6.5542269789e-06, -3.9469757449e-06, -3.2141973101e-06, -1.406657171e-07, 6.947496746e-07]| 12.1494588851928711|      0.01000000|[5377, 0, 0, 84]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      43|[1.44153758716401, 0.1218636565812479, 0.3213596365867323, 1.8495114806591797, 3.55446109e-06, -2.77789488e-06, 4.1137046466e-06, -1.06068032723e-05, -7.1348847365e-06, -3.2000748337e-06, -1.667133702e-07, -4.227048156e-06, 3.3927132724e-06, -3.0642681144e-06, 6.1024053368e-06, 6.6502188855e-06, -1.4199201013e-06, -5.2969862826e-06, -4.6222903983e-06, -3.3469107597e-06, 4.721218424e-06, -1.509608444e-07]| 12.1485500335693359|      0.10000000|[5505, 0, 0, 86]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      44|[1.44153758716401, 0.1218636565812479, 0.3213596365867323, 1.8495114806591797, 3.55446109e-06, -2.77789488e-06, 4.1137046466e-06, -1.06068032723e-05, -7.1348847365e-06, -3.2000748337e-06, -1.667133702e-07, -4.227048156e-06, 3.3927132724e-06, -3.0642681144e-06, 6.1024053368e-06, 6.6502188855e-06, -1.4199201013e-06, -5.2969862826e-06, -4.6222903983e-06, -3.3469107597e-06, 4.721218424e-06, -1.509608444e-07]| 12.1485500335693359|      0.01000000|[5633, 0, 0, 88]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      45|[1.4474619421872321, 0.1223136563667384, 0.32275330805483, 1.857433421085617, 2.0054330205e-06, -4.6130168723e-06, 4.7100830298e-06, -1.31900355255e-05, -7.6521817837e-06, -5.1892439084e-06, 2.980975858e-07, -2.0224305237e-06, 2.8916988062e-06, -3.1734559368e-06, 8.4830374043e-06, 8.7562088045e-06, -1.317765327e-06, -4.4358189894e-06, -6.8728174574e-06, -6.6467625198e-06, 3.5150397079e-06, 2.4658745596e-06]| 12.1477346420288086|      0.10000000|[5761, 0, 0, 90]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
