k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[5.2]                                                                           |61302.9768075899992255|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[6.2]                                                                           |12846.5410156250000000|      2.00000000|[5, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       2|[6.2]                                                                           |12846.5410156250000000|      1.00000000|[7, 4, 0, 4]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[6.2]                                                                           |12846.5410156250000000|      0.50000000|[8, 6, 0, 6]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[6.2]                                                                           |12846.5410156250000000|      0.25000000|[9, 8, 0, 8]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[6.2]                                                                           |12846.5410156250000000|      0.12500000|[11, 10, 0, 10]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[6.075]                                                                         |1898.7454833984375000|      0.25000000|[14, 12, 0, 12]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       7|[6.075]                                                                         |1898.7454833984375000|      0.12500000|[15, 14, 0, 14]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[6.075]                                                                         |1898.7454833984375000|      0.06250000|[15, 16, 0, 16]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[6.075]                                                                         |1898.7454833984375000|      0.03125000|[18, 18, 0, 18]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[6.04375]                                                                       |646.2192382812500000|      0.06250000|[20, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      11|[6.04375]                                                                       |646.2192382812500000|      0.03125000|[21, 22, 0, 22]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[6.0125]                                                                        | 52.5319366455078125|      0.06250000|[22, 24, 0, 24]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      13|[6.0125]                                                                        | 52.5319366455078125|      0.03125000|[22, 26, 0, 26]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[6.0125]                                                                        | 52.5319366455078125|      0.01562500|[22, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[6.0125]                                                                        | 52.5319366455078125|      0.00781250|[25, 30, 0, 30]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      32|[6.000048828125]                                                                |  0.0008018242660910|      0.00006104|[45, 64, 0, 64]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      33|[5.99998779296875]                                                              |  0.0000574695586693|      0.00012207|[48, 66, 0, 66]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      34|[5.99998779296875]                                                              |  0.0000574695586693|      0.00006104|[49, 68, 0, 68]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      35|[5.99998779296875]                                                              |  0.0000574695586693|      0.00003052|[50, 70, 0, 70]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      36|[5.99998779296875]                                                              |  0.0000574695586693|      0.00001526|[52, 72, 0, 72]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      37|[6.000003051757813]                                                             |  0.0000093758726507|      0.00003052|[54, 74, 0, 74]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      38|[6.000003051757813]                                                             |  0.0000093758726507|      0.00001526|[56, 76, 0, 76]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      39|[6.000003051757813]                                                             |  0.0000093758726507|      0.00000763|[57, 78, 0, 78]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      40|[6.000003051757813]                                                             |  0.0000093758726507|      0.00000381|[58, 80, 0, 80]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      41|[5.999999237060547]                                                             |  0.0000067630785452|      0.00000763|[60, 82, 0, 82]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      42|[5.999999237060547]                                                             |  0.0000067630785452|      0.00000381|[61, 84, 0, 84]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      43|[5.999999237060547]                                                             |  0.0000067630785452|      0.00000191|[62, 86, 0, 86]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      44|[5.999999237060547]                                                             |  0.0000067630785452|      0.00000095|[63, 88, 0, 88]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      45|[5.999999237060547]                                                             |  0.0000067630785452|      0.00000048|[65, 90, 0, 90]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      46|[5.999999713897705]                                                             |  0.0000065560643634|      0.00000095|[68, 92, 0, 92]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      47|[5.999999713897705]                                                             |  0.0000065560643634|      0.00000048|[69, 94, 0, 94]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      48|[6.0000001907348635]                                                            |  0.0000065015105974|      0.00000095|[69, 96, 0, 96]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      49|[6.0000001907348635]                                                            |  0.0000065015105974|      0.00000048|[70, 98, 0, 98]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      50|[6.0000001907348635]                                                            |  0.0000065015105974|      0.00000024|[72, 100, 0, 100]                                                          |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      51|[6.0000001907348635]                                                            |  0.0000065015105974|      0.00000012|[73, 102, 0, 102]                                                          |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      52|[6.0000001907348635]                                                            |  0.0000065015105974|      0.00000006|[76, 104, 0, 104]                                                          |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      53|[6.0000001907348635]                                                            |  0.0000065015105974|      0.00000003|[77, 106, 0, 106]                                                          |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      54|[6.000000160932541]                                                             |  0.0000065004537646|      0.00000006|[79, 108, 0, 108]                                                          |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      55|[6.000000160932541]                                                             |  0.0000065004537646|      0.00000003|[80, 110, 0, 110]                                                          |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      56|[6.000000160932541]                                                             |  0.0000065004537646|      0.00000001|[81, 112, 0, 112]                                                          |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      57|[6.00000014603138]                                                              |  0.0000065001486291|      0.00000003|[84, 114, 0, 114]                                                          |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      58|[6.00000014603138]                                                              |  0.0000065001486291|      0.00000001|[85, 116, 0, 116]                                                          |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      59|[6.000000131130219]                                                             |  0.0000064999921960|      0.00000003|[86, 118, 0, 118]                                                          |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      60|[6.000000131130219]                                                             |  0.0000064999921960|      0.00000001|[86, 120, 0, 120]                                                          |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      61|[6.000000131130219]                                                             |  0.0000064999921960|      0.00000001|[87, 122, 0, 122]                                                          |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      62|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000001|[88, 124, 0, 124]                                                          |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      63|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000001|[89, 126, 0, 126]                                                          |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      64|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[91, 128, 0, 128]                                                          |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      65|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[92, 130, 0, 130]                                                          |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      66|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[95, 132, 0, 132]                                                          |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      67|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[96, 134, 0, 134]                                                          |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      68|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[98, 136, 0, 136]                                                          |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      69|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[101, 138, 0, 138]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      70|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[102, 140, 0, 140]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      71|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[104, 142, 0, 142]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      72|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[107, 144, 0, 144]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      73|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[109, 146, 0, 146]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      74|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[111, 148, 0, 148]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      75|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[113, 150, 0, 150]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      76|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[114, 152, 0, 152]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      77|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[116, 154, 0, 154]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      78|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[119, 156, 0, 156]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      79|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[120, 158, 0, 158]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      80|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[123, 160, 0, 160]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
