k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0]                                                                      |889.3031475218829200|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.5775889522871476, 2.093595616311279]                                         |103.9862213134765625|     10.00000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       2|[1.5775889522871476, 2.093595616311279]                                         |103.9862213134765625|      1.00000000|[15, 5, 0, 5]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[1.0666235358424436, 0.9545009789214751]                                        |  0.0061580771580338|      0.10000000|[167, 63, 0, 63]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      26|[1.0666235358424436, 0.9545009789214751]                                        |  0.0061580771580338|      0.01000000|[173, 65, 0, 65]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      27|[1.0666235358424436, 0.9545009789214751]                                        |  0.0061580771580338|      0.00100000|[179, 67, 0, 67]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      28|[1.0662468909664018, 0.955427336647924]                                         |  0.0059955809265375|      0.01000000|[185, 69, 0, 69]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      29|[1.0611755502812747, 0.9640460084513618]                                        |  0.0047543183900416|      0.10000000|[190, 71, 0, 71]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      30|[1.0611755502812747, 0.9640460084513618]                                        |  0.0047543183900416|      0.01000000|[197, 74, 0, 74]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      31|[1.0548896991454588, 0.971823416470642]                                         |  0.0039384905248880|      0.10000000|[202, 76, 0, 76]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      32|[1.0548896991454588, 0.971823416470642]                                         |  0.0039384905248880|      0.01000000|[210, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      33|[1.0548896991454588, 0.971823416470642]                                         |  0.0039384905248880|      0.00100000|[217, 82, 0, 82]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      34|[1.053950815765464, 0.9714791810878446]                                         |  0.0037474175915122|      0.01000000|[222, 84, 0, 84]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      35|[1.0440527005717266, 0.9729030194254045]                                        |  0.0024993699043989|      0.10000000|[227, 86, 0, 86]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      36|[1.0440527005717266, 0.9729030194254045]                                        |  0.0024993699043989|      0.01000000|[233, 88, 0, 88]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      37|[1.0372859858006127, 0.9802658701780944]                                        |  0.0017624648753554|      0.10000000|[239, 90, 0, 90]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      38|[1.0372859858006127, 0.9802658701780944]                                        |  0.0017624648753554|      0.01000000|[246, 93, 0, 93]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      39|[1.0372859858006127, 0.9802658701780944]                                        |  0.0017624648753554|      0.00100000|[253, 96, 0, 96]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      40|[1.0363112949737678, 0.9800423130443136]                                        |  0.0016562289092690|      0.01000000|[259, 98, 0, 98]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      41|[1.0363112949737678, 0.9800423130443136]                                        |  0.0016562289092690|      0.00100000|[265, 100, 0, 100]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      42|[1.0353123082031326, 0.9799973082435073]                                        |  0.0015642682556063|      0.01000000|[271, 102, 0, 102]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      43|[1.0353123082031326, 0.9799973082435073]                                        |  0.0015642682556063|      0.00100000|[279, 105, 0, 105]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      44|[1.0343337501507799, 0.9802032794506593]                                        |  0.0014816303737462|      0.01000000|[284, 107, 0, 107]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      45|[1.0343337501507799, 0.9802032794506593]                                        |  0.0014816303737462|      0.00100000|[290, 109, 0, 109]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      46|[1.0333539837617967, 0.9804034239560016]                                        |  0.0014047090662643|      0.01000000|[296, 111, 0, 111]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      47|[1.026512453942097, 0.987696809296579]                                          |  0.0009488708456047|      0.10000000|[302, 113, 0, 113]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      48|[1.026512453942097, 0.987696809296579]                                          |  0.0009488708456047|      0.01000000|[309, 116, 0, 116]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      49|[1.0165125107184836, 0.9877305068414676]                                        |  0.0004678235272877|      0.10000000|[315, 118, 0, 118]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      50|[1.0165125107184836, 0.9877305068414676]                                        |  0.0004678235272877|      0.01000000|[323, 121, 0, 121]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      51|[1.0165125107184836, 0.9877305068414676]                                        |  0.0004678235272877|      0.00100000|[330, 124, 0, 124]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      52|[1.0164735158306835, 0.9887297462515818]                                        |  0.0003996985324193|      0.01000000|[335, 126, 0, 126]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      53|[1.0164735158306835, 0.9887297462515818]                                        |  0.0003996985324193|      0.00100000|[343, 129, 0, 129]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      54|[1.0161661679456009, 0.9896813434760078]                                        |  0.0003511505492497|      0.01000000|[348, 131, 0, 131]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      55|[1.0161661679456009, 0.9896813434760078]                                        |  0.0003511505492497|      0.00100000|[355, 134, 0, 134]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      56|[1.0159991142412108, 0.9906672912737382]                                        |  0.0003218184865545|      0.01000000|[361, 136, 0, 136]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      57|[1.0159991142412108, 0.9906672912737382]                                        |  0.0003218184865545|      0.00100000|[367, 138, 0, 138]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      58|[1.015156551384838, 0.9912058892992273]                                         |  0.0002881842665374|      0.01000000|[373, 140, 0, 140]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      59|[1.015156551384838, 0.9912058892992273]                                         |  0.0002881842665374|      0.00100000|[381, 143, 0, 143]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      60|[1.0143611346289352, 0.9918119521544074]                                        |  0.0002572371740825|      0.01000000|[387, 145, 0, 145]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      61|[1.0143611346289352, 0.9918119521544074]                                        |  0.0002572371740825|      0.00100000|[394, 148, 0, 148]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      62|[1.0136450233716388, 0.9925099383055404]                                        |  0.0002308959956281|      0.01000000|[400, 150, 0, 150]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      63|[1.0136450233716388, 0.9925099383055404]                                        |  0.0002308959956281|      0.00100000|[407, 153, 0, 153]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      64|[1.0126581427776005, 0.992671390134612]                                         |  0.0002007867005887|      0.01000000|[412, 155, 0, 155]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      65|[1.0126581427776005, 0.992671390134612]                                         |  0.0002007867005887|      0.00100000|[419, 158, 0, 158]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      66|[1.01167276283825, 0.9925010188485172]                                          |  0.0001850277476478|      0.01000000|[425, 160, 0, 160]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
