k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 0.0]                                                                      |416.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0142432383166087, -0.1681773076115618]                                       | 64.9334564208984375|      2.00000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       2|[1.0142432383166087, -0.1681773076115618]                                       | 64.9334564208984375|      1.00000000|[15, 5, 0, 5]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.392672839641778, 0.6151810008853942]                                         | 41.4941139221191406|      2.00000000|[21, 7, 0, 7]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       4|[0.392672839641778, 0.6151810008853942]                                         | 41.4941139221191406|      1.00000000|[28, 10, 0, 10]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[0.392672839641778, 0.6151810008853942]                                         | 41.4941139221191406|      0.50000000|[36, 13, 0, 13]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      16|[1.014877804912243, 0.9925918985261537]                                         |  0.0358901731669903|      0.01562500|[110, 41, 0, 41]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[0.9994619816065533, 0.9900437586540602]                                        |  0.0081898868083954|      0.03125000|[116, 43, 0, 43]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      18|[0.9994619816065533, 0.9900437586540602]                                        |  0.0081898868083954|      0.01562500|[123, 46, 0, 46]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      19|[0.9994619816065533, 0.9900437586540602]                                        |  0.0081898868083954|      0.00781250|[130, 49, 0, 49]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[1.0020025768104537, 0.9974316225036394]                                        |  0.0009399556438439|      0.01562500|[136, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      21|[1.0020025768104537, 0.9974316225036394]                                        |  0.0009399556438439|      0.00781250|[142, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      22|[1.0020025768104537, 0.9974316225036394]                                        |  0.0009399556438439|      0.00390625|[149, 56, 0, 56]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[0.9989988495895976, 0.9999289033939656]                                        |  0.0001680466521066|      0.00781250|[155, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      24|[0.9989988495895976, 0.9999289033939656]                                        |  0.0001680466521066|      0.00390625|[163, 61, 0, 61]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[0.9989988495895976, 0.9999289033939656]                                        |  0.0001680466521066|      0.00195312|[169, 63, 0, 63]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      26|[0.9989988495895976, 0.9999289033939656]                                        |  0.0001680466521066|      0.00097656|[175, 65, 0, 65]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      27|[0.9998709685858174, 1.000368315242735]                                         |  0.0000113019550554|      0.00195312|[181, 67, 0, 67]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      28|[0.9998709685858174, 1.000368315242735]                                         |  0.0000113019550554|      0.00097656|[187, 69, 0, 69]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[0.9998709685858174, 1.000368315242735]                                         |  0.0000113019550554|      0.00048828|[194, 72, 0, 72]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      30|[1.0000641236225594, 0.9999198626690076]                                        |  0.0000009414899864|      0.00097656|[201, 75, 0, 75]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      31|[1.0000641236225594, 0.9999198626690076]                                        |  0.0000009414899864|      0.00048828|[207, 77, 0, 77]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      32|[1.0000641236225594, 0.9999198626690076]                                        |  0.0000009414899864|      0.00024414|[213, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      33|[1.0000641236225594, 0.9999198626690076]                                        |  0.0000009414899864|      0.00012207|[220, 82, 0, 82]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      34|[0.999962334191601, 0.9999872427323722]                                         |  0.0000002687440599|      0.00024414|[227, 85, 0, 85]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      35|[0.999962334191601, 0.9999872427323722]                                         |  0.0000002687440599|      0.00012207|[235, 88, 0, 88]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      36|[0.999962334191601, 0.9999872427323722]                                         |  0.0000002687440599|      0.00006104|[241, 90, 0, 90]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      37|[1.0000233577907247, 0.9999884304395898]                                        |  0.0000000872149428|      0.00012207|[246, 92, 0, 92]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      38|[1.0000233577907247, 0.9999884304395898]                                        |  0.0000000872149428|      0.00006104|[253, 95, 0, 95]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      39|[1.0000233577907247, 0.9999884304395898]                                        |  0.0000000872149428|      0.00003052|[261, 98, 0, 98]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      40|[0.9999928410079365, 0.9999882101151113]                                        |  0.0000000235764368|      0.00006104|[267, 100, 0, 100]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      41|[0.9999928410079365, 0.9999882101151113]                                        |  0.0000000235764368|      0.00003052|[273, 102, 0, 102]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      42|[0.9999928410079365, 0.9999882101151113]                                        |  0.0000000235764368|      0.00001526|[281, 105, 0, 105]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      43|[1.0000043254365214, 0.9999982569327036]                                        |  0.0000000029495189|      0.00003052|[286, 107, 0, 107]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      44|[1.0000043254365214, 0.9999982569327036]                                        |  0.0000000029495189|      0.00001526|[292, 109, 0, 109]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      45|[1.0000043254365214, 0.9999982569327036]                                        |  0.0000000029495189|      0.00000763|[298, 111, 0, 111]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      46|[0.9999980442622701, 1.0000025875805696]                                        |  0.0000000009200196|      0.00001526|[304, 113, 0, 113]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      47|[0.9999980442622701, 1.0000025875805696]                                        |  0.0000000009200196|      0.00000763|[311, 116, 0, 116]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      48|[0.9999980442622701, 1.0000025875805696]                                        |  0.0000000009200196|      0.00000381|[317, 118, 0, 118]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      49|[1.0000010580514267, 1.0000002489933577]                                        |  0.0000000002011990|      0.00000763|[325, 121, 0, 121]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      50|[1.0000010580514267, 1.0000002489933577]                                        |  0.0000000002011990|      0.00000381|[332, 124, 0, 124]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      51|[1.0000010580514267, 1.0000002489933577]                                        |  0.0000000002011990|      0.00000191|[340, 127, 0, 127]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      52|[0.9999995211780572, 0.9999991193920771]                                        |  0.0000000001198773|      0.00000381|[346, 129, 0, 129]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      53|[0.9999995211780572, 0.9999991193920771]                                        |  0.0000000001198773|      0.00000191|[353, 132, 0, 132]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      54|[0.9999995211780572, 0.9999991193920771]                                        |  0.0000000001198773|      0.00000095|[361, 135, 0, 135]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      55|[1.0000000545084344, 0.9999999099952712]                                        |  0.0000000000008999|      0.00000191|[366, 137, 0, 137]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      56|[1.0000000545084344, 0.9999999099952712]                                        |  0.0000000000008999|      0.00000095|[374, 140, 0, 140]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      57|[1.0000000545084344, 0.9999999099952712]                                        |  0.0000000000008999|      0.00000048|[382, 143, 0, 143]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      58|[1.0000000545084344, 0.9999999099952712]                                        |  0.0000000000008999|      0.00000024|[388, 145, 0, 145]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      59|[1.0000000545084344, 0.9999999099952712]                                        |  0.0000000000008999|      0.00000012|[395, 148, 0, 148]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      60|[1.0000000418922421, 1.0000000285350805]                                        |  0.0000000000004103|      0.00000024|[401, 150, 0, 150]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      61|[1.0000000418922421, 1.0000000285350805]                                        |  0.0000000000004103|      0.00000012|[408, 153, 0, 153]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      62|[1.0000000418922421, 1.0000000285350805]                                        |  0.0000000000004103|      0.00000006|[415, 156, 0, 156]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      63|[0.9999999968466324, 0.9999999895016752]                                        |  0.0000000000000120|      0.00000012|[420, 158, 0, 158]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      64|[0.9999999968466324, 0.9999999895016752]                                        |  0.0000000000000120|      0.00000006|[426, 160, 0, 160]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
