k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      1.00000000|[0, 0, 0, 0]                                                               | 
      11|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.31381060|[178, 72, 0, 36]                                                           |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      12|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.28242954|[198, 80, 0, 40]                                                           |  | trying quadratic partial model with 7 points | trying quadratic partial model with 11 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      13|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.25418658|[213, 86, 0, 43]                                                           |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      14|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.22876792|[231, 92, 0, 46]                                                           |  | trying quadratic partial model with 7 points | trying quadratic partial model with 13 points | exploitation failed, decreasing delta | actual_k=2
      15|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.20589113|[247, 98, 0, 49]                                                           |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      16|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.18530202|[262, 104, 0, 52]                                                          |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      17|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.16677182|[277, 110, 0, 55]                                                          |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 11 points | exploitation failed, decreasing delta | actual_k=2
      18|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.15009464|[294, 116, 0, 58]                                                          |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      19|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.13508517|[310, 122, 0, 61]                                                          |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      20|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.12157665|[328, 130, 0, 65]                                                          |  | trying quadratic partial model with 7 points | trying quadratic partial model with 11 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      21|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.10941899|[345, 136, 0, 68]                                                          |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      22|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.09847709|[362, 142, 0, 71]                                                          |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      23|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.08862938|[377, 148, 0, 74]                                                          |  | trying quadratic partial model with 7 points | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      24|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.07976644|[392, 154, 0, 77]                                                          |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 12 points | exploitation failed, decreasing delta | actual_k=2
      25|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.07178980|[410, 162, 0, 81]                                                          |  | trying quadratic partial model with 7 points | trying quadratic partial model with 11 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      26|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.06461082|[427, 168, 0, 84]                                                          |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 13 points | exploitation failed, decreasing delta | actual_k=2
      27|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.05814974|[443, 174, 0, 87]                                                          |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      28|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.05233476|[458, 180, 0, 90]                                                          |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      29|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.04710129|[475, 186, 0, 93]                                                          |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      30|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.04239116|[490, 192, 0, 96]                                                          |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      31|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.03815204|[505, 198, 0, 99]                                                          |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      32|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.03433684|[520, 204, 0, 102]                                                         |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      33|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.03090315|[536, 210, 0, 105]                                                         |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      34|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.02781284|[553, 216, 0, 108]                                                         |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      35|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.02503156|[568, 222, 0, 111]                                                         |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      36|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.02252840|[584, 228, 0, 114]                                                         |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      37|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.02027556|[599, 234, 0, 117]                                                         |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      38|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.01824800|[615, 240, 0, 120]                                                         |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      39|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.01642320|[630, 246, 0, 123]                                                         |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      40|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.01478088|[646, 252, 0, 126]                                                         |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      41|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.01330279|[661, 258, 0, 129]                                                         |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      42|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.01197252|[680, 266, 0, 133]                                                         |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 11 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      43|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.01077526|[695, 272, 0, 136]                                                         |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      44|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.00969774|[711, 278, 0, 139]                                                         |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      45|[0.2404381028049978, 0.3896666590436906, 0.4158711244363745, 0.3886785399158476]|  0.0042725983075798|      0.01077526|[721, 282, 0, 141]                                                         |  | trying quadratic partial model with 7 points | iterate success | actual_k=2
      46|[0.2404381028049978, 0.3896666590436906, 0.4158711244363745, 0.3886785399158476]|  0.0042725983075798|      0.00969774|[740, 290, 0, 145]                                                         |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 11 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      47|[0.2404381028049978, 0.3896666590436906, 0.4158711244363745, 0.3886785399158476]|  0.0042725983075798|      0.00872796|[759, 298, 0, 149]                                                         |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 11 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      48|[0.2404381028049978, 0.3896666590436906, 0.4158711244363745, 0.3886785399158476]|  0.0042725983075798|      0.00785517|[777, 306, 0, 153]                                                         |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 11 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      49|[0.2404381028049978, 0.3896666590436906, 0.4158711244363745, 0.3886785399158476]|  0.0042725983075798|      0.00706965|[792, 312, 0, 156]                                                         |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      50|[0.2404381028049978, 0.3896666590436906, 0.4158711244363745, 0.3886785399158476]|  0.0042725983075798|      0.00636269|[811, 320, 0, 160]                                                         |  | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 11 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
