k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  3.0203003000300002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0003130539050931, 0.0749798120023348]                                        |  0.0000948208253249|     10.00000000|[9, 0, 0, 2]                                                               |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      24|[0.0002956931190205, 0.0649798505503126]                                        |  0.0000534862483619|      0.01000000|[193, 0, 0, 48]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      25|[0.0002956931190205, 0.0649798505503126]                                        |  0.0000534862483619|      0.00100000|[201, 0, 0, 50]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      26|[0.0002910064069461, 0.063979861533008]                                         |  0.0000502690272697|      0.01000000|[209, 0, 0, 52]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      27|[0.0002910064069461, 0.063979861533008]                                         |  0.0000502690272697|      0.00100000|[217, 0, 0, 54]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      28|[0.000285926092982, 0.0629798744378863]                                         |  0.0000471991770610|      0.01000000|[225, 0, 0, 56]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      29|[0.000285926092982, 0.0629798744378863]                                         |  0.0000471991770610|      0.00100000|[233, 0, 0, 58]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      30|[0.0002814437449837, 0.0619798844836585]                                        |  0.0000442721211584|      0.01000000|[241, 0, 0, 60]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      31|[0.0002814437449837, 0.0619798844836585]                                        |  0.0000442721211584|      0.00100000|[249, 0, 0, 62]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      32|[0.0002775045486514, 0.0609798922423225]                                        |  0.0000414833593823|      0.01000000|[257, 0, 0, 64]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      33|[0.0002775045486514, 0.0609798922423225]                                        |  0.0000414833593823|      0.00100000|[265, 0, 0, 66]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      34|[0.0002731906996213, 0.0599799015470125]                                        |  0.0000388284715882|      0.01000000|[273, 0, 0, 68]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      35|[0.0002731906996213, 0.0599799015470125]                                        |  0.0000388284715882|      0.00100000|[281, 0, 0, 70]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      36|[0.0002677653088109, 0.0589799162645535]                                        |  0.0000363031140296|      0.01000000|[289, 0, 0, 72]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      37|[0.0002677653088109, 0.0589799162645535]                                        |  0.0000363031140296|      0.00100000|[297, 0, 0, 74]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      38|[0.0002677974164328, 0.057979916265069]                                         |  0.0000339029757015|      0.01000000|[305, 0, 0, 76]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      39|[0.0002677974164328, 0.057979916265069]                                         |  0.0000339029757015|      0.00100000|[313, 0, 0, 78]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      40|[0.0002647663347123, 0.0569799208588077]                                        |  0.0000316238620144|      0.01000000|[321, 0, 0, 80]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      41|[0.0002647663347123, 0.0569799208588077]                                        |  0.0000316238620144|      0.00100000|[329, 0, 0, 82]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      42|[0.0002667951957583, 0.0559799229169484]                                        |  0.0000294616493193|      0.01000000|[337, 0, 0, 84]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      43|[0.0002667951957583, 0.0559799229169484]                                        |  0.0000294616493193|      0.00100000|[345, 0, 0, 86]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      44|[0.0002691004157314, 0.0549799255739715]                                        |  0.0000274122594419|      0.01000000|[353, 0, 0, 88]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      45|[0.0002691004157314, 0.0549799255739715]                                        |  0.0000274122594419|      0.00100000|[361, 0, 0, 90]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      46|[0.0002686805431922, 0.053979925662118]                                         |  0.0000254716796917|      0.01000000|[369, 0, 0, 92]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      47|[0.0002686805431922, 0.053979925662118]                                         |  0.0000254716796917|      0.00100000|[377, 0, 0, 94]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      48|[0.0002641510177899, 0.0529799359204708]                                        |  0.0000236360119743|      0.01000000|[385, 0, 0, 96]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      49|[0.0002641510177899, 0.0529799359204708]                                        |  0.0000236360119743|      0.00100000|[393, 0, 0, 98]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      50|[0.0002581221657827, 0.0519799540941643]                                        |  0.0000219014073082|      0.01000000|[401, 0, 0, 100]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      51|[0.0002581221657827, 0.0519799540941643]                                        |  0.0000219014073082|      0.00100000|[409, 0, 0, 102]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      52|[0.0002557140755521, 0.0509799569936178]                                        |  0.0000202640585485|      0.01000000|[417, 0, 0, 104]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      53|[0.0002557140755521, 0.0509799569936178]                                        |  0.0000202640585485|      0.00100000|[425, 0, 0, 106]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      54|[0.0002494792638307, 0.0499799764302453]                                        |  0.0000187202949746|      0.01000000|[433, 0, 0, 108]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      55|[0.0002494792638307, 0.0499799764302453]                                        |  0.0000187202949746|      0.00100000|[441, 0, 0, 110]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      56|[0.0002448750721341, 0.0489799870295921]                                        |  0.0000172664549609|      0.01000000|[449, 0, 0, 112]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      57|[0.0002448750721341, 0.0489799870295921]                                        |  0.0000172664549609|      0.00100000|[457, 0, 0, 114]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      58|[0.000244970315814, 0.0479799870341278]                                         |  0.0000158989823831|      0.01000000|[465, 0, 0, 116]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      59|[0.000244970315814, 0.0479799870341278]                                         |  0.0000158989823831|      0.00100000|[473, 0, 0, 118]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      60|[0.0002438308630829, 0.0469799876833042]                                        |  0.0000146143902384|      0.01000000|[481, 0, 0, 120]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      61|[0.0002438308630829, 0.0469799876833042]                                        |  0.0000146143902384|      0.00100000|[489, 0, 0, 122]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      62|[0.0002470513740119, 0.045979992869163]                                         |  0.0000134092733788|      0.01000000|[497, 0, 0, 124]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      63|[0.0002470513740119, 0.045979992869163]                                         |  0.0000134092733788|      0.00100000|[505, 0, 0, 126]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      64|[0.0002427035066771, 0.0449800023211829]                                        |  0.0000122802621263|      0.01000000|[513, 0, 0, 128]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      65|[0.0002427035066771, 0.0449800023211829]                                        |  0.0000122802621263|      0.00100000|[521, 0, 0, 130]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      66|[0.0002451370217066, 0.0439800052821845]                                        |  0.0000112240968519|      0.01000000|[529, 0, 0, 132]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      67|[0.0002451370217066, 0.0439800052821845]                                        |  0.0000112240968519|      0.00100000|[537, 0, 0, 134]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      68|[0.0002385903347052, 0.0429800267119695]                                        |  0.0000102375715869|      0.01000000|[545, 0, 0, 136]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      69|[0.0002385903347052, 0.0429800267119695]                                        |  0.0000102375715869|      0.00100000|[553, 0, 0, 138]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      70|[0.0002337701913942, 0.0419800383289275]                                        |  0.0000093175467555|      0.01000000|[561, 0, 0, 140]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      71|[0.0002337701913942, 0.0419800383289275]                                        |  0.0000093175467555|      0.00100000|[569, 0, 0, 142]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      72|[0.0002282440007902, 0.0409800535984355]                                        |  0.0000084609737314|      0.01000000|[577, 0, 0, 144]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      73|[0.0002282440007902, 0.0409800535984355]                                        |  0.0000084609737314|      0.00100000|[585, 0, 0, 146]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      74|[0.0002281097250313, 0.0399800536074505]                                        |  0.0000076648593677|      0.01000000|[593, 0, 0, 148]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      75|[0.0002281097250313, 0.0399800536074505]                                        |  0.0000076648593677|      0.00100000|[601, 0, 0, 150]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      76|[0.0002214268624107, 0.0389800759380264]                                        |  0.0000069263010118|      0.01000000|[609, 0, 0, 152]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      77|[0.0002214268624107, 0.0389800759380264]                                        |  0.0000069263010118|      0.00100000|[617, 0, 0, 154]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      78|[0.0002144245915451, 0.0379801004542256]                                        |  0.0000062424483076|      0.01000000|[625, 0, 0, 156]                                                           |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      79|[0.0002144245915451, 0.0379801004542256]                                        |  0.0000062424483076|      0.00100000|[633, 0, 0, 158]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      80|[0.0002144245915451, 0.0379801004542256]                                        |  0.0000062424483076|      0.00010000|[641, 0, 0, 160]                                                           |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
