k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0]                                                                      |889.3031475218829200|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.0, 3.0]                                                                      |889.3031475218829200|      0.50000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[1.9489468649915829, 2.502613251678523]                                         |329.2785339355468750|      1.00000000|[12, 4, 0, 4]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       3|[1.9489468649915829, 2.502613251678523]                                         |329.2785339355468750|      0.50000000|[17, 6, 0, 6]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[1.7862951914018546, 2.029808394386997]                                         |101.4510498046875000|      1.00000000|[23, 8, 0, 8]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      21|[1.1984120268137004, 0.8658492620897988]                                        |  0.0518229566514492|      0.03125000|[115, 42, 0, 42]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      22|[1.1984120268137004, 0.8658492620897988]                                        |  0.0518229566514492|      0.01562500|[120, 44, 0, 44]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.03125000|[125, 46, 0, 46]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      23|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.03125000|[128, 47, 0, 47]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      24|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.01562500|[134, 49, 0, 49]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      24|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.01562500|[137, 50, 0, 50]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      25|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.00781250|[143, 52, 0, 52]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.00781250|[146, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      25|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.00781250|[149, 54, 0, 54]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      25|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.00781250|[152, 55, 0, 55]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      25|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.00781250|[155, 56, 0, 56]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      25|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.00781250|[158, 57, 0, 57]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      25|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.00781250|[161, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      25|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.00781250|[164, 59, 0, 59]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      25|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.00781250|[167, 60, 0, 60]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      25|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.00781250|[170, 61, 0, 61]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      25|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.00781250|[173, 62, 0, 62]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      25|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.00781250|[176, 63, 0, 63]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      25|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.00781250|[179, 64, 0, 64]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      25|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.00781250|[182, 65, 0, 65]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      25|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.00781250|[185, 66, 0, 66]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      25|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.00781250|[188, 67, 0, 67]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      25|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.00781250|[191, 68, 0, 68]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      25|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.00781250|[194, 69, 0, 69]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      25|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.00781250|[197, 70, 0, 70]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      25|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.00781250|[200, 71, 0, 71]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      25|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.00781250|[203, 72, 0, 72]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      25|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.00781250|[206, 73, 0, 73]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      25|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.00781250|[209, 74, 0, 74]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      25|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.00781250|[212, 75, 0, 75]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      25|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.00781250|[215, 76, 0, 76]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      25|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.00781250|[218, 77, 0, 77]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      25|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.00781250|[221, 78, 0, 78]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      25|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.00781250|[224, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      25|[1.1828856598423414, 0.8640963919660601]                                        |  0.0450387112796307|      0.00781250|[227, 80, 0, 80]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
