k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[3.0, 0.1]                                                                      | 87.6860481455954357|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[3.0, 0.1]                                                                      | 87.6860481455954357|      0.10000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[2.913062052443896, 0.050585495300144]                                          | 75.6266403198242188|      1.00000000|[12, 4, 0, 4]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       3|[1.9524631234760688, -0.2273528030069871]                                       | 13.5062036514282227|     10.00000000|[18, 6, 0, 6]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       4|[1.9524631234760688, -0.2273528030069871]                                       | 13.5062036514282227|      1.00000000|[24, 8, 0, 8]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[1.9524631234760688, -0.2273528030069871]                                       | 13.5062036514282227|      0.10000000|[32, 11, 0, 11]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
       6|[1.8597078170637977, -0.2647219498043881]                                       | 11.0693998336791992|      1.00000000|[38, 13, 0, 13]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       7|[1.8597078170637977, -0.2647219498043881]                                       | 11.0693998336791992|      0.10000000|[44, 15, 0, 15]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      18|[1.2980048125364476, -0.4698288303859167]                                       |  3.4013233184814453|      1.00000000|[109, 40, 0, 40]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      19|[1.2980048125364476, -0.4698288303859167]                                       |  3.4013233184814453|      0.10000000|[117, 43, 0, 43]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      20|[1.202160025181834, -0.4983556026700169]                                        |  2.8394932746887207|      1.00000000|[122, 45, 0, 45]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      21|[1.202160025181834, -0.4983556026700169]                                        |  2.8394932746887207|      0.10000000|[128, 47, 0, 47]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      22|[1.105816938624163, -0.5251513051713714]                                        |  2.3901166915893555|      1.00000000|[133, 49, 0, 49]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      23|[1.105816938624163, -0.5251513051713714]                                        |  2.3901166915893555|      0.10000000|[139, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      24|[1.105816938624163, -0.5251513051713714]                                        |  2.3901166915893555|      0.01000000|[145, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      25|[1.0961079299384209, -0.5275461225631956]                                       |  2.3503890037536621|      0.10000000|[150, 55, 0, 55]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      26|[1.0961079299384209, -0.5275461225631956]                                       |  2.3503890037536621|      0.01000000|[158, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      27|[1.0864000561027416, -0.52994553615625]                                         |  2.3115191459655762|      0.10000000|[163, 60, 0, 60]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      28|[1.0864000561027416, -0.52994553615625]                                         |  2.3115191459655762|      0.01000000|[169, 62, 0, 62]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      29|[1.076675704590246, -0.5322772710600122]                                        |  2.2734866142272949|      0.10000000|[174, 64, 0, 64]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      30|[0.9811832403095824, -0.5619621033082527]                                       |  1.9356176853179932|      1.00000000|[180, 66, 0, 66]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      31|[0.9811832403095824, -0.5619621033082527]                                       |  1.9356176853179932|      0.10000000|[186, 68, 0, 68]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      32|[0.9811832403095824, -0.5619621033082527]                                       |  1.9356176853179932|      0.01000000|[193, 71, 0, 71]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      33|[0.9714510404276662, -0.5642608606809285]                                       |  1.9055197238922119|      0.10000000|[198, 73, 0, 73]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      34|[0.9714510404276662, -0.5642608606809285]                                       |  1.9055197238922119|      0.01000000|[205, 76, 0, 76]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      35|[0.9617324505667499, -0.5666164945903671]                                       |  1.8760397434234619|      0.10000000|[210, 78, 0, 78]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      36|[0.9617324505667499, -0.5666164945903671]                                       |  1.8760397434234619|      0.01000000|[217, 81, 0, 81]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      37|[0.9519990881755691, -0.5689103246978393]                                       |  1.8471603393554688|      0.10000000|[222, 83, 0, 83]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      38|[0.9519990881755691, -0.5689103246978393]                                       |  1.8471603393554688|      0.01000000|[229, 86, 0, 86]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      39|[0.9422490404263059, -0.5711321637755149]                                       |  1.8188679218292236|      0.10000000|[235, 88, 0, 88]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      40|[0.9422490404263059, -0.5711321637755149]                                       |  1.8188679218292236|      0.01000000|[241, 90, 0, 90]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      41|[0.9325287456520602, -0.5734807526075101]                                       |  1.7911472320556641|      0.10000000|[246, 92, 0, 92]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      42|[0.9325287456520602, -0.5734807526075101]                                       |  1.7911472320556641|      0.01000000|[253, 95, 0, 95]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      43|[0.9228090273524822, -0.575831726060539]                                        |  1.7639838457107544|      0.10000000|[258, 97, 0, 97]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      44|[0.9228090273524822, -0.575831726060539]                                        |  1.7639838457107544|      0.01000000|[264, 99, 0, 99]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      45|[0.9130693197412187, -0.5780984628443536]                                       |  1.7373632192611694|      0.10000000|[270, 101, 0, 101]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      46|[0.9130693197412187, -0.5780984628443536]                                       |  1.7373632192611694|      0.01000000|[276, 103, 0, 103]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      47|[0.903351906806547, -0.5804589470864262]                                        |  1.7112729549407959|      0.10000000|[282, 105, 0, 105]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      48|[0.903351906806547, -0.5804589470864262]                                        |  1.7112729549407959|      0.01000000|[289, 108, 0, 108]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      49|[0.8936145621737801, -0.5827358132447071]                                       |  1.6856985092163086|      0.10000000|[294, 110, 0, 110]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      50|[0.8936145621737801, -0.5827358132447071]                                       |  1.6856985092163086|      0.01000000|[302, 113, 0, 113]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      51|[0.8838987925599748, -0.5851030523140572]                                       |  1.6606281995773315|      0.10000000|[307, 115, 0, 115]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      52|[0.8838987925599748, -0.5851030523140572]                                       |  1.6606281995773315|      0.01000000|[315, 118, 0, 118]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      53|[0.8741658041599328, -0.5873984687914418]                                       |  1.6360485553741455|      0.10000000|[320, 120, 0, 120]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      54|[0.8741658041599328, -0.5873984687914418]                                       |  1.6360485553741455|      0.01000000|[326, 122, 0, 122]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      55|[0.8644443407332555, -0.5897422155447782]                                       |  1.6119480133056641|      0.10000000|[331, 124, 0, 124]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      56|[0.8644443407332555, -0.5897422155447782]                                       |  1.6119480133056641|      0.01000000|[339, 127, 0, 127]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      57|[0.8547247710252611, -0.5920938032406635]                                       |  1.5883146524429321|      0.10000000|[345, 129, 0, 129]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      58|[0.8547247710252611, -0.5920938032406635]                                       |  1.5883146524429321|      0.01000000|[352, 132, 0, 132]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      59|[0.8449966295113467, -0.5944096751467185]                                       |  1.5651371479034424|      0.10000000|[357, 134, 0, 134]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      60|[0.8449966295113467, -0.5944096751467185]                                       |  1.5651371479034424|      0.01000000|[363, 136, 0, 136]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      61|[0.8352734563766294, -0.5967463189347857]                                       |  1.5424044132232666|      0.10000000|[369, 138, 0, 138]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      62|[0.8352734563766294, -0.5967463189347857]                                       |  1.5424044132232666|      0.01000000|[375, 140, 0, 140]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      63|[0.825552542994556, -0.5990923460058626]                                        |  1.5201059579849243|      0.10000000|[380, 142, 0, 142]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      64|[0.825552542994556, -0.5990923460058626]                                        |  1.5201059579849243|      0.01000000|[388, 145, 0, 145]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      65|[0.815834308587453, -0.6014494459207151]                                        |  1.4982312917709351|      0.10000000|[393, 147, 0, 147]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      66|[0.815834308587453, -0.6014494459207151]                                        |  1.4982312917709351|      0.01000000|[399, 149, 0, 149]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      67|[0.8061406404870508, -0.603905621557604]                                        |  1.4767706394195557|      0.10000000|[404, 151, 0, 151]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      68|[0.8061406404870508, -0.603905621557604]                                        |  1.4767706394195557|      0.01000000|[411, 154, 0, 154]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      69|[0.796442345404, -0.6063434633248386]                                           |  1.4557136297225952|      0.10000000|[416, 156, 0, 156]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      70|[0.796442345404, -0.6063434633248386]                                           |  1.4557136297225952|      0.01000000|[423, 159, 0, 159]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      71|[0.786736211242511, -0.6087499046058955]                                        |  1.4350515604019165|      0.10000000|[428, 161, 0, 161]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
