k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.951501376384468, 2.0080419418278086, -7.883093651435629]                     | 41.2925186157226562|      5.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[1.951501376384468, 2.0080419418278086, -7.883093651435629]                     | 41.2925186157226562|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[2.585762901606531, 1.2809351420969164, -8.14582549078534]                      | 16.2220954895019531|      5.00000000|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[2.585762901606531, 1.2809351420969164, -8.14582549078534]                      | 16.2220954895019531|      1.00000000|[22, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[2.585762901606531, 1.2809351420969164, -8.14582549078534]                      | 16.2220954895019531|      0.20000000|[27, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[2.5485230695634398, 1.0929537312635875, -8.088587530562132]                    | 12.7270193099975586|      1.00000000|[32, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[2.5485230695634398, 1.0929537312635875, -8.088587530562132]                    | 12.7270193099975586|      0.20000000|[37, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[2.4603298033993615, 0.9156560552670541, -8.06052542284478]                     | 10.1293954849243164|      1.00000000|[42, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[2.4603298033993615, 0.9156560552670541, -8.06052542284478]                     | 10.1293954849243164|      0.20000000|[47, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      60|[0.8227124857212402, 0.0182312244024696, -7.852579718830072]                    |  1.6764230728149414|      0.04000000|[329, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      61|[0.7949277114345958, 0.0467036454029027, -7.856742357442098]                    |  1.6335257291793823|      0.20000000|[335, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      62|[0.7949277114345958, 0.0467036454029027, -7.856742357442098]                    |  1.6335257291793823|      0.04000000|[341, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      63|[0.7568582811794227, 0.0567080370498197, -7.8496268372347195]                   |  1.5756456851959229|      0.20000000|[346, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      64|[0.7568582811794227, 0.0567080370498197, -7.8496268372347195]                   |  1.5756456851959229|      0.04000000|[352, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      65|[0.717825905779991, 0.0486956803743863, -7.8461231518630745]                    |  1.5170994997024536|      0.20000000|[358, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      66|[0.717825905779991, 0.0486956803743863, -7.8461231518630745]                    |  1.5170994997024536|      0.04000000|[364, 132, 0, 132]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      67|[0.6844237751192748, 0.0272635899188939, -7.841126836617613]                    |  1.4684339761734009|      0.20000000|[370, 134, 0, 134]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      68|[0.6844237751192748, 0.0272635899188939, -7.841126836617613]                    |  1.4684339761734009|      0.04000000|[376, 136, 0, 136]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      69|[0.6474381671344673, 0.0212963322839682, -7.855143135640985]                    |  1.4188739061355591|      0.20000000|[381, 138, 0, 138]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      70|[0.6474381671344673, 0.0212963322839682, -7.855143135640985]                    |  1.4188739061355591|      0.04000000|[386, 140, 0, 140]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      71|[0.6104562447115464, 0.0203767674336258, -7.839928280584459]                    |  1.3723019361495972|      0.20000000|[392, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      72|[0.6104562447115464, 0.0203767674336258, -7.839928280584459]                    |  1.3723019361495972|      0.04000000|[397, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      73|[0.5804887242017452, 0.0458379798369417, -7.832602000665709]                    |  1.3384722471237183|      0.20000000|[403, 146, 0, 146]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      74|[0.5804887242017452, 0.0458379798369417, -7.832602000665709]                    |  1.3384722471237183|      0.04000000|[409, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      75|[0.5406744763866841, 0.0489505944157309, -7.834868562247667]                    |  1.2941741943359375|      0.20000000|[415, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      76|[0.5406744763866841, 0.0489505944157309, -7.834868562247667]                    |  1.2941741943359375|      0.04000000|[421, 152, 0, 152]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      77|[0.5011631822808703, 0.0427439061141707, -7.834290065565599]                    |  1.2523593902587891|      0.20000000|[426, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      78|[0.5011631822808703, 0.0427439061141707, -7.834290065565599]                    |  1.2523593902587891|      0.04000000|[431, 156, 0, 156]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      79|[0.4771299585555751, 0.0334160181356842, -7.864874288021479]                    |  1.2280776500701904|      0.20000000|[436, 158, 0, 158]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      80|[0.4771299585555751, 0.0334160181356842, -7.864874288021479]                    |  1.2280776500701904|      0.04000000|[442, 160, 0, 160]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
