k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.90000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.07178980|[134, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      26|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.06461082|[140, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      27|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.05814974|[146, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      28|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.05233476|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.04710129|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      30|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.04239116|[164, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      31|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.03815204|[170, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      32|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.03433684|[175, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      33|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.03090315|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      34|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.02781284|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      35|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.02503156|[192, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      36|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.02252840|[197, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      37|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.02027556|[203, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      38|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.01824800|[209, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      39|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.01642320|[214, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      40|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.01478088|[219, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      41|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.01330279|[225, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      42|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.01197252|[231, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      43|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.01077526|[236, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      44|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.00969774|[241, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      45|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.00872796|[246, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      46|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.00785517|[251, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      47|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.00706965|[257, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      48|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.00636269|[263, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      49|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.00572642|[269, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      50|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.00515378|[275, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      51|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.00463840|[280, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      52|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.00417456|[286, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      53|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.00375710|[292, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      54|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.00338139|[297, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      55|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.00304325|[302, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      56|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.00273893|[307, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      57|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.00246503|[313, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      58|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.00221853|[318, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      59|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.00199668|[323, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      60|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.00179701|[329, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      61|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.00161731|[335, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      62|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.00145558|[341, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      63|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.00131002|[346, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      64|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.00117902|[352, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      65|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.00106112|[358, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      66|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.00095500|[364, 132, 0, 132]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      67|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.00085950|[370, 134, 0, 134]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      68|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.00077355|[376, 136, 0, 136]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      69|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.00069620|[381, 138, 0, 138]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      70|[2.0, 0.0001, -0.01]                                                            | 63.0835400422075665|      0.00062658|[386, 140, 0, 140]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      71|[1.9999009486207848, 0.0007167925333312, -0.0100485460896532]                   | 61.5694656372070312|      0.00069620|[392, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      72|[1.9999009486207848, 0.0007167925333312, -0.0100485460896532]                   | 61.5694656372070312|      0.00062658|[397, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      73|[1.9999009486207848, 0.0007167925333312, -0.0100485460896532]                   | 61.5694656372070312|      0.00056392|[403, 146, 0, 146]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      74|[1.9999009486207848, 0.0007167925333312, -0.0100485460896532]                   | 61.5694656372070312|      0.00050753|[409, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      75|[2.0000579494097517, 0.0005233696779542, -0.0104907268445008]                   | 60.4955902099609375|      0.00056392|[415, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      76|[2.0000579494097517, 0.0005233696779542, -0.0104907268445008]                   | 60.4955902099609375|      0.00050753|[421, 152, 0, 152]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      77|[2.0000579494097517, 0.0005233696779542, -0.0104907268445008]                   | 60.4955902099609375|      0.00045678|[426, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      78|[2.0000579494097517, 0.0005233696779542, -0.0104907268445008]                   | 60.4955902099609375|      0.00041110|[431, 156, 0, 156]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      79|[2.0000579494097517, 0.0005233696779542, -0.0104907268445008]                   | 60.4955902099609375|      0.00036999|[436, 158, 0, 158]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      80|[2.0000579494097517, 0.0005233696779542, -0.0104907268445008]                   | 60.4955902099609375|      0.00033299|[442, 160, 0, 160]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
