k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  6.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0]                                                                      |  6.0000000000000000|      0.10000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[1.0554723178140968, 0.9167965027397775]                                        |  5.3160929679870605|      1.00000000|[12, 4, 0, 4]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       3|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|     10.00000000|[17, 6, 0, 6]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       4|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      1.00000000|[23, 8, 0, 8]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      1.00000000|[26, 9, 0, 9]                                                              |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[181, 61, 0, 61]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[184, 62, 0, 62]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[187, 63, 0, 63]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[190, 64, 0, 64]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[193, 65, 0, 65]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[196, 66, 0, 66]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[199, 67, 0, 67]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[202, 68, 0, 68]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[205, 69, 0, 69]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[208, 70, 0, 70]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[211, 71, 0, 71]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[214, 72, 0, 72]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[217, 73, 0, 73]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[220, 74, 0, 74]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[223, 75, 0, 75]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[226, 76, 0, 76]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[229, 77, 0, 77]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[232, 78, 0, 78]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[235, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       5|[1.6571358534754548, 0.1180468612027851]                                        |  1.3692227602005005|      0.10000000|[238, 80, 0, 80]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
