k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      0.10000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      35|[0.5515383445437416, 9.73605961876527, 1.2697335804270915]                      |  0.0638710930943489|      0.10000000|[192, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      36|[0.5515383445437416, 9.73605961876527, 1.2697335804270915]                      |  0.0638710930943489|      0.01000000|[197, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      37|[0.5515383445437416, 9.73605961876527, 1.2697335804270915]                      |  0.0638710930943489|      0.00100000|[203, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      38|[0.5512426309617209, 9.736020144139063, 1.2687791197252842]                     |  0.0637764111161232|      0.01000000|[209, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      39|[0.5512426309617209, 9.736020144139063, 1.2687791197252842]                     |  0.0637764111161232|      0.00100000|[214, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      40|[0.552026209520624, 9.73609510979889, 1.2681623662965351]                       |  0.0634928569197655|      0.01000000|[219, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      41|[0.5609479928055434, 9.731850367405736, 1.2697063692216257]                     |  0.0619891807436943|      0.10000000|[225, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      42|[0.5609479928055434, 9.731850367405736, 1.2697063692216257]                     |  0.0619891807436943|      0.01000000|[231, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      43|[0.5705407254775711, 9.734666416529965, 1.2699285115474845]                     |  0.0603195130825043|      0.10000000|[236, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      44|[0.5705407254775711, 9.734666416529965, 1.2699285115474845]                     |  0.0603195130825043|      0.01000000|[241, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      45|[0.5733228440442153, 9.736231665079298, 1.260451707589401]                      |  0.0576954782009125|      0.10000000|[246, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      46|[0.5733228440442153, 9.736231665079298, 1.260451707589401]                      |  0.0576954782009125|      0.01000000|[251, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      47|[0.5794183721078079, 9.730799759728825, 1.2546777192027263]                     |  0.0555527396500111|      0.10000000|[257, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      48|[0.5794183721078079, 9.730799759728825, 1.2546777192027263]                     |  0.0555527396500111|      0.01000000|[263, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      49|[0.5802828519794647, 9.730231291924843, 1.244731387270434]                      |  0.0538008846342564|      0.10000000|[269, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      50|[0.5802828519794647, 9.730231291924843, 1.244731387270434]                      |  0.0538008846342564|      0.01000000|[275, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      51|[0.5892420658801265, 9.727790085438137, 1.2410201883844327]                     |  0.0514536052942276|      0.10000000|[280, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      52|[0.5892420658801265, 9.727790085438137, 1.2410201883844327]                     |  0.0514536052942276|      0.01000000|[286, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      53|[0.5990957199111263, 9.728643628286736, 1.2424956431763412]                     |  0.0498871877789497|      0.10000000|[292, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      54|[0.5990957199111263, 9.728643628286736, 1.2424956431763412]                     |  0.0498871877789497|      0.01000000|[297, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      55|[0.6052866472776325, 9.729400082589597, 1.2346789817898969]                     |  0.0474665053188801|      0.10000000|[302, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      56|[0.6052866472776325, 9.729400082589597, 1.2346789817898969]                     |  0.0474665053188801|      0.01000000|[307, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      57|[0.6085146829031582, 9.728168641186745, 1.2252947749469252]                     |  0.0455750636756420|      0.10000000|[313, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      58|[0.6085146829031582, 9.728168641186745, 1.2252947749469252]                     |  0.0455750636756420|      0.01000000|[318, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      59|[0.6141191545854024, 9.720849483924045, 1.2214192318718455]                     |  0.0441473945975304|      0.10000000|[323, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      60|[0.6141191545854024, 9.720849483924045, 1.2214192318718455]                     |  0.0441473945975304|      0.01000000|[329, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      61|[0.6189765590515209, 9.714989893645207, 1.214933029314364]                      |  0.0426018759608269|      0.10000000|[335, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      62|[0.6189765590515209, 9.714989893645207, 1.214933029314364]                      |  0.0426018759608269|      0.01000000|[341, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      63|[0.6277020147823625, 9.714370737793008, 1.2100870961410928]                     |  0.0404503196477890|      0.10000000|[346, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      64|[0.6277020147823625, 9.714370737793008, 1.2100870961410928]                     |  0.0404503196477890|      0.01000000|[352, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      65|[0.6368928054156133, 9.714099264174612, 1.2061557262004405]                     |  0.0383823774755001|      0.10000000|[358, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      66|[0.6368928054156133, 9.714099264174612, 1.2061557262004405]                     |  0.0383823774755001|      0.01000000|[364, 132, 0, 132]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      67|[0.6442628886255224, 9.71761170329269, 1.200381243979426]                       |  0.0364652611315250|      0.10000000|[370, 134, 0, 134]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      68|[0.6442628886255224, 9.71761170329269, 1.200381243979426]                       |  0.0364652611315250|      0.01000000|[376, 136, 0, 136]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      69|[0.6533982597640842, 9.720027782111435, 1.2036534843896565]                     |  0.0354432016611099|      0.10000000|[381, 138, 0, 138]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      70|[0.6533982597640842, 9.720027782111435, 1.2036534843896565]                     |  0.0354432016611099|      0.01000000|[386, 140, 0, 140]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      71|[0.6624998387440081, 9.721397964902632, 1.1997440267302215]                     |  0.0336712077260017|      0.10000000|[392, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      72|[0.6624998387440081, 9.721397964902632, 1.1997440267302215]                     |  0.0336712077260017|      0.01000000|[397, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      73|[0.6660008820058958, 9.720880658385425, 1.1903912148511315]                     |  0.0319403633475304|      0.10000000|[403, 146, 0, 146]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      74|[0.6660008820058958, 9.720880658385425, 1.1903912148511315]                     |  0.0319403633475304|      0.01000000|[409, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      75|[0.674276035593394, 9.718088595429306, 1.185520258317515]                       |  0.0302698835730553|      0.10000000|[415, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      76|[0.674276035593394, 9.718088595429306, 1.185520258317515]                       |  0.0302698835730553|      0.01000000|[421, 152, 0, 152]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      77|[0.6841292328970877, 9.716746747102414, 1.1844648219328366]                     |  0.0289427321404219|      0.10000000|[426, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      78|[0.6841292328970877, 9.716746747102414, 1.1844648219328366]                     |  0.0289427321404219|      0.01000000|[431, 156, 0, 156]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      79|[0.6841292328970877, 9.716746747102414, 1.1844648219328366]                     |  0.0289427321404219|      0.00100000|[436, 158, 0, 158]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      80|[0.6848073870992079, 9.717181158765131, 1.1838720374986256]                     |  0.0287777800112963|      0.01000000|[442, 160, 0, 160]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
