k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 39.0, 41.5, 39.0]                                                        |897.5453780404944837|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.19074570784984, 38.522810533633724, 41.799376279922306, 39.166647972821416] |810.4356689453125000|      1.11111111|[15, 2, 0, 2]                                                              |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       2|[23.28747368376171, 37.99473979702867, 42.118942808148304, 39.360777009581206]  |721.3528442382812500|      1.23456790|[28, 4, 0, 4]                                                              |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       3|[22.273033537725368, 37.415086898428505, 42.46483810775284, 39.5593419906942]   |631.2352294921875000|      1.37174211|[41, 6, 0, 6]                                                              |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       4|[21.123568098384037, 36.787559917232116, 42.815209337205154, 39.76875907777494] |541.2004394531250000|      1.52415790|[55, 8, 0, 8]                                                              |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       5|[19.84850186584091, 36.09066225395563, 43.21315287717017, 39.999492692772904]   |452.5906066894531250|      1.69350878|[68, 10, 0, 10]                                                            |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       6|[18.38874785248949, 35.363427943181144, 43.619158133971226, 40.20777183234078]  |366.8910522460937500|      1.88167642|[81, 12, 0, 12]                                                            |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       7|[16.789323839177165, 34.51727720551404, 44.08279721742928, 40.43496495844198]   |285.9037475585937500|      2.09075158|[94, 14, 0, 14]                                                            |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       8|[14.91972953423075, 33.73941162648517, 44.53686678915779, 40.689140635014844]   |211.2052917480468750|      2.32305731|[107, 16, 0, 16]                                                           |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       9|[12.833231086687078, 32.880579854230824, 45.01172598447747, 40.972047399407174] |144.7578887939453125|      2.58117479|[120, 18, 0, 18]                                                           |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
      10|[10.426619670539294, 32.07555398334402, 45.405650596861115, 41.23174249755914]  | 88.3701858520507812|      2.86797199|[133, 20, 0, 20]                                                           |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
      11|[7.696979200953583, 31.312380553772506, 45.74120199580389, 41.51334118689105]   | 43.9991950988769531|      3.18663555|[146, 22, 0, 22]                                                           |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
      12|[4.587004336569272, 30.68340566431694, 46.00949516386242, 41.636271272848866]   | 13.7265577316284180|      3.54070616|[159, 24, 0, 24]                                                           |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
      13|[1.1391522093873334, 30.36392366835425, 46.181813670600796, 42.355405069485464] |  0.3917614221572876|      3.93411796|[172, 26, 0, 26]                                                           |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
      27|[1.1391522093873334, 30.36392366835425, 46.181813670600796, 42.355405069485464] |  0.3917614221572876|      0.90000000|[444, 68, 0, 68]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      28|[1.1391522093873334, 30.36392366835425, 46.181813670600796, 42.355405069485464] |  0.3917614221572876|      0.81000000|[464, 71, 0, 71]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      29|[1.1391522093873334, 30.36392366835425, 46.181813670600796, 42.355405069485464] |  0.3917614221572876|      0.72900000|[483, 74, 0, 74]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      30|[1.1391522093873334, 30.36392366835425, 46.181813670600796, 42.355405069485464] |  0.3917614221572876|      0.65610000|[503, 77, 0, 77]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      31|[1.1391522093873334, 30.36392366835425, 46.181813670600796, 42.355405069485464] |  0.3917614221572876|      0.59049000|[522, 80, 0, 80]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      32|[0.5670843160910612, 30.242503226827196, 46.22487679929939, 42.42482703204507]  |  0.0213715918362141|      0.65610000|[535, 82, 0, 82]                                                           |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
      33|[0.5670843160910612, 30.242503226827196, 46.22487679929939, 42.42482703204507]  |  0.0213715918362141|      0.59049000|[554, 85, 0, 85]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      34|[0.5670843160910612, 30.242503226827196, 46.22487679929939, 42.42482703204507]  |  0.0213715918362141|      0.53144100|[573, 88, 0, 88]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      35|[0.5670843160910612, 30.242503226827196, 46.22487679929939, 42.42482703204507]  |  0.0213715918362141|      0.47829690|[593, 91, 0, 91]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      36|[0.5670843160910612, 30.242503226827196, 46.22487679929939, 42.42482703204507]  |  0.0213715918362141|      0.43046721|[614, 94, 0, 94]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      37|[0.5670843160910612, 30.242503226827196, 46.22487679929939, 42.42482703204507]  |  0.0213715918362141|      0.38742049|[633, 97, 0, 97]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      38|[0.5670843160910612, 30.242503226827196, 46.22487679929939, 42.42482703204507]  |  0.0213715918362141|      0.34867844|[652, 100, 0, 100]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      39|[0.5670843160910612, 30.242503226827196, 46.22487679929939, 42.42482703204507]  |  0.0213715918362141|      0.31381060|[671, 103, 0, 103]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      40|[0.5670843160910612, 30.242503226827196, 46.22487679929939, 42.42482703204507]  |  0.0213715918362141|      0.28242954|[690, 106, 0, 106]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      41|[0.5670843160910612, 30.242503226827196, 46.22487679929939, 42.42482703204507]  |  0.0213715918362141|      0.25418658|[711, 109, 0, 109]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      42|[0.5670843160910612, 30.242503226827196, 46.22487679929939, 42.42482703204507]  |  0.0213715918362141|      0.22876792|[730, 112, 0, 112]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      43|[0.5670843160910612, 30.242503226827196, 46.22487679929939, 42.42482703204507]  |  0.0213715918362141|      0.20589113|[750, 115, 0, 115]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      44|[0.5670843160910612, 30.242503226827196, 46.22487679929939, 42.42482703204507]  |  0.0213715918362141|      0.18530202|[769, 118, 0, 118]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      45|[0.5670843160910612, 30.242503226827196, 46.22487679929939, 42.42482703204507]  |  0.0213715918362141|      0.16677182|[788, 121, 0, 121]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      46|[0.5670843160910612, 30.242503226827196, 46.22487679929939, 42.42482703204507]  |  0.0213715918362141|      0.15009464|[807, 124, 0, 124]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      47|[0.5670843160910612, 30.242503226827196, 46.22487679929939, 42.42482703204507]  |  0.0213715918362141|      0.13508517|[826, 127, 0, 127]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      48|[0.5670843160910612, 30.242503226827196, 46.22487679929939, 42.42482703204507]  |  0.0213715918362141|      0.12157665|[845, 130, 0, 130]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      49|[0.5670843160910612, 30.242503226827196, 46.22487679929939, 42.42482703204507]  |  0.0213715918362141|      0.10941899|[864, 133, 0, 133]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      50|[0.5670843160910612, 30.242503226827196, 46.22487679929939, 42.42482703204507]  |  0.0213715918362141|      0.09847709|[883, 136, 0, 136]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      51|[0.4699605838629267, 30.227828153472537, 46.2189017901083, 42.42852289772913]   |  0.0086163878440857|      0.10941899|[896, 138, 0, 138]                                                         |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
      52|[0.4699605838629267, 30.227828153472537, 46.2189017901083, 42.42852289772913]   |  0.0086163878440857|      0.09847709|[916, 141, 0, 141]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      53|[0.4699605838629267, 30.227828153472537, 46.2189017901083, 42.42852289772913]   |  0.0086163878440857|      0.08862938|[935, 144, 0, 144]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      54|[0.4699605838629267, 30.227828153472537, 46.2189017901083, 42.42852289772913]   |  0.0086163878440857|      0.07976644|[955, 147, 0, 147]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      55|[0.4699605838629267, 30.227828153472537, 46.2189017901083, 42.42852289772913]   |  0.0086163878440857|      0.07178980|[974, 150, 0, 150]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      56|[0.4699605838629267, 30.227828153472537, 46.2189017901083, 42.42852289772913]   |  0.0086163878440857|      0.06461082|[993, 153, 0, 153]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      57|[0.4699605838629267, 30.227828153472537, 46.2189017901083, 42.42852289772913]   |  0.0086163878440857|      0.05814974|[1012, 156, 0, 156]                                                        |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      58|[0.4699605838629267, 30.227828153472537, 46.2189017901083, 42.42852289772913]   |  0.0086163878440857|      0.05233476|[1031, 159, 0, 159]                                                        |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      59|[0.4699605838629267, 30.227828153472537, 46.2189017901083, 42.42852289772913]   |  0.0086163878440857|      0.04710129|[1050, 162, 0, 162]                                                        |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
