k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 39.0, 41.5, 39.0]                                                        |897.5453780404944837|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.197024512336142, 38.5160007425223, 41.80170257342005, 39.1730625383026]     |810.4403686523437500|      2.00000000|[15, 2, 0, 2]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
      55|[1.9636986994468886, 30.428520809589315, 46.125825278524495, 41.6670280122285]  |  1.8411959409713745|      0.12500000|[728, 110, 0, 110]                                                         |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      56|[1.8389973940547815, 30.42105858675862, 46.129518022434574, 41.66932220192075]  |  1.5545510053634644|      0.25000000|[741, 112, 0, 112]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      57|[1.8389973940547815, 30.42105858675862, 46.129518022434574, 41.66932220192075]  |  1.5545510053634644|      0.12500000|[754, 114, 0, 114]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      58|[1.7141989203437789, 30.415510205555172, 46.13259145158326, 41.672501896669225] |  1.2924098968505859|      0.25000000|[767, 116, 0, 116]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      59|[1.7141989203437789, 30.415510205555172, 46.13259145158326, 41.672501896669225] |  1.2924098968505859|      0.12500000|[780, 118, 0, 118]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      60|[1.5894374662875554, 30.408647135433633, 46.13547674373009, 41.67453977289489]  |  1.0546745061874390|      0.25000000|[793, 120, 0, 120]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      61|[1.5894374662875554, 30.408647135433633, 46.13547674373009, 41.67453977289489]  |  1.0546745061874390|      0.12500000|[806, 122, 0, 122]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      62|[1.4646231359030861, 30.402601480388785, 46.13822504627764, 41.676049679800094] |  0.8413274288177490|      0.25000000|[819, 124, 0, 124]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      63|[1.4646231359030861, 30.402601480388785, 46.13822504627764, 41.676049679800094] |  0.8413274288177490|      0.12500000|[832, 126, 0, 126]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      64|[1.3397543715572195, 30.397792521269274, 46.141329214688426, 41.67622213675347] |  0.6523387432098389|      0.25000000|[846, 128, 0, 128]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      65|[1.3397543715572195, 30.397792521269274, 46.141329214688426, 41.67622213675347] |  0.6523387432098389|      0.12500000|[859, 130, 0, 130]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      66|[1.2149385349670871, 30.39237443123223, 46.14404723475566, 41.6792657536101]    |  0.4876694679260254|      0.25000000|[872, 132, 0, 132]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      67|[1.2149385349670871, 30.39237443123223, 46.14404723475566, 41.6792657536101]    |  0.4876694679260254|      0.12500000|[885, 134, 0, 134]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      68|[1.2149385349670871, 30.39237443123223, 46.14404723475566, 41.6792657536101]    |  0.4876694679260254|      0.06250000|[898, 136, 0, 136]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      69|[1.1525173420556862, 30.389467575128112, 46.1449533436351, 41.6800232691586]    |  0.4144362509250641|      0.12500000|[911, 138, 0, 138]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      70|[1.1525173420556862, 30.389467575128112, 46.1449533436351, 41.6800232691586]    |  0.4144362509250641|      0.06250000|[925, 140, 0, 140]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      71|[1.0900490663311324, 30.388110538892178, 46.146197606515415, 41.68078141857669] |  0.3472691774368286|      0.12500000|[938, 142, 0, 142]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      72|[1.0900490663311324, 30.388110538892178, 46.146197606515415, 41.68078141857669] |  0.3472691774368286|      0.06250000|[951, 144, 0, 144]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      73|[1.0275783635203801, 30.386355176168607, 46.14679935339089, 41.681248208397946] |  0.2861576080322266|      0.12500000|[965, 146, 0, 146]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      74|[1.0275783635203801, 30.386355176168607, 46.14679935339089, 41.681248208397946] |  0.2861576080322266|      0.06250000|[978, 148, 0, 148]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      75|[0.9651178399435248, 30.384501806644476, 46.147902864345475, 41.68177762268301] |  0.2311030179262161|      0.12500000|[991, 150, 0, 150]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      76|[0.9651178399435248, 30.384501806644476, 46.147902864345475, 41.68177762268301] |  0.2311030179262161|      0.06250000|[1004, 152, 0, 152]                                                        |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      77|[0.9026752982212525, 30.382177631857832, 46.14778085960574, 41.68310514280221]  |  0.1821156144142151|      0.12500000|[1017, 154, 0, 154]                                                        |  | trying linear partial model with 8 points | iterate success | actual_k=1
      78|[0.9026752982212525, 30.382177631857832, 46.14778085960574, 41.68310514280221]  |  0.1821156144142151|      0.06250000|[1030, 156, 0, 156]                                                        |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      79|[0.8402043031320487, 30.380490889730055, 46.14856785984693, 41.683505522845955] |  0.1391670405864716|      0.12500000|[1043, 158, 0, 158]                                                        |  | trying linear partial model with 8 points | iterate success | actual_k=1
      80|[0.8402043031320487, 30.380490889730055, 46.14856785984693, 41.683505522845955] |  0.1391670405864716|      0.06250000|[1057, 160, 0, 160]                                                        |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
