k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0]                                                                      |889.3031475218829200|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.0, 3.0]                                                                      |889.3031475218829200|      0.50000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[1.9489468649915829, 2.502613251678523]                                         |329.2785339355468750|      1.00000000|[12, 4, 0, 4]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       3|[1.9489468649915829, 2.502613251678523]                                         |329.2785339355468750|      0.50000000|[17, 6, 0, 6]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[1.7862951914018546, 2.029808394386997]                                         |101.4510498046875000|      1.00000000|[23, 8, 0, 8]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      20|[1.1984932700300468, 0.8551925533197517]                                        |  0.0521579496562481|      0.01562500|[113, 41, 0, 41]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      21|[1.183236908216597, 0.8585665789890544]                                         |  0.0463827624917030|      0.03125000|[119, 43, 0, 43]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      21|[1.183236908216597, 0.8585665789890544]                                         |  0.0463827624917030|      0.03125000|[122, 44, 0, 44]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      21|[1.183236908216597, 0.8585665789890544]                                         |  0.0463827624917030|      0.03125000|[125, 45, 0, 45]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      22|[1.183236908216597, 0.8585665789890544]                                         |  0.0463827624917030|      0.01562500|[130, 47, 0, 47]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      22|[1.183236908216597, 0.8585665789890544]                                         |  0.0463827624917030|      0.01562500|[133, 48, 0, 48]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      22|[1.183236908216597, 0.8585665789890544]                                         |  0.0463827624917030|      0.01562500|[136, 49, 0, 49]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      23|[1.183236908216597, 0.8585665789890544]                                         |  0.0463827624917030|      0.00781250|[141, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[1.183236908216597, 0.8585665789890544]                                         |  0.0463827624917030|      0.00781250|[144, 52, 0, 52]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      23|[1.183236908216597, 0.8585665789890544]                                         |  0.0463827624917030|      0.00781250|[147, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      23|[1.183236908216597, 0.8585665789890544]                                         |  0.0463827624917030|      0.00781250|[150, 54, 0, 54]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      23|[1.183236908216597, 0.8585665789890544]                                         |  0.0463827624917030|      0.00781250|[153, 55, 0, 55]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      23|[1.183236908216597, 0.8585665789890544]                                         |  0.0463827624917030|      0.00781250|[156, 56, 0, 56]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      23|[1.183236908216597, 0.8585665789890544]                                         |  0.0463827624917030|      0.00781250|[159, 57, 0, 57]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      23|[1.183236908216597, 0.8585665789890544]                                         |  0.0463827624917030|      0.00781250|[162, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      23|[1.183236908216597, 0.8585665789890544]                                         |  0.0463827624917030|      0.00781250|[165, 59, 0, 59]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      24|[1.1782827088184804, 0.8646073624294455]                                        |  0.0435909852385521|      0.01562500|[171, 61, 0, 61]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      24|[1.1782827088184804, 0.8646073624294455]                                        |  0.0435909852385521|      0.01562500|[174, 62, 0, 62]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      24|[1.1782827088184804, 0.8646073624294455]                                        |  0.0435909852385521|      0.01562500|[177, 63, 0, 63]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      24|[1.1782827088184804, 0.8646073624294455]                                        |  0.0435909852385521|      0.01562500|[180, 64, 0, 64]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      24|[1.1782827088184804, 0.8646073624294455]                                        |  0.0435909852385521|      0.01562500|[183, 65, 0, 65]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      24|[1.1782827088184804, 0.8646073624294455]                                        |  0.0435909852385521|      0.01562500|[186, 66, 0, 66]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      24|[1.1782827088184804, 0.8646073624294455]                                        |  0.0435909852385521|      0.01562500|[189, 67, 0, 67]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      24|[1.1782827088184804, 0.8646073624294455]                                        |  0.0435909852385521|      0.01562500|[192, 68, 0, 68]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      24|[1.1782827088184804, 0.8646073624294455]                                        |  0.0435909852385521|      0.01562500|[195, 69, 0, 69]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      24|[1.1782827088184804, 0.8646073624294455]                                        |  0.0435909852385521|      0.01562500|[198, 70, 0, 70]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      24|[1.1782827088184804, 0.8646073624294455]                                        |  0.0435909852385521|      0.01562500|[201, 71, 0, 71]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      24|[1.1782827088184804, 0.8646073624294455]                                        |  0.0435909852385521|      0.01562500|[204, 72, 0, 72]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      24|[1.1782827088184804, 0.8646073624294455]                                        |  0.0435909852385521|      0.01562500|[207, 73, 0, 73]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      24|[1.1782827088184804, 0.8646073624294455]                                        |  0.0435909852385521|      0.01562500|[210, 74, 0, 74]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      24|[1.1782827088184804, 0.8646073624294455]                                        |  0.0435909852385521|      0.01562500|[213, 75, 0, 75]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      24|[1.1782827088184804, 0.8646073624294455]                                        |  0.0435909852385521|      0.01562500|[216, 76, 0, 76]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      24|[1.1782827088184804, 0.8646073624294455]                                        |  0.0435909852385521|      0.01562500|[219, 77, 0, 77]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      24|[1.1782827088184804, 0.8646073624294455]                                        |  0.0435909852385521|      0.01562500|[222, 78, 0, 78]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      24|[1.1782827088184804, 0.8646073624294455]                                        |  0.0435909852385521|      0.01562500|[225, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      24|[1.1782827088184804, 0.8646073624294455]                                        |  0.0435909852385521|      0.01562500|[228, 80, 0, 80]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
