k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[5.2]                                                                           |61302.9768075899992255|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[6.2]                                                                           |12846.5410156250000000|     10.00000000|[5, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[6.2]                                                                           |12846.5410156250000000|      1.00000000|[9, 4, 0, 4]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[6.2]                                                                           |12846.5410156250000000|      0.10000000|[11, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[6.1000000000000005]                                                            |3363.7612304687500000|      1.00000000|[15, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[6.1000000000000005]                                                            |3363.7612304687500000|      0.10000000|[18, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      28|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[103, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      29|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[106, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      30|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[109, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      31|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[113, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      32|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      33|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      34|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      35|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      36|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      37|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      38|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      39|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      40|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      41|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      42|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      43|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      44|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      45|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      46|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      47|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      48|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      49|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      50|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      51|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      52|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      53|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      54|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      55|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      56|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      57|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      58|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      59|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      60|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      61|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      62|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      63|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      64|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      65|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      66|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 132, 0, 132]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      67|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 134, 0, 134]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      68|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 136, 0, 136]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      69|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 138, 0, 138]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      70|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 140, 0, 140]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      71|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      72|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      73|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 146, 0, 146]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      74|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      75|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      76|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 152, 0, 152]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      77|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      78|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 156, 0, 156]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      79|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 158, 0, 158]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      80|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[115, 160, 0, 160]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
