k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.951501376384468, 2.0080419418278086, -7.883093651435629]                     | 41.2925186157226562|      5.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
      66|[1.5544289844156742, 0.2578849076170624, -8.308844791003866]                    |  3.5209853649139404|      0.04000000|[364, 132, 0, 132]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      67|[1.5211191887936057, 0.2358918380933, -8.306244327864542]                       |  3.3983035087585449|      0.20000000|[370, 134, 0, 134]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      68|[1.5211191887936057, 0.2358918380933, -8.306244327864542]                       |  3.3983035087585449|      0.04000000|[376, 136, 0, 136]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      69|[1.485833936815237, 0.2209804714025013, -8.317759627957702]                     |  3.2800133228302002|      0.20000000|[381, 138, 0, 138]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      70|[1.485833936815237, 0.2209804714025013, -8.317759627957702]                     |  3.2800133228302002|      0.04000000|[386, 140, 0, 140]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      71|[1.4505403781246031, 0.2108350028645324, -8.301902951663601]                    |  3.1687424182891846|      0.20000000|[392, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      72|[1.4505403781246031, 0.2108350028645324, -8.301902951663601]                    |  3.1687424182891846|      0.04000000|[397, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      73|[1.4207269309869732, 0.2350300412138226, -8.290688742416037]                    |  3.1022195816040039|      0.20000000|[403, 146, 0, 146]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      74|[1.4207269309869732, 0.2350300412138226, -8.290688742416037]                    |  3.1022195816040039|      0.04000000|[409, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      75|[1.3811323232072932, 0.2368730070044502, -8.296061871101251]                    |  2.9928658008575439|      0.20000000|[415, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      76|[1.3811323232072932, 0.2368730070044502, -8.296061871101251]                    |  2.9928658008575439|      0.04000000|[421, 152, 0, 152]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      77|[1.3432706632781648, 0.2240702182755605, -8.297669138401503]                    |  2.8791062831878662|      0.20000000|[426, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      78|[1.3432706632781648, 0.2240702182755605, -8.297669138401503]                    |  2.8791062831878662|      0.04000000|[431, 156, 0, 156]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      79|[1.3214569507699512, 0.2046155874461068, -8.32497626724909]                     |  2.8065176010131836|      0.20000000|[436, 158, 0, 158]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      80|[1.3214569507699512, 0.2046155874461068, -8.32497626724909]                     |  2.8065176010131836|      0.04000000|[442, 160, 0, 160]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
