k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[3.0, 0.1]                                                                      | 87.6860481455954357|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.1386365319100387, -0.40798914933297]                                         | 16.5122909545898438|     10.00000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[2.1386365319100387, -0.40798914933297]                                         | 16.5122909545898438|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[0.4346660934367554, -0.8944714058677509]                                       |  0.9293822050094604|      0.10000000|[74, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[0.3504366760984797, -0.8405695946286602]                                       |  0.8488083481788635|      1.00000000|[80, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[0.3504366760984797, -0.8405695946286602]                                       |  0.8488083481788635|      0.10000000|[85, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[0.2816735230313993, -0.767963611539983]                                        |  0.7997163534164429|      1.00000000|[90, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      17|[0.2816735230313993, -0.767963611539983]                                        |  0.7997163534164429|      0.10000000|[95, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[0.1959567926101885, -0.716459804633139]                                        |  0.7758131623268127|      1.00000000|[100, 36, 0, 36]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      19|[0.1959567926101885, -0.716459804633139]                                        |  0.7758131623268127|      0.10000000|[106, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[0.1959567926101885, -0.716459804633139]                                        |  0.7758131623268127|      0.01000000|[111, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[0.1866878753186273, -0.7127065164424723]                                       |  0.7747796773910522|      0.10000000|[116, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      22|[0.1866878753186273, -0.7127065164424723]                                       |  0.7747796773910522|      0.01000000|[121, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[0.1766910011850587, -0.7124565013277535]                                       |  0.7740899920463562|      0.10000000|[126, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      24|[0.1766910011850587, -0.7124565013277535]                                       |  0.7740899920463562|      0.01000000|[131, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[0.1677434746113573, -0.7079908806303692]                                       |  0.7735888361930847|      0.10000000|[136, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      26|[0.1677434746113573, -0.7079908806303692]                                       |  0.7735888361930847|      0.01000000|[142, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      27|[0.1587745594508094, -0.7035683744581979]                                       |  0.7733428478240967|      0.10000000|[147, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      28|[0.1587745594508094, -0.7035683744581979]                                       |  0.7733428478240967|      0.01000000|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[0.1576447471242476, -0.6936324032370867]                                       |  0.7732136845588684|      0.10000000|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      30|[0.1576447471242476, -0.6936324032370867]                                       |  0.7732136845588684|      0.01000000|[163, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      31|[0.1576447471242476, -0.6936324032370867]                                       |  0.7732136845588684|      0.00100000|[169, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      32|[0.1567997939925756, -0.6941672435920317]                                       |  0.7732038497924805|      0.01000000|[174, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      33|[0.1567997939925756, -0.6941672435920317]                                       |  0.7732038497924805|      0.00100000|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      34|[0.1561149866486897, -0.6948959677523009]                                       |  0.7731997966766357|      0.01000000|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      35|[0.1561149866486897, -0.6948959677523009]                                       |  0.7731997966766357|      0.00100000|[191, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      36|[0.1561149866486897, -0.6948959677523009]                                       |  0.7731997966766357|      0.00010000|[196, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      37|[0.1560166654274164, -0.6948777211787234]                                       |  0.7731995582580566|      0.00100000|[201, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      38|[0.1560166654274164, -0.6948777211787234]                                       |  0.7731995582580566|      0.00010000|[206, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      39|[0.1559166880762508, -0.6948798493831086]                                       |  0.7731994390487671|      0.00100000|[211, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      40|[0.1559166880762508, -0.6948798493831086]                                       |  0.7731994390487671|      0.00010000|[216, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      41|[0.1558259612103039, -0.6948377942312784]                                       |  0.7731993198394775|      0.00100000|[221, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      42|[0.1558259612103039, -0.6948377942312784]                                       |  0.7731993198394775|      0.00010000|[226, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      43|[0.1557454203917056, -0.6947785221759782]                                       |  0.7731992006301880|      0.00100000|[231, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      44|[0.1557454203917056, -0.6947785221759782]                                       |  0.7731992006301880|      0.00010000|[237, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      45|[0.1556596911546447, -0.6947270391893422]                                       |  0.7731991410255432|      0.00100000|[243, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      46|[0.1556596911546447, -0.6947270391893422]                                       |  0.7731991410255432|      0.00010000|[248, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      47|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00100000|[253, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      48|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00010000|[258, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      49|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00001000|[264, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      50|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00000100|[270, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      51|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00000010|[275, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      52|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00000001|[279, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      53|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00000000|[283, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      54|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00000000|[287, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      55|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00000000|[291, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      56|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00000000|[295, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      57|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00000000|[300, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      58|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00000000|[304, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      59|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00000000|[309, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      60|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00000000|[313, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      61|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00000000|[318, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      62|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00000000|[318, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      63|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00000000|[318, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      64|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00000000|[318, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      65|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00000000|[318, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      66|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00000000|[318, 132, 0, 132]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      67|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00000000|[318, 134, 0, 134]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      68|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00000000|[318, 136, 0, 136]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      69|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00000000|[318, 138, 0, 138]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      70|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00000000|[318, 140, 0, 140]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      71|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00000000|[318, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      72|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00000000|[318, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      73|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00000000|[318, 146, 0, 146]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      74|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00000000|[318, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      75|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00000000|[318, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      76|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00000000|[318, 152, 0, 152]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      77|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00000000|[318, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      78|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00000000|[318, 156, 0, 156]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      79|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00000000|[318, 158, 0, 158]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      80|[0.155584473402439, -0.6946611431367052]                                        |  0.7731990814208984|      0.00000000|[318, 160, 0, 160]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
