k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |26656.1334557436784962|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2, 1.0]                                                                     |26656.1334557436784962|      0.10000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[-1.1031718447259202, 0.9750138369048245]                                       |10557.6992187500000000|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[-1.1031718447259202, 0.9750138369048245]                                       |10557.6992187500000000|      0.10000000|[18, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[-1.1031718447259202, 0.9750138369048245]                                       |10557.6992187500000000|      0.01000000|[24, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[-1.0933923362872977, 0.9729254847556618]                                       |9594.1308593750000000|      0.10000000|[29, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[-1.0002964459286954, 0.9364130868839923]                                       |3616.6350097656250000|      1.00000000|[34, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[-1.0002964459286954, 0.9364130868839923]                                       |3616.6350097656250000|      0.10000000|[40, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[-1.0002964459286954, 0.9364130868839923]                                       |3616.6350097656250000|      0.01000000|[46, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[-0.9905038202894243, 0.9343871344933644]                                       |3264.9301757812500000|      0.10000000|[52, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[-0.8905071372141864, 0.9335726567770166]                                       |1149.3826904296875000|      1.00000000|[57, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[-0.8905071372141864, 0.9335726567770166]                                       |1149.3826904296875000|      0.10000000|[62, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[-0.7973572729875377, 0.8971981767868242]                                       |374.9309997558593750|      1.00000000|[68, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[-0.7973572729875377, 0.8971981767868242]                                       |374.9309997558593750|      0.10000000|[74, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[-0.699954738693923, 0.8745542744468734]                                        |109.6473541259765625|      1.00000000|[80, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      32|[0.2984503000646811, 0.9290950081354982]                                        |  0.0000154210429173|      0.00010000|[174, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      33|[0.2984273255215205, 0.9291923332112318]                                        |  0.0000152678621816|      0.00100000|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      34|[0.2984273255215205, 0.9291923332112318]                                        |  0.0000152678621816|      0.00010000|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      35|[0.2984044263160002, 0.9292896760403798]                                        |  0.0000151154281411|      0.00100000|[191, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      36|[0.2984044263160002, 0.9292896760403798]                                        |  0.0000151154281411|      0.00010000|[196, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      37|[0.2983815405228588, 0.9293870220237191]                                        |  0.0000149637389768|      0.00100000|[201, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      38|[0.2983815405228588, 0.9293870220237191]                                        |  0.0000149637389768|      0.00010000|[206, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      39|[0.2983585927726282, 0.9294843534202947]                                        |  0.0000148127965076|      0.00100000|[211, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      40|[0.2983585927726282, 0.9294843534202947]                                        |  0.0000148127965076|      0.00010000|[216, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      41|[0.2983358135224313, 0.9295817243900981]                                        |  0.0000146626007336|      0.00100000|[221, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      42|[0.2983358135224313, 0.9295817243900981]                                        |  0.0000146626007336|      0.00010000|[226, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      43|[0.2983129046916512, 0.9296790649544703]                                        |  0.0000145131516547|      0.00100000|[231, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      44|[0.2983129046916512, 0.9296790649544703]                                        |  0.0000145131516547|      0.00010000|[237, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      45|[0.2982900335537904, 0.9297764143820646]                                        |  0.0000143644501804|      0.00100000|[243, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      46|[0.2982900335537904, 0.9297764143820646]                                        |  0.0000143644501804|      0.00010000|[248, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      47|[0.2982672024191123, 0.9298737731992787]                                        |  0.0000142164954013|      0.00100000|[253, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      48|[0.2982672024191123, 0.9298737731992787]                                        |  0.0000142164954013|      0.00010000|[258, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      49|[0.2982444918414772, 0.9299711602090052]                                        |  0.0000140692891364|      0.00100000|[264, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      50|[0.2982444918414772, 0.9299711602090052]                                        |  0.0000140692891364|      0.00010000|[270, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      51|[0.2982216887585615, 0.930068525600236]                                         |  0.0000139228304761|      0.00100000|[276, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      52|[0.2982216887585615, 0.930068525600236]                                         |  0.0000139228304761|      0.00010000|[281, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      53|[0.2981990203077441, 0.9301659224242989]                                        |  0.0000137771194204|      0.00100000|[286, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      54|[0.2981990203077441, 0.9301659224242989]                                        |  0.0000137771194204|      0.00010000|[291, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      55|[0.2981763719648428, 0.930263323926155]                                         |  0.0000136321577884|      0.00100000|[296, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      56|[0.2981763719648428, 0.930263323926155]                                         |  0.0000136321577884|      0.00010000|[301, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      57|[0.298153639289891, 0.9303607057801604]                                         |  0.0000134879446705|      0.00100000|[307, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      58|[0.298153639289891, 0.9303607057801604]                                         |  0.0000134879446705|      0.00010000|[312, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      59|[0.2981310940998051, 0.930458131210126]                                         |  0.0000133444809762|      0.00100000|[318, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      60|[0.2981310940998051, 0.930458131210126]                                         |  0.0000133444809762|      0.00010000|[323, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      61|[0.2981085074959711, 0.9305555470472741]                                        |  0.0000132017667056|      0.00100000|[329, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      62|[0.2981085074959711, 0.9305555470472741]                                        |  0.0000132017667056|      0.00010000|[334, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      63|[0.2980858118037861, 0.930652937527077]                                         |  0.0000130598018586|      0.00100000|[339, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      64|[0.2980858118037861, 0.930652937527077]                                         |  0.0000130598018586|      0.00010000|[344, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      65|[0.2980631400257752, 0.9307503335766982]                                        |  0.0000129185864353|      0.00100000|[349, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      66|[0.2980631400257752, 0.9307503335766982]                                        |  0.0000129185864353|      0.00010000|[354, 132, 0, 132]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      67|[0.2980406155050666, 0.9308477637874485]                                        |  0.0000127781222545|      0.00100000|[359, 134, 0, 134]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      68|[0.2980406155050666, 0.9308477637874485]                                        |  0.0000127781222545|      0.00010000|[365, 136, 0, 136]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      69|[0.2980181501907223, 0.9309452076669454]                                        |  0.0000126384084069|      0.00100000|[371, 138, 0, 138]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      70|[0.2980181501907223, 0.9309452076669454]                                        |  0.0000126384084069|      0.00010000|[377, 140, 0, 140]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      71|[0.297995677486973, 0.9310426498425481]                                         |  0.0000124994448925|      0.00100000|[382, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      72|[0.297995677486973, 0.9310426498425481]                                         |  0.0000124994448925|      0.00010000|[387, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      73|[0.2979732478224435, 0.9311401019341065]                                        |  0.0000123612326206|      0.00100000|[393, 146, 0, 146]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      74|[0.2979732478224435, 0.9311401019341065]                                        |  0.0000123612326206|      0.00010000|[398, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      75|[0.2979508645960943, 0.9312375647022705]                                        |  0.0000122237715914|      0.00100000|[404, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      76|[0.2979508645960943, 0.9312375647022705]                                        |  0.0000122237715914|      0.00010000|[409, 152, 0, 152]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      77|[0.2979283999482488, 0.9313350087354237]                                        |  0.0000120870618048|      0.00100000|[414, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      78|[0.2979283999482488, 0.9313350087354237]                                        |  0.0000120870618048|      0.00010000|[419, 156, 0, 156]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      79|[0.2979060529704295, 0.9314324798213023]                                        |  0.0000119511041703|      0.00100000|[424, 158, 0, 158]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      80|[0.2979060529704295, 0.9314324798213023]                                        |  0.0000119511041703|      0.00010000|[430, 160, 0, 160]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
