k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |749.0383999999999105|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2, 1.0]                                                                     |749.0383999999999105|      0.90000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[-1.2, 1.0]                                                                     |749.0383999999999105|      0.81000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[-1.2, 1.0]                                                                     |749.0383999999999105|      0.72900000|[18, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[-1.2, 1.0]                                                                     |749.0383999999999105|      0.65610000|[24, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[-1.2, 1.0]                                                                     |749.0383999999999105|      0.59049000|[29, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[-1.2, 1.0]                                                                     |749.0383999999999105|      0.53144100|[34, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[-1.2, 1.0]                                                                     |749.0383999999999105|      0.47829690|[40, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[-1.2, 1.0]                                                                     |749.0383999999999105|      0.43046721|[46, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[-1.2, 1.0]                                                                     |749.0383999999999105|      0.38742049|[52, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[-0.8127956755915309, 1.0129401103697118]                                       |243.5061187744140625|      0.43046721|[57, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[-0.8127956755915309, 1.0129401103697118]                                       |243.5061187744140625|      0.38742049|[62, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[-0.5462390311560674, 0.731795680219824]                                        | 82.4541397094726562|      0.43046721|[68, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[-0.5462390311560674, 0.731795680219824]                                        | 82.4541397094726562|      0.38742049|[74, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[-0.5462390311560674, 0.731795680219824]                                        | 82.4541397094726562|      0.34867844|[80, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[-0.3448922298062119, 0.4471272411951382]                                       | 25.6380119323730469|      0.38742049|[85, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      31|[-0.232860364476033, 0.076258670879939]                                         |  2.3100039958953857|      0.08862938|[169, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      32|[-0.2262274528911118, -0.0121221624222288]                                      |  1.5036634206771851|      0.09847709|[174, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      33|[-0.2262274528911118, -0.0121221624222288]                                      |  1.5036634206771851|      0.08862938|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      34|[-0.2262274528911118, -0.0121221624222288]                                      |  1.5036634206771851|      0.07976644|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      35|[-0.146564280075708, -0.0080645352684534]                                       |  1.3170264959335327|      0.08862938|[191, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      36|[-0.0617730665283642, 0.0177350251240745]                                       |  1.1596567630767822|      0.09847709|[196, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      37|[-0.0617730665283642, 0.0177350251240745]                                       |  1.1596567630767822|      0.08862938|[201, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      38|[-0.0617730665283642, 0.0177350251240745]                                       |  1.1596567630767822|      0.07976644|[206, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      39|[-0.0617730665283642, 0.0177350251240745]                                       |  1.1596567630767822|      0.07178980|[211, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      40|[-0.0617730665283642, 0.0177350251240745]                                       |  1.1596567630767822|      0.06461082|[216, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      41|[-0.0617730665283642, 0.0177350251240745]                                       |  1.1596567630767822|      0.05814974|[221, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      42|[-0.0617730665283642, 0.0177350251240745]                                       |  1.1596567630767822|      0.05233476|[226, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      43|[-0.0617730665283642, 0.0177350251240745]                                       |  1.1596567630767822|      0.04710129|[231, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      44|[-0.0617730665283642, 0.0177350251240745]                                       |  1.1596567630767822|      0.04239116|[237, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      45|[-0.0430375053016788, -0.0202911375200257]                                      |  1.1287773847579956|      0.04710129|[243, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      46|[-0.0430375053016788, -0.0202911375200257]                                      |  1.1287773847579956|      0.04239116|[248, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      47|[-0.0430375053016788, -0.0202911375200257]                                      |  1.1287773847579956|      0.03815204|[253, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      48|[-0.0430375053016788, -0.0202911375200257]                                      |  1.1287773847579956|      0.03433684|[258, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      49|[-0.0430375053016788, -0.0202911375200257]                                      |  1.1287773847579956|      0.03090315|[264, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      50|[-0.0151608025644501, -0.0069534317466547]                                      |  1.0353816747665405|      0.03433684|[270, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      51|[-0.0151608025644501, -0.0069534317466547]                                      |  1.0353816747665405|      0.03090315|[276, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      52|[-0.0151608025644501, -0.0069534317466547]                                      |  1.0353816747665405|      0.02781284|[281, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      53|[0.0083129524047485, 0.0079642368979912]                                        |  0.9897851943969727|      0.03090315|[286, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      54|[0.0083129524047485, 0.0079642368979912]                                        |  0.9897851943969727|      0.02781284|[291, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      55|[0.03523344548317, 0.0009755987931748]                                          |  0.9308613538742065|      0.03090315|[296, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      56|[0.0660324960031419, -0.0015588514164462]                                       |  0.8726363778114319|      0.03433684|[301, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      57|[0.0988000179062995, 0.0087031155538742]                                        |  0.8181501030921936|      0.03815204|[307, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      58|[0.0988000179062995, 0.0087031155538742]                                        |  0.8181501030921936|      0.03433684|[312, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      59|[0.0988000179062995, 0.0087031155538742]                                        |  0.8181501030921936|      0.03090315|[318, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      60|[0.0988000179062995, 0.0087031155538742]                                        |  0.8181501030921936|      0.02781284|[323, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      61|[0.0988000179062995, 0.0087031155538742]                                        |  0.8181501030921936|      0.02503156|[329, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      62|[0.0988000179062995, 0.0087031155538742]                                        |  0.8181501030921936|      0.02252840|[334, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      63|[0.1151492703755141, -0.0067962628128314]                                       |  0.7898881435394287|      0.02503156|[339, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      64|[0.1151492703755141, -0.0067962628128314]                                       |  0.7898881435394287|      0.02252840|[344, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      65|[0.1151492703755141, -0.0067962628128314]                                       |  0.7898881435394287|      0.02027556|[349, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      66|[0.1151492703755141, -0.0067962628128314]                                       |  0.7898881435394287|      0.01824800|[354, 132, 0, 132]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      67|[0.1151492703755141, -0.0067962628128314]                                       |  0.7898881435394287|      0.01642320|[359, 134, 0, 134]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      68|[0.1272680291277763, 0.0042878380480899]                                        |  0.7621567845344543|      0.01824800|[365, 136, 0, 136]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      69|[0.1451598850752153, 0.0078754733818032]                                        |  0.7330717444419861|      0.02027556|[371, 138, 0, 138]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      70|[0.1649570419187884, 0.0122539317425352]                                        |  0.7033267617225647|      0.02252840|[377, 140, 0, 140]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      71|[0.186016806963855, 0.0042529891541268]                                         |  0.6630454659461975|      0.02503156|[382, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      72|[0.2108944809839224, 0.0070242855238892]                                        |  0.6232423782348633|      0.02781284|[387, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      73|[0.2108944809839224, 0.0070242855238892]                                        |  0.6232423782348633|      0.02503156|[393, 146, 0, 146]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      74|[0.2349909770291745, 0.01380201571614]                                          |  0.5853070020675659|      0.02781284|[398, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      75|[0.2349909770291745, 0.01380201571614]                                          |  0.5853070020675659|      0.02503156|[404, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      76|[0.2349909770291745, 0.01380201571614]                                          |  0.5853070020675659|      0.02252840|[409, 152, 0, 152]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      77|[0.2349909770291745, 0.01380201571614]                                          |  0.5853070020675659|      0.02027556|[414, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      78|[0.254801255060727, 0.0094833120890907]                                         |  0.5603045821189880|      0.02252840|[419, 156, 0, 156]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      79|[0.2746301393761055, 0.0201764936953178]                                        |  0.5261902213096619|      0.02503156|[424, 158, 0, 158]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      80|[0.2746301393761055, 0.0201764936953178]                                        |  0.5261902213096619|      0.02252840|[430, 160, 0, 160]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
