k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7503748359903852|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.530218063484071, 0.7952683554427464, 5.253291017953994, 5.197970746852507, 6.362115094741397, 7.875064317074434]|189.0641174316406250|      1.11111111|[14, 2, 0, 2]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
      18|[-0.5855666566704785, 1.996937436217566, 1.7083070431841265, 5.695503430333073, 2.8628919991734163, 8.003928807871967]|  5.0666637420654297|      0.65610000|[243, 36, 0, 36]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      19|[-0.5855666566704785, 1.996937436217566, 1.7083070431841265, 5.695503430333073, 2.8628919991734163, 8.003928807871967]|  5.0666637420654297|      0.59049000|[256, 38, 0, 38]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      20|[-0.5855666566704785, 1.996937436217566, 1.7083070431841265, 5.695503430333073, 2.8628919991734163, 8.003928807871967]|  5.0666637420654297|      0.53144100|[269, 40, 0, 40]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      21|[-0.5855666566704785, 1.996937436217566, 1.7083070431841265, 5.695503430333073, 2.8628919991734163, 8.003928807871967]|  5.0666637420654297|      0.47829690|[282, 42, 0, 42]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      22|[-0.5855666566704785, 1.996937436217566, 1.7083070431841265, 5.695503430333073, 2.8628919991734163, 8.003928807871967]|  5.0666637420654297|      0.43046721|[295, 44, 0, 44]                                                           |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[-0.5855666566704785, 1.996937436217566, 1.7083070431841265, 5.695503430333073, 2.8628919991734163, 8.003928807871967]|  5.0666637420654297|      0.38742049|[308, 46, 0, 46]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      24|[-0.5222468504899717, 2.121965931687385, 1.5207174587190386, 5.663688662225576, 2.555983016664499, 7.996315822344667]|  3.7041635513305664|      0.43046721|[321, 48, 0, 48]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      25|[-0.5222468504899717, 2.121965931687385, 1.5207174587190386, 5.663688662225576, 2.555983016664499, 7.996315822344667]|  3.7041635513305664|      0.38742049|[334, 50, 0, 50]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      26|[-0.5222468504899717, 2.121965931687385, 1.5207174587190386, 5.663688662225576, 2.555983016664499, 7.996315822344667]|  3.7041635513305664|      0.34867844|[347, 52, 0, 52]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      27|[-0.5222468504899717, 2.121965931687385, 1.5207174587190386, 5.663688662225576, 2.555983016664499, 7.996315822344667]|  3.7041635513305664|      0.31381060|[360, 54, 0, 54]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      28|[-0.5222468504899717, 2.121965931687385, 1.5207174587190386, 5.663688662225576, 2.555983016664499, 7.996315822344667]|  3.7041635513305664|      0.28242954|[373, 56, 0, 56]                                                           |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[-0.5222468504899717, 2.121965931687385, 1.5207174587190386, 5.663688662225576, 2.555983016664499, 7.996315822344667]|  3.7041635513305664|      0.25418658|[387, 58, 0, 58]                                                           |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      30|[-0.5222468504899717, 2.121965931687385, 1.5207174587190386, 5.663688662225576, 2.555983016664499, 7.996315822344667]|  3.7041635513305664|      0.22876792|[400, 60, 0, 60]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      31|[-0.4104457560941467, 2.0881036815144776, 1.4310914653816036, 5.705511256570288, 2.3919359513805687, 7.951647725226645]|  3.1348950862884521|      0.25418658|[413, 62, 0, 62]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      32|[-0.4104457560941467, 2.0881036815144776, 1.4310914653816036, 5.705511256570288, 2.3919359513805687, 7.951647725226645]|  3.1348950862884521|      0.22876792|[427, 64, 0, 64]                                                           |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      33|[-0.252781350089994, 2.1958192333379336, 1.3602224744793232, 5.70603331291366, 2.3059278665348995, 7.892877144114076]|  2.5290007591247559|      0.25418658|[441, 66, 0, 66]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      34|[-0.252781350089994, 2.1958192333379336, 1.3602224744793232, 5.70603331291366, 2.3059278665348995, 7.892877144114076]|  2.5290007591247559|      0.22876792|[454, 68, 0, 68]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      35|[-0.252781350089994, 2.1958192333379336, 1.3602224744793232, 5.70603331291366, 2.3059278665348995, 7.892877144114076]|  2.5290007591247559|      0.20589113|[467, 70, 0, 70]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      36|[-0.252781350089994, 2.1958192333379336, 1.3602224744793232, 5.70603331291366, 2.3059278665348995, 7.892877144114076]|  2.5290007591247559|      0.18530202|[480, 72, 0, 72]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      37|[-0.2088881599619626, 2.1984190296600903, 1.2491117012524244, 5.6460234805429765, 2.177887962264441, 7.884973592471427]|  2.1896164417266846|      0.20589113|[494, 74, 0, 74]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      38|[-0.0318396339703647, 2.240034785384174, 1.272261127316878, 5.573440045348762, 2.141345341360438, 7.838352862525489]|  1.8414127826690674|      0.22876792|[507, 76, 0, 76]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      39|[-0.0318396339703647, 2.240034785384174, 1.272261127316878, 5.573440045348762, 2.141345341360438, 7.838352862525489]|  1.8414127826690674|      0.20589113|[521, 78, 0, 78]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      40|[-0.0020060685608485, 2.234282768732555, 1.1557605234989066, 5.546894988179561, 1.9943940111290268, 7.763544395439452]|  1.4911092519760132|      0.22876792|[534, 80, 0, 80]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      41|[-0.0020060685608485, 2.234282768732555, 1.1557605234989066, 5.546894988179561, 1.9943940111290268, 7.763544395439452]|  1.4911092519760132|      0.20589113|[547, 82, 0, 82]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      42|[-0.0020060685608485, 2.234282768732555, 1.1557605234989066, 5.546894988179561, 1.9943940111290268, 7.763544395439452]|  1.4911092519760132|      0.18530202|[560, 84, 0, 84]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      43|[-0.0020060685608485, 2.234282768732555, 1.1557605234989066, 5.546894988179561, 1.9943940111290268, 7.763544395439452]|  1.4911092519760132|      0.16677182|[573, 86, 0, 86]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      44|[-0.0020060685608485, 2.234282768732555, 1.1557605234989066, 5.546894988179561, 1.9943940111290268, 7.763544395439452]|  1.4911092519760132|      0.15009464|[586, 88, 0, 88]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      45|[0.1231751544867211, 2.2664934539853414, 1.1150677980049581, 5.5185500135400885, 1.9367258128502456, 7.757579824319854]|  1.2395111322402954|      0.16677182|[599, 90, 0, 90]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      46|[0.1231751544867211, 2.2664934539853414, 1.1150677980049581, 5.5185500135400885, 1.9367258128502456, 7.757579824319854]|  1.2395111322402954|      0.15009464|[612, 92, 0, 92]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      47|[0.2094342165546452, 2.2516904997827467, 1.0280353005427851, 5.486729992837738, 1.880520919537869, 7.701700606906577]|  1.0194834470748901|      0.16677182|[625, 94, 0, 94]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      48|[0.2094342165546452, 2.2516904997827467, 1.0280353005427851, 5.486729992837738, 1.880520919537869, 7.701700606906577]|  1.0194834470748901|      0.15009464|[638, 96, 0, 96]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      49|[0.33474063249043, 2.273378383754429, 1.0045983283972353, 5.454629512170862, 1.8149155897624198, 7.6799624942526]|  0.8604598641395569|      0.16677182|[651, 98, 0, 98]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      50|[0.33474063249043, 2.273378383754429, 1.0045983283972353, 5.454629512170862, 1.8149155897624198, 7.6799624942526]|  0.8604598641395569|      0.15009464|[665, 100, 0, 100]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      51|[0.33474063249043, 2.273378383754429, 1.0045983283972353, 5.454629512170862, 1.8149155897624198, 7.6799624942526]|  0.8604598641395569|      0.13508517|[678, 102, 0, 102]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      52|[0.3160925969272231, 2.260492907891266, 0.9945882105791538, 5.452358105516593, 1.6993723990257443, 7.614551270137153]|  0.7281426191329956|      0.15009464|[691, 104, 0, 104]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      53|[0.3160925969272231, 2.260492907891266, 0.9945882105791538, 5.452358105516593, 1.6993723990257443, 7.614551270137153]|  0.7281426191329956|      0.13508517|[705, 106, 0, 106]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      54|[0.3160925969272231, 2.260492907891266, 0.9945882105791538, 5.452358105516593, 1.6993723990257443, 7.614551270137153]|  0.7281426191329956|      0.12157665|[719, 108, 0, 108]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      55|[0.3160925969272231, 2.260492907891266, 0.9945882105791538, 5.452358105516593, 1.6993723990257443, 7.614551270137153]|  0.7281426191329956|      0.10941899|[732, 110, 0, 110]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      56|[0.3987710212409156, 2.2542994569343326, 0.9650398051217239, 5.441201756774307, 1.6382603982891768, 7.633687243706552]|  0.6057749390602112|      0.12157665|[746, 112, 0, 112]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      57|[0.3987710212409156, 2.2542994569343326, 0.9650398051217239, 5.441201756774307, 1.6382603982891768, 7.633687243706552]|  0.6057749390602112|      0.10941899|[759, 114, 0, 114]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      58|[0.3987710212409156, 2.2542994569343326, 0.9650398051217239, 5.441201756774307, 1.6382603982891768, 7.633687243706552]|  0.6057749390602112|      0.09847709|[772, 116, 0, 116]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      59|[0.4282113842279519, 2.211983755964642, 0.8868439876654491, 5.427688511560844, 1.6112168797727306, 7.637127914993809]|  0.5193020105361938|      0.10941899|[785, 118, 0, 118]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      60|[0.4282113842279519, 2.211983755964642, 0.8868439876654491, 5.427688511560844, 1.6112168797727306, 7.637127914993809]|  0.5193020105361938|      0.09847709|[799, 120, 0, 120]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      61|[0.4945659822011524, 2.180873264026739, 0.8747695114447935, 5.409911695448817, 1.5533293686351906, 7.614452602332481]|  0.4189730882644653|      0.10941899|[812, 122, 0, 122]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      62|[0.4945659822011524, 2.180873264026739, 0.8747695114447935, 5.409911695448817, 1.5533293686351906, 7.614452602332481]|  0.4189730882644653|      0.09847709|[825, 124, 0, 124]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      63|[0.4945659822011524, 2.180873264026739, 0.8747695114447935, 5.409911695448817, 1.5533293686351906, 7.614452602332481]|  0.4189730882644653|      0.08862938|[838, 126, 0, 126]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      64|[0.5469971962798061, 2.140849862145886, 0.8423714570379743, 5.395732386407765, 1.5067463308862288, 7.623595696078635]|  0.3388748168945312|      0.09847709|[852, 128, 0, 128]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      65|[0.5469971962798061, 2.140849862145886, 0.8423714570379743, 5.395732386407765, 1.5067463308862288, 7.623595696078635]|  0.3388748168945312|      0.08862938|[865, 130, 0, 130]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      66|[0.5469971962798061, 2.140849862145886, 0.8423714570379743, 5.395732386407765, 1.5067463308862288, 7.623595696078635]|  0.3388748168945312|      0.07976644|[878, 132, 0, 132]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      67|[0.5469971962798061, 2.140849862145886, 0.8423714570379743, 5.395732386407765, 1.5067463308862288, 7.623595696078635]|  0.3388748168945312|      0.07178980|[892, 134, 0, 134]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      68|[0.5745779041712178, 2.124371403454307, 0.8146519867181482, 5.389295297402522, 1.4492523865355242, 7.626081932592647]|  0.2803620100021362|      0.07976644|[906, 136, 0, 136]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      69|[0.5745779041712178, 2.124371403454307, 0.8146519867181482, 5.389295297402522, 1.4492523865355242, 7.626081932592647]|  0.2803620100021362|      0.07178980|[920, 138, 0, 138]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      70|[0.5745779041712178, 2.124371403454307, 0.8146519867181482, 5.389295297402522, 1.4492523865355242, 7.626081932592647]|  0.2803620100021362|      0.06461082|[933, 140, 0, 140]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      71|[0.5745779041712178, 2.124371403454307, 0.8146519867181482, 5.389295297402522, 1.4492523865355242, 7.626081932592647]|  0.2803620100021362|      0.05814974|[947, 142, 0, 142]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      72|[0.6245998872574335, 2.108904740960448, 0.7973392721197912, 5.394528738503782, 1.4340886956955308, 7.616975947718362]|  0.2419310212135315|      0.06461082|[960, 144, 0, 144]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      73|[0.6245998872574335, 2.108904740960448, 0.7973392721197912, 5.394528738503782, 1.4340886956955308, 7.616975947718362]|  0.2419310212135315|      0.05814974|[973, 146, 0, 146]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      74|[0.6376332361906889, 2.0953392687278383, 0.7647798703069751, 5.394183138560164, 1.3924738146988471, 7.601630939210203]|  0.2036092728376389|      0.06461082|[986, 148, 0, 148]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      75|[0.6376332361906889, 2.0953392687278383, 0.7647798703069751, 5.394183138560164, 1.3924738146988471, 7.601630939210203]|  0.2036092728376389|      0.05814974|[999, 150, 0, 150]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      76|[0.6684376118926217, 2.0889056034062943, 0.7389201592048664, 5.3630426265687925, 1.3660790600953043, 7.594150893373662]|  0.1708291918039322|      0.06461082|[1012, 152, 0, 152]                                                        |  | trying linear partial model with 8 points | iterate success | actual_k=1
      77|[0.6684376118926217, 2.0889056034062943, 0.7389201592048664, 5.3630426265687925, 1.3660790600953043, 7.594150893373662]|  0.1708291918039322|      0.05814974|[1025, 154, 0, 154]                                                        |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      78|[0.6684376118926217, 2.0889056034062943, 0.7389201592048664, 5.3630426265687925, 1.3660790600953043, 7.594150893373662]|  0.1708291918039322|      0.05233476|[1038, 156, 0, 156]                                                        |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      79|[0.6684376118926217, 2.0889056034062943, 0.7389201592048664, 5.3630426265687925, 1.3660790600953043, 7.594150893373662]|  0.1708291918039322|      0.04710129|[1051, 158, 0, 158]                                                        |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      80|[0.7079408100664774, 2.087220258678819, 0.7227744698690742, 5.352300326247338, 1.3496847210525047, 7.59093631273625]|  0.1466753631830215|      0.05233476|[1064, 160, 0, 160]                                                        |  | trying linear partial model with 8 points | iterate success | actual_k=1
