k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[3.0, 0.1]                                                                      | 87.6860481455954357|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[3.0, 0.1]                                                                      | 87.6860481455954357|      0.50000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[2.587059452888875, -0.1819221604478171]                                        | 40.3736572265625000|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[0.6933785677292638, -0.6942541773131556]                                       |  1.2308673858642578|      0.12500000|[74, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      14|[0.5728674199415191, -0.7274515154425958]                                       |  1.0457830429077148|      0.25000000|[80, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[0.5728674199415191, -0.7274515154425958]                                       |  1.0457830429077148|      0.12500000|[85, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      16|[0.447917313478338, -0.7309829308585013]                                        |  0.9079679846763611|      0.25000000|[90, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      17|[0.447917313478338, -0.7309829308585013]                                        |  0.9079679846763611|      0.12500000|[95, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      18|[0.447917313478338, -0.7309829308585013]                                        |  0.9079679846763611|      0.06250000|[100, 36, 0, 36]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      19|[0.3878977090470416, -0.7484155750615678]                                       |  0.8566535711288452|      0.12500000|[106, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      20|[0.3878977090470416, -0.7484155750615678]                                       |  0.8566535711288452|      0.06250000|[111, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      21|[0.3878977090470416, -0.7484155750615678]                                       |  0.8566535711288452|      0.03125000|[116, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      22|[0.3566734053401133, -0.7496826022978595]                                       |  0.8355529904365540|      0.06250000|[121, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      23|[0.2954106773264605, -0.762057098502764]                                        |  0.8042324185371399|      0.12500000|[126, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      24|[0.2954106773264605, -0.762057098502764]                                        |  0.8042324185371399|      0.06250000|[131, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      25|[0.2954106773264605, -0.762057098502764]                                        |  0.8042324185371399|      0.03125000|[136, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      26|[0.2644039944299155, -0.7581650404670834]                                       |  0.7928836941719055|      0.06250000|[142, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      27|[0.2644039944299155, -0.7581650404670834]                                       |  0.7928836941719055|      0.03125000|[147, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      28|[0.2341241306000806, -0.7504389582486074]                                       |  0.7843594551086426|      0.06250000|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      29|[0.2341241306000806, -0.7504389582486074]                                       |  0.7843594551086426|      0.03125000|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      30|[0.2341241306000806, -0.7504389582486074]                                       |  0.7843594551086426|      0.01562500|[163, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      31|[0.2218439124592853, -0.7407778575134694]                                       |  0.7810083031654358|      0.03125000|[169, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      32|[0.2218439124592853, -0.7407778575134694]                                       |  0.7810083031654358|      0.01562500|[174, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      33|[0.206950378329547, -0.7360531071363257]                                        |  0.7783482074737549|      0.03125000|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      34|[0.206950378329547, -0.7360531071363257]                                        |  0.7783482074737549|      0.01562500|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      35|[0.206950378329547, -0.7360531071363257]                                        |  0.7783482074737549|      0.00781250|[191, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      36|[0.2003581308103189, -0.7318605626946731]                                       |  0.7771961688995361|      0.01562500|[196, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      37|[0.1870879809112993, -0.7236116993391829]                                       |  0.7753541469573975|      0.03125000|[201, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      38|[0.1870879809112993, -0.7236116993391829]                                       |  0.7753541469573975|      0.01562500|[206, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      39|[0.1870879809112993, -0.7236116993391829]                                       |  0.7753541469573975|      0.00781250|[211, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      40|[0.1825806651998766, -0.7172305347646274]                                       |  0.7746482491493225|      0.01562500|[216, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      41|[0.1825806651998766, -0.7172305347646274]                                       |  0.7746482491493225|      0.00781250|[221, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      42|[0.1763290479212958, -0.7125451919114149]                                       |  0.7740761041641235|      0.01562500|[226, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      43|[0.1763290479212958, -0.7125451919114149]                                       |  0.7740761041641235|      0.00781250|[231, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      44|[0.1763290479212958, -0.7125451919114149]                                       |  0.7740761041641235|      0.00390625|[237, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      45|[0.1734618375022551, -0.7098922890719869]                                       |  0.7738438844680786|      0.00781250|[243, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      46|[0.1734618375022551, -0.7098922890719869]                                       |  0.7738438844680786|      0.00390625|[248, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      47|[0.1703881278325851, -0.7074816671752396]                                       |  0.7736478447914124|      0.00781250|[253, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      48|[0.1703881278325851, -0.7074816671752396]                                       |  0.7736478447914124|      0.00390625|[258, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      49|[0.1676729744913717, -0.704673334681357]                                        |  0.7734881639480591|      0.00781250|[264, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      50|[0.1676729744913717, -0.704673334681357]                                        |  0.7734881639480591|      0.00390625|[270, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      51|[0.1645049530736575, -0.7023880711605778]                                       |  0.7733632326126099|      0.00781250|[276, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      52|[0.1645049530736575, -0.7023880711605778]                                       |  0.7733632326126099|      0.00390625|[281, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      53|[0.1645049530736575, -0.7023880711605778]                                       |  0.7733632326126099|      0.00195312|[286, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      54|[0.1630983379713757, -0.701033031965699]                                        |  0.7733140587806702|      0.00390625|[291, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      55|[0.1630983379713757, -0.701033031965699]                                        |  0.7733140587806702|      0.00195312|[296, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      56|[0.1617994680978187, -0.6995743907085041]                                       |  0.7732741832733154|      0.00390625|[301, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      57|[0.1617994680978187, -0.6995743907085041]                                       |  0.7732741832733154|      0.00195312|[307, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      58|[0.1617994680978187, -0.6995743907085041]                                       |  0.7732741832733154|      0.00097656|[312, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      59|[0.1609884343192786, -0.6990304251521743]                                       |  0.7732571363449097|      0.00195312|[318, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      60|[0.1609884343192786, -0.6990304251521743]                                       |  0.7732571363449097|      0.00097656|[323, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      61|[0.1602236475744437, -0.6984231562238311]                                       |  0.7732422947883606|      0.00195312|[329, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      62|[0.1602236475744437, -0.6984231562238311]                                       |  0.7732422947883606|      0.00097656|[334, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      63|[0.1594259266872451, -0.6978598484016474]                                       |  0.7732295989990234|      0.00195312|[339, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      64|[0.1594259266872451, -0.6978598484016474]                                       |  0.7732295989990234|      0.00097656|[344, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      65|[0.1586404361810299, -0.6972796079505825]                                       |  0.7732191681861877|      0.00195312|[349, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      66|[0.1586404361810299, -0.6972796079505825]                                       |  0.7732191681861877|      0.00097656|[354, 132, 0, 132]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      67|[0.1579722293244043, -0.6965674465130104]                                       |  0.7732110023498535|      0.00195312|[359, 134, 0, 134]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      68|[0.1579722293244043, -0.6965674465130104]                                       |  0.7732110023498535|      0.00097656|[365, 136, 0, 136]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      69|[0.1579722293244043, -0.6965674465130104]                                       |  0.7732110023498535|      0.00048828|[371, 138, 0, 138]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      70|[0.1575744045322149, -0.6962843316709039]                                       |  0.7732076644897461|      0.00097656|[377, 140, 0, 140]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      71|[0.1575744045322149, -0.6962843316709039]                                       |  0.7732076644897461|      0.00048828|[382, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      72|[0.1571330738180315, -0.6960754159466993]                                       |  0.7732049226760864|      0.00097656|[387, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      73|[0.1571330738180315, -0.6960754159466993]                                       |  0.7732049226760864|      0.00048828|[393, 146, 0, 146]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      74|[0.1571330738180315, -0.6960754159466993]                                       |  0.7732049226760864|      0.00024414|[398, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      75|[0.1569764624926259, -0.6958881259642387]                                       |  0.7732037305831909|      0.00048828|[404, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      76|[0.156617788559148, -0.6955568080073679]                                        |  0.7732017636299133|      0.00097656|[409, 152, 0, 152]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      77|[0.156617788559148, -0.6955568080073679]                                        |  0.7732017636299133|      0.00048828|[414, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      78|[0.156617788559148, -0.6955568080073679]                                        |  0.7732017636299133|      0.00024414|[419, 156, 0, 156]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      79|[0.1564269444646914, -0.6954045477814833]                                       |  0.7732009887695312|      0.00048828|[424, 158, 0, 158]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      80|[0.1564269444646914, -0.6954045477814833]                                       |  0.7732009887695312|      0.00024414|[430, 160, 0, 160]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
