k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[3.0, 0.1]                                                                      | 87.6860481455954357|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[3.0, 0.1]                                                                      | 87.6860481455954357|      0.50000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[2.587059452888875, -0.1819221604478171]                                        | 40.3736572265625000|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[0.4575009421701118, -0.7770898324417084]                                       |  0.9128627777099609|      0.50000000|[74, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[0.4575009421701118, -0.7770898324417084]                                       |  0.9128627777099609|      0.25000000|[80, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      15|[0.4575009421701118, -0.7770898324417084]                                       |  0.9128627777099609|      0.12500000|[85, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[0.3350735186239659, -0.7518603662592341]                                       |  0.8228166699409485|      0.25000000|[90, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      17|[0.3350735186239659, -0.7518603662592341]                                       |  0.8228166699409485|      0.12500000|[95, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[0.2101281213423787, -0.7555546453697412]                                       |  0.7815007567405701|      0.25000000|[100, 36, 0, 36]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      19|[0.2101281213423787, -0.7555546453697412]                                       |  0.7815007567405701|      0.12500000|[106, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      20|[0.2101281213423787, -0.7555546453697412]                                       |  0.7815007567405701|      0.06250000|[111, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[0.2101281213423787, -0.7555546453697412]                                       |  0.7815007567405701|      0.03125000|[116, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      22|[0.1944969164041573, -0.7284949348727805]                                       |  0.7763306498527527|      0.06250000|[121, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      23|[0.1944969164041573, -0.7284949348727805]                                       |  0.7763306498527527|      0.03125000|[126, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      24|[0.1944969164041573, -0.7284949348727805]                                       |  0.7763306498527527|      0.01562500|[131, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[0.1813836204684139, -0.7199989302410953]                                       |  0.7747442722320557|      0.03125000|[136, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      26|[0.1813836204684139, -0.7199989302410953]                                       |  0.7747442722320557|      0.01562500|[142, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      27|[0.1673729276214649, -0.7130822033454854]                                       |  0.7738307118415833|      0.03125000|[147, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      28|[0.1673729276214649, -0.7130822033454854]                                       |  0.7738307118415833|      0.01562500|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[0.1673729276214649, -0.7130822033454854]                                       |  0.7738307118415833|      0.00781250|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      30|[0.1636737552093937, -0.7062009767313002]                                       |  0.7734535336494446|      0.01562500|[163, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      31|[0.1636737552093937, -0.7062009767313002]                                       |  0.7734535336494446|      0.00781250|[169, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      32|[0.1609557482729036, -0.6988765249058602]                                       |  0.7732552886009216|      0.01562500|[174, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      33|[0.1609557482729036, -0.6988765249058602]                                       |  0.7732552886009216|      0.00781250|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      34|[0.1609557482729036, -0.6988765249058602]                                       |  0.7732552886009216|      0.00390625|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      35|[0.1609557482729036, -0.6988765249058602]                                       |  0.7732552886009216|      0.00195312|[191, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      36|[0.1591304810446646, -0.6981814732450885]                                       |  0.7732297182083130|      0.00390625|[196, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      37|[0.1591304810446646, -0.6981814732450885]                                       |  0.7732297182083130|      0.00195312|[201, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      38|[0.158216138286164, -0.6964555895335939]                                        |  0.7732121944427490|      0.00390625|[206, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      39|[0.158216138286164, -0.6964555895335939]                                        |  0.7732121944427490|      0.00195312|[211, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      40|[0.1569172449124279, -0.6949969692028397]                                       |  0.7732024788856506|      0.00390625|[216, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      41|[0.1569172449124279, -0.6949969692028397]                                       |  0.7732024788856506|      0.00195312|[221, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      42|[0.1569172449124279, -0.6949969692028397]                                       |  0.7732024788856506|      0.00097656|[226, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      43|[0.1559411997676991, -0.6949651856873396]                                       |  0.7731995582580566|      0.00195312|[231, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      44|[0.1559411997676991, -0.6949651856873396]                                       |  0.7731995582580566|      0.00097656|[237, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      45|[0.1559411997676991, -0.6949651856873396]                                       |  0.7731995582580566|      0.00048828|[243, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      46|[0.1559411997676991, -0.6949651856873396]                                       |  0.7731995582580566|      0.00024414|[248, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      47|[0.155731059820948, -0.6948409043630996]                                        |  0.7731992602348328|      0.00048828|[253, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      48|[0.155731059820948, -0.6948409043630996]                                        |  0.7731992602348328|      0.00024414|[258, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      49|[0.1555939173771225, -0.6946389226934437]                                       |  0.7731990814208984|      0.00048828|[264, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      50|[0.1555939173771225, -0.6946389226934437]                                       |  0.7731990814208984|      0.00024414|[270, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      51|[0.1555939173771225, -0.6946389226934437]                                       |  0.7731990814208984|      0.00012207|[276, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      52|[0.1555939173771225, -0.6946389226934437]                                       |  0.7731990814208984|      0.00006104|[281, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      53|[0.1555939173771225, -0.6946389226934437]                                       |  0.7731990814208984|      0.00003052|[286, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      54|[0.1555939173771225, -0.6946389226934437]                                       |  0.7731990814208984|      0.00001526|[290, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      55|[0.1555939173771225, -0.6946389226934437]                                       |  0.7731990814208984|      0.00000763|[294, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      56|[0.1555939173771225, -0.6946389226934437]                                       |  0.7731990814208984|      0.00000381|[298, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      57|[0.1555939173771225, -0.6946389226934437]                                       |  0.7731990814208984|      0.00000191|[303, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      58|[0.1555939173771225, -0.6946389226934437]                                       |  0.7731990814208984|      0.00000095|[307, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      59|[0.1555939173771225, -0.6946389226934437]                                       |  0.7731990814208984|      0.00000048|[312, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      60|[0.1555939173771225, -0.6946389226934437]                                       |  0.7731990814208984|      0.00000024|[316, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      61|[0.1555939173771225, -0.6946389226934437]                                       |  0.7731990814208984|      0.00000012|[321, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      62|[0.1555939173771225, -0.6946389226934437]                                       |  0.7731990814208984|      0.00000006|[325, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      63|[0.1555939173771225, -0.6946389226934437]                                       |  0.7731990814208984|      0.00000003|[329, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      64|[0.1555939173771225, -0.6946389226934437]                                       |  0.7731990814208984|      0.00000001|[333, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      65|[0.1555939173771225, -0.6946389226934437]                                       |  0.7731990814208984|      0.00000001|[337, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      66|[0.1555939173771225, -0.6946389226934437]                                       |  0.7731990814208984|      0.00000000|[341, 132, 0, 132]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      67|[0.1555939173771225, -0.6946389226934437]                                       |  0.7731990814208984|      0.00000000|[345, 134, 0, 134]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      68|[0.1555939173771225, -0.6946389226934437]                                       |  0.7731990814208984|      0.00000000|[350, 136, 0, 136]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      69|[0.1555939173771225, -0.6946389226934437]                                       |  0.7731990814208984|      0.00000000|[355, 138, 0, 138]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      70|[0.1555939173771225, -0.6946389226934437]                                       |  0.7731990814208984|      0.00000000|[360, 140, 0, 140]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      71|[0.1555939173771225, -0.6946389226934437]                                       |  0.7731990814208984|      0.00000000|[364, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      72|[0.1555939173771225, -0.6946389226934437]                                       |  0.7731990814208984|      0.00000000|[368, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      73|[0.1555939173771225, -0.6946389226934437]                                       |  0.7731990814208984|      0.00000000|[373, 146, 0, 146]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      74|[0.1555939173771225, -0.6946389226934437]                                       |  0.7731990814208984|      0.00000000|[377, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      75|[0.1555939173771225, -0.6946389226934437]                                       |  0.7731990814208984|      0.00000000|[382, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      76|[0.1555939173771225, -0.6946389226934437]                                       |  0.7731990814208984|      0.00000000|[386, 152, 0, 152]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      77|[0.1555939173771225, -0.6946389226934437]                                       |  0.7731990814208984|      0.00000000|[390, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      78|[0.1555939173771225, -0.6946389226934437]                                       |  0.7731990814208984|      0.00000000|[394, 156, 0, 156]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      79|[0.1555939173771225, -0.6946389226934437]                                       |  0.7731990814208984|      0.00000000|[398, 158, 0, 158]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      80|[0.1555939173771225, -0.6946389226934437]                                       |  0.7731990814208984|      0.00000000|[403, 160, 0, 160]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
