k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[5.2]                                                                           |61302.9768075899992255|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[6.2]                                                                           |12846.5410156250000000|      2.00000000|[5, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       2|[6.2]                                                                           |12846.5410156250000000|      1.00000000|[7, 4, 0, 4]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[6.2]                                                                           |12846.5410156250000000|      0.50000000|[8, 6, 0, 6]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[6.2]                                                                           |12846.5410156250000000|      0.25000000|[9, 8, 0, 8]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[5.95]                                                                          |823.8391113281250000|      0.50000000|[11, 10, 0, 10]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       6|[5.95]                                                                          |823.8391113281250000|      0.25000000|[13, 12, 0, 12]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[5.95]                                                                          |823.8391113281250000|      0.12500000|[14, 14, 0, 14]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[5.95]                                                                          |823.8391113281250000|      0.06250000|[15, 16, 0, 16]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[6.0125]                                                                        | 52.5319366455078125|      0.12500000|[17, 18, 0, 18]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      10|[6.0125]                                                                        | 52.5319366455078125|      0.06250000|[19, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[6.0125]                                                                        | 52.5319366455078125|      0.03125000|[20, 22, 0, 22]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[6.0125]                                                                        | 52.5319366455078125|      0.01562500|[23, 24, 0, 24]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      26|[6.000048828125]                                                                |  0.0008018242660910|      0.00024414|[41, 52, 0, 52]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      27|[6.000048828125]                                                                |  0.0008018242660910|      0.00012207|[41, 54, 0, 54]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      28|[6.000048828125]                                                                |  0.0008018242660910|      0.00006104|[43, 56, 0, 56]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[5.99998779296875]                                                              |  0.0000574695586693|      0.00012207|[45, 58, 0, 58]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      30|[5.99998779296875]                                                              |  0.0000574695586693|      0.00006104|[46, 60, 0, 60]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      31|[5.99998779296875]                                                              |  0.0000574695586693|      0.00003052|[47, 62, 0, 62]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      32|[5.99998779296875]                                                              |  0.0000574695586693|      0.00001526|[48, 64, 0, 64]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      33|[6.000003051757813]                                                             |  0.0000093758726507|      0.00003052|[51, 66, 0, 66]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      34|[6.000003051757813]                                                             |  0.0000093758726507|      0.00001526|[52, 68, 0, 68]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      35|[6.000003051757813]                                                             |  0.0000093758726507|      0.00000763|[52, 70, 0, 70]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      36|[6.000003051757813]                                                             |  0.0000093758726507|      0.00000381|[56, 72, 0, 72]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      37|[5.999999237060547]                                                             |  0.0000067630785452|      0.00000763|[58, 74, 0, 74]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      38|[5.999999237060547]                                                             |  0.0000067630785452|      0.00000381|[59, 76, 0, 76]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      39|[5.999999237060547]                                                             |  0.0000067630785452|      0.00000191|[59, 78, 0, 78]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      40|[5.999999237060547]                                                             |  0.0000067630785452|      0.00000095|[61, 80, 0, 80]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      41|[6.0000001907348635]                                                            |  0.0000065015105974|      0.00000191|[63, 82, 0, 82]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      42|[6.0000001907348635]                                                            |  0.0000065015105974|      0.00000095|[65, 84, 0, 84]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      43|[6.0000001907348635]                                                            |  0.0000065015105974|      0.00000048|[67, 86, 0, 86]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      44|[6.0000001907348635]                                                            |  0.0000065015105974|      0.00000024|[68, 88, 0, 88]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      45|[6.0000001907348635]                                                            |  0.0000065015105974|      0.00000012|[70, 90, 0, 90]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      46|[6.000000071525574]                                                             |  0.0000065008557613|      0.00000024|[73, 92, 0, 92]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      47|[6.000000071525574]                                                             |  0.0000065008557613|      0.00000012|[74, 94, 0, 94]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      48|[6.000000071525574]                                                             |  0.0000065008557613|      0.00000006|[75, 96, 0, 96]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      49|[6.000000131130219]                                                             |  0.0000064999921960|      0.00000012|[76, 98, 0, 98]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      50|[6.000000131130219]                                                             |  0.0000064999921960|      0.00000006|[76, 100, 0, 100]                                                          |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      51|[6.000000131130219]                                                             |  0.0000064999921960|      0.00000003|[76, 102, 0, 102]                                                          |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      52|[6.000000131130219]                                                             |  0.0000064999921960|      0.00000001|[79, 104, 0, 104]                                                          |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      53|[6.000000131130219]                                                             |  0.0000064999921960|      0.00000001|[80, 106, 0, 106]                                                          |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      54|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000001|[82, 108, 0, 108]                                                          |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      55|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000001|[83, 110, 0, 110]                                                          |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      56|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[84, 112, 0, 112]                                                          |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      57|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[87, 114, 0, 114]                                                          |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      58|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[88, 116, 0, 116]                                                          |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      59|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[91, 118, 0, 118]                                                          |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      60|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[93, 120, 0, 120]                                                          |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      61|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[94, 122, 0, 122]                                                          |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      62|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[96, 124, 0, 124]                                                          |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      63|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[99, 126, 0, 126]                                                          |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      64|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[100, 128, 0, 128]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      65|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[102, 130, 0, 130]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      66|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[104, 132, 0, 132]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      67|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[105, 134, 0, 134]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      68|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[107, 136, 0, 136]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      69|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[110, 138, 0, 138]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      70|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[111, 140, 0, 140]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      71|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[113, 142, 0, 142]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      72|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[116, 144, 0, 144]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      73|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[118, 146, 0, 146]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      74|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[120, 148, 0, 148]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      75|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[122, 150, 0, 150]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      76|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[123, 152, 0, 152]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      77|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[125, 154, 0, 154]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      78|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[128, 156, 0, 156]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      79|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[128, 158, 0, 158]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      80|[6.000000123679638]                                                             |  0.0000064999699134|      0.00000000|[128, 160, 0, 160]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
