k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.609553617497106, 0.0519686181864622, 0.1352853357785249, 0.7793853527255101, -2.6994897e-09, -1.086920568e-07, 1.44826971e-08, -6.64428622e-08, -2.8907761e-08, 8.21113743e-08, -5.29401489e-08, 2.376422719e-07, -2.4045045e-08, -1.995109413e-07, 2.43209221e-08, 8.10860233e-08, -1.964871755e-07, -5.85320581e-08, 2.29673622e-08, 2.824421e-10, 1.693881929e-07, 5.57579756e-08]| 13.1512060165405273|      1.11111111|[129, 0, 0, 2]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
      12|[1.0091911686086514, 0.085943481438619, 0.2241147981186571, 1.2909633751509262, 2.24693369e-08, -1.29293283e-07, -2.75334629e-08, -9.7676058e-08, -2.408037021e-07, 1.001859979e-07, -1.629518251e-07, 1.724317427e-07, -8.712059e-10, -2.868085586e-07, -1.203099532e-07, -1.99720087e-08, -1.971175766e-07, -2.157962717e-07, 5.50273763e-08, 1.022380288e-07, 1.573515845e-07, -2.39136538e-07]| 12.4502849578857422|      0.43046721|[1537, 0, 0, 24]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      13|[1.0091911686086514, 0.085943481438619, 0.2241147981186571, 1.2909633751509262, 2.24693369e-08, -1.29293283e-07, -2.75334629e-08, -9.7676058e-08, -2.408037021e-07, 1.001859979e-07, -1.629518251e-07, 1.724317427e-07, -8.712059e-10, -2.868085586e-07, -1.203099532e-07, -1.99720087e-08, -1.971175766e-07, -2.157962717e-07, 5.50273763e-08, 1.022380288e-07, 1.573515845e-07, -2.39136538e-07]| 12.4502849578857422|      0.38742049|[1665, 0, 0, 26]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      14|[1.0091911686086514, 0.085943481438619, 0.2241147981186571, 1.2909633751509262, 2.24693369e-08, -1.29293283e-07, -2.75334629e-08, -9.7676058e-08, -2.408037021e-07, 1.001859979e-07, -1.629518251e-07, 1.724317427e-07, -8.712059e-10, -2.868085586e-07, -1.203099532e-07, -1.99720087e-08, -1.971175766e-07, -2.157962717e-07, 5.50273763e-08, 1.022380288e-07, 1.573515845e-07, -2.39136538e-07]| 12.4502849578857422|      0.34867844|[1793, 0, 0, 28]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      15|[1.2212652460646174, 0.1038689251014162, 0.2713953561764321, 1.5630745060519815, 1.942239731e-07, -2.500136432e-07, 3.697922049e-07, -6.11105003e-08, -3.350698199e-07, -1.07918283e-07, -2.85665818e-07, 6.329461796e-07, 1.47488694e-08, -3.559221481e-07, 1.41090471e-07, 7.84394529e-08, 8.59288383e-08, -1.46697039e-07, 2.614905775e-07, 1.850407384e-07, 1.168115489e-07, -5.2400172e-09]| 12.2428998947143555|      0.38742049|[1921, 0, 0, 30]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      16|[1.2212652460646174, 0.1038689251014162, 0.2713953561764321, 1.5630745060519815, 1.942239731e-07, -2.500136432e-07, 3.697922049e-07, -6.11105003e-08, -3.350698199e-07, -1.07918283e-07, -2.85665818e-07, 6.329461796e-07, 1.47488694e-08, -3.559221481e-07, 1.41090471e-07, 7.84394529e-08, 8.59288383e-08, -1.46697039e-07, 2.614905775e-07, 1.850407384e-07, 1.168115489e-07, -5.2400172e-09]| 12.2428998947143555|      0.34867844|[2049, 0, 0, 32]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      17|[1.2212652460646174, 0.1038689251014162, 0.2713953561764321, 1.5630745060519815, 1.942239731e-07, -2.500136432e-07, 3.697922049e-07, -6.11105003e-08, -3.350698199e-07, -1.07918283e-07, -2.85665818e-07, 6.329461796e-07, 1.47488694e-08, -3.559221481e-07, 1.41090471e-07, 7.84394529e-08, 8.59288383e-08, -1.46697039e-07, 2.614905775e-07, 1.850407384e-07, 1.168115489e-07, -5.2400172e-09]| 12.2428998947143555|      0.31381060|[2177, 0, 0, 34]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      18|[1.2212652460646174, 0.1038689251014162, 0.2713953561764321, 1.5630745060519815, 1.942239731e-07, -2.500136432e-07, 3.697922049e-07, -6.11105003e-08, -3.350698199e-07, -1.07918283e-07, -2.85665818e-07, 6.329461796e-07, 1.47488694e-08, -3.559221481e-07, 1.41090471e-07, 7.84394529e-08, 8.59288383e-08, -1.46697039e-07, 2.614905775e-07, 1.850407384e-07, 1.168115489e-07, -5.2400172e-09]| 12.2428998947143555|      0.28242954|[2305, 0, 0, 36]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      19|[1.2212652460646174, 0.1038689251014162, 0.2713953561764321, 1.5630745060519815, 1.942239731e-07, -2.500136432e-07, 3.697922049e-07, -6.11105003e-08, -3.350698199e-07, -1.07918283e-07, -2.85665818e-07, 6.329461796e-07, 1.47488694e-08, -3.559221481e-07, 1.41090471e-07, 7.84394529e-08, 8.59288383e-08, -1.46697039e-07, 2.614905775e-07, 1.850407384e-07, 1.168115489e-07, -5.2400172e-09]| 12.2428998947143555|      0.25418658|[2433, 0, 0, 38]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      20|[1.2212652460646174, 0.1038689251014162, 0.2713953561764321, 1.5630745060519815, 1.942239731e-07, -2.500136432e-07, 3.697922049e-07, -6.11105003e-08, -3.350698199e-07, -1.07918283e-07, -2.85665818e-07, 6.329461796e-07, 1.47488694e-08, -3.559221481e-07, 1.41090471e-07, 7.84394529e-08, 8.59288383e-08, -1.46697039e-07, 2.614905775e-07, 1.850407384e-07, 1.168115489e-07, -5.2400172e-09]| 12.2428998947143555|      0.22876792|[2561, 0, 0, 40]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      21|[1.2212652460646174, 0.1038689251014162, 0.2713953561764321, 1.5630745060519815, 1.942239731e-07, -2.500136432e-07, 3.697922049e-07, -6.11105003e-08, -3.350698199e-07, -1.07918283e-07, -2.85665818e-07, 6.329461796e-07, 1.47488694e-08, -3.559221481e-07, 1.41090471e-07, 7.84394529e-08, 8.59288383e-08, -1.46697039e-07, 2.614905775e-07, 1.850407384e-07, 1.168115489e-07, -5.2400172e-09]| 12.2428998947143555|      0.20589113|[2689, 0, 0, 42]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      22|[1.3461813134061333, 0.1143231260526087, 0.2993877383090451, 1.7239914741367992, -6.72854647e-07, -1.55240462e-08, 8.060209811e-07, -8.854934532e-07, -4.66574302e-07, -1.087904858e-07, -2.752404344e-07, 7.859372757e-07, 1.047185118e-07, -3.552603986e-07, 1.750012092e-07, -9.37209122e-08, 4.045696618e-07, 1.019074109e-07, 3.460056144e-07, -1.859634756e-07, -5.79637928e-07, -1.83419681e-08]| 12.1742515563964844|      0.22876792|[2817, 0, 0, 44]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      23|[1.3461813134061333, 0.1143231260526087, 0.2993877383090451, 1.7239914741367992, -6.72854647e-07, -1.55240462e-08, 8.060209811e-07, -8.854934532e-07, -4.66574302e-07, -1.087904858e-07, -2.752404344e-07, 7.859372757e-07, 1.047185118e-07, -3.552603986e-07, 1.750012092e-07, -9.37209122e-08, 4.045696618e-07, 1.019074109e-07, 3.460056144e-07, -1.859634756e-07, -5.79637928e-07, -1.83419681e-08]| 12.1742515563964844|      0.20589113|[2945, 0, 0, 46]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      24|[1.3461813134061333, 0.1143231260526087, 0.2993877383090451, 1.7239914741367992, -6.72854647e-07, -1.55240462e-08, 8.060209811e-07, -8.854934532e-07, -4.66574302e-07, -1.087904858e-07, -2.752404344e-07, 7.859372757e-07, 1.047185118e-07, -3.552603986e-07, 1.750012092e-07, -9.37209122e-08, 4.045696618e-07, 1.019074109e-07, 3.460056144e-07, -1.859634756e-07, -5.79637928e-07, -1.83419681e-08]| 12.1742515563964844|      0.18530202|[3073, 0, 0, 48]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      25|[1.3461813134061333, 0.1143231260526087, 0.2993877383090451, 1.7239914741367992, -6.72854647e-07, -1.55240462e-08, 8.060209811e-07, -8.854934532e-07, -4.66574302e-07, -1.087904858e-07, -2.752404344e-07, 7.859372757e-07, 1.047185118e-07, -3.552603986e-07, 1.750012092e-07, -9.37209122e-08, 4.045696618e-07, 1.019074109e-07, 3.460056144e-07, -1.859634756e-07, -5.79637928e-07, -1.83419681e-08]| 12.1742515563964844|      0.16677182|[3201, 0, 0, 50]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      26|[1.3461813134061333, 0.1143231260526087, 0.2993877383090451, 1.7239914741367992, -6.72854647e-07, -1.55240462e-08, 8.060209811e-07, -8.854934532e-07, -4.66574302e-07, -1.087904858e-07, -2.752404344e-07, 7.859372757e-07, 1.047185118e-07, -3.552603986e-07, 1.750012092e-07, -9.37209122e-08, 4.045696618e-07, 1.019074109e-07, 3.460056144e-07, -1.859634756e-07, -5.79637928e-07, -1.83419681e-08]| 12.1742515563964844|      0.15009464|[3329, 0, 0, 52]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      27|[1.3461813134061333, 0.1143231260526087, 0.2993877383090451, 1.7239914741367992, -6.72854647e-07, -1.55240462e-08, 8.060209811e-07, -8.854934532e-07, -4.66574302e-07, -1.087904858e-07, -2.752404344e-07, 7.859372757e-07, 1.047185118e-07, -3.552603986e-07, 1.750012092e-07, -9.37209122e-08, 4.045696618e-07, 1.019074109e-07, 3.460056144e-07, -1.859634756e-07, -5.79637928e-07, -1.83419681e-08]| 12.1742515563964844|      0.13508517|[3457, 0, 0, 54]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      28|[1.3461813134061333, 0.1143231260526087, 0.2993877383090451, 1.7239914741367992, -6.72854647e-07, -1.55240462e-08, 8.060209811e-07, -8.854934532e-07, -4.66574302e-07, -1.087904858e-07, -2.752404344e-07, 7.859372757e-07, 1.047185118e-07, -3.552603986e-07, 1.750012092e-07, -9.37209122e-08, 4.045696618e-07, 1.019074109e-07, 3.460056144e-07, -1.859634756e-07, -5.79637928e-07, -1.83419681e-08]| 12.1742515563964844|      0.12157665|[3585, 0, 0, 56]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      29|[1.3461813134061333, 0.1143231260526087, 0.2993877383090451, 1.7239914741367992, -6.72854647e-07, -1.55240462e-08, 8.060209811e-07, -8.854934532e-07, -4.66574302e-07, -1.087904858e-07, -2.752404344e-07, 7.859372757e-07, 1.047185118e-07, -3.552603986e-07, 1.750012092e-07, -9.37209122e-08, 4.045696618e-07, 1.019074109e-07, 3.460056144e-07, -1.859634756e-07, -5.79637928e-07, -1.83419681e-08]| 12.1742515563964844|      0.10941899|[3713, 0, 0, 58]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      30|[1.4122522342986334, 0.1197485383665082, 0.3143373690485041, 1.809748234977743, 9.921054446e-07, 6.03045966e-08, 3.834574187e-07, -9.803231195e-07, 1.878224226e-07, -5.02946103e-07, -3.843357862e-07, 7.225326991e-07, 8.658874513e-07, -1.2506278969e-06, -5.698000827e-07, 1.04118687e-08, 4.016601488e-07, 7.236671628e-07, -3.145280355e-07, 3.393985268e-07, -1.2061945137e-06, 1.338626753e-07]| 12.1540288925170898|      0.12157665|[3841, 0, 0, 60]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      31|[1.4122522342986334, 0.1197485383665082, 0.3143373690485041, 1.809748234977743, 9.921054446e-07, 6.03045966e-08, 3.834574187e-07, -9.803231195e-07, 1.878224226e-07, -5.02946103e-07, -3.843357862e-07, 7.225326991e-07, 8.658874513e-07, -1.2506278969e-06, -5.698000827e-07, 1.04118687e-08, 4.016601488e-07, 7.236671628e-07, -3.145280355e-07, 3.393985268e-07, -1.2061945137e-06, 1.338626753e-07]| 12.1540288925170898|      0.10941899|[3969, 0, 0, 62]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      32|[1.4122522342986334, 0.1197485383665082, 0.3143373690485041, 1.809748234977743, 9.921054446e-07, 6.03045966e-08, 3.834574187e-07, -9.803231195e-07, 1.878224226e-07, -5.02946103e-07, -3.843357862e-07, 7.225326991e-07, 8.658874513e-07, -1.2506278969e-06, -5.698000827e-07, 1.04118687e-08, 4.016601488e-07, 7.236671628e-07, -3.145280355e-07, 3.393985268e-07, -1.2061945137e-06, 1.338626753e-07]| 12.1540288925170898|      0.09847709|[4097, 0, 0, 64]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      33|[1.4122522342986334, 0.1197485383665082, 0.3143373690485041, 1.809748234977743, 9.921054446e-07, 6.03045966e-08, 3.834574187e-07, -9.803231195e-07, 1.878224226e-07, -5.02946103e-07, -3.843357862e-07, 7.225326991e-07, 8.658874513e-07, -1.2506278969e-06, -5.698000827e-07, 1.04118687e-08, 4.016601488e-07, 7.236671628e-07, -3.145280355e-07, 3.393985268e-07, -1.2061945137e-06, 1.338626753e-07]| 12.1540288925170898|      0.08862938|[4225, 0, 0, 66]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      34|[1.4122522342986334, 0.1197485383665082, 0.3143373690485041, 1.809748234977743, 9.921054446e-07, 6.03045966e-08, 3.834574187e-07, -9.803231195e-07, 1.878224226e-07, -5.02946103e-07, -3.843357862e-07, 7.225326991e-07, 8.658874513e-07, -1.2506278969e-06, -5.698000827e-07, 1.04118687e-08, 4.016601488e-07, 7.236671628e-07, -3.145280355e-07, 3.393985268e-07, -1.2061945137e-06, 1.338626753e-07]| 12.1540288925170898|      0.07976644|[4353, 0, 0, 68]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      35|[1.4122522342986334, 0.1197485383665082, 0.3143373690485041, 1.809748234977743, 9.921054446e-07, 6.03045966e-08, 3.834574187e-07, -9.803231195e-07, 1.878224226e-07, -5.02946103e-07, -3.843357862e-07, 7.225326991e-07, 8.658874513e-07, -1.2506278969e-06, -5.698000827e-07, 1.04118687e-08, 4.016601488e-07, 7.236671628e-07, -3.145280355e-07, 3.393985268e-07, -1.2061945137e-06, 1.338626753e-07]| 12.1540288925170898|      0.07178980|[4481, 0, 0, 70]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      36|[1.4122522342986334, 0.1197485383665082, 0.3143373690485041, 1.809748234977743, 9.921054446e-07, 6.03045966e-08, 3.834574187e-07, -9.803231195e-07, 1.878224226e-07, -5.02946103e-07, -3.843357862e-07, 7.225326991e-07, 8.658874513e-07, -1.2506278969e-06, -5.698000827e-07, 1.04118687e-08, 4.016601488e-07, 7.236671628e-07, -3.145280355e-07, 3.393985268e-07, -1.2061945137e-06, 1.338626753e-07]| 12.1540288925170898|      0.06461082|[4609, 0, 0, 72]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      37|[1.4509457088978313, 0.1228189811428914, 0.3232400726722837, 1.8606273778399625, -8.537897709e-07, -4.922886436e-07, 1.0004809856e-06, -1.4954936946e-06, 3.529800512e-07, 2.693228482e-07, -2.206934176e-07, 1.1556444085e-06, 1.4245330836e-06, -8.391593778e-07, 2.516011208e-07, 3.381611187e-07, 1.6929536056e-06, 2.0569399197e-06, -1.665956605e-07, 1.2621023696e-06, -2.1922772649e-06, 8.8848365e-07]| 12.1473855972290039|      0.07178980|[4737, 0, 0, 74]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      38|[1.4509457088978313, 0.1228189811428914, 0.3232400726722837, 1.8606273778399625, -8.537897709e-07, -4.922886436e-07, 1.0004809856e-06, -1.4954936946e-06, 3.529800512e-07, 2.693228482e-07, -2.206934176e-07, 1.1556444085e-06, 1.4245330836e-06, -8.391593778e-07, 2.516011208e-07, 3.381611187e-07, 1.6929536056e-06, 2.0569399197e-06, -1.665956605e-07, 1.2621023696e-06, -2.1922772649e-06, 8.8848365e-07]| 12.1473855972290039|      0.06461082|[4865, 0, 0, 76]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      39|[1.4509457088978313, 0.1228189811428914, 0.3232400726722837, 1.8606273778399625, -8.537897709e-07, -4.922886436e-07, 1.0004809856e-06, -1.4954936946e-06, 3.529800512e-07, 2.693228482e-07, -2.206934176e-07, 1.1556444085e-06, 1.4245330836e-06, -8.391593778e-07, 2.516011208e-07, 3.381611187e-07, 1.6929536056e-06, 2.0569399197e-06, -1.665956605e-07, 1.2621023696e-06, -2.1922772649e-06, 8.8848365e-07]| 12.1473855972290039|      0.05814974|[4993, 0, 0, 78]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      40|[1.4509457088978313, 0.1228189811428914, 0.3232400726722837, 1.8606273778399625, -8.537897709e-07, -4.922886436e-07, 1.0004809856e-06, -1.4954936946e-06, 3.529800512e-07, 2.693228482e-07, -2.206934176e-07, 1.1556444085e-06, 1.4245330836e-06, -8.391593778e-07, 2.516011208e-07, 3.381611187e-07, 1.6929536056e-06, 2.0569399197e-06, -1.665956605e-07, 1.2621023696e-06, -2.1922772649e-06, 8.8848365e-07]| 12.1473855972290039|      0.05233476|[5121, 0, 0, 80]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      41|[1.4509457088978313, 0.1228189811428914, 0.3232400726722837, 1.8606273778399625, -8.537897709e-07, -4.922886436e-07, 1.0004809856e-06, -1.4954936946e-06, 3.529800512e-07, 2.693228482e-07, -2.206934176e-07, 1.1556444085e-06, 1.4245330836e-06, -8.391593778e-07, 2.516011208e-07, 3.381611187e-07, 1.6929536056e-06, 2.0569399197e-06, -1.665956605e-07, 1.2621023696e-06, -2.1922772649e-06, 8.8848365e-07]| 12.1473855972290039|      0.04710129|[5249, 0, 0, 82]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      42|[1.4509457088978313, 0.1228189811428914, 0.3232400726722837, 1.8606273778399625, -8.537897709e-07, -4.922886436e-07, 1.0004809856e-06, -1.4954936946e-06, 3.529800512e-07, 2.693228482e-07, -2.206934176e-07, 1.1556444085e-06, 1.4245330836e-06, -8.391593778e-07, 2.516011208e-07, 3.381611187e-07, 1.6929536056e-06, 2.0569399197e-06, -1.665956605e-07, 1.2621023696e-06, -2.1922772649e-06, 8.8848365e-07]| 12.1473855972290039|      0.04239116|[5377, 0, 0, 84]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      43|[1.4509457088978313, 0.1228189811428914, 0.3232400726722837, 1.8606273778399625, -8.537897709e-07, -4.922886436e-07, 1.0004809856e-06, -1.4954936946e-06, 3.529800512e-07, 2.693228482e-07, -2.206934176e-07, 1.1556444085e-06, 1.4245330836e-06, -8.391593778e-07, 2.516011208e-07, 3.381611187e-07, 1.6929536056e-06, 2.0569399197e-06, -1.665956605e-07, 1.2621023696e-06, -2.1922772649e-06, 8.8848365e-07]| 12.1473855972290039|      0.03815204|[5505, 0, 0, 86]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      44|[1.4509457088978313, 0.1228189811428914, 0.3232400726722837, 1.8606273778399625, -8.537897709e-07, -4.922886436e-07, 1.0004809856e-06, -1.4954936946e-06, 3.529800512e-07, 2.693228482e-07, -2.206934176e-07, 1.1556444085e-06, 1.4245330836e-06, -8.391593778e-07, 2.516011208e-07, 3.381611187e-07, 1.6929536056e-06, 2.0569399197e-06, -1.665956605e-07, 1.2621023696e-06, -2.1922772649e-06, 8.8848365e-07]| 12.1473855972290039|      0.03433684|[5633, 0, 0, 88]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      45|[1.4711724776158324, 0.1243149010395901, 0.3280475280947833, 1.8879137628844889, -3.164176105e-07, -1.6052822406e-06, 1.6228496688e-06, -1.0615692496e-06, -1.5456577188e-06, 7.471103129e-07, -3.6543385526e-06, 3.7561563951e-06, 2.2961018694e-06, -6.028443356e-07, -6.295386538e-07, -7.964383639e-07, -1.6985010086e-06, 9.72401745e-08, -4.4407791048e-06, 2.7533058827e-06, -1.3408574447e-06, -1.9924638648e-06]| 12.1454553604125977|      0.03815204|[5761, 0, 0, 90]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
