k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[98.0, 36.0, 270.0]                                                             |235144.3534117177186999|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[97.86272077510468, 36.329535873370496, 269.0658905189572]                      |233073.6562500000000000|      5.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
      31|[168.43833907354082, 43.68801172742036, 150.21101389106576]                     |591.4974365234375000|      5.00000000|[170, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      32|[168.43833907354082, 43.68801172742036, 150.21101389106576]                     |591.4974365234375000|      1.00000000|[175, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      33|[168.24816989985422, 43.734507477357674, 149.2303641928467]                     |520.9121093750000000|      5.00000000|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      34|[168.24816989985422, 43.734507477357674, 149.2303641928467]                     |520.9121093750000000|      1.00000000|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      35|[169.22859117388535, 43.53796156108041, 149.21837135240264]                     |449.3081970214843750|      5.00000000|[192, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      36|[169.22859117388535, 43.53796156108041, 149.21837135240264]                     |449.3081970214843750|      1.00000000|[197, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      37|[169.22859117388535, 43.53796156108041, 149.21837135240264]                     |449.3081970214843750|      0.20000000|[203, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      38|[169.16672802818786, 43.570304910216805, 149.0309497448675]                     |439.8140869140625000|      1.00000000|[209, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      39|[169.16672802818786, 43.570304910216805, 149.0309497448675]                     |439.8140869140625000|      0.20000000|[214, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      40|[169.32423638334956, 43.593123574260666, 148.90982820827924]                    |420.7003784179687500|      1.00000000|[219, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      41|[170.19621258039422, 43.11938786142931, 149.03324614123744]                     |381.8308105468750000|      5.00000000|[225, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      42|[170.19621258039422, 43.11938786142931, 149.03324614123744]                     |381.8308105468750000|      1.00000000|[231, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      43|[171.10972430327294, 43.52620023394854, 149.03340654199965]                     |329.7215576171875000|      5.00000000|[236, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      44|[171.10972430327294, 43.52620023394854, 149.03340654199965]                     |329.7215576171875000|      1.00000000|[241, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      45|[171.42261113480777, 43.814441425662665, 148.12840994197768]                    |278.9097900390625000|      5.00000000|[246, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      46|[171.42261113480777, 43.814441425662665, 148.12840994197768]                    |278.9097900390625000|      1.00000000|[251, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      47|[171.42261113480777, 43.814441425662665, 148.12840994197768]                    |278.9097900390625000|      0.20000000|[257, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      48|[171.5615856676506, 43.82600882613736, 147.9850492972129]                       |270.3980407714843750|      1.00000000|[263, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      49|[171.5615856676506, 43.82600882613736, 147.9850492972129]                       |270.3980407714843750|      0.20000000|[269, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      50|[171.7262995535545, 43.90444221851825, 147.9030887045475]                       |263.2248840332031250|      1.00000000|[275, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      51|[171.7262995535545, 43.90444221851825, 147.9030887045475]                       |263.2248840332031250|      0.20000000|[280, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      52|[171.79799151459036, 43.988421038594446, 147.73633193406596]                    |256.8922424316406250|      1.00000000|[286, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      53|[171.79799151459036, 43.988421038594446, 147.73633193406596]                    |256.8922424316406250|      0.20000000|[292, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      54|[171.99706949590018, 44.00505008526345, 147.72676991730717]                     |252.5190277099609375|      1.00000000|[297, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      55|[171.99706949590018, 44.00505008526345, 147.72676991730717]                     |252.5190277099609375|      0.20000000|[302, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      56|[172.12343328853842, 44.050913444077324, 147.5786863455364]                     |247.2727203369140625|      1.00000000|[307, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      57|[172.12343328853842, 44.050913444077324, 147.5786863455364]                     |247.2727203369140625|      0.20000000|[313, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      58|[172.24989728782987, 44.114870492639014, 147.43756103659967]                    |242.9443664550781250|      1.00000000|[318, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      59|[172.24989728782987, 44.114870492639014, 147.43756103659967]                    |242.9443664550781250|      0.20000000|[323, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      60|[172.39232480171552, 44.17243870054053, 147.3094973620961]                      |239.5505828857421875|      1.00000000|[329, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      61|[172.39232480171552, 44.17243870054053, 147.3094973620961]                      |239.5505828857421875|      0.20000000|[335, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      62|[172.4108397985051, 44.26643938229309, 147.13393806520773]                      |237.3367767333984375|      1.00000000|[341, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      63|[172.4108397985051, 44.26643938229309, 147.13393806520773]                      |237.3367767333984375|      0.20000000|[346, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      64|[172.49931876396644, 44.2995192391556, 146.95765081172397]                      |235.6672668457031250|      1.00000000|[352, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      65|[172.49931876396644, 44.2995192391556, 146.95765081172397]                      |235.6672668457031250|      0.20000000|[358, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      66|[172.49931876396644, 44.2995192391556, 146.95765081172397]                      |235.6672668457031250|      0.04000000|[364, 132, 0, 132]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      67|[172.52965452057862, 44.314634042870864, 146.93640735203832]                    |235.4112396240234375|      0.20000000|[370, 134, 0, 134]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      68|[172.52965452057862, 44.314634042870864, 146.93640735203832]                    |235.4112396240234375|      0.04000000|[376, 136, 0, 136]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      69|[172.5410429095173, 44.35286003819047, 146.93339440012917]                      |235.1877593994140625|      0.20000000|[381, 138, 0, 138]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      70|[172.5410429095173, 44.35286003819047, 146.93339440012917]                      |235.1877593994140625|      0.04000000|[386, 140, 0, 140]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      71|[172.5620332957056, 44.38429214186839, 146.9203014040608]                       |234.9474182128906250|      0.20000000|[392, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      72|[172.5620332957056, 44.38429214186839, 146.9203014040608]                       |234.9474182128906250|      0.04000000|[397, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      73|[172.55670314911293, 44.3997543323202, 146.88379783980014]                      |234.7867126464843750|      0.20000000|[403, 146, 0, 146]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      74|[172.55670314911293, 44.3997543323202, 146.88379783980014]                      |234.7867126464843750|      0.04000000|[409, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      75|[172.55670314911293, 44.3997543323202, 146.88379783980014]                      |234.7867126464843750|      0.00800000|[415, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      76|[172.5533911979043, 44.401858162152635, 146.8768261198382]                      |234.7655181884765625|      0.04000000|[421, 152, 0, 152]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      77|[172.57315875534144, 44.43536641571533, 146.88612346441326]                     |234.6020660400390625|      0.20000000|[426, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      78|[172.57315875534144, 44.43536641571533, 146.88612346441326]                     |234.6020660400390625|      0.04000000|[431, 156, 0, 156]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      79|[172.56956692303353, 44.47471168439254, 146.87987457864136]                     |234.4157257080078125|      0.20000000|[436, 158, 0, 158]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      80|[172.56956692303353, 44.47471168439254, 146.87987457864136]                     |234.4157257080078125|      0.04000000|[442, 160, 0, 160]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
