k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.951501376384468, 2.0080419418278086, -7.883093651435629]                     | 41.2925186157226562|      1.11111111|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[2.3097919598437597, 0.9809217535557497, -7.656775561387708]                    | 10.1099443435668945|      1.23456790|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[2.3097919598437597, 0.9809217535557497, -7.656775561387708]                    | 10.1099443435668945|      1.11111111|[23, 9, 0, 9]                                                              |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
      14|[1.903117979192784, -0.0499670108452857, -7.737103203751739]                    |  4.6232390403747559|      0.43046721|[143, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      15|[1.903117979192784, -0.0499670108452857, -7.737103203751739]                    |  4.6232390403747559|      0.38742049|[154, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      16|[1.903117979192784, -0.0499670108452857, -7.737103203751739]                    |  4.6232390403747559|      0.34867844|[165, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
      17|[1.554725918603204, -0.0537110238992289, -7.750727045903193]                    |  3.4188952445983887|      0.38742049|[176, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | iterate success | actual_k=1
      18|[1.554725918603204, -0.0537110238992289, -7.750727045903193]                    |  3.4188952445983887|      0.34867844|[186, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      19|[1.554725918603204, -0.0537110238992289, -7.750727045903193]                    |  3.4188952445983887|      0.31381060|[197, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      20|[1.2417140252888677, -0.0402527432185614, -7.732851936301958]                   |  2.5424699783325195|      0.34867844|[204, 79, 0, 79]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | iterate success | actual_k=1
      21|[1.2417140252888677, -0.0402527432185614, -7.732851936301958]                   |  2.5424699783325195|      0.31381060|[215, 83, 0, 83]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
      22|[1.2417140252888677, -0.0402527432185614, -7.732851936301958]                   |  2.5424699783325195|      0.28242954|[225, 87, 0, 87]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      23|[1.2417140252888677, -0.0402527432185614, -7.732851936301958]                   |  2.5424699783325195|      0.25418658|[236, 91, 0, 91]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      24|[1.2417140252888677, -0.0402527432185614, -7.732851936301958]                   |  2.5424699783325195|      0.22876792|[246, 95, 0, 95]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      25|[1.2417140252888677, -0.0402527432185614, -7.732851936301958]                   |  2.5424699783325195|      0.20589113|[257, 99, 0, 99]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
      26|[1.0497082554417354, -0.0155841443872316, -7.802969001645034]                   |  2.1013059616088867|      0.22876792|[262, 101, 0, 101]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      27|[1.0497082554417354, -0.0155841443872316, -7.802969001645034]                   |  2.1013059616088867|      0.20589113|[272, 105, 0, 105]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      28|[0.844132570977604, -0.021770931521523, -7.793402398419485]                     |  1.7121886014938354|      0.22876792|[280, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | iterate success | actual_k=1
      29|[0.844132570977604, -0.021770931521523, -7.793402398419485]                     |  1.7121886014938354|      0.20589113|[290, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      30|[0.844132570977604, -0.021770931521523, -7.793402398419485]                     |  1.7121886014938354|      0.18530202|[301, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
      31|[0.844132570977604, -0.021770931521523, -7.793402398419485]                     |  1.7121886014938354|      0.16677182|[311, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      32|[0.844132570977604, -0.021770931521523, -7.793402398419485]                     |  1.7121886014938354|      0.15009464|[323, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
      33|[0.7011829035798733, 0.0173405968724704, -7.7696520198434875]                   |  1.4911241531372070|      0.16677182|[328, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      34|[0.7011829035798733, 0.0173405968724704, -7.7696520198434875]                   |  1.4911241531372070|      0.15009464|[339, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      35|[0.7011829035798733, 0.0173405968724704, -7.7696520198434875]                   |  1.4911241531372070|      0.13508517|[351, 134, 0, 134]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
      36|[0.5936984543341629, -0.0633426351407476, -7.783264986957537]                   |  1.3551647663116455|      0.15009464|[359, 137, 0, 137]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | iterate success | actual_k=1
      37|[0.4476602775704017, -0.0341226198986339, -7.80190476114357]                    |  1.2006682157516479|      0.16677182|[366, 140, 0, 140]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | iterate success | actual_k=1
      38|[0.4476602775704017, -0.0341226198986339, -7.80190476114357]                    |  1.2006682157516479|      0.15009464|[376, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      39|[0.4476602775704017, -0.0341226198986339, -7.80190476114357]                    |  1.2006682157516479|      0.13508517|[388, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
      40|[0.4476602775704017, -0.0341226198986339, -7.80190476114357]                    |  1.2006682157516479|      0.12157665|[400, 152, 0, 152]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
      41|[0.4476602775704017, -0.0341226198986339, -7.80190476114357]                    |  1.2006682157516479|      0.10941899|[410, 156, 0, 156]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      42|[0.4476602775704017, -0.0341226198986339, -7.80190476114357]                    |  1.2006682157516479|      0.09847709|[421, 160, 0, 160]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
